word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.198063370878955,nan,-11.461159294189963,nan,-11.476348375406806,nan,1.108152104992802,nan,1.1080743652612746,nan,1.002314911031881,nan,1.002226008419125,nan
b i l,3,-10.28098191950657,nan,-11.297980482042776,nan,-11.309944957428236,nan,1.1466232628467965,nan,1.146448917906875,nan,1.0077478649863538,nan,1.0071723648930055,nan
b i s,3,-10.117639501538605,nan,-11.389246109114726,nan,-11.400342990734227,nan,1.167568378885325,nan,1.1673413605171408,nan,1.0027701676562097,nan,1.0026402872002451,nan
b R s,3,-11.373090210188774,nan,-12.371616120992714,nan,-12.384764269758996,nan,1.10729493386318,nan,1.107218425442227,nan,1.0016133968115752,nan,1.001586519762227,nan
b Y s,3,-10.939635658859693,nan,-11.779448939231873,nan,-11.792647885705634,nan,1.1152543664326644,nan,1.1151579823637279,nan,1.0030924818604947,nan,1.0029338207201346,nan
b ^ l,3,-9.877666425295804,nan,-10.326150574496435,nan,-10.338868893154284,nan,1.1625421279857657,nan,1.1623280317498765,nan,1.0110468935070676,nan,1.0101811178918456,nan
C @ l,3,-12.357039351850812,nan,-16.192482391970035,nan,-16.17906721374112,nan,1.112822082662877,nan,1.1127320775698748,nan,1.0009032100880584,nan,1.000939837331213,nan
C i D,3,-12.192275087536329,nan,-17.407170622419542,nan,-17.391823049414352,nan,1.105330346987878,nan,1.1052593255985033,nan,1.0049726764072322,nan,1.004645250560185,nan
C i n,3,-11.561437998812597,nan,-13.69953721966014,nan,-13.717210095537506,nan,1.1571759737252236,nan,1.156974569343667,nan,1.002516150452096,nan,1.0024086407897317,nan
C R J,3,-15.758018336627751,nan,-17.30646514166983,nan,-17.25973020722412,nan,1.0220431324913,nan,1.0221804967913222,nan,1.000064645419872,nan,1.0001761958358717,nan
C R g,3,-13.815032166263872,nan,-17.597101283214364,nan,-17.56530506966608,nan,1.053848679068325,nan,1.053906057792096,nan,1.000258581679488,nan,1.0003527702914339,nan
C R T,3,-15.400905532359467,nan,-16.89990061457233,nan,-16.837423941646314,nan,1.021655259972068,nan,1.0217935997059469,nan,1,1,1.0001173376840178,1.0
C ^ J,3,-14.099252133766816,nan,-17.732012972108365,nan,-17.73125002845119,nan,1.0982354426524144,nan,1.0981825457092373,nan,1.000193023364541,nan,1.0002931549001992,nan
C ^ n,3,-11.158122504601833,nan,-12.542009385711225,nan,-12.556778441314831,nan,1.1730948388641929,nan,1.1728536831866685,nan,1.0126049439799654,nan,1.0115939200561734,nan
C ^ S,3,-13.849886074343864,nan,-16.190125763275855,nan,-16.221628708098102,nan,1.0985586697517744,nan,1.0985049599470502,nan,1.0002576687844131,nan,1.0003520130520533,nan
C ^ C,3,-13.918147862576614,nan,-15.497709665970111,nan,-15.537612985868812,nan,1.0980415063927984,nan,1.0979890971665498,nan,1.000710186723517,nan,1.0007640201150314,nan
d i k,3,-9.927348065428465,nan,-12.167532258551976,nan,-12.175931953124476,nan,1.1665771629315072,nan,1.166352851744982,nan,1.0034239250155288,nan,1.00323492663383,nan
d i s,3,-9.662440202771226,nan,-12.19783394696135,nan,-12.205167537872224,nan,1.1781486930885954,nan,1.1778952814586783,nan,1.001743144098857,nan,1.0017046146856252,nan
d i t,3,-8.984095255228095,nan,-10.92962760511843,nan,-10.93767950444878,nan,1.258502949989494,nan,1.2580474609789258,nan,1.0019370803584728,nan,1.0018811891411874,nan
d E p,3,-11.137606953220594,nan,-16.28114221255228,nan,-16.227522124274252,nan,1.1180905294727268,nan,1.1179879993543043,nan,1.0003227706518225,nan,1.0004112498235977,nan
d R s,3,-10.917890911421395,nan,-12.410078250498689,nan,-12.421480156837635,nan,1.1178752480664502,nan,1.1177723463837648,nan,1.0016133968115752,nan,1.001586519762227,nan
D i D,3,-10.063086818285282,nan,-15.908560738310364,nan,-15.876786482972989,nan,1.1807391318548226,nan,1.1804799984909173,nan,1.0054861881859087,nan,1.0051130868174951,nan
D i g,3,-10.430393188362654,nan,-13.991348518781615,nan,-13.989179984306778,nan,1.1895309089574149,nan,1.1892496657594238,nan,1.0049043794070607,nan,1.0045833634508088,nan
D i C,3,-12.19227508753633,nan,-13.969327650708344,nan,-13.992619992260716,nan,1.1575314261207739,nan,1.1573306562159624,nan,1.0016721084134605,nan,1.0016404558581071,nan
d I J,3,-12.050573629817661,nan,-14.585894593538354,nan,-14.582942556258981,nan,1.088377255416907,nan,1.0883490682888382,nan,1.0075101097631427,nan,1.0069594429471758,nan
d I D,3,-9.74028108937641,nan,-14.470703904662404,nan,-14.44714582576427,nan,1.11139102489134,nan,1.1113049620211055,nan,1.0084797910612227,nan,1.0078423152249862,nan
d Y p,3,-11.266455929981735,nan,-12.580278121816509,nan,-12.59082118806091,nan,1.0745062172575652,nan,1.074512522340602,nan,1.0018050508335041,nan,1.0017612011193375,nan
d Y t,3,-9.806091412549183,nan,-11.475429372316041,nan,-11.484385353769905,nan,1.2061889375368333,nan,1.2058640828255132,nan,1.00329189549056,nan,1.0031149386119802,nan
d I T,3,-11.693460825549376,nan,-13.978659370978704,nan,-13.974354332671126,nan,1.0879893828976752,nan,1.0879621712034628,nan,1.0075101097631427,nan,1.0069594429471758,nan
d I Z,3,-16.382767890743665,nan,-inf,nan,-18.90340555079048,nan,1.0843045939649711,nan,1.0842866488923977,nan,1.0075101097631427,nan,1.0069594429471758,nan
