word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077938124174953,nan,-15.302153530597128,nan,-15.315659779057455,nan,1.1622158157055005,nan,1.1620034687147542,nan,1.0016760533765867,nan,1.0016435058784199,nan
g i T,3,-12.37668755386661,nan,-13.020398966994922,nan,-13.052132165403835,nan,1.1059960206754198,nan,1.1059238772198936,nan,1.000386872138758,nan,1.000469433502921,nan
z i T,3,-12.437557405005958,nan,-17.243439257329864,nan,-17.21359614208289,nan,1.0794241164623322,nan,1.0794181609268616,nan,1.000386872138758,nan,1.000469433502921,nan
y c g,3,-11.698263602330627,nan,-16.255847115191738,nan,-15.98391252606244,nan,1.194393878434876,nan,1.194101127793926,nan,1.0010312664786565,nan,1.0010563068179383,nan
l R z,3,-11.619386816844806,nan,-12.769615859706867,nan,-12.769458668417855,nan,1.0826106400733813,nan,1.082596623518963,nan,1.0001281722635222,nan,1.0002339023878,nan
J Y p,3,-13.684442427775164,nan,-16.958854816538274,nan,-16.325954378302278,nan,1.0421090565357622,nan,1.0421960141432403,nan,1.0012250951060675,nan,1.001232792281547,nan
C ^ z,3,-12.211039686241971,nan,-13.918532760915214,nan,-13.930873781147033,nan,1.112260541532234,nan,1.1121724993540452,nan,1.0034810641327594,nan,1.0032873375023037,nan
C e J,3,-14.911413360960736,nan,-15.21450984663318,nan,-15.255318794352977,nan,1.079618423830576,nan,1.0796119787162175,nan,1.0004497805964234,nan,1.0005268504271123,nan
z i S,3,-12.552059680621877,nan,-18.2990082343642,nan,-18.260080337179158,nan,1.0802623394296416,nan,1.0802542813281992,nan,1.0005803082081373,nan,1.0006455932210654,nan
z u v,3,-11.89824656953002,nan,-21.319569483261105,nan,-21.119462884323415,nan,1.1580196228315325,nan,1.1578176538183311,nan,1.0016760533765867,nan,1.0016435058784199,nan
D Y p,3,-11.36948841540434,nan,-15.408977266286684,nan,-15.204188431751792,nan,1.115549958059645,nan,1.1154539818254272,nan,1.0012891812378286,nan,1.001291186442131,nan
s R k,3,-10.993463775528252,nan,-13.593521493424415,nan,-13.594207980266038,nan,1.119152056988337,nan,1.119046426085591,nan,1.0005791305340415,nan,1.000644615984673,nan
b R s,3,-11.379967062420716,nan,-12.415226436179152,nan,-12.428154282952734,nan,1.1066167069326716,nan,1.106542104398716,nan,1.001545133206841,nan,1.0015244373390024,nan
T ^ z,3,-12.038177795440468,nan,-14.141748537862332,nan,-14.14152564435962,nan,1.1145015455020124,nan,1.114407921210084,nan,1.0033528918692372,nan,1.0031705491811358,nan
S c G,3,-14.331623838757393,nan,-14.986978166898163,nan,-14.92019830435407,nan,1.018352857437571,nan,1.0184991532285228,nan,1.0003223934489651,nan,1.0004107135968727,nan
J e J,3,-15.097105978014275,nan,-15.850218745663264,nan,-15.874876461630533,nan,1.084036403085282,nan,1.0840189532324083,nan,1.0005779528599457,nan,1.0006436387482802,nan
D ^ z,3,-10.081778290924689,nan,-8.753521999634536,nan,-8.768485602612802,nan,1.190119422310823,nan,1.1898374415524229,nan,1.014888395586233,nan,1.0136814980862454,nan
S Y p,3,-13.440390195536041,nan,-14.861101242630067,nan,-14.832963830675531,nan,1.0407644541538952,nan,1.040854761029617,nan,1.0012250951060675,nan,1.001232792281547,nan
n W C,3,-13.048445983702628,nan,-13.95502017817776,nan,-13.956427613269005,nan,1.0631791984966195,nan,1.0632138209254232,nan,1.011920413065594,nan,1.0109787536807093,nan
l W C,3,-13.548290549322742,nan,-14.827246067543854,nan,-14.82090405729447,nan,1.0744482470303627,nan,1.0744547994015041,nan,1.000128564821554,nan,1.0002342281332641,nan
S c d,3,-13.286342394301247,nan,-18.99255322032024,nan,-18.640914479235658,nan,1.0793496979817712,nan,1.0793429916643345,nan,1,1,1.000117114066632,1.0
g i J,3,-12.735242061721651,nan,-14.819088438724036,nan,-14.834472232381868,nan,1.106511850193764,nan,1.106438412851486,nan,1.000451350828551,nan,1.000528153408969,nan
C u T,3,-14.273098171518988,nan,-15.106207385666135,nan,-15.139541042588904,nan,1.1549805743173585,nan,1.1547862495795431,nan,1.0018683117718699,nan,1.0018186883601716,nan
D i g,3,-10.42028804935083,nan,-13.9278591728366,nan,-13.926187311523153,nan,1.1908678445291845,nan,1.1905837287295176,nan,1.0048933143796948,nan,1.0045739635079358,nan
w u T,3,-12.298916990256274,nan,-16.29822464299898,nan,-16.045881481153575,nan,1.2601797035272446,nan,1.2597233384215947,nan,1.0017401395083478,nan,1.0017019000390037,nan
T c T,3,-15.226974463886798,nan,-16.73339273757491,nan,-16.67843004305751,nan,1.016424346808029,nan,1.01657546546486,nan,1.0000640861317611,nan,1.0001755082272161,nan
g u T,3,-12.51164096993697,nan,-17.443028732151717,nan,-17.190539776159063,nan,1.1803359335182806,nan,1.1800784511507254,nan,1.0016119672448256,nan,1.0015851117178358,nan
f R s,3,-11.957556811767585,nan,-14.097903188870433,nan,-14.097873354758882,nan,1.0881124170107865,nan,1.088083906787424,nan,1.0016092193386021,nan,1.0015828314995865,nan
J Y m,3,-13.253566210693652,nan,-16.413994942670016,nan,-15.781494214919956,nan,1.0764117195056506,nan,1.0764126336441406,nan,1.0011606164162745,nan,1.0011740723754987,nan
n R z,3,-11.11954225122469,nan,-14.309515553384475,nan,-14.283168739006523,nan,1.071341591539638,nan,1.071355645042882,nan,1.0000640861317611,nan,1.0001755082272161,nan
m R n,3,-10.749743358809084,nan,-14.111142155840811,nan,-14.086648497581738,nan,1.1240088529889838,nan,1.1238906671585973,nan,1.0014830098652396,nan,1.0014676719057394,nan
C u S,3,-14.387600447134911,nan,-16.024566021155543,nan,-16.05022369652611,nan,1.1558187972846679,nan,1.1556223699808807,nan,1.0013524822535256,nan,1.0013489291117863,nan
S e J,3,-14.853053745775153,nan,-14.831036709539722,nan,-14.880877080122774,nan,1.082691800703415,nan,1.082677700118785,nan,1.0010265557822733,nan,1.0010523978723678,nan
T ^ S,3,-13.68040553069756,nan,-16.592246061309172,nan,-16.60609324978277,nan,1.1006386271965125,nan,1.1005797761110356,nan,1.0001934360693792,nan,1.0002932737847765,nan
v e D,3,-11.749333206242111,nan,-20.19291094422833,nan,-20.117066750852963,nan,1.1021268866276475,nan,1.1020639687411868,nan,1.0013540524856535,nan,1.0013502320936432,nan
C ^ Z,3,-18.438234900169633,nan,-inf,nan,-22.2233624907745,nan,1.0939485936310154,nan,1.0939064844325117,nan,1.0001281722635222,nan,1.0002339023878,nan
n c T,3,-12.643148626217688,nan,-16.864462366417033,nan,-16.796988863216146,nan,1.0498473203001535,nan,1.0499151857177822,nan,1.0000640861317611,nan,1.0001755082272161,nan
s R p,3,-11.513206833334852,nan,-13.551564205305604,nan,-13.553130087146648,nan,1.0790463119370766,nan,1.079041280729275,nan,1.0006436092238344,nan,1.000703335890721,nan
D i D,3,-10.052483855615566,nan,-15.889185823700064,nan,-15.856599414030939,nan,1.1822921787867122,nan,1.1820295738542925,nan,1.005409143898039,nan,1.0050437227563211,nan
S c g,3,-13.7528814287222,nan,-16.549623917825507,nan,-16.474738825447783,nan,1.0496250219871874,nan,1.0496928758938173,nan,1.0009671803468954,nan,1.0009979126573543,nan
C i S,3,-14.252647031064551,nan,-16.04629221810538,nan,-16.072908987659943,nan,1.081478884441807,nan,1.081467796050049,nan,1.0011570833939871,nan,1.001171140666321,nan
g i D,3,-10.420288049350829,nan,-15.663239843203456,nan,-15.637586867254573,nan,1.1297886572090454,nan,1.129656833227097,nan,1.0042555935263395,nan,1.00399262786581,nan
T c S,3,-15.341476739502717,nan,-15.396899152130375,nan,-15.411928870541942,nan,1.0172625697753384,nan,1.0174115858661976,nan,1.0005154369603122,nan,1.000586547569553,nan
z u T,3,-12.572510821076317,nan,-19.92422394464032,nan,-19.750934090074534,nan,1.153764029305193,nan,1.1535727348576932,nan,1.0016760533765867,nan,1.0016435058784199,nan
S Y m,3,-13.00951397845453,nan,-14.316241368761807,nan,-14.288503667293208,nan,1.0750671171237836,nan,1.0750713805305174,nan,1.0011606164162745,nan,1.0011740723754987,nan
D ^ v,3,-10.93523949901956,nan,-10.14226631527676,nan,-10.157695468657039,nan,1.1796738745643531,nan,1.179418095012675,nan,1.0119868545455468,nan,1.0110391023140786,nan
t W C,3,-12.703332039663184,nan,-16.17224105561862,nan,-16.165958306805756,nan,1.0423058472352544,nan,1.0423924630663186,nan,1.000128564821554,nan,1.0002342281332641,nan
g Y b,3,-11.604052838225467,nan,-17.720229413636876,nan,-17.62612018979909,nan,1.0689139972531434,nan,1.0689340840075963,nan,1.0013540524856535,nan,1.0013502320936432,nan
r c S,3,-13.056641781003368,nan,-15.217867840978238,nan,-15.239313745041457,nan,1.0202078892784758,nan,1.0203495688769917,nan,1.0005795230920733,nan,1.0006449417301368,nan
d R s,3,-10.924720623108648,nan,-12.431874310379811,nan,-12.443152236291704,nan,1.1176296407270112,nan,1.1175276060912498,nan,1.0016733054703633,nan,1.0016412256601703,nan
S c z,3,-13.813751279861545,nan,-14.633470789751081,nan,-14.564437148367757,nan,1.0319578609838989,nan,1.0320700305117747,nan,1.000128957379586,nan,1.0002345538787283,nan
y c d,3,-11.231724567909675,nan,-18.69877641768647,nan,-18.150088179850314,nan,1.2241185544294597,nan,1.223751243564443,nan,1.0000640861317611,nan,1.0001755082272161,nan
J u S,3,-14.573293064188448,nan,-14.816441211586952,nan,-14.86857943574961,nan,1.160236776539374,nan,1.1600293444970715,nan,1.0012243099900036,nan,1.0012321407906184,nan
