word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.021624172831032,nan,-12.694122362998932,nan,-12.716820467579485,nan,1.1102584853600794,nan,1.1101693223623412,nan,1.0009476748121573,nan,1.00098251143779,nan
b O r,3,-13.318513557867593,nan,-inf,nan,-15.105638170128394,nan,1.1237267290190662,nan,1.1236017511091025,nan,1.0009476748121573,nan,1.00098251143779,nan
b O s,3,-13.343373077348353,nan,-13.408282886640649,nan,-13.372879184828895,nan,1.0939188394996844,nan,1.0938731270807376,nan,1.0010160415312384,nan,1.0010444386114339,nan
b U n,3,-10.863407423791386,nan,-inf,nan,-16.772734155122553,nan,1.13875642078281,nan,1.138592222713408,nan,1.000609219522101,nan,1.000675650016408,nan
b u r,3,-10.209265490763935,nan,-11.761405732181768,nan,-11.771506776308367,nan,1.266961007770843,nan,1.2664588939662456,nan,1.0167410625809732,nan,1.0152882434388741,nan
b U s,3,-11.185156328308707,nan,-inf,nan,-16.976807748628907,nan,1.122416774922415,nan,1.1222960274318043,nan,1.000609219522101,nan,1.000675650016408,nan
b W r,3,-11.556637294791747,nan,-16.198020387800387,nan,-15.817643839440743,nan,1.143424826900336,nan,1.1432479838933316,nan,1.000677586241182,nan,1.000737577190052,nan
C e D,3,-12.569694132668674,nan,-17.671909888321785,nan,-17.655170027172403,nan,1.1028811447304874,nan,1.102812661723168,nan,1.0017734807296903,nan,1.0017300766364545,nan
C i D,3,-12.152075082732518,nan,-17.11967890245745,nan,-17.10924006096374,nan,1.1043703480067344,nan,1.1042979439267866,nan,1.0049846895432948,nan,1.004638989129611,nan
C O b,3,-15.74092042320787,nan,-20.011171094448997,nan,-19.363639704382365,nan,1.0235318094877297,nan,1.0236724737169298,nan,1,1,1.0001232994579201,1.0
C O g,3,-15.773243273229099,nan,-20.287647240320474,nan,-19.519290002885896,nan,1.0388459545619075,nan,1.03894589523609,nan,1,1,1.0001232994579201,1.0
C O v,3,-16.696565329098107,nan,-inf,nan,-20.539601860778774,nan,1.0134819017828003,nan,1.0136492908449812,nan,1,1,1.0001232994579201,1.0
C u D,3,-12.292249469310114,nan,-17.339698815465887,nan,-17.325371343160093,nan,1.1751751946864881,nan,1.1749163614261113,nan,1.0013639560762735,nan,1.0013590684839593,nan
C u S,3,-14.318783306856531,nan,-15.668276199882023,nan,-15.703187316398651,nan,1.152614177389708,nan,1.152415338652349,nan,1.0012272226381111,nan,1.0012352141366716,nan
C u T,3,-14.231371369076447,nan,-14.75105589529972,nan,-14.79541432756334,nan,1.1518621434798155,nan,1.1516653045598901,nan,1.001979256548004,nan,1.0019164130467535,nan
D e C,3,-12.569694132668674,nan,-12.947709479650127,nan,-12.929500332848628,nan,1.15377283977079,nan,1.153571284532504,nan,1.0174656442890389,nan,1.0159584585799715,nan
D e D,3,-10.483736874651456,nan,-14.769448904550531,nan,-14.734274828270166,nan,1.1766073239438946,nan,1.1763450469762513,nan,1.0186962452324995,nan,1.0170731477055597,nan
D e J,3,-12.789971896318642,nan,-11.811140984126006,nan,-11.848498194695892,nan,1.1539095732089524,nan,1.1537076543674964,nan,1.0176023777272012,nan,1.0160823129272591,nan
D e S,3,-12.510270712197872,nan,-12.381125022398612,nan,-12.38935117328142,nan,1.1540463066471145,nan,1.153844024202489,nan,1.0174656442890389,nan,1.0159584585799715,nan
D i C,3,-12.152075082732518,nan,-13.737337500484283,nan,-13.764362306382623,nan,1.155262043047037,nan,1.1550565667361226,nan,1.0016983573999103,nan,1.0016626005691371,nan
D i D,3,-10.066117824715299,nan,-15.853339936932889,nan,-15.820823080977146,nan,1.1780965272201416,nan,1.17783032917987,nan,1.0054585269493737,nan,1.005068595119546,nan
D i S,3,-12.092651662261716,nan,-14.335455443729867,nan,-14.35079928752593,nan,1.1555355099233615,nan,1.1553293064061076,nan,1.0016983573999103,nan,1.0016626005691371,nan
D i T,3,-12.005239724481633,nan,-13.232574681088096,nan,-13.259703085227024,nan,1.154783476013469,nan,1.1545792723136488,nan,1.0014932572426667,nan,1.0014768190482057,nan
d u r,3,-9.762978388135515,nan,-10.582372956963443,nan,-10.59421158953401,nan,1.2767596292061723,nan,1.2762317591007064,nan,1.0253378269484004,nan,1.0230825235419796,nan
D W C,3,-13.639621273337927,nan,-16.313599148240893,nan,-16.194131323135007,nan,1.1025307088562837,nan,1.1024640741625336,nan,1,1,1.0001232994579201,1.0
D W D,3,-11.553664015320708,nan,-19.213910110925962,nan,-19.03800397969225,nan,1.1253651930293882,nan,1.125237836606281,nan,1.0012306009434606,nan,1.0012379885835085,nan
D W T,3,-13.49278591508704,nan,-14.388540170447326,nan,-14.3080243724875,nan,1.1020521418227156,nan,1.1019867797400598,nan,1.000068366719081,nan,1.000185226631564,nan
f U n,3,-11.450304804508622,nan,-inf,nan,-17.93687445104171,nan,1.1202404051050157,nan,1.120124877562771,nan,1.0003384552900563,nan,1.0004301608793023,nan
f u r,3,-10.79616287148117,nan,-13.649173389213468,nan,-13.642416021008568,nan,1.2484449920930487,nan,1.2479915488156084,nan,1.0159964609428496,nan,1.0146131483118335,nan
f U s,3,-11.772053709025942,nan,-inf,nan,-18.140948044548065,nan,1.1039007592446206,nan,1.1038286822811674,nan,1.0003384552900563,nan,1.0004301608793023,nan
f W r,3,-12.143534675508983,nan,-18.081552545065232,nan,-17.677334200536155,nan,1.1249088112225416,nan,1.1247806387426946,nan,1.000339130951126,nan,1.0004307157686698,nan
f ^ r,3,-10.26672232973505,nan,-13.084351077824943,nan,-13.09486860679749,nan,1.1949013652061604,nan,1.194588902312773,nan,1.0019027818960837,nan,1.0018478272007012,nan
g U n,3,-10.895730273812617,nan,-inf,nan,-16.685877319387366,nan,1.1369318498948522,nan,1.1367724478263015,nan,1.0020984227983483,nan,1.0020258402704891,nan
g U S,3,-13.555603103718653,nan,-13.102264933318759,nan,-13.130428767218946,nan,1.0620702925009915,nan,1.062109963167908,nan,1.002850456708241,nan,1.002707039180571,nan
g U T,3,-13.468191165938569,nan,-inf,nan,-16.516185703451697,nan,1.061318258591099,nan,1.0613599290754492,nan,1.0020984227983483,nan,1.0020258402704891,nan
g W C,3,-14.011367010153254,nan,-18.218309337364445,nan,-17.828182365494794,nan,1.0529969880832062,nan,1.0530605559310853,nan,1,1,1.0001232994579201,1.0
g W D,3,-11.925409752136035,nan,-21.118620300049514,nan,-20.672055022052035,nan,1.0758314722563107,nan,1.0758343183748327,nan,1.0012306009434606,nan,1.0012379885835085,nan
g W T,3,-13.864531651902368,nan,-16.293250359570877,nan,-15.942075414847286,nan,1.052518421049638,nan,1.0525832615086115,nan,1.000068366719081,nan,1.000185226631564,nan
g ^ r,3,-9.712147799039045,nan,-11.717987650520273,nan,-11.728376060611176,nan,1.211592809995997,nan,1.2112364725763034,nan,1.003121220940286,nan,1.0029525283176768,nan
h U n,3,-11.099366282421826,nan,-inf,nan,-19.440924507111774,nan,1.1674765180932574,nan,1.167236827417863,nan,1,1,1.0001232994579201,1.0
h u r,3,-10.445224349394374,nan,-11.362029290926161,nan,-11.371644193163968,nan,1.2956811050812904,nan,1.2951034986707004,nan,1.020125615481535,nan,1.0183568576526953,nan
h U s,3,-11.421115186939145,nan,-inf,nan,-19.64499810061813,nan,1.1511368722328623,nan,1.1509406321362594,nan,1,1,1.0001232994579201,1.0
