word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200271768800283,nan,-11.495431805908659,nan,-11.510332156253028,nan,1.1073612614334862,nan,1.1072855501445389,nan,1.0019240210299707,nan,1.0018700351405891,nan
b i l,3,-10.284191592301369,nan,-11.323844027793962,nan,-11.335589509593122,nan,1.1456251947098042,nan,1.1454537550630657,nan,1.0076542921877574,nan,1.0070891958606871,nan
b i s,3,-10.118090241527025,nan,-11.432729523835022,nan,-11.44358676791752,nan,1.1669976679942127,nan,1.1667727045268812,nan,1.0027617983033748,nan,1.0026330246498985,nan
b R s,3,-11.384063301589794,nan,-12.420109754997494,nan,-12.43302479702242,nan,1.1058712503610992,nan,1.105798653651258,nan,1.00154319142976,nan,1.0015227303318892,nan
b Y s,3,-10.940336483039104,nan,-11.790955792050568,nan,-11.804001364093562,nan,1.1143289936814043,nan,1.1142353147787027,nan,1.003147445607565,nan,1.0029843278422654,nan
b ^ l,3,-9.882140477830301,nan,-10.354104051226146,nan,-10.366583799738477,nan,1.161771795594023,nan,1.161560108124551,nan,1.0110246102260931,nan,1.0101623028827662,nan
C @ l,3,-12.370611360694728,nan,-16.31475660968955,nan,-16.299417620264883,nan,1.112004268499493,nan,1.1119165897592262,nan,1.0008359706344114,nan,1.0008785078798967,nan
C i D,3,-12.196627723459981,nan,-17.601214007791214,nan,-17.58035531899336,nan,1.1060426320577734,nan,1.1059699805764238,nan,1.0050823064714907,nan,1.0047463415816429,nan
C i n,3,-11.569335283553327,nan,-13.807945162677191,nan,-13.822794210219993,nan,1.1564481940508209,nan,1.1562493101853624,nan,1.0025073096902366,nan,1.0024009883128067,nan
C R J,3,-15.783088252237862,nan,-17.51211052097191,nan,-17.46041626721946,nan,1.0213549938761857,nan,1.0214937143280403,nan,1.0000643749195313,nan,1.0001756515961835,nan
C R g,3,-13.831209165012027,nan,-17.777968655010017,nan,-17.742550042199007,nan,1.0534137038027982,nan,1.0534721385237635,nan,1.0002574996781255,nan,1.0003515530913463,nan
C R T,3,-15.426991510107664,nan,-16.947843205840318,nan,-16.89174763909637,nan,1.0206468697613407,nan,1.0207873635927933,nan,1,1,1.0001170177644627,1.0
C ^ J,3,-14.115064077704027,nan,-17.946916323083347,nan,-17.941262009504445,nan,1.0986280123935177,nan,1.0985741182651487,nan,1.0001925225455965,nan,1.000292419461667,nan
C ^ n,3,-11.167284169082262,nan,-12.669551236201107,nan,-12.6811083172696,nan,1.1725947949350395,nan,1.1723556632468477,nan,1.0125525070956158,nan,1.0115501151520803,nan
C ^ S,3,-13.870192970684053,nan,-16.35350794524037,nan,-16.38143459762368,nan,1.0987567622325802,nan,1.0987025456715571,nan,1.000256897465128,nan,1.000351053293388,nan
C ^ C,3,-13.938055259800718,nan,-15.671772510867385,nan,-15.707841363256621,nan,1.0981773879567982,nan,1.0981246223427188,nan,1.000643146982316,nan,1.0007028562837132,nan
d i k,3,-9.930442513431005,nan,-12.20636662856939,nan,-12.214591057745311,nan,1.166486452488399,nan,1.1662629198238994,nan,1.0032819164701041,nan,1.003106343586312,nan
