word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.08155876139058,nan,-15.393757606496031,nan,-15.40664383462761,nan,1.162822193190712,nan,1.1626083048203069,nan,1.0016734468013164,nan,1.001641247490227,nan
g i T,3,-12.386148180722365,nan,-13.049179673317674,nan,-13.080730049987574,nan,1.106872531855973,nan,1.1067981392560513,nan,1.000386249517188,nan,1.000468820754788,nan
z i T,3,-12.44925124585625,nan,-17.392832394471725,nan,-17.355447905588367,nan,1.0802365989580345,nan,1.0802285537671328,nan,1.000386249517188,nan,1.000468820754788,nan
y c g,3,-11.694888377690518,nan,-16.30429920059988,nan,-16.031880584357943,nan,1.1955526908406962,nan,1.1952570834219067,nan,1.001029697606003,nan,1.0010549091730179,nan
l R z,3,-11.624085253334998,nan,-12.778972217568553,nan,-12.778698596570566,nan,1.0820659838249431,nan,1.0820532899353816,nan,1.0000640738130326,nan,1.0001754016972044,nan
J Y p,3,-13.68448267014132,nan,-16.953296823452014,nan,-16.32038758529623,nan,1.042084802868702,nan,1.0421717662699133,nan,1.0011587485515643,nan,1.001172426735439,nan
C ^ z,3,-12.226288055612075,nan,-13.83205726244706,nan,-13.84677388229035,nan,1.1127261197708833,nan,1.1126369192668824,nan,1.0035400183612269,nan,1.0033413787111538,nan
C e J,3,-14.928394577458926,nan,-15.172750024056457,nan,-15.215178769265112,nan,1.0800466066140597,nan,1.0800390294245505,nan,1.0004494200107246,nan,1.0005264549905921,nan
z i S,3,-12.560476880966476,nan,-18.497200094710454,nan,-18.449961213261165,nan,1.081073472911942,nan,1.0810633319087881,nan,1.0006437491953135,nan,1.0007033560816716,nan
z u v,3,-11.899268660944188,nan,-21.257448214481208,nan,-21.071067377661144,nan,1.159195409643131,nan,1.1589904981377093,nan,1.0016090718817852,nan,1.001582613658506,nan
D Y p,3,-11.363995201426208,nan,-15.423040328248753,nan,-15.218109684665418,nan,1.1157818191319877,nan,1.1156852107356474,nan,1.001222822364597,nan,1.0012308106681806,nan
s R k,3,-11.002289818527819,nan,-13.639489789117052,nan,-13.640034491029082,nan,1.1180377144557467,nan,1.1179349697338674,nan,1.0005140960367547,nan,1.0005853387212922,nan
b R s,3,-11.384063301589794,nan,-12.420109754997494,nan,-12.43302479702242,nan,1.1058712503610992,nan,1.105798653651258,nan,1.00154319142976,nan,1.0015227303318892,nan
T ^ z,3,-12.047200131385186,nan,-14.15572641548506,nan,-14.155305754474995,nan,1.1147110090012584,nan,1.114616864339374,nan,1.0034118707351616,nan,1.0032246108456704,nan
S c G,3,-14.333122479408981,nan,-15.043635815728207,nan,-14.975971558580204,nan,1.0175739930778025,nan,1.0177221398293819,nan,1.0002574996781255,nan,1.0003515530913463,nan
J e J,3,-15.105403395362234,nan,-15.878316945605926,nan,-15.902277414558304,nan,1.084400557183915,nan,1.0843821347448546,nan,1.0005775676367896,nan,1.0006432228560755,nan
D ^ z,3,-10.082809404800273,nan,-8.746867724954901,nan,-8.761760927638917,nan,1.1907770866040244,nan,1.1904934690529205,nan,1.0152014523331625,nan,1.013967254470145,nan
S Y p,3,-13.439611563121346,nan,-14.924020772798475,nan,-14.89509106637307,nan,1.04035602837773,nan,1.0404472979809691,nan,1.0011587485515643,nan,1.001172426735439,nan
n W C,3,-13.061259571084506,nan,-13.970764779975735,nan,-13.97218070042881,nan,1.0628479867322014,nan,1.0628833463927758,nan,1.0120458768501313,nan,1.0110931971199042,nan
l W C,3,-13.56180368499205,nan,-14.862207017537791,nan,-14.855681018158224,nan,1.0743731500053477,nan,1.0743798016524042,nan,1,1,1.0001170177644627,1.0
S c d,3,-13.2893081391171,nan,-19.078470491106675,nan,-18.725989455791996,nan,1.078987666310711,nan,1.0789820126862495,nan,1,1,1.0001170177644627,1.0
g i J,3,-12.742244922852564,nan,-14.85313787537728,nan,-14.867970281857755,nan,1.107580655970818,nan,1.1075044899912982,nan,1.0004506244367195,nan,1.000527454586509,nan
C u T,3,-14.289398172757162,nan,-15.0283967690807,nan,-15.064133819850246,nan,1.1564833533904815,nan,1.1562852544275115,nan,1.0018656682404143,nan,1.0018163992884521,nan
D i g,3,-10.421757454137452,nan,-13.974332339524189,nan,-13.97226805852768,nan,1.1925910882690527,nan,1.1923027391854248,nan,1.0048867728609068,nan,1.0045684408946467,nan
w u T,3,-12.300827526559134,nan,-16.31068571753814,nan,-16.05828683723722,nan,1.2619385973397708,nan,1.26147782005311,nan,1.001737520614349,nan,1.0016996314229687,nan
T c T,3,-15.241197152399282,nan,-16.75188677638066,nan,-16.69671140264385,nan,1.015968082436324,nan,1.0161202423224496,nan,1.0000640738130326,nan,1.0001754016972044,nan
g u T,3,-12.514527903434635,nan,-17.46099138912069,nan,-17.20843571810203,nan,1.1815825978520003,nan,1.1813219792151464,nan,1.0016093729882838,nan,1.0015828635574853,nan
f R s,3,-11.961911695382717,nan,-14.161785129283988,nan,-14.161566087551325,nan,1.0869187596452585,nan,1.0868933716687583,nan,1.0016072652427925,nan,1.001581114264631,nan
J Y m,3,-13.255691555897815,nan,-16.413300805087225,nan,-15.780772965286696,nan,1.0768472594156313,nan,1.0768471660002157,nan,1.0012231234710958,nan,1.0012310605671597,nan
n R z,3,-11.123541139427454,nan,-14.327136870564832,nan,-14.300669723051843,nan,1.0705408205517968,nan,1.0705568346757532,nan,1.0000640738130326,nan,1.0001754016972044,nan
m R n,3,-10.75163846582674,nan,-14.114987826388859,nan,-14.090421709492645,nan,1.1233663403823635,nan,1.1232499671081682,nan,1.001480623149221,nan,1.0014655958940435,nan
C u S,3,-14.400623807867387,nan,-15.994927364983697,nan,-16.022387815699087,nan,1.157320227344389,nan,1.1571200325691668,nan,1.0013506688841636,nan,1.0013473286346848,nan
S e J,3,-14.860532288342261,nan,-14.927612432737051,nan,-14.975972061754133,nan,1.082671782692943,nan,1.0826576664559104,nan,1.001026084328018,nan,1.0010519103852675,nan
T ^ S,3,-13.691105046457164,nan,-16.67717709827837,nan,-16.689966469808322,nan,1.1007416514629553,nan,1.1006824907440487,nan,1.0001287498390627,nan,1.0002342854279045,nan
v e D,3,-11.750456876892594,nan,-20.216310995572393,nan,-20.139441922989228,nan,1.1026473968897716,nan,1.1025832068590087,nan,1.0013518733101583,nan,1.0013483282306015,nan
C ^ Z,3,-18.45742545598548,nan,-inf,nan,-22.145057072635897,nan,1.0943792677044484,nan,1.0943360138536673,nan,1.0001281476260653,nan,1.0002337856299461,nan
n c T,3,-12.649513985907715,nan,-16.826174056406476,nan,-16.760393071893432,nan,1.0490709125041944,nan,1.0491406165959374,nan,1.0000640738130326,nan,1.0001754016972044,nan
s R p,3,-11.514872343203447,nan,-13.577420717573023,nan,-13.57881817417869,nan,1.078447138943966,nan,1.0784435422632452,nan,1.0006428458758174,nan,1.0007026063847342,nan
D i D,3,-10.053149072648178,nan,-15.932521469647074,nan,-15.898498610489414,nan,1.1840935988909145,nan,1.183826530362462,nan,1.0055948969757516,nan,1.0052134130435766,nan
S c g,3,-13.756640442413868,nan,-16.647378525377825,nan,-16.5713739923829,nan,1.0493752033262898,nan,1.0494437092122881,nan,1.0009656237929703,nan,1.0009965252402762,nan
C i S,3,-14.272244085155119,nan,-16.04189169621046,nan,-16.069838472194366,nan,1.0826101613483616,nan,1.0825961926100718,nan,1.0013485611386723,nan,1.0013455793418304,nan
g i D,3,-10.421757454137452,nan,-15.71286968513716,nan,-15.685760204459363,nan,1.1311418765192922,nan,1.1310067053640587,nan,1.0043774945281319,nan,1.004104118321484,nan
T c S,3,-15.352422787509507,nan,-15.48158365685239,nan,-15.49548114913932,nan,1.0168049563902315,nan,1.016955020464105,nan,1.0004503233302207,nan,1.0005272046875298,nan
z u T,3,-12.577630968568519,nan,-19.90864835260114,nan,-19.74855251831472,nan,1.1549466649540618,nan,1.1547523937262278,nan,1.0016734468013164,nan,1.001641247490227,nan
S Y m,3,-13.010820448877842,nan,-14.384024754433687,nan,-14.355476446363534,nan,1.0751184849246593,nan,1.0751226977112716,nan,1.0012231234710958,nan,1.0012310605671597,nan
D ^ v,3,-10.937126377137695,nan,-10.089953083441916,nan,-10.10591057290192,nan,1.1802195998008829,nan,1.1799624217274214,nan,1.0122402060347204,nan,1.0112700982109837,nan
t W C,3,-12.716043296303585,nan,-16.19238932766735,nan,-16.186051250401412,nan,1.0426149223193444,nan,1.0427006804925396,nan,1.0000640738130326,nan,1.0001754016972044,nan
g Y b,3,-11.601794541301832,nan,-17.74333730102715,nan,-17.64904114647735,nan,1.0686882144377183,nan,1.068708832728832,nan,1.0013518733101583,nan,1.0013483282306015,nan
r c S,3,-13.060829052879743,nan,-15.372350226642212,nan,-15.392080776350877,nan,1.0191740177297117,nan,1.0193181807119174,nan,1.0005143971432533,nan,1.0005855886202715,nan
d R s,3,-10.927548534130004,nan,-12.443737497277315,nan,-12.454944040587431,nan,1.1170762702099915,nan,1.1169757629314523,nan,1.00154319142976,nan,1.0015227303318892,nan
S c z,3,-13.819743507547754,nan,-14.687719352447798,nan,-14.617879437208394,nan,1.0314146007770428,nan,1.0315280860182985,nan,1.0000643749195313,nan,1.0001756515961835,nan
y c d,3,-11.227556074393748,nan,-18.735391166328725,nan,-18.186496047767037,nan,1.2251651538251174,nan,1.224795386895868,nan,1.0000640738130326,nan,1.0001754016972044,nan
J u S,3,-14.577632625770695,nan,-14.856660577934493,nan,-14.908284532938225,nan,1.1616741779142443,nan,1.1614631378894709,nan,1.0012225212580983,nan,1.0012305607692014,nan
h u S,3,-12.83498851809168,nan,-13.905760911735515,nan,-13.926254974054292,nan,1.2136654700131044,nan,1.2133249249495717,nan,1.0053232452921854,nan,1.0049671324646707,nan
g u S,3,-12.62575353854486,nan,-18.427521985023684,nan,-18.16668971395087,nan,1.1824194718059078,nan,1.1821567573568017,nan,1.001094373632033,nan,1.001113792903718,nan
y R z,3,-11.764697876305894,nan,-10.081055221626823,nan,-10.0980690649429,nan,1.184255764846841,nan,1.1839885265707524,nan,1.0103158838982509,nan,1.009516830935878,nan
C e g,3,-12.97651549023309,nan,-15.545580277646735,nan,-15.56003122866524,nan,1.1121053165406722,nan,1.1120174536202738,nan,1.001286293964632,nan,1.001288694802964,nan
z i J,3,-12.805347987986448,nan,-19.196790596531333,nan,-19.14268813745855,nan,1.0809447230728795,nan,1.0809349045023797,nan,1.0004506244367195,nan,1.000527454586509,nan
m u S,3,-12.31695393007803,nan,-14.889338394915443,nan,-14.906402919516879,nan,1.185364791309045,nan,1.1850947403675955,nan,1.002568071331783,nan,1.0024566233567773,nan
D Y m,3,-10.935204087182704,nan,-14.883044309883966,nan,-14.678495064655882,nan,1.150544275678917,nan,1.1503606104659498,nan,1.0012871972841284,nan,1.0012894444999014,nan
