word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.035123255840457,nan,-12.632471522824105,nan,-12.662349223049688,nan,1.1096799971668916,nan,1.1095952264757623,nan,1.0012513271800587,nan,1.0012574158493388,nan
b O r,3,-13.335339461662192,nan,-inf,nan,-15.161811402460332,nan,1.1237953053179852,nan,1.1236741477527799,nan,1.0011187890753537,nan,1.0011370137061808,nan
b O s,3,-13.372753570182297,nan,-13.45241735497276,nan,-13.41593010722285,nan,1.094106769864042,nan,1.0940621443156722,nan,1.0011850581277062,nan,1.00119721477776,nan
b U n,3,-10.885300917398823,nan,-inf,nan,-16.778310642788146,nan,1.1386368908819295,nan,1.138477988718115,nan,1.0005923000987167,nan,1.0006584303130244,nan
b u r,3,-10.214181474586848,nan,-11.764083426267744,nan,-11.773945336632453,nan,1.2653550289112725,nan,1.2648714695330083,nan,1.0165599362037712,nan,1.0151642415315394,nan
b U s,3,-11.222931231740663,nan,-inf,nan,-16.992895026228624,nan,1.12306366357908,nan,1.1229449065580248,nan,1.0005923000987167,nan,1.0006584303130244,nan
b W r,3,-11.572771798534943,nan,-16.15120465076534,nan,-15.770969492145726,nan,1.1430779640873172,nan,1.1429074417005285,nan,1.0006585691510692,nan,1.0007186313846035,nan
C e D,3,-12.59834342753783,nan,-17.911401503500645,nan,-17.892221992853855,nan,1.1027896745359194,nan,1.102723339262522,nan,1.0015877096748238,nan,1.0015625808290143,nan
C i D,3,-12.179294594965846,nan,-17.212273841758154,nan,-17.201541883008566,nan,1.1046323859541491,nan,1.104561333223399,nan,1.0045684432398698,nan,1.0042704946077687,nan
C O b,3,-15.781600834076553,nan,-20.1520227172526,nan,-19.502242317974922,nan,1.0229569891739223,nan,1.023095209577446,nan,1,1,1.0001200239957238,1.0
C O g,3,-15.799174415018669,nan,-20.48892868968578,nan,-19.71800370586627,nan,1.0403194808902907,nan,1.0404129437303973,nan,1,1,1.0001200239957238,1.0
C O v,3,-16.691845930609198,nan,-inf,nan,-20.57732617032675,nan,1.0144745504727957,nan,1.0146346371668438,nan,1,1,1.0001200239957238,1.0
C u D,3,-12.317377179900163,nan,-17.289849233885384,nan,-17.27757675670592,nan,1.1745896087247973,nan,1.1743394610952644,nan,1.0015877096748238,nan,1.0015625808290143,nan
C u S,3,-14.33832251489839,nan,-15.597002204035814,nan,-15.63341441132523,nan,1.151461709453757,nan,1.151271181631982,nan,1.0014551715701185,nan,1.001442178685856,nan
C u T,3,-14.269880759435306,nan,-14.762265640717235,nan,-14.80735781932606,nan,1.1501363284067059,nan,1.1499492171928254,nan,1.0019853239889391,nan,1.0019237872584887,nan
D e C,3,-12.598343427537829,nan,-12.997562916283337,nan,-12.979111718891476,nan,1.1543944928457266,nan,1.1541966980108016,nan,1.0170459964791703,nan,1.0156149176440263,nan
D e D,3,-10.489849918070766,nan,-14.866826736684565,nan,-14.83062416380639,nan,1.177654930221472,nan,1.1773971739179996,nan,1.0181063013168112,nan,1.0165781347892917,nan
D e J,3,-12.80044699328382,nan,-11.769224031340425,nan,-11.80709822182795,nan,1.1534004570604381,nan,1.1532052246814342,nan,1.0171785345838755,nan,1.0157353197871846,nan
D e S,3,-12.510795253068993,nan,-12.38427156456907,nan,-12.391868021529064,nan,1.1545270309504316,nan,1.1543288944547172,nan,1.0170459964791703,nan,1.0156149176440263,nan
D i C,3,-12.179294594965846,nan,-13.766312524839714,nan,-13.793290547820638,nan,1.1562372042639564,nan,1.1560346919716786,nan,1.0017810216686063,nan,1.0017386462745368,nan
D i D,3,-10.070801085498783,nan,-15.76833899983914,nan,-15.737512390839816,nan,1.1794976416397018,nan,1.1792351678788766,nan,1.0051607433385865,nan,1.0048089009250696,nan
D i S,3,-12.09174642049701,nan,-14.140566368102611,nan,-14.158705226503251,nan,1.1563697423686614,nan,1.1561668884155942,nan,1.0018472907209588,nan,1.001798847346116,nan
D i T,3,-12.023304665033928,nan,-13.202645568548803,nan,-13.23015962117828,nan,1.1550443613216104,nan,1.1548449239764376,nan,1.0014496764068437,nan,1.0014376409166414,nan
d u r,3,-9.756519401142166,nan,-10.562814235545787,nan,-10.574479488015314,nan,1.2749514532572697,nan,1.2744433570305498,nan,1.0256418710507602,nan,1.0234198050634848,nan
D W C,3,-13.675967503848256,nan,-16.352007987132687,nan,-16.232268857570734,nan,1.1039173622106493,nan,1.1038487920110642,nan,1.0000662690523525,nan,1.0001802250673029,nan
D W D,3,-11.567473994381192,nan,-19.24130684286601,nan,-19.06461055549737,nan,1.1271777995863947,nan,1.1270492679182622,nan,1.0010603048376407,nan,1.001083241140989,nan
D W T,3,-13.51997757391634,nan,-14.402667517820305,nan,-14.321914761430389,nan,1.1027245192683033,nan,1.1026590240158232,nan,1.0000662690523525,nan,1.0001802250673029,nan
f U n,3,-11.46417482819866,nan,-inf,nan,-18.099904717401156,nan,1.1195755000576888,nan,1.1194653354695736,nan,1.000329055610398,nan,1.0004191386164463,nan
f u r,3,-10.793055385386685,nan,-13.796117794790847,nan,-13.785270704624,nan,1.2462936380870318,nan,1.245858816284467,nan,1.0155727693725767,nan,1.0142668976693714,nan
f U s,3,-11.8018051425405,nan,-inf,nan,-18.314489100841634,nan,1.1040022727548393,nan,1.1039322533094835,nan,1.000329055610398,nan,1.0004191386164463,nan
f W r,3,-12.15164570933478,nan,-18.139456376849633,nan,-17.733654385362627,nan,1.1240165732630765,nan,1.1238947884519872,nan,1.0003295135406711,nan,1.000419516763881,nan
f ^ r,3,-10.262087439429024,nan,-13.023578263459294,nan,-13.034256139707137,nan,1.1956848852077953,nan,1.1953796250018098,nan,1.002112366930369,nan,1.0020396516324321,nan
g U n,3,-10.902874498340939,nan,-inf,nan,-16.680493924950284,nan,1.135744817791355,nan,1.1355933102941984,nan,1.0023692003948668,nan,1.002273649264927,nan
g U S,3,-13.561803902108199,nan,-13.123712682033212,nan,-13.150655295308582,nan,1.0629813983082537,nan,1.0630174625845017,nan,1.0030318909183922,nan,1.0028756599807176,nan
g U T,3,-13.493362146645115,nan,-inf,nan,-16.543540637607627,nan,1.0616560172612026,nan,1.061695498145345,nan,1.0023692003948668,nan,1.002273649264927,nan
g W C,3,-14.03660675189142,nan,-18.293472947246222,nan,-17.902937850913105,nan,1.0531746252578427,nan,1.053235797845982,nan,1.0000662690523525,nan,1.0001802250673029,nan
g W D,3,-11.928113242424356,nan,-21.182771802979545,nan,-20.735279548839742,nan,1.0764350626335881,nan,1.07643627375318,nan,1.0010603048376407,nan,1.001083241140989,nan
g W T,3,-13.8806168219595,nan,-16.34413247793384,nan,-15.99258375477276,nan,1.0519817823154967,nan,1.052046029850741,nan,1.0000662690523525,nan,1.0001802250673029,nan
g ^ r,3,-9.700787109571303,nan,-11.685345273856234,nan,-11.695644389265619,nan,1.2118542029414614,nan,1.2115075998264346,nan,1.0031653448836433,nan,1.0029968184187448,nan
h U n,3,-11.109547612785189,nan,-inf,nan,-19.443899807301428,nan,1.1665716877795238,nan,1.1663413598582184,nan,1.0001316222441592,nan,1.0002396698440128,nan
h u r,3,-10.438428169973214,nan,-11.41249588504256,nan,-11.421449139390583,nan,1.2932898258088668,nan,1.2927348406731118,nan,1.019784681185673,nan,1.0180955648146215,nan
h U s,3,-11.44717792712703,nan,-inf,nan,-19.658484190741905,nan,1.1509984604766743,nan,1.1508082776981283,nan,1.0001316222441592,nan,1.0002396698440128,nan
h W r,3,-11.797018493921309,nan,-14.846826425585272,nan,-14.472479289274807,nan,1.1710127609849115,nan,1.170770812840632,nan,1.0052653476966433,nan,1.0049062360747207,nan
J O b,3,-15.983704399822544,nan,-17.434859463547916,nan,-17.34534529757163,nan,1.0263748937355104,nan,1.0265043749875293,nan,1,1,1.0001200239957238,1.0
J ^ r,3,-11.650744936741198,nan,-11.816567267276087,nan,-11.870110488378032,nan,1.1911495887703034,nan,1.1908559247461226,nan,1.0061268453772265,nan,1.0056888500052485,nan
k E G,3,-11.637301640362622,nan,-16.760496474409326,nan,-16.643500876506153,nan,1.1064728753755704,nan,1.106397623365014,nan,1.0000662690523525,nan,1.0001802250673029,nan
k E S,3,-12.750370129209703,nan,-17.62370611371193,nan,-17.517747355875187,nan,1.10620779916616,nan,1.1061332304771825,nan,1,1,1.0001200239957238,1.0
k i b,3,-10.373839941937291,nan,-14.618413786714555,nan,-14.614153292410961,nan,1.1278840594720445,nan,1.1277537662341208,nan,1.0007920231163203,nan,1.0008397898226307,nan
k i C,3,-12.13926778430331,nan,-13.491853319084163,nan,-13.524512350202457,nan,1.1146965180538868,nan,1.1146002200645129,nan,1.0010570993257304,nan,1.001080594108947,nan
k i D,3,-10.030774274836247,nan,-15.493879794083588,nan,-15.468734193221637,nan,1.1379569554296323,nan,1.1378006959717109,nan,1.0044368209957106,nan,1.0041508487594797,nan
k i r,3,-9.69300641188895,nan,-11.021050831371,nan,-11.031114975499344,nan,1.2017077837927868,nan,1.2013871854951428,nan,1.0226608103926622,nan,1.020706143443725,nan
k u f,3,-11.090796437671447,nan,-14.919815188436363,nan,-14.90850964520758,nan,1.1885636149133354,nan,1.1882781430318903,nan,1.0021868787276342,nan,1.0021066593578332,nan
k U m,3,-11.186630566902702,nan,-17.316538413940314,nan,-16.926414677589097,nan,1.1145956425566237,nan,1.1144988468954289,nan,1.0013166803718656,nan,1.001316860626049,nan
k U n,3,-10.50220843963524,nan,-inf,nan,-17.6577774243786,nan,1.1449468685340922,nan,1.1447718325521148,nan,1.001250411319513,nan,1.0012566595544699,nan
k U p,3,-11.616065306923304,nan,-16.264626066710456,nan,-16.060155829591416,nan,1.0805996186997648,nan,1.0805904590310624,nan,1.0014492184765706,nan,1.001437262769207,nan
k u r,3,-9.831088996823267,nan,-13.486102949164316,nan,-13.472160123871442,nan,1.271665006563435,nan,1.2711653133670082,nan,1.015506958250497,nan,1.014207074745227,nan
l U n,3,-10.393755896237382,nan,-inf,nan,-16.279677921181005,nan,1.1571067213012802,nan,1.1569005941072188,nan,1.0094109904573874,nan,1.0086747021483917,nan
l R l,3,-11.036198434348066,nan,-13.596115777681513,nan,-13.592008480322223,nan,1.1076446258254349,nan,1.1075657299192796,nan,1.0009931199247424,nan,1.0010222837745408,nan
m W l,3,-11.465432698819226,nan,-13.522302243611625,nan,-13.521404572821169,nan,1.096412128506176,nan,1.0963619344224156,nan,1.0008601238897643,nan,1.000901503483948,nan
m W r,3,-11.276144189932326,nan,-16.26936427188999,nan,-15.887914542301212,nan,1.144589729566481,nan,1.1444153417857577,nan,1.0002637024185914,nan,1.0003596938397363,nan
m W t,3,-10.634707495594899,nan,-10.653628571749449,nan,-10.674076810682585,nan,1.1932974830456062,nan,1.1929975349247621,nan,1.0006613167327068,nan,1.0007209002692108,nan
n c n,3,-10.056785046129098,nan,-15.582492474832211,nan,-15.549716912922268,nan,1.1234272069314732,nan,1.1233072611720536,nan,1.00033088733149,nan,1.0004206512061844,nan
n W C,3,-13.037983435079223,nan,-13.802468415315525,nan,-13.809623274439408,nan,1.0619165734634428,nan,1.0619553939910027,nan,1.011056726439651,nan,1.0101706533994397,nan
n W D,3,-10.92948992561216,nan,-16.691767271048846,nan,-16.641964972366047,nan,1.0851770108391883,nan,1.0851558698982007,nan,1.0120507622249393,nan,1.0110736694731257,nan
n ^ r,3,-8.702163792759109,nan,-11.69067997778266,nan,-11.696763473780065,nan,1.2205961511470615,nan,1.2202271959714552,nan,1.0020465558082894,nan,1.0019798287082877,nan
p c k,3,-11.768599171523656,nan,-14.519901866655555,nan,-14.486140801008457,nan,1.084047517320138,nan,1.0840287882015784,nan,1.0012581961341525,nan,1.001263088060857,nan
p c p,3,-12.284498780705222,nan,-inf,nan,-19.27288273083531,nan,1.0448825073797803,nan,1.0449647390245014,nan,1.0001316222441592,nan,1.0002396698440128,nan
p c s,3,-11.508272227759,nan,-15.426266156603301,nan,-15.381306234406766,nan,1.093656529911258,nan,1.0936130303854636,nan,1.0003304294012167,nan,1.00042027305875,nan
p O l,3,-13.657435101967078,nan,-15.71855702488829,nan,-15.652632515291067,nan,1.0672701296553402,nan,1.067294509484042,nan,1.0002646182791373,nan,1.0003604501346053,nan
p O m,3,-13.852352514525904,nan,-inf,nan,-18.420626661196508,nan,1.0709811965870832,nan,1.0709960099136806,nan,1.0000658111220797,nan,1.0001798469198682,nan
p O n,3,-13.167930387258442,nan,-15.648581627667408,nan,-15.568470469529899,nan,1.1013324225645515,nan,1.1012689955703665,nan,1.0001983492267847,nan,1.0003002490630262,nan
p O r,3,-13.468146593080178,nan,-inf,nan,-18.06793264894054,nan,1.1154477307156452,nan,1.115347916847384,nan,1.0000658111220797,nan,1.0001798469198682,nan
p O s,3,-13.505560701600283,nan,-16.468527459816066,nan,-16.322051353703063,nan,1.085759195261702,nan,1.0857359134102764,nan,1.0001320801744322,nan,1.0002400479914473,nan
p O t,3,-12.826709898742749,nan,-inf,nan,-17.976072798753545,nan,1.1641554841947703,nan,1.1639301099863886,nan,1.0000658111220797,nan,1.0001798469198682,nan
p u k,3,-10.644729658289593,nan,-12.684449470031469,nan,-12.692568671725065,nan,1.2177099062638694,nan,1.2173489930066197,nan,1.01311577720253,nan,1.0120352983991658,nan
p U m,3,-11.70253017608427,nan,-15.638075319032005,nan,-15.258622818191476,nan,1.0999380903021212,nan,1.0998787721560332,nan,1.0096746928759788,nan,1.0089143719924045,nan
p U n,3,-11.018108048816808,nan,-inf,nan,-15.98998556498098,nan,1.1302893162795895,nan,1.1301517578127191,nan,1.0096084238236263,nan,1.0088541709208254,nan
p U p,3,-12.13196491610487,nan,-14.586162971802148,nan,-14.392363970193797,nan,1.0659420664452623,nan,1.0659703842916668,nan,1.0098072309806838,nan,1.0090347741355625,nan
p U s,3,-11.355738363158649,nan,-inf,nan,-16.204569948421458,nan,1.11471608897674,nan,1.114618675652629,nan,1.0096084238236263,nan,1.0088541709208254,nan
p u v,3,-11.93806723258582,nan,-14.897349741844298,nan,-14.901988394141851,nan,1.1747012912870636,nan,1.1744512469559885,nan,1.002512728826122,nan,1.002403126946514,nan
r U n,3,-10.20446738735048,nan,-inf,nan,-20.842246011144617,nan,1.1168148848348678,nan,1.1167117787921987,nan,1,1,1.0001200239957238,1.0
r W r,3,-10.8919382684866,nan,-18.20808423236712,nan,-17.81713572219465,nan,1.1212559580402552,nan,1.1211412317746123,nan,1.0003295135406711,nan,1.000419516763881,nan
S c g,3,-13.71433776670855,nan,-16.2158523351222,nan,-16.16644949558664,nan,1.0507145150271608,nan,1.0507813738898761,nan,1.0009935778550154,nan,1.001022661921975,nan
s c p,3,-11.508272227759,nan,-inf,nan,-16.996925748415702,nan,1.0780098900536335,nan,1.0780074191530007,nan,1.0004606778545575,nan,1.0005387844647353,nan
s U g,3,-11.24050481268278,nan,-20.823300158522926,nan,-20.089561571480473,nan,1.1210707745001625,nan,1.1209576741101654,nan,1.0003313452617628,nan,1.000421029353619,nan
S U g,3,-13.561803902108199,nan,-16.409208194242808,nan,-16.387163098112264,nan,1.071774074092643,nan,1.0717870191570416,nan,1.0011210787267184,nan,1.0011389044433534,nan
s U k,3,-10.83983875397708,nan,-15.940161546997574,nan,-15.269502325869572,nan,1.1382344590594733,nan,1.1380771135972432,nan,1.010470510271703,nan,1.0096317933052175,nan
s U m,3,-10.926303623138047,nan,-21.80253856969571,nan,-20.7281615432836,nan,1.1330654729759744,nan,1.1329214522845326,nan,1.0000662690523525,nan,1.0001802250673029,nan
s U n,3,-10.241881495870585,nan,-inf,nan,-21.4595242900731,nan,1.163416698953443,nan,1.1631944379412185,nan,1,1,1.0001200239957238,1.0
s U p,3,-11.355738363158647,nan,-20.750626222465854,nan,-19.86190269528592,nan,1.0990694491191155,nan,1.099013064420166,nan,1.0001988071570576,nan,1.0003006272104609,nan
s U s,3,-10.579511810212425,nan,-inf,nan,-21.67410867351358,nan,1.1478434716505932,nan,1.1476613557811284,nan,1,1,1.0001200239957238,1.0
S u T,3,-14.18233258496647,nan,-14.148570819156866,nan,-14.200311494667467,nan,1.1526340278940201,nan,1.152440530377117,nan,1.0017220795006205,nan,1.0016844955619106,nan
s W l,3,-11.118640885893605,nan,-14.4663513117544,nan,-14.450097869538475,nan,1.1196801710985254,nan,1.11957048356029,nan,1.001123368378083,nan,1.001140795180526,nan
