word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.201063183784886,nan,-11.498999049151355,nan,-11.51388150598467,nan,1.1073020076175515,nan,1.1072262974903682,nan,1.0019275313131324,nan,1.0018731372854317,nan
b i l,3,-10.284215998147431,nan,-11.333700758238177,nan,-11.345424448984966,nan,1.145437605748988,nan,1.1452663268895176,nan,1.007603180917594,nan,1.0070417540701297,nan
b i s,3,-10.116758047908315,nan,-11.439940922913012,nan,-11.450773085513893,nan,1.1672972910726918,nan,1.1670711766997703,nan,1.0026380016552778,nan,1.002520055790724,nan
b R s,3,-11.383295338868512,nan,-12.430175048737414,nan,-12.443042775962422,nan,1.1061212736121704,nan,1.1060479327988932,nan,1.0015458498130652,nan,1.001525124396818,nan
b Y s,3,-10.939490777482483,nan,-11.795169948751512,nan,-11.808190545899569,nan,1.114787341143304,nan,1.1146923587449775,nan,1.003345864204769,nan,1.003164810677489,nan
b ^ l,3,-9.882792861695172,nan,-10.374090989240148,nan,-10.386525913957385,nan,1.1619994236973765,nan,1.1617867853642567,nan,1.0109807856843807,nan,1.0101209163627811,nan
C @ l,3,-12.365793756711142,nan,-16.40908374306269,nan,-16.391470907905717,nan,1.1113691466835713,nan,1.1112829012686123,nan,1.0008374077540951,nan,1.0008798887059358,nan
C i D,3,-12.190259812548517,nan,-17.61240382182109,nan,-17.59182894916138,nan,1.1056564084724747,nan,1.105584588865485,nan,1.0049625714696622,nan,1.004636740967376,nan
C i n,3,-11.564873167639409,nan,-13.90369470009893,nan,-13.916172443061672,nan,1.1555016496383246,nan,1.155304792120132,nan,1.0022542918720352,nan,1.0021703600877,nan
C R J,3,-15.776076598634777,nan,-17.58157374162059,nan,-17.527672791651973,nan,1.020944151651623,nan,1.0210841467913268,nan,1.0000644828475624,nan,1.0001759296607755,nan
C R g,3,-13.826268608968974,nan,-17.856905422673073,nan,-17.81917192012048,nan,1.0532500582804598,nan,1.053309013325063,nan,1.0002579313902502,nan,1.0003520997236095,nan
