word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.00132837543924,nan,-12.642311850979706,nan,-12.666594922160161,nan,1.108386116152303,nan,1.1083069513416919,nan,1.0010893246187365,nan,1.0011096679290115,nan
b O r,3,-13.292046338762264,nan,-inf,nan,-15.128998579894695,nan,1.1268187018702716,nan,1.1266933222835112,nan,1.0010893246187365,nan,1.0011096679290115,nan
b O s,3,-13.33793053280898,nan,-13.44291928177622,nan,-13.400838003231787,nan,1.0934982584570208,nan,1.093456420965607,nan,1.0012182238195615,nan,1.0012270594885584,nan
b U n,3,-10.854346327305562,nan,-inf,nan,-16.792976593056324,nan,1.139656140501912,nan,1.139499025486786,nan,1.000640779187492,nan,1.0007009565376412,nan
b u r,3,-10.211399923332783,nan,-11.847665478100001,nan,-11.856736804686168,nan,1.2700969281934806,nan,1.2696143833253775,nan,1.0166879863268723,nan,1.0153155888249281,nan
b U s,3,-11.190948484675301,nan,-inf,nan,-16.988223173395262,nan,1.1247682828066299,nan,1.1246484951107012,nan,1.000640779187492,nan,1.0007009565376412,nan
b W r,3,-11.563577729873625,nan,-16.187599252072253,nan,-15.80660306267756,nan,1.145593532063787,nan,1.1454213504075124,nan,1.0007052287879046,nan,1.0007596523174147,nan
C e D,3,-12.572597636042333,nan,-17.620991571853963,nan,-17.609365984523677,nan,1.103649267630801,nan,1.1035825400755224,nan,1.0017371657578307,nan,1.0016994016700878,nan
C i D,3,-12.165115042381,nan,-17.055011602700425,nan,-17.049779265227784,nan,1.1064686960557657,nan,1.1063949402033588,nan,1.0046359110497391,nan,1.0043394780072958,nan
C O b,3,-15.739128205693415,nan,-20.39495575737936,nan,-19.735745272962397,nan,1.0233661026989957,nan,1.0234996498394413,nan,1.0000640779187493,nan,1.0001754704630221,nan
C O g,3,-15.7533987181383,nan,-20.6120592953852,nan,-19.83316782767248,nan,1.0398652004045899,nan,1.039957380472678,nan,1.0000640779187493,nan,1.0001754704630221,nan
C O v,3,-16.65177594628907,nan,-inf,nan,-20.624542838233182,nan,1.0135053138358867,nan,1.0136635842656707,nan,1.0000640779187493,nan,1.0001754704630221,nan
