word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.079808952992428,nan,-15.415026714521934,nan,-15.425961386371446,nan,1.1604572159259554,nan,1.1602492220462681,nan,1.0016900019872037,nan,1.0016556163718149,nan
g i T,3,-12.375590799346583,nan,-12.998511033413457,nan,-13.03089398543598,nan,1.1064940472605524,nan,1.106420916328678,nan,1.000454390359448,nan,1.0005312229524754,nan
z i T,3,-12.445416657137427,nan,-17.307495031519988,nan,-17.271121095428317,nan,1.0798427563386483,nan,1.0798360492530132,nan,1.0003901931456072,nan,1.0004727365798003,nan
y c g,3,-11.698613866958139,nan,-16.242487061563303,nan,-15.970909708931474,nan,1.1922381588332622,nan,1.1919504509524128,nan,1.0009746478869241,nan,1.0010046517606184,nan
l R z,3,-11.62151727521429,nan,-12.759141862832351,nan,-12.758870069179958,nan,1.082562116092336,nan,1.0825483936026816,nan,1.0001283944276818,nan,1.0002346377190432,nan
J Y p,3,-13.681048014286088,nan,-16.883354798791952,nan,-16.25168223818738,nan,1.0425178011288678,nan,1.0426040529106635,nan,1.0012356116277557,nan,1.0012420583930326,nan
C ^ z,3,-12.211142805215063,nan,-13.573546870502092,nan,-13.593866008609702,nan,1.1136647881083674,nan,1.1135731513887288,nan,1.0037685271658274,nan,1.003547254919359,nan
C e J,3,-14.907738346921722,nan,-14.899744718420612,nan,-14.948947377689365,nan,1.0808088861882168,nan,1.0807997580864752,nan,1.0004510504510737,nan,1.0005284540391046,nan
z i S,3,-12.553513152614128,nan,-18.40960189011986,nan,-18.363503769624067,nan,1.080688174820797,nan,1.0806793289624061,nan,1.0005852897184107,nan,1.0006502723828539,nan
z u v,3,-11.902322435836819,nan,-21.248372829655537,nan,-21.062007206736794,nan,1.1562266821294915,nan,1.1560290760316634,nan,1.0015599376053346,nan,1.001537259169779,nan
D Y p,3,-11.368121266236276,nan,-15.37766228274641,nan,-15.173185522793037,nan,1.115040063925972,nan,1.1149455662030971,nan,1.0012998088415965,nan,1.0013005447657077,nan
s R k,3,-11.001126729033084,nan,-13.633981307718248,nan,-13.633918494658747,nan,1.1192045080323971,nan,1.1190981750954712,nan,1.000646982000971,nan,1.000706682070501,nan
b R s,3,-11.3844476275045,nan,-12.402519096880244,nan,-12.415562730685096,nan,1.1059665512460943,nan,1.1058928287259913,nan,1.0016199599337077,nan,1.001592284400741,nan
T ^ z,3,-12.041850748711441,nan,-14.065612319268766,nan,-14.067524338825555,nan,1.1152023625846312,nan,1.1151068937200173,nan,1.0035117383104637,nan,1.0033133094286582,nan
S c G,3,-14.324117355787042,nan,-14.954836095150043,nan,-14.888697003251789,nan,1.0181535123352572,nan,1.0183008592075071,nan,1.0003251609546726,nan,1.0004135579787823,nan
J e J,3,-15.095414017260403,nan,-15.734974940376283,nan,-15.762182035405033,nan,1.0847168879820537,nan,1.0846980198451663,nan,1.0005152476649146,nan,1.0005869404117798,nan
D ^ z,3,-10.085891727503931,nan,-8.749718042430912,nan,-8.764895088083973,nan,1.1900950526993086,nan,1.1898129264398536,nan,1.015195631229511,nan,1.0139578292555385,nan
S Y p,3,-13.432176782920488,nan,-14.82780775608185,nan,-14.800208340949535,nan,1.0409161610494264,nan,1.041006404648905,nan,1.0012356116277557,nan,1.0012420583930326,nan
n W C,3,-13.043061932986156,nan,-13.890981753792532,nan,-13.89364832731269,nan,1.0632103070972954,nan,1.06324531126613,nan,1.0117480901328881,nan,1.0108206711732484,nan
l W C,3,-13.541104562797898,nan,-14.774518163384991,nan,-14.769150997179711,nan,1.0750624436851615,nan,1.0750679084031443,nan,1.0000641972138409,nan,1.000176151346368,nan
S c d,3,-13.285235689461548,nan,-18.967207886295807,nan,-18.616180409208106,nan,1.0792837718136992,nan,1.0792764689636047,nan,1,1,1.000117664973693,1.0
g i J,3,-12.732558526188885,nan,-14.7261049037176,nan,-14.744119748967588,nan,1.107079336978963,nan,1.1070047253582578,nan,1.0005194225503824,nan,1.0005904015534932,nan
C u T,3,-14.26849561436354,nan,-14.806528850203962,nan,-14.847313166266693,nan,1.1541787868145452,nan,1.153986440860174,nan,1.0019467908425674,nan,1.0018895618625157,nan
D i g,3,-10.419631778139074,nan,-13.871272683382891,nan,-13.870019100070385,nan,1.1908382491107738,nan,1.1905536873163538,nan,1.0049916141371793,nan,1.0046612649135578,nan
w u T,3,-12.293706910002335,nan,-16.277061079534644,nan,-16.025244561226497,nan,1.2580291295655222,nan,1.2575779541526078,nan,1.0017541992010446,nan,1.00171410274449,nan
T c T,3,-15.234305792417393,nan,-16.69462075026488,nan,-16.639456566151406,nan,1.0163442100421733,nan,1.0164961053226103,nan,1.0000641972138409,nan,1.000176151346368,nan
g u T,3,-12.505461961073136,nan,-17.41917786202193,nan,-17.167219934241917,nan,1.1787159128315867,nan,1.1784624122303173,nan,1.0016258047733628,nan,1.0015971299991397,nan
f R s,3,-11.966260435934597,nan,-14.073209214242715,nan,-14.073851544025263,nan,1.0868750014991535,nan,1.0868488614458276,nan,1.0016199599337077,nan,1.001592284400741,nan
J Y m,3,-13.24849654264217,nan,-16.381396352602128,nan,-15.749962794154971,nan,1.0768547979422904,nan,1.0768541826460034,nan,1.0011705794368213,nan,1.0011828797920148,nan
n R z,3,-11.123474645402545,nan,-14.336361757319523,nan,-14.308232008134068,nan,1.0707099795044699,nan,1.0707257964656673,nan,1.0000641972138409,nan,1.000176151346368,nan
m R n,3,-10.7466907485411,nan,-14.099180881631733,nan,-14.074831453604116,nan,1.1236836090364555,nan,1.123565156522889,nan,1.0013656760096248,nan,1.0013604155950684,nan
