word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.018521974199555,nan,-12.80405549350091,nan,-12.823013713339192,nan,1.1067181858686121,nan,1.106642958070724,nan,1.0010927556726876,nan,1.001112838810474,nan
b O r,3,-13.3200253533362,nan,-inf,nan,-15.289428127901061,nan,1.1230067257173615,nan,1.122890540275753,nan,1.0010927556726876,nan,1.001112838810474,nan
b O s,3,-13.353574742731865,nan,-13.632062041672143,nan,-13.584544259765325,nan,1.09275658028397,nan,1.092716459037842,nan,1.0011573927355795,nan,1.0011716900345793,nan
b U n,3,-10.864089542384214,nan,-inf,nan,-16.994888281852713,nan,1.1361583092857233,nan,1.1360094623025783,nan,1.0005142379636176,nan,1.0005858450172898,nan
b u r,3,-10.212828238834224,nan,-11.878730466452783,nan,-11.887571256877315,nan,1.2728428123664584,nan,1.2723519406348194,nan,1.0175116415995393,nan,1.0160619388078496,nan
b U s,3,-11.199142310916525,nan,-inf,nan,-17.21742232754616,nan,1.1221967037010812,nan,1.1220829632696963,nan,1.0005142379636176,nan,1.0005858450172898,nan
b W r,3,-11.574319155277156,nan,-16.354538745821447,nan,-15.971964956682136,nan,1.142997726552998,nan,1.1428315507912699,nan,1.0006431547719616,nan,1.0007032511073044,nan
C e D,3,-12.602647590036044,nan,-18.24891095105479,nan,-18.220980320565012,nan,1.1033831713753988,nan,1.1033169097567337,nan,1.0016144973025378,nan,1.001587501259867,nan
C i D,3,-12.189010994330742,nan,-17.64647304489808,nan,-17.624662616169154,nan,1.1052472839935128,nan,1.105176360898052,nan,1.0049092009228247,nan,1.0045874318982648,nan
C O b,3,-15.784108446693914,nan,-20.84479802118811,nan,-20.17127126943886,nan,1.0216957263049051,nan,1.0218338665257245,nan,1,1,1.0001174060900149,1.0
C O g,3,-15.79591159552399,nan,-21.064649113340156,nan,-20.27168072288435,nan,1.040052652166194,nan,1.040144633772662,nan,1,1,1.0001174060900149,1.0
C O v,3,-16.713226393027835,nan,-inf,nan,-21.41588480403614,nan,1.0111598850535315,nan,1.0113245177185035,nan,1,1,1.0001174060900149,1.0
C u D,3,-12.319023286608276,nan,-17.725897432181537,nan,-17.702466961203346,nan,1.180968824136214,nan,1.1807085486384983,nan,1.0012913119880786,nan,1.0012932451393397,nan
C u S,3,-14.394794063189316,nan,-16.060552315030634,nan,-16.08571835780367,nan,1.157893392683819,nan,1.1576911405147072,nan,1.0013559490509705,nan,1.0013520963634452,nan
C u T,3,-14.282915938214021,nan,-15.120316639606045,nan,-15.153424176041344,nan,1.156988473803333,nan,1.1567884970588722,nan,1.0018730455541054,nan,1.0018229061562889,nan
D e C,3,-12.602647590036044,nan,-13.13167006345234,nan,-13.112056525144252,nan,1.1585698765171992,nan,1.1583661691419818,nan,1.0182561623433064,nan,1.0167475807246644,nan
D e D,3,-10.464065473312269,nan,-14.876621529714953,nan,-14.840817940929224,nan,1.1822916785985127,nan,1.1820283225913693,nan,1.0194842665382517,nan,1.017865753982668,nan
D e J,3,-12.783769386638095,nan,-11.85520930352715,nan,-11.88772667758511,nan,1.1589576988945505,nan,1.1587530163373396,nan,1.0183207994061982,nan,1.01680643194877,nan
D e S,3,-12.539836249893309,nan,-12.533715632538174,nan,-12.538646589012181,nan,1.1592162471461178,nan,1.1590109144675782,nan,1.0182561623433064,nan,1.0167475807246644,nan
D i C,3,-12.18901099433074,nan,-13.948744511249968,nan,-13.971503822385818,nan,1.1604339891353133,nan,1.1602256202833001,nan,1.001609494858383,nan,1.0015833522451214,nan
D i D,3,-10.050428877606965,nan,-15.901085623223477,nan,-15.868377172986843,nan,1.1841557912166267,nan,1.1838877737326876,nan,1.0054877186318947,nan,1.005114425691449,nan
D i S,3,-12.126199654188003,nan,-14.331619333347527,nan,-14.34688638103244,nan,1.1610803597642319,nan,1.1608703656088966,nan,1.0018034060470584,nan,1.0017599059174378,nan
D i T,3,-12.01432152921271,nan,-13.245920205852137,nan,-13.270598896846423,nan,1.1601754408837457,nan,1.1599677221530615,nan,1.001544857795491,nan,1.001524501021016,nan
d u r,3,-9.757446466242527,nan,-10.586946145359242,nan,-10.59765944477595,nan,1.2847850274547408,nan,1.2842643269547886,nan,1.0269607641810141,nan,1.024669504096525,nan
D W C,3,-13.68051420305121,nan,-16.659349505627212,nan,-16.532737782368805,nan,1.106310443464554,nan,1.1062374181801968,nan,1,1,1.0001174060900149,1.0
D W D,3,-11.541932086327435,nan,-19.407944902667722,nan,-19.231857151298204,nan,1.1300322455458676,nan,1.1298995716295843,nan,1.0012281041949453,nan,1.0012355793480185,nan
D W T,3,-13.50582473793318,nan,-14.57068078287411,nan,-14.484640571832651,nan,1.1060518952129865,nan,1.1059795200499583,nan,1.0000646370628918,nan,1.0001762573141202,nan
f U n,3,-11.445021341734739,nan,-inf,nan,-18.34121961498117,nan,1.117474521163733,nan,1.1173723417697232,nan,1.0002571189818088,nan,1.0003516255536524,nan
f u r,3,-10.793760038184747,nan,-13.903278005649359,nan,-13.895431947471376,nan,1.254159024244468,nan,1.2537148201019643,nan,1.0166760049086607,nan,1.0153007255510278,nan
f U s,3,-11.78007411026705,nan,-inf,nan,-18.563753660674617,nan,1.1035129155790908,nan,1.1034458427368412,nan,1.0002571189818088,nan,1.0003516255536524,nan
f W r,3,-12.155250954627679,nan,-18.50128044383938,nan,-18.093186858726092,nan,1.1243139384310077,nan,1.1241944302584148,nan,1.0002574762992484,nan,1.0003519219118482,nan
f ^ r,3,-10.263089580266769,nan,-13.346074533120358,nan,-13.353896997252992,nan,1.1950859381738888,nan,1.1947894546236366,nan,1.0014820073197972,nan,1.0014671315878911,nan
g U n,3,-10.87589269121429,nan,-inf,nan,-16.827309555173997,nan,1.136222514743187,nan,1.13607350739032,nan,1.0023140708362794,nan,1.0022253812627517,nan
g U S,3,-13.578667823565912,nan,-13.284624098978055,nan,-13.308523414145887,nan,1.0627301742351398,nan,1.0627659638700107,nan,1.0030250785280899,nan,1.0028727447279118,nan
g U T,3,-13.466789698590619,nan,-inf,nan,-16.691140930394692,nan,1.0618252553546537,nan,1.0618633204141756,nan,1.0023140708362794,nan,1.0022253812627517,nan
g W C,3,-14.050205397464945,nan,-18.623791761942446,nan,-18.22622146020595,nan,1.0526346810247467,nan,1.0526957248280768,nan,1,1,1.0001174060900149,1.0
g W D,3,-11.91162328074117,nan,-21.372387158982956,nan,-20.925340829135347,nan,1.0763564831060601,nan,1.0763578782774643,nan,1.0012281041949453,nan,1.0012355793480185,nan
g W T,3,-13.875515932346914,nan,-16.535123039189347,nan,-16.178124249669793,nan,1.052376132773179,nan,1.0524378266978383,nan,1.0000646370628918,nan,1.0001762573141202,nan
g ^ r,3,-9.693960929746321,nan,-11.706955507728464,nan,-11.716309417366627,nan,1.2138339317533429,nan,1.2134906202442335,nan,1.0031532807015546,nan,1.0029895581015342,nan
h U n,3,-11.084051835176842,nan,-inf,nan,-19.690541967977246,nan,1.1671695452407793,nan,1.1669432396818533,nan,1,1,1.0001174060900149,1.0
h u r,3,-10.432790531626852,nan,-11.472626170829152,nan,-11.480494151785788,nan,1.3038540483215144,nan,1.3032857180140944,nan,1.020789908617602,nan,1.0190482369692266,nan
h U s,3,-11.419104603709153,nan,-inf,nan,-19.913076013670693,nan,1.1532079396561372,nan,1.1530167406489713,nan,1,1,1.0001174060900149,1.0
h W r,3,-11.794281448069786,nan,-14.992649556987105,nan,-14.615529697433,nan,1.174008962508054,nan,1.173765328170545,nan,1.0051427369536163,nan,1.0048020917209595,nan
J O b,3,-15.965230243295965,nan,-17.78260685935221,nan,-17.675229929836732,nan,1.026254313784841,nan,1.0263810677553902,nan,1,1,1.0001174060900149,1.0
J ^ r,3,-11.643973648658413,nan,-11.792732940600605,nan,-11.841580868906536,nan,1.1931597744499722,nan,1.1928681019913836,nan,1.0061101489923563,nan,1.0056830819333646,nan
k E G,3,-11.671100588111747,nan,-16.911785513083565,nan,-16.80330215863766,nan,1.107008769642315,nan,1.1069338596964933,nan,1.0000646370628918,nan,1.0001762573141202,nan
k E S,3,-12.799333702104953,nan,-17.910041243525136,nan,-17.80209411202356,nan,1.1071380437680987,nan,1.1070628087616126,nan,1,1,1.0001174060900149,1.0
k i b,3,-10.384832477957556,nan,-14.778139508620027,nan,-14.77170526990063,nan,1.1291971106925207,nan,1.129066524770065,nan,1.0007095784220519,nan,1.0007635841223905,nan
k i C,3,-12.16552654909767,nan,-13.715676441432635,nan,-13.74378936731634,nan,1.1149123197934192,nan,1.114817653074385,nan,1.0007095784220519,nan,1.0007635841223905,nan
k i D,3,-10.026944432373895,nan,-15.668017553406145,nan,-15.640662717917365,nan,1.1386341218747327,nan,1.1384798065237725,nan,1.0045878021955637,nan,1.0042946575687182,nan
k i r,3,-9.701443455739959,nan,-11.04681295059507,nan,-11.056013368519203,nan,1.2053395707791343,nan,1.2050175241253198,nan,1.0246252916920409,nan,1.0225385370414113,nan
k u f,3,-11.095776569585615,nan,-15.001800413342963,nan,-14.991138621124021,nan,1.194964543149875,nan,1.194669634496327,nan,1.0022622972012152,nan,1.002177198933706,nan
k U m,3,-11.169912954627984,nan,-17.07469346782186,nan,-16.80083151299477,nan,1.1135447288416822,nan,1.1134528815025773,nan,1.0011570354181398,nan,1.0011713936763833,nan
k U n,3,-10.482717051567485,nan,-inf,nan,-17.827257326525057,nan,1.1443766078411004,nan,1.144207233533525,nan,1.0011570354181398,nan,1.0011713936763833,nan
k U p,3,-11.601632281561056,nan,-16.418604347851335,nan,-16.21236709251565,nan,1.078446803691401,nan,1.0784432103226933,nan,1.0013509466068153,nan,1.0013479473486997,nan
