word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.021770531710743,nan,-12.743410575744475,nan,-12.767804792450823,nan,1.1086428150946346,nan,1.1085595824768375,nan,1.0009809691975673,nan,1.0010122008935851,nan
b O r,3,-13.32183938498558,nan,-inf,nan,-15.237981449968027,nan,1.1229018769283234,nan,1.1227816865507394,nan,1.0009809691975673,nan,1.0010122008935851,nan
b O s,3,-13.353978977882946,nan,-13.567730265171951,nan,-13.525688755938795,nan,1.0938507042204342,nan,1.0938058109609208,nan,1.0010476003276312,nan,1.0010727006213365,nan
b U n,3,-10.858707296920016,nan,-inf,nan,-16.89152583705514,nan,1.138137288968155,nan,1.1379790214853176,nan,1.0005231835720358,nan,1.0005958316335326,nan
b u r,3,-10.213484890300915,nan,-11.811041896240567,nan,-11.820518225790307,nan,1.267758328435746,nan,1.2672696187099044,nan,1.0173734603768623,nan,1.0158961523252732,nan
b U s,3,-11.19091574309222,nan,-inf,nan,-17.11041329981043,nan,1.1233451780939545,nan,1.1232252499694009,nan,1.0005231835720358,nan,1.0005958316335326,nan
b W r,3,-11.562132408466397,nan,-16.24140444453676,nan,-15.860071447073334,nan,1.1430444444517032,nan,1.1428730107516525,nan,1.0007860085416131,nan,1.0008347753298779,nan
C e D,3,-12.567664941375531,nan,-17.79537135615096,nan,-17.777402244885593,nan,1.1030391330389622,nan,1.1029724737586457,nan,1.0016596123338017,nan,1.0016273822199635,nan
C i D,3,-12.156332116459597,nan,-17.24064624537548,nan,-17.22841018395057,nan,1.1040201022365295,nan,1.103950947339859,nan,1.005052867232826,nan,1.0047087947157296,nan
C O b,3,-15.748337553802973,nan,-20.396150367380145,nan,-19.736312387315117,nan,1.023163655121506,nan,1.0233006032624996,nan,1,1,1.0001199810506158,1.0
C O g,3,-15.769747063478993,nan,-20.606114908154847,nan,-19.826655375169445,nan,1.0399546998976255,nan,1.0400481276859728,nan,1,1,1.0001199810506158,1.0
C O v,3,-16.690592623746227,nan,-inf,nan,-20.866247973133472,nan,1.0123694120511435,nan,1.0125343375616955,nan,1,1,1.0001199810506158,1.0
C u D,3,-12.290194726310443,nan,-17.35150314895705,nan,-17.337380919147613,nan,1.1764156290169885,nan,1.1761622976334012,nan,1.0013918546299863,nan,1.001384364904072,nan
C u S,3,-14.334720002884051,nan,-15.749710579725473,nan,-15.781725062408459,nan,1.1539609381854319,nan,1.1537658066385186,nan,1.0013252234999224,nan,1.0013238651763208,nan
C u T,3,-14.238047639183861,nan,-14.810961396934168,nan,-14.851841869136205,nan,1.1529614712344725,nan,1.1527689301847404,nan,1.002058165930626,nan,1.001989362181584,nan
D e C,3,-12.567664941375531,nan,-12.9166870045247,nan,-12.900475307564776,nan,1.156440363189579,nan,1.156239435318435,nan,1.017856105762842,nan,1.0163604190024305,nan
D e D,3,-10.472271217930853,nan,-14.739951068525082,nan,-14.707179859833948,nan,1.1792948408015194,nan,1.179034676894829,nan,1.0190554661039932,nan,1.0174494141019526,nan
D e J,3,-12.774557758899991,nan,-11.764464185317049,nan,-11.80014686951374,nan,1.1565069943196429,nan,1.156305893748687,nan,1.0179227368929058,nan,1.0164209187301818,nan
D e S,3,-12.516796494504462,nan,-12.420362183458906,nan,-12.427605163868092,nan,1.1568401499699628,nan,1.1566381858999464,nan,1.017856105762842,nan,1.0163604190024305,nan
D i C,3,-12.156332116459597,nan,-13.755527037417458,nan,-13.780880032967824,nan,1.1574213323871463,nan,1.1572179088996484,nan,1.0016448141310879,nan,1.0016151613613242,nan
D i D,3,-10.060938393014919,nan,-15.787243937322048,nan,-15.757179587491729,nan,1.1802758099990867,nan,1.1800131504760423,nan,1.005576050804862,nan,1.0051846452986466,nan
D i S,3,-12.105463669588527,nan,-14.235391089806889,nan,-14.252092638474954,nan,1.15782111916753,nan,1.1576166594811597,nan,1.0017780763912159,nan,1.0017361608168267,nan
D i T,3,-12.008791305888337,nan,-13.189178341160979,nan,-13.21525928460924,nan,1.1568216522165706,nan,1.1566197830273814,nan,1.0015115518709599,nan,1.0014941619058217,nan
d u r,3,-9.760518176110175,nan,-10.591474869095126,nan,-10.602687285305176,nan,1.2782606115407689,nan,1.2777452514771632,nan,1.0261367852084626,nan,1.0238666495891324,nan
D W C,3,-13.638842244475928,nan,-16.401363268900717,nan,-16.278668549437192,nan,1.1051029751835624,nan,1.1050326512349387,nan,1,1,1.0001199810506158,1.0
D W D,3,-11.54344852103125,nan,-19.290295465849855,nan,-19.114992518887526,nan,1.1279574527955027,nan,1.1278278928113326,nan,1.0011993603411513,nan,1.001208976150138,nan
D W T,3,-13.49130143390467,nan,-14.428484610011004,nan,-14.345286961406087,nan,1.1045032950129867,nan,1.1044345253626717,nan,1.0000666311300639,nan,1.0001804807783672,nan
f U n,3,-11.446028067402324,nan,-inf,nan,-18.111688635065455,nan,1.1198072172134255,nan,1.1196954636741392,nan,1.0003269897325224,nan,1.000417387664939,nan
f u r,3,-10.800805660783222,nan,-13.724692220302838,nan,-13.718220306694572,nan,1.2494282566810166,nan,1.248986060898726,nan,1.016523287072304,nan,1.015122895128033,nan
f U s,3,-11.778236513574527,nan,-inf,nan,-18.33057609782074,nan,1.105015106339225,nan,1.1049416921582225,nan,1.0003269897325224,nan,1.000417387664939,nan
f W r,3,-12.149453178948704,nan,-18.259655205873727,nan,-17.854104636916034,nan,1.1247143726969737,nan,1.124589452940474,nan,1.0003282229160817,nan,1.0004184060698256,nan
f ^ r,3,-10.268086180992835,nan,-13.187700341641273,nan,-13.19707849633907,nan,1.194951767242785,nan,1.194648161355347,nan,1.0018434743377205,nan,1.0017956421396914,nan
g U n,3,-10.880116806596039,nan,-inf,nan,-16.765754902768244,nan,1.1376806679635887,nan,1.1375235591910888,nan,1.0022889281276568,nan,1.0022018273508775,nan
