word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.198669881229689,nan,-11.472949655780685,nan,-11.488150979493097,nan,1.107045377138729,nan,1.106970345232158,nan,1.0021990207843439,nan,1.0021202403450882,nan
b i l,3,-10.291174801678572,nan,-11.289987401277225,nan,-11.302048238209885,nan,1.144729600080702,nan,1.1445589880840181,nan,1.0075020820793938,nan,1.006943055441555,nan
b i s,3,-10.125565172083123,nan,-11.418062552656549,nan,-11.429158306687912,nan,1.1663081000480073,nan,1.1660825988327788,nan,1.00259787754137,nan,1.0024824868677475,nan
b R s,3,-11.388323091285297,nan,-12.393535045737877,nan,-12.406711919113839,nan,1.1066845342364822,nan,1.1066085423806473,nan,1.0016926723610091,nan,1.0016583347441084,nan
b Y s,3,-10.942994258369032,nan,-11.757404669212283,nan,-11.770750051519196,nan,1.1148706886776323,nan,1.114774169590832,nan,1.0029874194498472,nan,1.0028370176236143,nan
b ^ l,3,-9.88574553265293,nan,-10.343905058594565,nan,-10.356663024618626,nan,1.1627133566876375,nan,1.162497649435526,nan,1.0109064274065065,nan,1.01004973038632,nan
C @ l,3,-12.353939805496065,nan,-16.1906759970007,nan,-16.177456064503133,nan,1.111591233163799,nan,1.111503574047918,nan,1.0008472676653595,nan,1.0008890274080444,nan
C i D,3,-12.179255338326076,nan,-17.477564749176747,nan,-17.458983636899784,nan,1.104614500112834,nan,1.1045448649561307,nan,1.0050901263861411,nan,1.0047486808919104,nan
C i n,3,-11.552110413227673,nan,-13.692856636857991,nan,-13.709965482529913,nan,1.1552912803390814,nan,1.1550927386842809,nan,1.0024745506325285,nan,1.0023697109858798,nan
C R J,3,-15.758844848199729,nan,-17.344474886645887,nan,-17.29669995530006,nan,1.021450752518794,nan,1.0215905058689874,nan,1.0000653893938403,nan,1.000177651166273,nan
C R g,3,-13.809176865912274,nan,-17.584163727277367,nan,-17.551605548985684,nan,1.054080060045113,nan,1.0541368142436287,nan,1.0002615575753613,nan,1.0003560739092254,nan
C R T,3,-15.396767248205157,nan,-16.82151429827041,nan,-16.767933378399494,nan,1.0213853631249536,nan,1.0215252828061125,nan,1.0000653893938403,nan,1.000177651166273,nan
C ^ J,3,-14.090657659971914,nan,-17.834503479634336,nan,-17.831576142403218,nan,1.0990580749372547,nan,1.0990032236726266,nan,1.0001943052118112,nan,1.000295056508216,nan
C ^ n,3,-11.14668114420203,nan,-12.642339184626314,nan,-12.654784358521969,nan,1.1732750369460168,nan,1.1730314000357887,nan,1.012618290041472,nan,1.0115951635618619,nan
C ^ S,3,-13.836094893606525,nan,-16.29865721586954,nan,-16.327713875397123,nan,1.0997773582694983,nan,1.099720677364252,nan,1.0002596946056515,nan,1.0003545307558668,nan
C ^ C,3,-13.900557746021725,nan,-15.572795881208974,nan,-15.610731895127154,nan,1.099319632512616,nan,1.0992641159241268,nan,1.0008481991502145,nan,1.0008897989847239,nan
d i k,3,-9.930687870482542,nan,-12.160948663088664,nan,-12.169377686562894,nan,1.1658592181971799,nan,1.1656353262815158,nan,1.0032003543587562,nan,1.0030293287467928,nan
d i s,3,-9.665008218946234,nan,-12.199730874894415,nan,-12.207076668531323,nan,1.1774985303007568,nan,1.1772450314732714,nan,1.0016310089065885,nan,1.0016019468031745,nan
d i t,3,-8.984323445605424,nan,-10.936284698865546,nan,-10.94435405231798,nan,1.2584505998750717,nan,1.2579911833125619,nan,1.0018271770881095,nan,1.0017803695461267,nan
d E p,3,-11.131203777586071,nan,-16.310789099840765,nan,-16.256288040826043,nan,1.1181068915735075,nan,1.1180041853181595,nan,1.0003260154843467,nan,1.000414776580197,nan
d R s,3,-10.927766138148408,nan,-12.416924472678803,nan,-12.42836571998639,nan,1.1178749644892316,nan,1.11777097502114,nan,1.0016282144520237,nan,1.0015996320731368,nan
D i D,3,-10.052523661604782,nan,-15.916382688904061,nan,-15.882466867747592,nan,1.1817898811662781,nan,1.1815271590284941,nan,1.00567024756701,nan,1.0052770049306543,nan
D i g,3,-10.419687269988808,nan,-13.860796459092924,nan,-13.859618639405038,nan,1.1908790069100823,nan,1.1905931647681236,nan,1.0050817430224472,nan,1.0047417367017974,nan
D i C,3,-12.179255338326076,nan,-13.861489192924338,nan,-13.88565799473744,nan,1.1585112569591245,nan,1.1583077486449824,nan,1.001746883936591,nan,1.0017085500716083,nan
d I J,3,-12.052922561212768,nan,-14.58129690560321,nan,-14.578522851163978,nan,1.0878241545614644,nan,1.0877976793635575,nan,1.0075415753512955,nan,1.0069863894222912,nan
d I D,3,-9.736090970541287,nan,-14.532568604119259,nan,-14.506390619580142,nan,1.1113643363439794,nan,1.1112779819985694,nan,1.0085878056527406,nan,1.0079379773847035,nan
d Y p,3,-11.257955483225215,nan,-12.527716909328532,nan,-12.5385508501008,nan,1.0744688871903698,nan,1.0744756056229239,nan,1.0020168248756463,nan,1.0019533912523244,nan
d Y t,3,-9.801752531891333,nan,-11.479501957026038,nan,-11.488504653180959,nan,1.2070131885046966,nan,1.206682754070615,nan,1.0029976657832511,nan,1.002845504967086,nan
d I T,3,-11.690844961218193,nan,-13.918574374852573,nan,-13.916224881638886,nan,1.0877587651676242,nan,1.0877324563006827,nan,1.0075415753512955,nan,1.0069863894222912,nan
d I Z,3,-16.38219284344734,nan,-inf,nan,-18.901748278391384,nan,1.0839007909310452,nan,1.0838842955910557,nan,1.0075415753512955,nan,1.0069863894222912,nan
f i k,3,-10.960594948330703,nan,-13.145694678676872,nan,-13.156041062961574,nan,1.1359537580389703,nan,1.1358046873284748,nan,1.0035226439036833,nan,1.0033228421016505,nan
f i s,3,-10.694915296794395,nan,-13.184476890482623,nan,-13.193740044930005,nan,1.1475930701425472,nan,1.1474143925202305,nan,1.0019532984515156,nan,1.001895460158032,nan
f R s,3,-11.957673215996568,nan,-14.084542121899338,nan,-14.084733784179805,nan,1.087969504331022,nan,1.087940336068099,nan,1.0016282144520237,nan,1.0015996320731368,nan
f R t,3,-11.276988442655759,nan,-13.509230584606868,nan,-13.509764127033927,nan,1.168921573905337,nan,1.1686864879073895,nan,1.0012358780889818,nan,1.0012427865872322,nan
f Y k,3,-11.778024034616612,nan,-12.297801250790314,nan,-12.31200518839653,nan,1.0845163466685952,nan,1.084496258086528,nan,1.002409161238688,nan,1.002310236738229,nan
f ^ l,3,-10.455095657364202,nan,-11.925036938743672,nan,-11.936750624403835,nan,1.1439983267821774,nan,1.1438294431229776,nan,1.0018823201485458,nan,1.001831356450306,nan
g e s,3,-10.544195220770334,nan,-13.594340048971667,nan,-13.586671589182625,nan,1.1639895015132635,nan,1.1637698096036806,nan,1.0023540181782515,nan,1.00225924983405,nan
g W d,3,-11.811729329721198,nan,-17.28868328311673,nan,-16.896596843080115,nan,1.1145156349278076,nan,1.1144199258192438,nan,1.0013731772706467,nan,1.0013671361192884,nan
g W r,3,-11.586209208687833,nan,-20.564958684415963,nan,-19.784666479896984,nan,1.1419791803407418,nan,1.1418136122267575,nan,1.0000653893938403,nan,1.000177651166273,nan
g W z,3,-12.342893742272356,nan,-19.860996454342434,nan,-19.085342399361455,nan,1.067042934999736,nan,1.0670679821719702,nan,1,1,1.0001181769186223,1.0
g i C,3,-12.546418946710101,nan,-13.654431967632704,nan,-13.68554118721877,nan,1.105967685025238,nan,1.1058956367640485,nan,1.0004577257568823,nan,1.0005344966521776,nan
g i J,3,-12.73651886066029,nan,-14.83751352007362,nan,-14.852433916654148,nan,1.1057061274498767,nan,1.1056347445125483,nan,1.0003923363630418,nan,1.000475022404527,nan
g i D,3,-10.419687269988808,nan,-15.709325463612426,nan,-15.682350060228924,nan,1.1292463092323917,nan,1.1291150471475602,nan,1.0043810893873013,nan,1.0041029515112236,nan
g R g,3,-12.049608797575008,nan,-15.363433021634535,nan,-15.338735205539905,nan,1.0787118691646707,nan,1.0787069964350582,nan,1.0003260154843467,nan,1.000414776580197,nan
g u v,3,-11.840448335164734,nan,-18.76148847670107,nan,-18.48326523010177,nan,1.183110575838834,nan,1.182844957559345,nan,1.0015039560583274,nan,1.0014860846145899,nan
h e s,3,-10.759865206055395,nan,-11.349478369326542,nan,-11.361592140187874,nan,1.1943451513942849,nan,1.1940495119388101,nan,1.0064148664443338,nan,1.0059575181052562,nan
h e n,3,-10.421231974535946,nan,-11.638541262584262,nan,-11.648171287294659,nan,1.2087962074329952,nan,1.2084638088341924,nan,1.0057609725059304,nan,1.0053627756287487,nan
h i n,3,-10.008212330175468,nan,-9.556789677863051,nan,-9.571751119919398,nan,1.2102787393396603,nan,1.20994262321084,nan,1.0314161517669878,nan,1.0287272102520966,nan
h Y s,3,-11.164274647980823,nan,-11.558460330873368,nan,-11.5712398759612,nan,1.1443902719305747,nan,1.144219897073511,nan,1.0048566988104248,nan,1.0045393950817887,nan
h ^ s,3,-9.941416292669274,nan,-10.530006272209665,nan,-10.543669553355501,nan,1.2138114399078854,nan,1.2134669876669655,nan,1.0080840662299726,nan,1.0074729226336572,nan
J R T,3,-15.586867162155345,nan,-inf,nan,-19.11391334469669,nan,1.0256943219004377,nan,1.0258234608918195,nan,1.0000653893938403,nan,1.000177651166273,nan
J ^ n,3,-11.33678105815222,nan,-9.625308503251112,nan,-9.677573693525993,nan,1.177583995721501,nan,1.1773295781214956,nan,1.0179682964872627,nan,1.0164674852524989,nan
k e d,3,-10.343707514843022,nan,-12.006588070681083,nan,-12.0152131493584,nan,1.1745069412144877,nan,1.1742608480519146,nan,1.002539008541514,nan,1.0024284136568513,nan
