word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200564744176125,nan,-11.492026050703902,nan,-11.506926551000944,nan,1.107844183739188,nan,1.1077674527272525,nan,1.0022433589604294,nan,1.0021610607564848,nan
b i l,3,-10.28209941869791,nan,-11.314879167599408,nan,-11.32663029841835,nan,1.1447090907151942,nan,1.1445400917207198,nan,1.0076577425103994,nan,1.0070920197629458,nan
b i s,3,-10.11803869985765,nan,-11.426696371009422,nan,-11.437552375838525,nan,1.1665476528488026,nan,1.1663239241330061,nan,1.0026973611408188,nan,1.0025743009176045,nan
b R s,3,-11.383417791162184,nan,-12.416098122921316,nan,-12.428995597765848,nan,1.1065310171075522,nan,1.1064566787921841,nan,1.0015434713919704,nan,1.0015229250583124,nan
b Y s,3,-10.942492310459723,nan,-11.79199622594281,nan,-11.805025491659041,nan,1.1147849041124789,nan,1.1146900206354313,nan,1.0031465572333935,nan,1.0029835520891563,nan
b ^ l,3,-9.879870331704204,nan,-10.345967876409972,nan,-10.358442973652796,nan,1.1622406026481396,nan,1.1620279650931986,nan,1.0111392667526589,nan,1.0102678302017825,nan
C @ l,3,-12.360867532920375,nan,-16.35117482601795,nan,-16.334774676933204,nan,1.1122525759784196,nan,1.112164249222558,nan,1.0009001398534456,nan,1.000936933595982,nan
C i D,3,-12.18851315077525,nan,-17.551095688956543,nan,-17.532017438633122,nan,1.1047317327772694,nan,1.104662373372175,nan,1.004892028578647,nan,1.004572764164505,nan
C i n,3,-11.559535608071874,nan,-13.835316389263701,nan,-13.84928722918806,nan,1.1558172188302231,nan,1.155619833852833,nan,1.002186366013421,nan,1.002108553885228,nan
C R J,3,-15.771777554900005,nan,-17.51308428646272,nan,-17.460948233542794,nan,1.0211371803961946,nan,1.0212763001172032,nan,1.0000644205372673,nan,1.000175652384533,nan
C R g,3,-13.822579281221657,nan,-17.807608878823928,nan,-17.7711939842435,nan,1.0534118695671022,nan,1.0534701055406706,nan,1.0002576821490692,nan,1.0003516674044814,nan
C R T,3,-15.416544572278173,nan,-16.987958546436463,nan,-16.93071543912835,nan,1.0207506571725908,nan,1.0208907455612335,nan,1,1,1.0001169807112171,1.0
