word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080771055431416,nan,-15.234451890648534,nan,-15.248873995358668,nan,1.1604555601394648,nan,1.160247749743174,nan,1.001683269439683,nan,1.001649737267011,nan
g i T,3,-12.384423539179199,nan,-13.06797584045543,nan,-13.099727454554651,nan,1.1052301244292517,nan,1.105160115528372,nan,1.0003879326521183,nan,1.0004705615108647,nan
z i T,3,-12.436601789376716,nan,-17.28177671146645,nan,-17.25193231948503,nan,1.0790691931256826,nan,1.0790642819291887,nan,1.0003238341968912,nan,1.0004121571188542,nan
y c g,3,-11.706104795083975,nan,-16.26294294131185,nan,-15.991118443660733,nan,1.1918381840156977,nan,1.191552011932882,nan,1.0010356010459007,nan,1.0010601493889377,nan
l R z,3,-11.610092645388445,nan,-12.835339431603124,nan,-12.833805669940947,nan,1.0830960852863065,nan,1.0830809967760464,nan,1.0001281969104545,nan,1.0002341719638381,nan
J Y p,3,-13.678915445585684,nan,-16.946591906884645,nan,-16.31416274257445,nan,1.0427441395835444,nan,1.042829600117531,nan,1.0012305699481865,nan,1.0012375801481566,nan
C ^ z,3,-12.205850772410775,nan,-13.847525767548529,nan,-13.861839853726664,nan,1.112423613116143,nan,1.112335148482363,nan,1.0034967409422737,nan,1.0033005833256161,nan
C e J,3,-14.904850772714685,nan,-15.089105303327232,nan,-15.133212319815032,nan,1.0788785998929304,nan,1.0788741595903915,nan,1.0005141244101199,nan,1.000585707107494,nan
z i S,3,-12.544581449047316,nan,-18.293056802368636,nan,-18.254153987377652,nan,1.0800406957163562,nan,1.080033336777693,nan,1.000582901554404,nan,1.0006479922700835,nan
z u v,3,-11.892846129986848,nan,-21.279784477815515,nan,-21.080115169909327,nan,1.1558384890024913,nan,1.155642036230082,nan,1.001683269439683,nan,1.001649737267011,nan
D Y p,3,-11.371973047222683,nan,-15.4045917649407,nan,-15.199940612230725,nan,1.1155342125015437,nan,1.115438545437508,nan,1.0012946684034136,nan,1.001295984540167,nan
