word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.025244787669184,nan,-12.744110228211214,nan,-12.76551549757638,nan,1.1083689202637237,nan,1.1082894131259897,nan,1.0010866785988237,nan,1.0011074379035845,nan
b O r,3,-13.329001634474013,nan,-inf,nan,-15.234957259841597,nan,1.123477391338104,nan,1.1233599354419554,nan,1.0010866785988237,nan,1.0011074379035845,nan
b O s,3,-13.359903564235097,nan,-13.565202959816457,nan,-13.520161819325835,nan,1.093325015305046,nan,1.0932832947515452,nan,1.001151244714526,nan,1.0011662303076059,nan
b U n,3,-10.866814834670718,nan,-inf,nan,-16.9248794657734,nan,1.1372617865383339,nan,1.1371104295131607,nan,1.0005753004346714,nan,1.000641373237112,nan
b u r,3,-10.215303693540001,nan,-11.834107628795332,nan,-11.843214791148657,nan,1.2693480126625734,nan,1.2688678102108135,nan,1.016971874597184,nan,1.015571972254986,nan
b U s,3,-11.201473611236633,nan,-inf,nan,-17.14052928679017,nan,1.1222178815796562,nan,1.1221043111387161,nan,1.0005753004346714,nan,1.000641373237112,nan
b W r,3,-11.572088896576126,nan,-16.28412224746467,nan,-15.902032856253072,nan,1.1438046733631615,nan,1.1436366682099208,nan,1.000767711091412,nan,1.0008166818077515,nan
C e D,3,-12.604925399346175,nan,-17.95065999909721,nan,-17.930455759029176,nan,1.1024143488926181,nan,1.1023507966834711,nan,1.0017394220528664,nan,1.0017012394716343,nan
C i D,3,-12.191018246209186,nan,-17.419940213145797,nan,-17.40497241771248,nan,1.1050351619838992,nan,1.1049650924177057,nan,1.004900586341554,nan,1.0045799299858336,nan
C O b,3,-15.78636286337742,nan,-20.79157603601414,nan,-20.103913982605214,nan,1.0220333318787285,nan,1.0221699058343374,nan,1,1,1.0001170504873305,1.0
C O g,3,-15.801513096084573,nan,-21.139457313000552,nan,-20.289363237883215,nan,1.0401118442754227,nan,1.0402030094602794,nan,1,1,1.0001170504873305,1.0
C O v,3,-16.710926651744774,nan,-inf,nan,-21.089408775585152,nan,1.0120255839448442,nan,1.0121872948985482,nan,1,1,1.0001170504873305,1.0
C u D,3,-12.319270327223567,nan,-17.44189736025357,nan,-17.426102693130787,nan,1.1773951722114624,nan,1.177145160006815,nan,1.0013533130490184,nan,1.0013495536889305,nan
C u S,3,-14.382782709533714,nan,-15.884417134191803,nan,-15.91446735595279,nan,1.154603333368487,nan,1.154410568649824,nan,1.0013533130490184,nan,1.0013495536889305,nan
C u T,3,-14.276966716755737,nan,-14.90175168239902,nan,-14.94058594863067,nan,1.1537639738643548,nan,1.153573317410048,nan,1.0018698419746381,nan,1.0018198929211017,nan
D e C,3,-12.604925399346174,nan,-13.102902824205444,nan,-13.084691553910933,nan,1.1543109181020248,nan,1.1541192881017075,nan,1.017388145271548,nan,1.0159643177888191,nan
D e D,3,-10.475506818457088,nan,-14.810403962516432,nan,-14.777370975105388,nan,1.1776838519863224,nan,1.1774335149323896,nan,1.018614901469895,nan,1.0170813734652258,nan
D e J,3,-12.78287695646901,nan,-11.846254288115437,nan,-11.880121543561572,nan,1.1545046164491324,nan,1.1543124999262713,nan,1.0173235791558455,nan,1.0159055253847977,nan
D e S,3,-12.539019200767237,nan,-12.592037418112938,nan,-12.595986055581482,nan,1.154892013143347,nan,1.1546989235753986,nan,1.017388145271548,nan,1.0159643177888191,nan
D i C,3,-12.191018246209188,nan,-13.963169672617244,nan,-13.986573190454202,nan,1.1569317311933058,nan,1.156733583835942,nan,1.0016664859497793,nan,1.0016355008983524,nan
D i D,3,-10.061599665320102,nan,-15.88172638703799,nan,-15.851102868575317,nan,1.1803046650776035,nan,1.1800478106666241,nan,1.0054758867762255,nan,1.005104252735615,nan
D i S,3,-12.125112047630251,nan,-14.417924100872938,nan,-14.432507562667105,nan,1.1575128262346281,nan,1.1573132193096332,nan,1.0018601842968866,nan,1.0018118781104166,nan
D i T,3,-12.019296054852276,nan,-13.332796633002545,nan,-13.357280097105821,nan,1.1566734667304959,nan,1.156475968069857,nan,1.0016019198340769,nan,1.001576708494331,nan
d u r,3,-9.75890924329502,nan,-10.595428443435933,nan,-10.60628758365956,nan,1.2798091978383086,nan,1.2793030354589683,nan,1.026112759281408,nan,1.0239028781681816,nan
D W C,3,-13.676055530259692,nan,-16.60756827060011,nan,-16.482508584054735,nan,1.1037484021214572,nan,1.1036825094241587,nan,1,1,1.0001170504873305,1.0
D W D,3,-11.546636949370608,nan,-19.318713339688998,nan,-19.14554595839362,nan,1.1271213360057548,nan,1.1269967362548408,nan,1.001226756198347,nan,1.001234106163737,nan
D W T,3,-13.504333338902779,nan,-14.579105112657775,nan,-14.493828582506389,nan,1.1034901376586472,nan,1.1034248936580737,nan,1.0000645661157024,nan,1.0001758428913519,nan
f U n,3,-11.441789994705461,nan,-inf,nan,-18.26190277788651,nan,1.1182530476214494,nan,1.1181488616841966,nan,1.0002556890820762,nan,1.0003500828205667,nan
f u r,3,-10.790278853574744,nan,-13.826637642091317,nan,-13.819508207453605,nan,1.2503392737456889,nan,1.2499062423818494,nan,1.0161408850804363,nan,1.0148146171719683,nan
f U s,3,-11.776448771271376,nan,-inf,nan,-18.477552598903277,nan,1.1032091426627717,nan,1.103142743309752,nan,1.0002556890820762,nan,1.0003500828205667,nan
