word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.072459106960295,nan,-15.20491682642462,nan,-15.219366375992282,nan,1.1611335112509469,nan,1.1609226662574013,nan,1.0016894339085751,nan,1.0016553484493933,nan
g i T,3,-12.376878053429845,nan,-13.009576589664464,nan,-13.042487441206232,nan,1.106167638273701,nan,1.1060947425122063,nan,1.0004549886252843,nan,1.0005319212375916,nan
z i T,3,-12.441473121260863,nan,-17.10735964781732,nan,-17.082200333424318,nan,1.079074517738274,nan,1.079069450433634,nan,1.0005194631578438,nan,1.0005906376958147,nan
y c g,3,-11.704466486374068,nan,-16.27224338501307,nan,-16.000613971494097,nan,1.191832106697786,nan,1.19154423516301,nan,1.001039450158169,nan,1.001063842475183,nan
l R z,3,-11.614101374960285,nan,-12.734433990758129,nan,-12.734438924043005,nan,1.0816189725547571,nan,1.0816074455091884,nan,1.0000644745325595,nan,1.0001765835138674,nan
J Y p,3,-13.681123769358553,nan,-16.91030890480781,nan,-16.279692625561164,nan,1.042706897780965,nan,1.0427928949121414,nan,1.001364965875853,nan,1.001360029601486,nan
C ^ z,3,-12.209930399436173,nan,-13.71303243214119,nan,-13.73063860306667,nan,1.1135544628369196,nan,1.113462622754166,nan,1.0035738629422724,nan,1.0033702816354055,nan
C e J,3,-14.919038766096275,nan,-14.879564462958344,nan,-14.929941354596119,nan,1.0799753635652074,nan,1.0799680412091157,nan,1.0008402642931993,nan,1.0008829175693377,nan
z i S,3,-12.535737822663634,nan,-18.223812238811693,nan,-18.18796193089152,nan,1.079919496613802,nan,1.0799122927572855,nan,1.0007144582829657,nan,1.0007680894880777,nan
z u v,3,-11.89856620964644,nan,-20.84268880296156,nan,-20.66931340812482,nan,1.1566100986911096,nan,1.1564104628441398,nan,1.0017544322836158,nan,1.0017144990468143,nan
D Y p,3,-11.360533577215099,nan,-15.369454260988736,nan,-15.165242800011034,nan,1.1148479621995249,nan,1.1147533519669623,nan,1.0014294404084125,nan,1.001418746059709,nan
s R k,3,-10.993947304159475,nan,-13.58526393757565,nan,-13.585676004272095,nan,1.1198637211145939,nan,1.1197555893166324,nan,1.0007123629130419,nan,1.0007663529312867,nan
b R s,3,-11.378471096870015,nan,-12.334920440720884,nan,-12.34838587510886,nan,1.1069627295265063,nan,1.1068866471735208,nan,1.001556294103608,nan,1.0015344424193646,nan
T ^ z,3,-12.038014763803334,nan,-13.996539133182491,nan,-13.999464569297434,nan,1.1152276721811503,nan,1.1151316431675695,nan,1.003444913877153,nan,1.0032528487189591,nan
S c G,3,-14.309172766635065,nan,-14.973104256467153,nan,-14.907067320251318,nan,1.0193728288239183,nan,1.0195175007375596,nan,1.000324991875203,nan,1.0004136200427496,nan
J e J,3,-15.108591372974448,nan,-15.759766850778226,nan,-15.788558131049184,nan,1.0836435532814053,nan,1.0836270475000387,nan,1.0006468406955205,nan,1.000706768194668,nan
D ^ z,3,-10.078892814170894,nan,-8.709216638659537,nan,-8.724669597731324,nan,1.1893637169716773,nan,1.1890820860999096,nan,1.0156306005309248,nan,1.0143502593231515,nan
S Y p,3,-13.413920228250312,nan,-14.840572829419894,nan,-14.813162129868282,nan,1.0413554594644712,nan,1.041444839962854,nan,1.001364965875853,nan,1.001360029601486,nan
n W C,3,-13.052372832319731,nan,-13.96070707038608,nan,-13.959483738942815,nan,1.0617928731915762,nan,1.06183131889572,nan,1.0116698903932946,nan,1.0107455459940506,nan
l W C,3,-13.552049952173011,nan,-14.799801001331092,nan,-14.790707677822283,nan,1.073569692806738,nan,1.0735786548823678,nan,1,1,1.0001178670556443,1.0
S c d,3,-13.268515916291179,nan,-18.930025458980317,nan,-18.579389762369956,nan,1.0800813111118612,nan,1.0800724799906716,nan,1,1,1.0001178670556443,1.0
g i J,3,-12.738346295940858,nan,-14.866296823508746,nan,-14.880925387672315,nan,1.1063626333988228,nan,1.106289244586895,nan,1.0003899902502438,nan,1.0004727706401706,nan
C u T,3,-14.28077031288483,nan,-14.804883108313662,nan,-14.846510392080553,nan,1.153797131818551,nan,1.1536046536755549,nan,1.0020118065713735,nan,1.0019489307405096,nan
D i g,3,-10.417756103797403,nan,-13.934348901123077,nan,-13.93261658054438,nan,1.1893148738987502,nan,1.1890330008763532,nan,1.004864925120908,nan,1.0045459132174637,nan
w u T,3,-12.29741565007749,nan,-16.232637246560518,nan,-15.981805672655472,nan,1.2574717569553036,nan,1.25701972621375,nan,1.0017539084411349,nan,1.0017140649076166,nan
T c T,3,-15.237479391454084,nan,-16.618867016819294,nan,-16.567262035348516,nan,1.0175593160177139,nan,1.0177085573611946,nan,1.0001289490651193,nan,1.0002352999720907,nan
g u T,3,-12.512896328646132,nan,-17.34542117234327,nan,-17.094549262603447,nan,1.1790883345986525,nan,1.1788325391550771,nan,1.0016249593760156,nan,1.0015966319911702,nan
f R s,3,-11.944164324570945,nan,-13.978068833065914,nan,-13.979138395645244,nan,1.087720822067854,nan,1.0876929124193804,nan,1.001556294103608,nan,1.0015344424193646,nan
J Y m,3,-13.252690917895315,nan,-16.385769457762287,nan,-15.755471319818058,nan,1.0769610414273738,nan,1.0769604260324734,nan,1.0011699707507313,nan,1.001182577809223,nan
n R z,3,-11.114424255107005,nan,-14.318165141569342,nan,-14.290244059641966,nan,1.0698421529395954,nan,1.0698601095225406,nan,1.0000644745325595,nan,1.0001765835138674,nan
m R n,3,-10.743242960185052,nan,-14.156169627050884,nan,-14.128180460329297,nan,1.1237812044246955,nan,1.1236626363198272,nan,1.0014299642508937,nan,1.0014191801989072,nan
C u S,3,-14.3750350142876,nan,-15.781180365897123,nan,-15.813761257702552,nan,1.154642110694079,nan,1.1544474959992064,nan,1.0014918195710485,nan,1.0014757259611413,nan
S e J,3,-14.841387831866207,nan,-14.792699864754036,nan,-14.844829450169005,nan,1.0822921149649114,nan,1.0822789925507512,nan,1.0010981624234379,nan,1.0011177834022307,nan
T ^ S,3,-13.663642745980948,nan,-16.52439673990681,nan,-16.54093946902488,nan,1.1013830182974973,nan,1.101321995864665,nan,1.0001949951251219,nan,1.0002953188479073,nan
v e D,3,-11.747607751489273,nan,-20.025357047845052,nan,-19.953504355770498,nan,1.102413974683075,nan,1.1023498803039344,nan,1.0012999675008125,nan,1.001300879004065,nan
C ^ Z,3,-18.406827015926197,nan,-inf,nan,-22.050003949604044,nan,1.0950949243253825,nan,1.0950497596836266,nan,1.0001289490651193,nan,1.0002352999720907,nan
n c T,3,-12.65119504229924,nan,-16.745314815474586,nan,-16.681478686198997,nan,1.0496077103802854,nan,1.0496767175871542,nan,1.0000644745325595,nan,1.0001765835138674,nan
s R p,3,-11.506448170629088,nan,-13.53651303642868,nan,-13.537956829711476,nan,1.0796297269644477,nan,1.079623327905844,nan,1.0007123629130419,nan,1.0007663529312867,nan
D i D,3,-10.054592502770822,nan,-15.766826649652767,nan,-15.737897626172995,nan,1.1807350883933878,nan,1.1804749095900462,nan,1.005579907246355,nan,1.0051965697890952,nan
S c g,3,-13.735785744250995,nan,-16.582231450712708,nan,-16.507758608398944,nan,1.0508320423435804,nan,1.050897168787352,nan,1.0009749756256094,nan,1.00100512601696,nan
C i S,3,-14.239016739071314,nan,-15.791613912992958,nan,-15.825256113889491,nan,1.0817214143691274,nan,1.0817096993563355,nan,1.0013592036085621,nan,1.0013552540703101,nan
g i D,3,-10.417756103797403,nan,-15.54595043615873,nan,-15.524069088858582,nan,1.1302170370387317,nan,1.1300833317238246,nan,1.0043548911277218,nan,1.0040809570828537,nan
T c S,3,-15.331744092856855,nan,-15.331719089745977,nan,-15.348972479926799,nan,1.018404294893242,nan,1.018551399684846,nan,1.0006489360654442,nan,1.000708504751459,nan
z u T,3,-12.57749139647715,nan,-19.627655899304052,nan,-19.47970380710696,nan,1.1519952140632255,nan,1.151807247076505,nan,1.0016894339085751,nan,1.0016553484493933,nan
S Y m,3,-12.985487376787074,nan,-14.316033382374373,nan,-14.288940824125174,nan,1.07560960311088,nan,1.075612371083186,nan,1.0011699707507313,nan,1.001182577809223,nan
D ^ v,3,-10.931330908115026,nan,-9.95431745307995,nan,-9.972517145731175,nan,1.1792889688403805,nan,1.1790328122409883,nan,1.0128356704041779,nan,1.011806783634047,nan
t W C,3,-12.711600286478424,nan,-16.042564539154046,nan,-16.033783394833858,nan,1.0441598208716072,nan,1.0442424114621598,nan,1.0001289490651193,nan,1.0002352999720907,nan
g Y b,3,-11.59572010448261,nan,-17.589252843243028,nan,-17.496410753115963,nan,1.0698547727233216,nan,1.0698726662169233,nan,1.001364965875853,nan,1.001360029601486,nan
r c S,3,-13.046675539321315,nan,-15.144388435576111,nan,-15.166937017704301,nan,1.0218150677872504,nan,1.0219536336044763,nan,1.0007134105980038,nan,1.0007672212096823,nan
d R s,3,-10.917331718296968,nan,-12.399196979227419,nan,-12.410875027318754,nan,1.1162940893308695,nan,1.1161946456328866,nan,1.0016207686361678,nan,1.0015931588775877,nan
S c z,3,-13.800380812082013,nan,-14.599007495441292,nan,-14.530784306528673,nan,1.0328924908323682,nan,1.0330029779159828,nan,1.0000649983750407,nan,1.0001770176530653,nan
y c d,3,-11.237196658414252,nan,-18.62003739328068,nan,-18.072245125465113,nan,1.2210813754660668,nan,1.2207195463663294,nan,1.0000644745325595,nan,1.0001765835138674,nan
J u S,3,-14.564587621165774,nan,-14.86962328448895,nan,-14.92248828625242,nan,1.1583103004102768,nan,1.1581065022901296,nan,1.0012983959733694,nan,1.0012995765864716,nan
h u S,3,-12.823120945991686,nan,-13.850635969889252,nan,-13.871929184824745,nan,1.2096649564370483,nan,1.209332590363053,nan,1.0052958169920672,nan,1.0049399969963124,nan
g u S,3,-12.607161030048903,nan,-18.321718429926726,nan,-18.061800128225446,nan,1.1799333134741805,nan,1.1796753814787286,nan,1.0011049723756906,nan,1.001123427211802,nan
y R z,3,-11.763654047787695,nan,-10.083214251427641,nan,-10.100743525118622,nan,1.1794373649867027,nan,1.179180946600471,nan,1.0097356544165055,nan,1.0089840522473534,nan
C e g,3,-12.961612174979402,nan,-15.302276687837052,nan,-15.322090102512792,nan,1.1124095527104787,nan,1.1123202196323523,nan,1.0015552464186461,nan,1.001533574140969,nan
z i J,3,-12.802941363771875,nan,-18.964079881661604,nan,-18.9206382798904,nan,1.0792695128633958,nan,1.0792639525083227,nan,1.0004544647828033,nan,1.0005314870983937,nan
m u S,3,-12.30057480295797,nan,-14.793049545092833,nan,-14.81089626523736,nan,1.1828292527238105,nan,1.1825640706557734,nan,1.002845784754801,nan,1.0027087715838294,nan
D Y m,3,-10.93210072575186,nan,-14.844914813943214,nan,-14.641021494267926,nan,1.1491021058459336,nan,1.1489208830872943,nan,1.0012344452832909,nan,1.001241294267446,nan
J e g,3,-13.151164781857576,nan,-16.182479075656936,nan,-16.180706878965857,nan,1.1160777424266766,nan,1.1159792259232753,nan,1.0013618228209673,nan,1.0013574247662993,nan
f u v,3,-12.393533920129585,nan,-16.419949730082127,nan,-16.408975977010144,nan,1.165748395878831,nan,1.165525882025036,nan,1.0017544322836158,nan,1.0017144990468143,nan
v R n,3,-11.966862349051137,nan,-13.416583344954216,nan,-13.407307438531218,nan,1.0941782698729228,nan,1.0941338136211496,nan,1.0014299642508937,nan,1.0014191801989072,nan
g i C,3,-12.548793689062682,nan,-13.632741096144313,nan,-13.664909475616074,nan,1.1061026398986602,nan,1.10602990848731,nan,1.0004549886252843,nan,1.0005319212375916,nan
C i D,3,-12.1856300880361,nan,-17.211535168492848,nan,-17.201076164074635,nan,1.1049258342586301,nan,1.1048554462443023,nan,1.0050641109858778,nan,1.0047268381233092,nan
C Y z,3,-13.434319605939091,nan,-16.15625102524578,nan,-16.102196882702042,nan,1.0449535601934639,nan,1.0450337848867788,nan,1,1,1.0001178670556443,1.0
d c T,3,-13.174251214888407,nan,-14.70707470868702,nan,-14.667654630673132,nan,1.0517957533688946,nan,1.0518592827431437,nan,1.0010315925209543,nan,1.0010573303872161,nan
y R v,3,-12.616092141731826,nan,-13.728534186873244,nan,-13.687795207251956,nan,1.1693626168554059,nan,1.1691316727415497,nan,1.0099306495416274,nan,1.0091615040396165,nan
z i g,3,-10.845514772655003,nan,-17.811255745781892,nan,-17.758500935448055,nan,1.111703702008667,nan,1.1116161309315593,nan,1.0037043835348345,nan,1.0034890169694453,nan
S e g,3,-12.883961240749336,nan,-15.215412089632743,nan,-15.23697819808568,nan,1.1147263041101827,nan,1.1146311709739878,nan,1.0018131445488847,nan,1.001768439973862,nan
C e D,3,-12.59844857395282,nan,-17.81452095780863,nan,-17.79770860730672,nan,1.1038297672051163,nan,1.1037621283460453,nan,1.0018802382938492,nan,1.001829327128074,nan
n W T,3,-12.880457196686894,nan,-11.936008336608184,nan,-11.978938220379776,nan,1.061857871566617,nan,1.0618961529206163,nan,1.0117348887683353,nan,1.0108046965914717,nan
T ^ J,3,-13.930846287089189,nan,-18.074244159875175,nan,-18.059066948939105,nan,1.1007330345470911,nan,1.1006736556157022,nan,1.0000649983750407,nan,1.0001770176530653,nan
T c g,3,-13.641521042848224,nan,-15.750496606114362,nan,-15.745613180109126,nan,1.050188500288107,nan,1.05025523785912,nan,1.0011039246907287,nan,1.0011225589334063,nan
n c G,3,-11.628623716077449,nan,-14.2678172105241,nan,-14.259138542811982,nan,1.0507776811310165,nan,1.050843730035287,nan,1.0003894664077626,nan,1.0004723365009727,nan
s R n,3,-10.3942755457078,nan,-12.781288777916293,nan,-12.784642113560732,nan,1.1450180922553153,nan,1.1448463569514873,nan,1.0017523369136918,nan,1.0017127624900233,nan
s R d,3,-10.917331718296968,nan,-12.988273441377622,nan,-12.99195160040193,nan,1.1327333993726374,nan,1.132592726246093,nan,1.0007773612880824,nan,1.0008255035287077,nan
J e D,3,-12.788001180830994,nan,-18.69472334562851,nan,-18.656325383759786,nan,1.1074979569213141,nan,1.1074211346369682,nan,1.0016868146961704,nan,1.0016531777534043,nan
