word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.171750166969904,nan,-11.37149999293033,nan,-11.38798240483136,nan,1.109758553405419,nan,1.1096740235221574,nan,1.0024668236206704,nan,1.0023610426037857,nan
b i l,3,-10.27456884168122,nan,-11.18368955010667,nan,-11.196742956830128,nan,1.14710467161549,nan,1.146922738117858,nan,1.0075783794469038,nan,1.0069982257625172,nan
b i s,3,-10.107398565767124,nan,-11.28077387092698,nan,-11.292901931564813,nan,1.1666624375943866,nan,1.1664293743961793,nan,1.0029409710189179,nan,1.0027909086893465,nan
b R s,3,-11.382971331697705,nan,-12.36861856049364,nan,-12.382506150582845,nan,1.1064390927392949,nan,1.106361748592294,nan,1.0014069623653317,nan,1.0013981874802147,nan
b Y s,3,-10.930573240779669,nan,-11.711075364267366,nan,-11.725321943642449,nan,1.1156786566850538,nan,1.1155774218668417,nan,1.003074651519778,nan,1.002912252545405,nan
b ^ l,3,-9.87052744045301,nan,-10.235921698622434,nan,-10.249758344555255,nan,1.1659826296053863,nan,1.1657518835133363,nan,1.011447872181516,nan,1.010516829489152,nan
C @ l,3,-12.348732039184952,nan,-16.06301082076515,nan,-16.051132108710423,nan,1.1125992024216895,nan,1.1125063355638456,nan,1.000870766092424,nan,1.0009115973290732,nan
C i D,3,-12.178117233848063,nan,-17.049740510306613,nan,-17.04326984817505,nan,1.1053858744324194,nan,1.105312095339865,nan,1.0050332899874284,nan,1.0046884409532293,nan
C i n,3,-11.552744806366857,nan,-13.531043006626202,nan,-13.553991002072777,nan,1.155523652508903,nan,1.155318798651301,nan,1.002680981364537,nan,1.002554294611766,nan
C R J,3,-15.755807693839202,nan,-17.19246135242571,nan,-17.132539592697597,nan,1.0220426962551958,nan,1.0221850781966582,nan,1.0000672088177969,nan,1.0001823194658146,nan
C R g,3,-13.823564162784109,nan,-17.46119974977643,nan,-17.428427734769002,nan,1.0536980494375334,nan,1.0537576750595083,nan,1.0002688352711875,nan,1.000365246295083,nan
C R T,3,-15.43367904692408,nan,-16.607601660128992,nan,-16.562915432146415,nan,1.02130339925943,nan,1.0214477139387148,nan,1,1,1.0001213438560586,1.0
C ^ J,3,-14.07619352668041,nan,-17.477197414773222,nan,-17.482533475207923,nan,1.101143999100184,nan,1.1010818493960217,nan,1.0002673610017199,nan,1.0003640315681757,nan
C ^ n,3,-11.14870340513865,nan,-12.369739177248604,nan,-12.389180909399048,nan,1.1744016104987993,nan,1.1741479440467792,nan,1.0125665746585517,nan,1.0115225681535414,nan
C ^ S,3,-13.82297713534668,nan,-16.061271569322738,nan,-16.098098426678213,nan,1.101748878460356,nan,1.1016851474252483,nan,1.0004017786373136,nan,1.0004859827876877,nan
C ^ C,3,-13.898295029003116,nan,-15.302349853153258,nan,-15.349487186213267,nan,1.1010095814645902,nan,1.1009477831673047,nan,1.000872240361892,nan,1.0009128120559805,nan
d i k,3,-9.916540808130053,nan,-12.11226434172466,nan,-12.12137097679646,nan,1.166071340543846,nan,1.1658401330562773,nan,1.0032895463983784,nan,1.003106111916839,nan
d i s,3,-9.654211398405424,nan,-12.140690681848634,nan,-12.14867618722154,nan,1.1756822014888022,nan,1.1754258684095418,nan,1.0018109524068466,nan,1.001764648502205,nan
d i t,3,-8.982792713773081,nan,-10.93343807723485,nan,-10.942060301599046,nan,1.2531067595908252,nan,1.2526480161505258,nan,1.002214205313628,nan,1.0021305021607414,nan
d E p,3,-11.124261017930534,nan,-16.29397499543141,nan,-16.2344768466051,nan,1.1173159402724484,nan,1.1172119217654475,nan,1.0005347220034395,nan,1.0006067192802928,nan
d R s,3,-10.929784164336006,nan,-12.470931155684672,nan,-12.482755445671138,nan,1.1154588566337105,nan,1.1153582426056565,nan,1.0014069623653317,nan,1.0013981874802147,nan
D i D,3,-10.053898037464805,nan,-15.65611936659112,nan,-15.628714424757549,nan,1.1794009958013012,nan,1.1791362668024568,nan,1.0054985917688695,nan,1.0051110186773464,nan
D i g,3,-10.423772200470268,nan,-13.884715758474446,nan,-13.883472762145502,nan,1.187936515661507,nan,1.1876494723259854,nan,1.0048265035909005,nan,1.0045012625797856,nan
D i C,3,-12.178117233848063,nan,-13.828125781844104,nan,-13.85479433622509,nan,1.1561467448435756,nan,1.1559428092344182,nan,1.0016676891544465,nan,1.001635408921249,nan
d I J,3,-12.037783072178783,nan,-14.437690568095269,nan,-14.43966067442763,nan,1.0904948104920424,nan,1.090460402662992,nan,1.0073118851369316,nan,1.0067618509493275,nan
d I D,3,-9.73566537811823,nan,-14.291600815842258,nan,-14.272255951405652,nan,1.1136146438141743,nan,1.1135197940023136,nan,1.0085888526750726,nan,1.0079203875346934,nan
d Y p,3,-11.244668038299,nan,-12.56049572885569,nan,-12.571712831641157,nan,1.0758376100411269,nan,1.0758408417415797,nan,1.0018080038679114,nan,1.0017622190483904,nan
d Y t,3,-9.805967388785627,nan,-11.50397276161013,nan,-11.513378900112135,nan,1.2021229786814924,nan,1.2017960636211882,nan,1.0030177625882555,nan,1.002859780024,nan
d I T,3,-11.715654425263663,nan,-14.027184262943324,nan,-14.024187193703707,nan,1.0897555134962766,nan,1.0897230384050487,nan,1.0073118851369316,nan,1.0067618509493275,nan
d I Z,3,-16.305146798532526,nan,-inf,nan,-18.85830693765069,nan,1.0861934461530411,nan,1.0861702833440485,nan,1.0073118851369316,nan,1.0067618509493275,nan
f i k,3,-10.95888272022066,nan,-12.927376394036425,nan,-12.93991672653495,nan,1.1386141181005514,nan,1.1384537468685416,nan,1.0037548481798195,nan,1.003528689640956,nan
f i s,3,-10.69655331049603,nan,-12.955802734160395,nan,-12.967221936960026,nan,1.1482249790455075,nan,1.148039482221806,nan,1.0022762541882877,nan,1.002187226226322,nan
f R s,3,-11.97212607642661,nan,-13.908628792797,nan,-13.909776982355112,nan,1.0880016341904157,nan,1.0879718564179208,nan,1.0014069623653317,nan,1.0013981874802147,nan
f R t,3,-11.300707391794267,nan,-13.338281032595255,nan,-13.339897340751651,nan,1.1654261922924387,nan,1.1651940041589048,nan,1.0012053359119408,nan,1.0012152606509463,nan
f Y k,3,-11.782057395233204,nan,-12.113684743351413,nan,-12.13011993662996,nan,1.0876303371912186,nan,1.087601794339204,nan,1.002680244229803,nan,1.002553687248312,nan
f ^ l,3,-10.459682185181919,nan,-11.655350697476901,nan,-11.669627502810473,nan,1.1475451710565072,nan,1.147361991338963,nan,1.002607138334135,nan,1.0024878527309269,nan
g e s,3,-10.537228456937802,nan,-13.454124731546043,nan,-13.44771243954495,nan,1.162943171027014,nan,1.1627197166088405,nan,1.0024173060364867,nan,1.002314643716917,nan
g W d,3,-11.81632372777149,nan,-17.10287177209699,nan,-16.712395911102988,nan,1.1157275067227106,nan,1.1156260183233462,nan,1.0014785939915316,nan,1.0014628072706928,nan
g W r,3,-11.594723061958664,nan,-20.333258556337103,nan,-19.555540739168926,nan,1.1432831220194377,nan,1.1431095952103285,nan,1.0000672088177969,nan,1.0001823194658146,nan
g W z,3,-12.354619703081482,nan,-20.332854664888725,nan,-19.27246226182394,nan,1.0684797078114936,nan,1.0685017389293257,nan,1,1,1.0001213438560586,1.0
g i C,3,-12.547991396853526,nan,-13.5562353490662,nan,-13.590416404802337,nan,1.1072012613577022,nan,1.107123599073672,nan,1.0005376705423752,nan,1.0006091487341073,nan
g i J,3,-12.725889894530821,nan,-14.643369912476087,nan,-14.662322489496146,nan,1.107335678993296,nan,1.1072576653023891,nan,1.0004032529067814,nan,1.0004871975145953,nan
g i D,3,-10.423772200470268,nan,-15.384228933813219,nan,-15.364336493334797,nan,1.1304555123154278,nan,1.1303170566417107,nan,1.0043685731567982,nan,1.0040847584902048,nan
g R g,3,-12.06921912940631,nan,-15.400597061207778,nan,-15.37113534059413,nan,1.0787676873205418,nan,1.078762636361354,nan,1.0004017786373136,nan,1.0004859827876877,nan
g u v,3,-11.83245429211004,nan,-18.506865433396733,nan,-18.230846548521807,nan,1.1811701094898803,nan,1.1809010500406356,nan,1.0016794833101885,nan,1.0016451267365072,nan
h e s,3,-10.740107268119115,nan,-11.283091687334668,nan,-11.296195335931152,nan,1.1931195869973017,nan,1.19281828113884,nan,1.0062726636541415,nan,1.0058160020024587,nan
h e n,3,-10.408359947536868,nan,-11.583884489768753,nan,-11.594290187014028,nan,1.2084431974549936,nan,1.2081018312125764,nan,1.005936619565157,nan,1.0055111239536783,nan
h i n,3,-10.001278584170372,nan,-9.540368105722905,nan,-9.556303946276937,nan,1.2107697063621992,nan,1.210422324483146,nan,1.0310643900324443,nan,1.02833153578291,nan
h Y s,3,-11.156200579765164,nan,-11.550730317372286,nan,-11.564212372727031,nan,1.1444623149951745,nan,1.144286821880072,nan,1.0047364435963533,nan,1.004421458702966,nan
h ^ s,3,-9.92898450352441,nan,-10.468797504437383,nan,-10.483437261160645,nan,1.2143240538944036,nan,1.2139679198048878,nan,1.008648560588517,nan,1.0079695839744391,nan
J R T,3,-15.611577544601374,nan,-inf,nan,-19.03501297434832,nan,1.0250837414798837,nan,1.0252183033413742,nan,1,1,1.0001213438560586,1.0
J ^ n,3,-11.326601902815945,nan,-9.584568220784586,nan,-9.64041281259367,nan,1.178181952719253,nan,1.1779185334494386,nan,1.0178178376205298,nan,1.0162916596114346,nan
k e d,3,-10.323622171496549,nan,-11.871491699818085,nan,-11.881004913643366,nan,1.1761962034181783,nan,1.1759384144037042,nan,1.0026115611425386,nan,1.002491496911649,nan
k R m,3,-11.350477743267628,nan,-14.20213579274572,nan,-14.196223773393275,nan,1.098539975038005,nan,1.0984835462489917,nan,1.0004010415025797,nan,1.0004853754242342,nan
l e l,3,-10.208069738861575,nan,-11.629322007784104,nan,-11.640030773624337,nan,1.1625524033237506,nan,1.1623306301089142,nan,1.0018737384162404,nan,1.001821979931239,nan
m @ b,3,-10.750395946034406,nan,-15.693933496767894,nan,-15.67910381266432,nan,1.1165890161359453,nan,1.116486693340378,nan,1.0025968184478609,nan,1.002479349642576,nan
m e p,3,-10.986938895859943,nan,-12.70712218016613,nan,-12.717247843623847,nan,1.1173321283623945,nan,1.1172280263426775,nan,1.004932910106607,nan,1.0046001339880588,nan
m @ v,3,-11.673878963407686,nan,-12.35910279798121,nan,-12.377116995699064,nan,1.1071797816443798,nan,1.107102057330189,nan,1.0034033242614235,nan,1.003211056959649,nan
m @ z,3,-10.8355047539827,nan,-12.145558495419758,nan,-12.155189419014642,nan,1.117395521949508,nan,1.11729109071268,nan,1.002529609630064,nan,1.0024183740328196,nan
m R n,3,-10.756401012960755,nan,-13.996045137319214,nan,-13.971491817684548,nan,1.1236197134105428,nan,1.1234975180217228,nan,1.0015458028093285,nan,1.0015237828804489,nan
m R s,3,-11.088148333543,nan,-14.409614283424506,nan,-14.384381161166676,nan,1.1082961029528509,nan,1.1082139679479863,nan,1.0010081322669535,nan,1.0010359780024,nan
m Y d,3,-10.823313817363502,nan,-10.749082620574377,nan,-10.76568082621263,nan,1.1217026136020172,nan,1.1215856943127605,nan,1.0058117846811037,nan,1.0053970684590636,nan
m ^ b,3,-10.049284908484447,nan,-13.414770000697157,nan,-13.413991653166732,nan,1.1435100477764664,nan,1.1433381154712539,nan,1.0041544154129316,nan,1.0038915064822245,nan
n e s,3,-9.541981866451135,nan,-13.283148062592248,nan,-13.285224745661136,nan,1.1714986823680404,nan,1.17125315578328,nan,1.0024173060364867,nan,1.002314643716917,nan
n e n,3,-9.21023454586889,nan,-13.583940865026335,nan,-13.58331959674401,nan,1.1868222928257324,nan,1.1865367058570164,nan,1.0020812619475021,nan,1.0020097656681366,nan
n c d,3,-10.586537743739651,nan,-18.55418129088857,nan,-18.142632249045434,nan,1.1127169452107726,nan,1.1126232909526685,nan,1.000066471683063,nan,1.0001817121023608,nan
n W d,3,-10.821077137284822,nan,-12.663650086523546,nan,-12.67069164949763,nan,1.1242830180637373,nan,1.1241594574977856,nan,1.0126458367461182,nan,1.0116046726495036,nan
n c G,3,-11.632064371897776,nan,-14.242374692300906,nan,-14.23287352159362,nan,1.051691338651192,nan,1.0517572231151568,nan,1.0004697245898444,nan,1.0005475657608975,nan
n i n,3,-8.803153182502394,nan,-11.90152115972526,nan,-11.908061973332405,nan,1.189148801732938,nan,1.188857199127586,nan,1.002880396413726,nan,1.0027353993506734,nan
p e k,3,-10.903340561639041,nan,-12.409744510783632,nan,-12.418338850991294,nan,1.1459705910211744,nan,1.1457912545240818,nan,1.0063818891517695,nan,1.0059115973290733,nan
p e m,3,-10.986938895859943,nan,-13.328231547033962,nan,-13.334571570084181,nan,1.1399890062372509,nan,1.139825307346176,nan,1.002147733630565,nan,1.002070133914439,nan
p e p,3,-11.408293116795441,nan,-13.393679849942556,nan,-13.401069093738094,nan,1.106720641427788,nan,1.1066439157387218,nan,1.001542854270393,nan,1.0015213534266343,nan
p i m,3,-10.579857532493449,nan,-12.931029217318468,nan,-12.940405588595066,nan,1.1423155151444564,nan,1.1421458006167455,nan,1.0027378702960597,nan,1.0026067671331709,nan
p R b,3,-12.150253296578736,nan,-14.712559785888551,nan,-14.713104402372906,nan,1.0537972579968717,nan,1.0538572336679346,nan,1.0006676653695656,nan,1.0007274557728976,nan
p R d,3,-11.697066129217037,nan,-12.158364062476284,nan,-12.175011740274222,nan,1.1018515627216519,nan,1.101785910434257,nan,1.0009365006407533,nan,1.000971358211922,nan
p R v,3,-13.073736313952017,nan,-15.133011855796019,nan,-15.095296744886808,nan,1.0443880235053065,nan,1.0444725976577456,nan,1.0006004565517688,nan,1.0006664801631415,nan
r e m,3,-10.185619839904627,nan,-14.147470477814451,nan,-14.149813401172501,nan,1.1279184398491358,nan,1.1277858815341761,nan,1.002214205313628,nan,1.0021305021607414,nan
r i g,3,-10.09611000249702,nan,-14.296889636701493,nan,-14.296492012121323,nan,1.119558746726635,nan,1.1194481096217452,nan,1.0044276734925224,nan,1.0041390531019707,nan
r i s,3,-9.432610732592599,nan,-13.007485722059632,nan,-13.01032926803003,nan,1.145837394485221,nan,1.145658057335916,nan,1.0022097825052247,nan,1.0021268579800195,nan
r i t,3,-8.761192047960256,nan,-11.800233117445849,nan,-11.803713382407537,nan,1.223261952587244,nan,1.2228802050769,nan,1.0026130354120062,nan,1.002492711638556,nan
r i z,3,-10.15847028264113,nan,-11.234381010898579,nan,-11.244370460904117,nan,1.1027565422774113,nan,1.102689831032122,nan,1.009065081920508,nan,1.0083463701751414,nan
r E p,3,-10.90266035211771,nan,-15.619505673229636,nan,-15.581906804596764,nan,1.0874711332688671,nan,1.0874441106918218,nan,1.002063570713889,nan,1.001995188945249,nan
r I D,3,-9.514064712305403,nan,-16.135716482478333,nan,-16.109281518121357,nan,1.083769836810593,nan,1.083751982928688,nan,1.002074627734897,nan,1.0020042993970537,nan
r I S,3,-11.562966015032227,nan,-14.316121119967983,nan,-14.344307905891132,nan,1.0612548828486332,nan,1.061295889618593,nan,1.0014025395569282,nan,1.0013945432994926,nan
r I T,3,-11.49405375945084,nan,-15.871299929579399,nan,-15.861212760419408,nan,1.0599107064926954,nan,1.059955227331423,nan,1.000797660196756,nan,1.0008457628116878,nan
r I Z,3,-16.0835461327197,nan,-inf,nan,-20.69533250436639,nan,1.0563486391494599,nan,1.0564024722704228,nan,1.000797660196756,nan,1.0008457628116878,nan
