word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.010085125729063,nan,-12.802244983486585,nan,-12.820711702464653,nan,1.1073452102878825,nan,1.1072685210042332,nan,1.0010922641994346,nan,1.00111235161143,nan
b O r,3,-13.310591801431224,nan,-inf,nan,-15.288341213911249,nan,1.1234232111918665,nan,1.1233061353285922,nan,1.0010922641994346,nan,1.00111235161143,nan
b O s,3,-13.344980935661109,nan,-13.621801209806344,nan,-13.573804733268583,nan,1.0932043179265472,nan,1.093163149369556,nan,1.0011568344841897,nan,1.0011711474722014,nan
b U n,3,-10.864091632447238,nan,-inf,nan,-16.978468947723727,nan,1.1368363436726165,nan,1.1366859407312087,nan,1.0005140066820868,nan,1.0005855737361007,nan
b u r,3,-10.214364553194091,nan,-11.873817356540693,nan,-11.882681431751475,nan,1.2723566473265362,nan,1.2718673094617716,nan,1.0174940748756758,nan,1.0160472952045703,nan
b U s,3,-11.198987442379284,nan,-inf,nan,-17.19256547779497,nan,1.1226954513112812,nan,1.1225805690965314,nan,1.0005140066820868,nan,1.0005855737361007,nan
b W r,3,-11.575834312722503,nan,-16.33672604870148,nan,-15.954316019834087,nan,1.1432767192874718,nan,1.143110019197079,nan,1.0006428278021027,nan,1.0007029004719086,nan
C e D,3,-12.600591512467918,nan,-18.277891765596074,nan,-18.248688202951904,nan,1.1031285408069504,nan,1.1030629755322112,nan,1.0016129793208974,nan,1.0015861633121537,nan
C i D,3,-12.188353174951857,nan,-17.67405560125012,nan,-17.650971666453678,nan,1.1048633133589938,nan,1.1047934119867393,nan,1.0049044665959297,nan,1.0045834272828211,nan
C O b,3,-15.77301193705711,nan,-20.862173373174524,nan,-20.18793129030366,nan,1.0216757734558106,nan,1.0218139186093878,nan,1,1,1.0001173267358079,1.0
C O g,3,-15.784860901017986,nan,-21.082126023270973,nan,-20.288582981961223,nan,1.039949164041463,nan,1.0400414079820528,nan,1,1,1.0001173267358079,1.0
C O v,3,-16.698278657388414,nan,-inf,nan,-21.40648587697411,nan,1.0113445278950175,nan,1.011508624264418,nan,1,1,1.0001173267358079,1.0
C u D,3,-12.319581858242788,nan,-17.752263597520184,nan,-17.72756800085189,nan,1.1801010414494588,nan,1.179843081922008,nan,1.0012901278971227,nan,1.0012921840082967,nan
C u S,3,-14.388563940610414,nan,-16.043388064392982,nan,-16.06869526842264,nan,1.1571785903614493,nan,1.1569782100941064,nan,1.0013546981818777,nan,1.001350979869068,nan
C u T,3,-14.277930512079147,nan,-15.10638926449861,nan,-15.139604784791754,nan,1.15627460637488,nan,1.1560764968389214,nan,1.0018712604599174,nan,1.0018213467552393,nan
D e C,3,-12.600591512467918,nan,-13.119175724866617,nan,-13.099861871706429,nan,1.1579552504347943,nan,1.1577530749404503,nan,1.0181193744425503,nan,1.0166235634675937,nan
D e D,3,-10.465344635407597,nan,-14.913131078869776,nan,-14.876014939153118,nan,1.1815234043703533,nan,1.1812620276649126,nan,1.0193462098528945,nan,1.0177406848222503,nan
D e J,3,-12.783393954099225,nan,-11.855633119333323,nan,-11.888342096203825,nan,1.1582135315738142,nan,1.1580107072990746,nan,1.0181839447273053,nan,1.0166823593283651,nan
D e S,3,-12.534326717775222,nan,-12.526694765716698,nan,-12.531719458206506,nan,1.1586009532823438,nan,1.158397155837011,nan,1.0181193744425503,nan,1.0166235634675937,nan
D i C,3,-12.188353174951857,nan,-13.93033213276938,nan,-13.953395656491104,nan,1.1596900229868377,nan,1.1594835113949784,nan,1.0016730773127351,nan,1.0016412493726377,nan
D i D,3,-10.053106297891535,nan,-15.931677132483435,nan,-15.897660658753844,nan,1.1832581769223967,nan,1.1829924641194407,nan,1.0054827241132775,nan,1.0051102051581504,nan
D i S,3,-12.12208838025916,nan,-14.337029565299385,nan,-14.352064243272551,nan,1.1603357258343872,nan,1.160127592291539,nan,1.0017376475974902,nan,1.001700045233409,nan
D i T,3,-12.011454951727895,nan,-13.236218174666016,nan,-13.260961951715295,nan,1.159431741847818,nan,1.159225879036354,nan,1.0015439367432253,nan,1.0015236576510949,nan
d u r,3,-9.758344305548015,nan,-10.597121948868784,nan,-10.607859140293545,nan,1.2837852187551075,nan,1.283267335079807,nan,1.0267461951532393,nan,1.0244757412098382,nan
D W C,3,-13.6810516177712,nan,-16.63974189304775,nan,-16.513519029866288,nan,1.1058478230382383,nan,1.1057758910655546,nan,1,1,1.0001173267358079,1.0
D W D,3,-11.545804740710878,nan,-19.437341177828806,nan,-19.26003005045741,nan,1.1294159769737973,nan,1.129284843790017,nan,1.0012268354103442,nan,1.0012344480904645,nan
D W T,3,-13.504153394547236,nan,-14.559783517589116,nan,-14.473893040093724,nan,1.1055895418992185,nan,1.1055182587069303,nan,1.000064570284755,nan,1.0001761225965793,nan
f U n,3,-11.441895794828167,nan,-inf,nan,-18.308614702647496,nan,1.1181525555506262,nan,1.1180488201983536,nan,1.0002570033410434,nan,1.0003514502359543,nan
f u r,3,-10.79216871557502,nan,-13.870966124632549,nan,-13.863367422565254,nan,1.2536728592045459,nan,1.2532301889289168,nan,1.0166588140172845,nan,1.0152863938290948,nan
f U s,3,-11.776791604760213,nan,-inf,nan,-18.52271123271874,nan,1.104011663189291,nan,1.1039434485636763,nan,1.0002570033410434,nan,1.0003514502359543,nan
f W r,3,-12.153638475103431,nan,-18.46711881180128,nan,-18.059352343673357,nan,1.1245929311654814,nan,1.1244728986642243,nan,1.0002573227905376,nan,1.0003517152216892,nan
f ^ r,3,-10.259243927739378,nan,-13.309881675298945,nan,-13.31795569351182,nan,1.1953331007876864,nan,1.1950362518655315,nan,1.0015452145412016,nan,1.001524717594034,nan
g U n,3,-10.875940596408118,nan,-inf,nan,-16.826110554251333,nan,1.136579521842761,nan,1.1364297603802416,nan,1.002313030069391,nan,1.0022244382371248,nan
