word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.176215821778445,nan,-11.406611594765796,nan,-11.422264616094472,nan,1.1100527575232033,nan,1.1099687357014616,nan,1.002160435488749,nan,1.002084020667662,nan
b i l,3,-10.27276668916408,nan,-11.218121766659577,nan,-11.230534686824635,nan,1.1479483964139647,nan,1.1477675559011375,nan,1.0076865845449101,nan,1.0071075066924156,nan
b i s,3,-10.10130943676203,nan,-11.292425718821157,nan,-11.303977736246782,nan,1.1678760517904856,nan,1.1676442286904316,nan,1.0027539965804246,nan,1.0026234698635266,nan
b R s,3,-11.362408317061888,nan,-12.349557969308275,nan,-12.362846031641002,nan,1.107683907486192,nan,1.1076051152614876,nan,1.0013782361921655,nan,1.0013723750747303,nan
b Y s,3,-10.926747909009764,nan,-11.700144592854809,nan,-11.713821836016475,nan,1.115787952973415,nan,1.1156885572432347,nan,1.0032127209211725,nan,1.0030406151911584,nan
b ^ l,3,-9.872261635314166,nan,-10.24124802166326,nan,-10.254442941461155,nan,1.1658557227325062,nan,1.165629355118869,nan,1.0117713644093003,nan,1.0108256480665605,nan
C @ l,3,-12.348292368947135,nan,-16.021144435243755,nan,-16.011861831654304,nan,1.112938953369934,nan,1.1128470668372032,nan,1.0009190992174333,nan,1.000954888552999,nan
C i D,3,-12.185664600826785,nan,-17.343293245119206,nan,-17.32815419168995,nan,1.1053232473083772,nan,1.1052509775642998,nan,1.004993816830184,nan,1.0046593039728513,nan
C i n,3,-11.548337629038484,nan,-13.610765780058607,nan,-13.631160909913087,nan,1.1568194656576043,nan,1.1566154488316838,nan,1.0025604067677045,nan,1.002447179137266,nan
C R J,3,-15.739957434072206,nan,-17.096910655607488,nan,-17.055100874183392,nan,1.0225727340465036,nan,1.0227112081395542,nan,1.0000657678395264,nan,1.0001790202790561,nan
C R g,3,-13.808135031345957,nan,-17.5018719258214,nan,-17.471367915324368,nan,1.0540097613401571,nan,1.0540678074573187,nan,1.000263071358106,nan,1.0003583817522117,nan
C R T,3,-15.403061378839011,nan,-16.68659230901046,nan,-16.638244865765284,nan,1.021783519972186,nan,1.021924013177602,nan,1,1,1.0001192331213378,1.0
