word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.079529939656343,nan,-15.379002716669417,nan,-15.391758281906245,nan,1.1637832997884505,nan,1.1635662465510404,nan,1.0016791831710343,nan,1.0016463758836591,nan
g i T,3,-12.380744246127975,nan,-13.026213147400052,nan,-13.057739746440433,nan,1.1064784078042176,nan,1.1064047324721258,nan,1.0003875718622828,nan,1.000470288282966,nan
z i T,3,-12.446209879921597,nan,-17.579473550610444,nan,-17.526702942414673,nan,1.0795555780156163,nan,1.0795492011299903,nan,1.0003875718622828,nan,1.000470288282966,nan
y c g,3,-11.694206832334094,nan,-16.290507742066584,nan,-16.018138808660975,nan,1.1968819894860416,nan,1.19658201940666,nan,1.0010332300672296,nan,1.001058209785553,nan
l R z,3,-11.629041240521131,nan,-12.781127313799518,nan,-12.780885919646423,nan,1.0819012069210359,nan,1.0818888848868107,nan,1.0000643004115226,nan,1.0001759606383938,nan
J Y p,3,-13.687909303209022,nan,-16.954142127990192,nan,-16.32101552378864,nan,1.0417809553482906,nan,1.0418689842037094,nan,1.001227310897229,nan,1.0012349042105038,nan
C ^ z,3,-12.222733824224347,nan,-13.929878962945434,nan,-13.942109668263543,nan,1.1119627669112417,nan,1.111875164643149,nan,1.003422961652449,nan,1.0032341797530266,nan
C e J,3,-14.92358839201922,nan,-15.22656914402484,nan,-15.26696245411565,nan,1.080007244238155,nan,1.079999733602111,nan,1.0003863922668514,nan,1.0004693099008897,nan
z i S,3,-12.558855381566286,nan,-18.68524153744649,nan,-18.622853794094837,nan,1.0804599123609426,nan,1.0804512629856604,nan,1.0006459531038046,nan,1.0007055547222083,nan
z u v,3,-11.901140199662375,nan,-21.52216279118394,nan,-21.319729658342766,nan,1.1596927642997192,nan,1.1594858814907851,nan,1.0016145878606537,nan,1.0015875592738486,nan
D Y p,3,-11.367781151737825,nan,-15.420351709702246,nan,-15.215419772208891,nan,1.1159954384171076,nan,1.1158979548484984,nan,1.0012916113087516,nan,1.0012934762247954,nan
