word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.197543563384098,nan,-11.463361958574428,nan,-11.478353898369178,nan,1.0997319387242925,nan,1.0996842269830174,nan,1.0023694251360489,nan,1.0022884788629567,nan
b i l,3,-10.274724600767408,nan,-11.292111726674936,nan,-11.303867610084218,nan,1.1366066563712454,nan,1.1364787569147394,nan,1.0073692532049385,nan,1.0068946982407845,nan
b i s,3,-10.109683283754933,nan,-11.374210842278949,nan,-11.385120005119793,nan,1.1558644974659016,nan,1.155694399121729,nan,1.004046994068726,nan,1.0038345322656808,nan
b R s,3,-11.382998044740557,nan,-12.367210593024293,nan,-12.38002996275953,nan,1.1013925529759272,nan,1.1013382765614848,nan,1.001732204784723,nan,1.0016988084353933,nan
b Y s,3,-10.927809501279961,nan,-11.703300805820408,nan,-11.716406257142484,nan,1.1089869364103369,nan,1.1089165123045879,nan,1.0031644523117937,nan,1.0030203131959585,nan
b ^ l,3,-9.872522369720606,nan,-10.297470771403873,nan,-10.31004095582326,nan,1.1544725799903242,nan,1.1543066927995937,nan,1.0103301170540289,nan,1.0096355814989333,nan
C @ l,3,-12.35087869222372,nan,-16.155255481577942,nan,-16.14286065913664,nan,1.1030011181731454,nan,1.102944566904572,nan,1.000783311801873,nan,1.0008241822645085,nan
C i D,3,-12.17607153990372,nan,-15.784725358476903,nan,-15.799294468756829,nan,1.099727178801122,nan,1.0996784158609034,nan,1.0042627839948683,nan,1.004029986704577,nan
C i n,3,-11.548010344153518,nan,-13.673505030005092,nan,-13.692746563333836,nan,1.1452815456010543,nan,1.145132961315449,nan,1.0025171902114347,nan,1.0024221028871496,nan
C R J,3,-15.753845538452715,nan,-17.17912928581262,nan,-17.135832052880076,nan,1.0211547782043848,nan,1.02127464749776,nan,1.000056309476885,nan,1.0001541783462102,nan
