word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.023450891628045,nan,-12.752602016090744,nan,-12.768176628568103,nan,1.1106351871031237,nan,1.1105491612077474,nan,1.0010325911584381,nan,1.0010583787261866,nan
b O r,3,-13.325569639021447,nan,-inf,nan,-15.180705792911743,nan,1.1234147398187788,nan,1.12329629960525,nan,1.0010325911584381,nan,1.0010583787261866,nan
b O s,3,-13.356620978853497,nan,-13.469565337413174,nan,-13.427021668222682,nan,1.0938783246137191,nan,1.093834801166124,nan,1.0010977929580078,nan,1.0011176977438638,nan
b U n,3,-10.866231648905526,nan,-inf,nan,-16.857725517657283,nan,1.139612276486796,nan,1.1394535000773238,nan,1.0005808325266214,nan,1.0006470011991533,nan
b u r,3,-10.224771010717769,nan,-11.821770995128814,nan,-11.831127198730641,nan,1.2673966694735062,nan,1.2669167450796932,nan,1.0168120915064651,nan,1.0154141318035663,nan
b U s,3,-11.199401736130978,nan,-inf,nan,-17.064585433568805,nan,1.1228554139973914,nan,1.1227391400357005,nan,1.0005808325266214,nan,1.0006470011991533,nan
b W r,3,-11.57868643464169,nan,-16.20495768222515,nan,-15.823797203573239,nan,1.1439374890927383,nan,1.1437675240162195,nan,1.0008396451683983,nan,1.0008826248712732,nan
C e D,3,-12.607142888348395,nan,-17.961064054817207,nan,-17.938662250816144,nan,1.102304170164885,nan,1.1022403815761983,nan,1.0018203315706125,nan,1.001774613334547,nan
C i D,3,-12.191258435172273,nan,-17.356223308946632,nan,-17.34026986318238,nan,1.1038530569025424,nan,1.1037853796449506,nan,1.0049473585412874,nan,1.0046197229849285,nan
C O b,3,-15.783051402179474,nan,-20.633368992781605,nan,-19.951037960813707,nan,1.0219257985885606,nan,1.0220640485565,nan,1,1,1.0001180872358246,1.0
C O g,3,-15.790475341250756,nan,-20.947528677837784,nan,-20.103306626111536,nan,1.0406387150650553,nan,1.040729501209986,nan,1,1,1.0001180872358246,1.0
C O v,3,-16.711460917429118,nan,-inf,nan,-20.91265734130279,nan,1.0128627484483768,nan,1.0130239861215364,nan,1,1,1.0001180872358246,1.0
C u D,3,-12.330620106673855,nan,-17.459496532006227,nan,-17.441659770843813,nan,1.175166383782181,nan,1.174919665727093,nan,1.0013652486779594,nan,1.0013604818098665,nan
C u S,3,-14.375862787325442,nan,-15.700198303907884,nan,-15.734170929652421,nan,1.1533237809263421,nan,1.1531324648946268,nan,1.0014956522770986,nan,1.0014791198452206,nan
C u T,3,-14.287894014379486,nan,-14.738414399210985,nan,-14.78146358021218,nan,1.1522153503336579,nan,1.1520268457479048,nan,1.002017266673656,nan,1.001953671986637,nan
D e C,3,-12.607142888348395,nan,-13.183281266896222,nan,-13.157222041455707,nan,1.15417195151249,nan,1.1539786447616882,nan,1.0172326946607722,nan,1.0158103030802996,nan
D e D,3,-10.483006265227147,nan,-14.936617678526725,nan,-14.898409090263204,nan,1.1767317741635952,nan,1.176481246218504,nan,1.0184063270530261,nan,1.016878045398487,nan
D e J,3,-12.798460008050927,nan,-11.87490692982905,nan,-11.909607249207177,nan,1.1539111443142112,nan,1.1537184990801066,nan,1.0172978964603419,nan,1.0158696220979768,nan
D e S,3,-12.528248945878733,nan,-12.516681548433729,nan,-12.523090876496154,nan,1.1548891713077563,nan,1.1546940453860377,nan,1.0172326946607722,nan,1.0158103030802996,nan
D i C,3,-12.191258435172273,nan,-13.88413943188792,nan,-13.909010601380444,nan,1.1557208382501474,nan,1.1555236428304405,nan,1.001682614597633,nan,1.001649916504369,nan
D i D,3,-10.067121812051024,nan,-15.965310790358437,nan,-15.929974543132605,nan,1.1782806609012526,nan,1.1780262442872562,nan,1.005399117173104,nan,1.005031100511962,nan
D i S,3,-12.11236449270261,nan,-14.320014875076568,nan,-14.335751397106153,nan,1.1564380580454137,nan,1.15623904345479,nan,1.0019434217959116,nan,1.0018871925750774,nan
