word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.192135959173468,nan,-11.420783222403475,nan,-11.436397826359007,nan,1.1090670589153175,nan,1.1089868415248099,nan,1.0021955319890135,nan,1.0021170980625773,nan
b i l,3,-10.27934185752564,nan,-11.212892614490745,nan,-11.225279444959398,nan,1.1467607730721576,nan,1.146585258158362,nan,1.0076669500894064,nan,1.0070953175959971,nan
b i s,3,-10.111660960184315,nan,-11.3398450066218,nan,-11.351249085884987,nan,1.1666826480721577,nan,1.1664566783804542,nan,1.0029143459227399,nan,1.002770929230379,nan
b R s,3,-11.376162511019299,nan,-12.363224298292675,nan,-12.376522205225132,nan,1.1072716035460928,nan,1.1071945624272472,nan,1.0016222679658806,nan,1.0015944565562918,nan
b Y s,3,-10.938245614608443,nan,-11.709546478694067,nan,-11.723196832113757,nan,1.1153906833837113,nan,1.1152932897700931,nan,1.0029150129478381,nan,1.0027714819811588,nan
b ^ l,3,-9.874899991722806,nan,-10.282130407882352,nan,-10.295204948294266,nan,1.1657697298348355,nan,1.1655465642388352,nan,1.0110314246850634,nan,1.0101636371752225,nan
C @ l,3,-12.34122659982148,nan,-16.113658249147697,nan,-16.101505342666186,nan,1.1140436349987743,nan,1.1139500914308547,nan,1.0008436860662735,nan,1.0008858091979398,nan
C i D,3,-12.173303457045865,nan,-17.374487229515015,nan,-17.35740802596114,nan,1.1034951616556143,nan,1.103428500271693,nan,1.0050707877239191,nan,1.0047324227337844,nan
C i n,3,-11.54463568024592,nan,-13.559960910763092,nan,-13.579974357265183,nan,1.1581826616556143,nan,1.1579774969597896,nan,1.002727037723919,nan,1.00259984764937,nan
C R J,3,-15.742757666348972,nan,-17.254854088858387,nan,-17.201686208577474,nan,1.022144012962883,nan,1.0222818463614756,nan,1.0000651041666666,nan,1.000177161839588,nan
C R g,3,-13.809198611271686,nan,-17.547380866083355,nan,-17.515701641218726,nan,1.0538497421295494,nan,1.0539072765842172,nan,1.0002604166666667,nan,1.000354876429956,nan
C R T,3,-15.409465082645138,nan,-16.69264671035714,nan,-16.643526236884032,nan,1.0216231796295494,nan,1.0217623321073033,nan,1,1,1.0001179236427986,1.0
C ^ J,3,-14.073814249711154,nan,-17.714462758028887,nan,-17.71074525658149,nan,1.1005640142516258,nan,1.100505268395156,nan,1.0001939784498035,nan,1.0002945327316068,nan
C ^ n,3,-11.140193814443085,nan,-12.452857141806756,nan,-12.469086518914697,nan,1.1771916184182922,nan,1.1769388030402628,nan,1.0127590826164703,nan,1.0117275047119396,nan
C ^ S,3,-13.830432436155952,nan,-16.070741913259585,nan,-16.104791022576975,nan,1.1010197434182922,nan,1.1009598433675567,nan,1.0003892909498036,nan,1.0004722473219747,nan
C ^ C,3,-13.88288784572368,nan,-15.407495316701546,nan,-15.449290127215969,nan,1.100498910084959,nan,1.1004403291133844,nan,1.0008450201164703,nan,1.0008869146994996,nan
d i k,3,-9.926851311006505,nan,-12.121543021603859,nan,-12.130170256424563,nan,1.166497095537384,nan,1.1662718967576435,nan,1.0035109558243123,nan,1.0033129170139612,nan
d i s,3,-9.657669549404345,nan,-12.149030845627925,nan,-12.156565413415116,nan,1.177629908037384,nan,1.1773765139405774,nan,1.0018833516576455,nan,1.0018319620942289,nan
d i t,3,-8.986423476498668,nan,-10.902765710417503,nan,-10.911023523831924,nan,1.2564059497040505,nan,1.2559530448841452,nan,1.0022088724909788,nan,1.0021281530781754,nan
d E p,3,-11.130956846830578,nan,-16.28451404420122,nan,-16.22821505879203,nan,1.1196921331727019,nan,1.1195852990157726,nan,1.000453728091372,nan,1.000530932767984,nan
d R s,3,-10.922171100239328,nan,-12.375009773314718,nan,-12.386669133669947,nan,1.118218863511319,nan,1.1181143979873704,nan,1.001686705107449,nan,1.0016531420023012,nan
D i D,3,-10.059277202565212,nan,-15.943713425371907,nan,-15.908316471369542,nan,1.1793532336499475,nan,1.1790965372706654,nan,1.0054574105733296,nan,1.0050845354098406,nan
D i g,3,-10.430670805956051,nan,-13.966704591309096,nan,-13.964758294422108,nan,1.1891188586499475,nan,1.1888374295363968,nan,1.0046110564066628,nan,1.00431443885158,nan
D i C,3,-12.173303457045865,nan,-13.901761708915615,nan,-13.925700782611939,nan,1.1573480253166142,nan,1.1571470600318836,nan,1.0016162647399962,nan,1.0015894817992725,nan
d I J,3,-12.04625189449552,nan,-14.497945650412483,nan,-14.496701560189994,nan,1.0920987647613996,nan,1.0920612990926077,nan,1.007410271280366,nan,1.0068667499338784,nan
