word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.070105780102413,nan,-15.24776502420557,nan,-15.261816061455603,nan,1.1607765565184582,nan,1.1605683902196036,nan,1.0016785371273529,nan,1.0016455529525725,nan
g i T,3,-12.37576996465906,nan,-13.047338295335269,nan,-13.07913240988475,nan,1.1053697555874682,nan,1.1052994976125243,nan,1.0002583311805735,nan,1.0003523266086,nan
z i T,3,-12.440697126392259,nan,-17.228297934608317,nan,-17.19877389001411,nan,1.0790320965706557,nan,1.0790273384491524,nan,1.0002583311805735,nan,1.0003523266086,nan
y c g,3,-11.694092293032101,nan,-16.27657944500421,nan,-16.0046356008464,nan,1.1923438936598114,nan,1.1920566095084337,nan,1.0010327091759192,nan,1.001057490617965,nan
l R z,3,-11.617211728506495,nan,-12.719649095275052,nan,-12.719843913925244,nan,1.083117056598457,nan,1.0831018340091187,nan,1.0001925172926807,nan,1.000292498790811,nan
J Y p,3,-13.679705208712342,nan,-16.90737194930284,nan,-16.27533703226251,nan,1.042587447103254,nan,1.042673179808793,nan,1.0012270731077242,nan,1.0012344201105114,nan
C ^ z,3,-12.202402567823789,nan,-13.685528125760408,nan,-13.702870587601375,nan,1.1144265243290776,nan,1.114333314533963,nan,1.0036147898889047,nan,1.0034087183720664,nan
C e J,3,-14.905661519295581,nan,-14.955705434352451,nan,-15.002608914318891,nan,1.0792936324936966,nan,1.0792882093060243,nan,1.000577551878042,nan,1.0006432930229185,nan
z i S,3,-12.552641841111608,nan,-18.29039258856454,nan,-18.251452772057064,nan,1.0800008384978064,nan,1.0799936465081617,nan,1.0006458279514336,nan,1.0007051640093647,nan
z u v,3,-11.897187148520526,nan,-21.016553117326666,nan,-20.838792897187865,nan,1.1571219993247392,nan,1.156922788389446,nan,1.0017431199224962,nan,1.0017043591860333,nan
D Y p,3,-11.375369823556174,nan,-15.385099699093933,nan,-15.18061626674981,nan,1.1142488931174455,nan,1.1141564089887444,nan,1.0012910403564927,nan,1.001292715551808,nan
s R k,3,-10.993121367339437,nan,-13.565661887264318,nan,-13.56629901767905,nan,1.120782206774284,nan,1.1206724812419526,nan,1.0005787829707913,nan,1.0006443146072468,nan
b R s,3,-11.376459684051163,nan,-12.387578489365016,nan,-12.400588676655923,nan,1.1070883339628308,nan,1.1070123778485104,nan,1.0016742283027298,nan,1.0016419774074226,nan
T ^ z,3,-12.037844901636166,nan,-14.023357513222068,nan,-14.025381616607508,nan,1.1163443150341852,nan,1.1162463358322667,nan,1.0034228881425988,nan,1.0032338320481768,nan
S c G,3,-14.312368603744575,nan,-14.983951171970826,nan,-14.917068041757869,nan,1.019239799372349,nan,1.0193837923797713,nan,1.0002583311805735,nan,1.0003523266086,nan
J e J,3,-15.1012763232002,nan,-15.763294357689224,nan,-15.789831088884664,nan,1.0833209929744227,nan,1.0833055540324623,nan,1.000577551878042,nan,1.0006432930229185,nan
D ^ z,3,-10.093681986572237,nan,-8.736166375487901,nan,-8.751348911437125,nan,1.1901153308239953,nan,1.1898338884403523,nan,1.0147450911746465,nan,1.0135521251576558,nan
S Y p,3,-13.43147745333945,nan,-14.869030027003658,nan,-14.840864598832978,nan,1.0409253618254939,nan,1.0410152280169296,nan,1.0012270731077242,nan,1.0012344201105114,nan
n W C,3,-13.035343517131986,nan,-13.9552647036752,nan,-13.956954218518646,nan,1.0630883706746226,nan,1.0631233279557706,nan,1.0116426548222655,nan,1.0107273827828829,nan
l W C,3,-13.533199319258461,nan,-14.830983716132707,nan,-14.8246618537794,nan,1.074531188548432,nan,1.0745376883689834,nan,1.0000645827951433,nan,1.000175907908218,nan
S c d,3,-13.273713572153316,nan,-19.009970227445564,nan,-18.65821137359177,nan,1.079043467675113,nan,1.0790372098892733,nan,1,1,1.0001171016747572,1.0
g i J,3,-12.735942434751301,nan,-14.767760104802674,nan,-14.784897069919577,nan,1.1060801663340454,nan,1.1060081235224646,nan,1.0004520795660037,nan,1.0005287453089824,nan
C u T,3,-14.261150234238357,nan,-14.932922176639181,nan,-14.970834467941257,nan,1.1536168045527229,nan,1.1534264440392694,nan,1.0018704388736588,nan,1.0018204392764618,nan
D i g,3,-10.431607049595131,nan,-13.93661477619253,nan,-13.934820107782516,nan,1.1891258090427175,nan,1.1888464233812592,nan,1.0048332453473823,nan,1.004518885717521,nan
w u T,3,-12.299247910401867,nan,-16.28815564785222,nan,-16.036086178013797,nan,1.2574332080558872,nan,1.2569846636541144,nan,1.0017425043761217,nan,1.001703848393869,nan
T c T,3,-15.217379813038796,nan,-16.665682551711665,nan,-16.611981166479783,nan,1.0167256654299024,nan,1.0168759635509474,nan,1.0000639672487686,nan,1.0001753971160539,nan
