word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.082148807043257,nan,-15.273118731466495,nan,-15.287301911986962,nan,1.1505005132188675,nan,1.1503306645471143,nan,1.001610207572229,nan,1.0015831619773694,nan
g i T,3,-12.379094252544256,nan,-12.983386522641263,nan,-13.015938495852089,nan,1.1015685373538016,nan,1.1015128566751253,nan,1.0006159255004052,nan,1.0006747372993687,nan
z i T,3,-12.449309891514796,nan,-16.211227506413366,nan,-16.21891947851178,nan,1.0775967535183162,nan,1.077596831148794,nan,1.0006159255004052,nan,1.0006747372993687,nan
y c g,3,-11.69084776943222,nan,-16.078844561332026,nan,-15.808727637515277,nan,1.1825156829988268,nan,1.1822692497742315,nan,1.0009900909903116,nan,1.0010164934218075,nan
l R z,3,-11.628170321994574,nan,-12.878281740636206,nan,-12.876881431226709,nan,1.0815872894983574,nan,1.0815771030195247,nan,1.000183939433819,nan,1.0002798242995772,nan
J Y p,3,-13.673658993535813,nan,-16.93114989224835,nan,-16.29928862642687,nan,1.0415792183161015,nan,1.041662560291616,nan,1.0010541981892596,nan,1.0010749152664657,nan
C ^ z,3,-12.213367938431897,nan,-13.698234529286172,nan,-13.717639519596055,nan,1.1103307717222397,nan,1.1102533357484456,nan,1.0037123173284799,nan,1.0035045700989742,nan
C e J,3,-14.903408138986908,nan,-14.835504259541908,nan,-14.886723991863162,nan,1.075987808834192,nan,1.0759916162434835,nan,1.0004236039035614,nan,1.0004994717653946,nan
z i S,3,-12.558666986857109,nan,-17.249163952208647,nan,-17.247881513789277,nan,1.0784029050748087,nan,1.078401037768033,nan,1.000863972133172,nan,1.0009014047215934,nan
z u v,3,-11.899696308292985,nan,-20.004005422233675,nan,-19.86331340755125,nan,1.1481901266902075,nan,1.148025313561163,nan,1.0014241725976538,nan,1.001413161410701,nan
D Y p,3,-11.353487516039692,nan,-15.417507890908198,nan,-15.212740237457785,nan,1.1103860093251878,nan,1.110309306877171,nan,1.001114114306695,nan,1.00112982713292,nan
s R k,3,-11.000121756230973,nan,-13.572000399923173,nan,-13.572604938451104,nan,1.115839092299742,nan,1.115746507442449,nan,1.0005497227607012,nan,1.000614560465609,nan
b R s,3,-11.378394224619928,nan,-12.448676282965817,nan,-12.461555450945461,nan,1.1028237616299148,nan,1.1027604029378704,nan,1.0016575504451277,nan,1.0016275439092128,nan
T ^ z,3,-12.045100997343525,nan,-13.964053803584562,nan,-13.9696482119728,nan,1.1123632920474429,nan,1.1122811284364638,nan,1.003532568976173,nan,1.0033398344996112,nan
S c G,3,-14.317768828115902,nan,-15.196645547329819,nan,-15.11411303459218,nan,1.0187339893622787,nan,1.0188712084881864,nan,1.000248046632767,nan,1.0003382461442352,nan
J e J,3,-15.092549011052919,nan,-15.718812393793906,nan,-15.745642383273385,nan,1.0796941694272097,nan,1.079689355851046,nan,1.000483520020997,nan,1.000554383631849,nan
D ^ z,3,-10.082337333001787,nan,-8.828258191468867,nan,-8.843230718148796,nan,1.1828439233243437,nan,1.1825978219415632,nan,1.0150364635238063,nan,1.0138829128588447,nan
S Y p,3,-13.425608275723743,nan,-14.839691016173443,nan,-14.81232746124709,nan,1.0402640581056757,nan,1.0403504591405455,nan,1.0010541981892596,nan,1.0010749152664657,nan
n W C,3,-13.045545151781276,nan,-13.817259502056833,nan,-13.820862863724152,nan,1.0628996111152005,nan,1.0629341316516927,nan,1.0105452366686638,nan,1.0097760672179745,nan
l W C,3,-13.542220383425422,nan,-14.756304130360824,nan,-14.751358128384815,nan,1.0722850726168744,nan,1.0722977625934236,nan,1,1,1.0001115787220105,1.0
S c d,3,-13.279881735699064,nan,-19.115903436783846,nan,-18.74936073161302,nan,1.07615678484783,nan,1.0761554645970635,nan,1,1,1.0001115787220105,1.0
g i J,3,-12.736502065698641,nan,-14.660820513632974,nan,-14.679334089224882,nan,1.1018165839865683,nan,1.1017603048656603,nan,1.0004919021840217,nan,1.0005614035882564,nan
C u T,3,-14.270465714296641,nan,-14.858044506575899,nan,-14.898461689848432,nan,1.1441040521954338,nan,1.1439490816759983,nan,1.0018498720419715,nan,1.0018028094431868,nan
D i g,3,-10.41633058820252,nan,-13.764337774852773,nan,-13.764063993135393,nan,1.1822386390096224,nan,1.181992521274872,nan,1.004615250171526,nan,1.0043317580739932,nan
w u T,3,-12.298544516328061,nan,-16.298893448550594,nan,-16.04740895946228,nan,1.24005096754694,nan,1.2396728247427367,nan,1.0016701236896648,nan,1.0016380738438238,nan
T c T,3,-15.22438535458734,nan,-16.57854102292466,nan,-16.52679180281429,nan,1.017197087799247,nan,1.0173379838146708,nan,1.0000599161174355,nan,1.0001664905884649,nan
g u T,3,-12.509724445046482,nan,-17.385988134410418,nan,-17.13447078923676,nan,1.1682551760596134,nan,1.1680440300865664,nan,1.001610207572229,nan,1.0015831619773694,nan
f R s,3,-11.961815688833543,nan,-14.02793289114949,nan,-14.028924712943434,nan,1.0860853589517705,nan,1.086060933742427,nan,1.0016575504451277,nan,1.0016275439092128,nan
J Y m,3,-13.243169409996575,nan,-16.362362990832104,nan,-15.730978645197323,nan,1.0742593621831484,nan,1.0742638593946165,nan,1.0011162098474513,nan,1.001131582122022,nan
n R z,3,-11.13149509035043,nan,-14.328608331723656,nan,-14.301976131840425,nan,1.0722018279966834,nan,1.0722134720777938,nan,1.000183939433819,nan,1.0002798242995772,nan
m R n,3,-10.748207854341722,nan,-14.095612997265466,nan,-14.071224574638322,nan,1.1215168586676914,nan,1.1214087682968132,nan,1.00142626813841,nan,1.0014149163998027,nan
C u S,3,-14.379822809638952,nan,-15.793565946943112,nan,-15.825954264961066,nan,1.1449102037519263,nan,1.1447532882952374,nan,1.0014157904346292,nan,1.0014061414542936,nan
S e J,3,-14.844498293240845,nan,-14.675955385812452,nan,-14.73018973851876,nan,1.078379009216784,nan,1.0783772546999755,nan,1.0009628489604818,nan,1.0009936785634836,nan
T ^ S,3,-13.67671678187708,nan,-16.37193321966161,nan,-16.391994419951224,nan,1.0984106689543014,nan,1.0983621677188642,nan,1.000183939433819,nan,1.0002798242995772,nan
v e D,3,-11.734725944678374,nan,-18.31387729401806,nan,-18.283948148653035,nan,1.0999863205543956,nan,1.099932228677755,nan,1.001178221505643,nan,1.001188248977578,nan
C ^ Z,3,-18.42083952128477,nan,-inf,nan,-21.993071265111485,nan,1.0917272742647177,nan,1.0916947214583128,nan,1.0002396644697424,nan,1.0003312261878279,nan
n c T,3,-12.642770900728378,nan,-16.68522868056048,nan,-16.620679146295412,nan,1.0512716932511836,nan,1.0513333318196807,nan,1.0000599161174355,nan,1.0001664905884649,nan
s R p,3,-11.506809313337836,nan,-13.511296101820577,nan,-13.512840973324264,nan,1.0784460624101229,nan,1.0784436927192815,nan,1.0007357577352765,nan,1.0007845610322774,nan
D i D,3,-10.046041252022567,nan,-14.747883590054947,nan,-14.740235575873136,nan,1.1741771234446963,nan,1.173950455082481,nan,1.0051733550952515,nan,1.0048417597739987,nan
S c g,3,-13.74126812176787,nan,-16.458487930783594,nan,-16.370404736636623,nan,1.049863841774532,nan,1.0499259564003423,nan,1.000930174872876,nan,1.0009615815553532,nan
C i S,3,-14.249192617136728,nan,-15.774664405474374,nan,-15.808661844592024,nan,1.0782235650461145,nan,1.078222114883796,nan,1.0012833849552212,nan,1.0012857877867738,nan
g i D,3,-10.41633058820252,nan,-14.4502758053098,nan,-14.450066941823561,nan,1.1258150957067719,nan,1.125700917299932,nan,1.0042746133337177,nan,1.0040180817771835,nan
T c S,3,-15.333742449929652,nan,-15.214225568523547,nan,-15.233003075503145,nan,1.0180032393557394,nan,1.0181421904339099,nan,1.0004939977247778,nan,1.0005631585773582,nan
z u T,3,-12.579940084017021,nan,-18.667918969127207,nan,-18.553566359099307,nan,1.144283392224128,nan,1.1441280045602353,nan,1.001610207572229,nan,1.0015831619773694,nan
S Y m,3,-12.995118692184505,nan,-14.270904114757197,nan,-14.244017480017543,nan,1.0729442019727227,nan,1.072951758243546,nan,1.0011162098474513,nan,1.001131582122022,nan
D ^ v,3,-10.924352246468993,nan,-10.020605249665802,nan,-10.038283903995774,nan,1.1719918831407892,nan,1.1717719636056523,nan,1.0123079505633696,nan,1.0113895712143726,nan
t W C,3,-12.699102390951126,nan,-15.723858565311541,nan,-15.720707982789788,nan,1.0475361486570465,nan,1.047606404568732,nan,1.0001198322348712,nan,1.0002214024549192,nan
g Y b,3,-11.595361763501737,nan,-17.073563333863056,nan,-16.987578927249356,nan,1.0677910657990952,nan,1.0678129395245632,nan,1.001178221505643,nan,1.001188248977578,nan
r c S,3,-13.049373550975044,nan,-14.750147483018088,nan,-14.775998337250552,nan,1.0241008003313492,nan,1.0242255684979644,nan,1.000613829959649,nan,1.000672982310267,nan
d R s,3,-10.928004940767963,nan,-12.393548782002021,nan,-12.404923809565146,nan,1.1153775636385233,nan,1.115285004834453,nan,1.0016575504451277,nan,1.0016275439092128,nan
S c z,3,-13.811483760738408,nan,-14.824872536959903,nan,-14.740584465504096,nan,1.0323145425062696,nan,1.0324189969199833,nan,1.0001860349745753,nan,1.000281579288679,nan
y c d,3,-11.229461383363414,nan,-18.736260067332278,nan,-18.187683632491673,nan,1.2088086260721247,nan,1.2084987579709527,nan,1.0000599161174355,nan,1.0001664905884649,nan
J u S,3,-14.568963681704961,nan,-14.796014617181008,nan,-14.849388142383532,nan,1.148616564344944,nan,1.1484510279028,nan,1.0012360420823225,nan,1.0012414058549306,nan
h u S,3,-12.827571866563872,nan,-13.942665344852976,nan,-13.963569519815547,nan,1.1960818919393963,nan,1.1958059512641646,nan,1.0048310091284578,nan,1.004536117842191,nan
g u S,3,-12.619081540388795,nan,-18.321509574777632,nan,-18.061963364349396,nan,1.169061327616106,nan,1.1688482367058055,nan,1.0011761259648868,nan,1.0011864939884763,nan
y R z,3,-11.772046287216057,nan,-10.262066101549278,nan,-10.27853823420222,nan,1.17113774382643,nan,1.170919263215147,nan,1.0092911892840288,nan,1.008626428000637,nan
C e g,3,-12.953525997670738,nan,-15.179232563625167,nan,-15.199701307044645,nan,1.1080478361193218,nan,1.107974294870146,nan,1.0014157904346292,nan,1.0014061414542936,nan
z i J,3,-12.80671770466918,nan,-17.888661497405074,nan,-17.882315071884573,nan,1.077844800151083,nan,1.077844279339329,nan,1.0004919021840217,nan,1.0005614035882564,nan
m u S,3,-12.306009943350624,nan,-14.807918015338814,nan,-14.825966063715349,nan,1.1722894481326054,nan,1.1720688486220696,nan,1.0024343644310343,nan,1.0023396431840175,nan
D Y m,3,-10.922997932500454,nan,-14.848720989491952,nan,-14.644430256228238,nan,1.1430661531922348,nan,1.1429106059801715,nan,1.0011761259648868,nan,1.0011864939884763,nan
J e g,3,-13.14266686973675,nan,-16.062540697877164,nan,-16.05861969845487,nan,1.1117541967123394,nan,1.1116720344777087,nan,1.0014757065520647,nan,1.001461053320748,nan
f u v,3,-12.40190503131922,nan,-16.60920518457296,nan,-16.597048960438908,nan,1.154407247684947,nan,1.154227973548042,nan,1.0014241725976538,nan,1.001413161410701,nan
v R n,3,-11.973510003817637,nan,-12.811871387522903,nan,-12.821640490340023,nan,1.0941376142870123,nan,1.0940932079699808,nan,1.0016060164907168,nan,1.0015796519991658,nan
g i C,3,-12.547361193632632,nan,-13.622516225187905,nan,-13.654164035818566,nan,1.101692560670185,nan,1.1016365807703927,nan,1.0005539138422135,nan,1.0006180704438126,nan
C i D,3,-12.17707185745268,nan,-16.20361724234763,nan,-16.213828255286,nan,1.1016639718425922,nan,1.1016059688893636,nan,1.0046940261557669,nan,1.004402464842364,nan
C Y z,3,-13.437315773939275,nan,-16.156896534879138,nan,-16.108270644895132,nan,1.043763965251299,nan,1.0438417152092623,nan,1,1,1.0001115787220105,1.0
d c T,3,-13.170524640356751,nan,-14.670765860806211,nan,-14.630778226005278,nan,1.0508532331842302,nan,1.0509158450897946,nan,1.0009586578789695,nan,1.00099016858528,nan
y R v,3,-12.614061200683263,nan,-13.817038319040131,nan,-13.775638734057441,nan,1.1602857036428755,nan,1.1600934048792362,nan,1.0092911892840288,nan,1.008626428000637,nan
z i g,3,-10.856835563353012,nan,-16.694570973879728,nan,-16.676876341745505,nan,1.1099048274362127,nan,1.1098269579659916,nan,1.0037165084099922,nan,1.003508080077178,nan
S e g,3,-12.894616151924676,nan,-15.01968368989571,nan,-15.043167053700245,nan,1.1104390365019137,nan,1.110359933326638,nan,1.0019550354915496,nan,1.0019003482523827,nan
C e D,3,-12.583236661490787,nan,-16.835732802368028,nan,-16.839743779807737,nan,1.0999863205543956,nan,1.099932228677755,nan,1.001477802092821,nan,1.0014628083098498,nan
n W T,3,-12.877278210692902,nan,-11.854791607077823,nan,-11.897205810712462,nan,1.062775587798817,nan,1.0628104075564253,nan,1.0106072483268556,nan,1.0098327340735307,nan
T ^ J,3,-13.924767499689153,nan,-17.95032752906548,nan,-17.934039176200955,nan,1.0978525640305756,nan,1.0978054092901601,nan,1.0001219277756273,nan,1.000223157444021,nan
T c g,3,-13.631911026425556,nan,-15.449719923234216,nan,-15.447223335204203,nan,1.0495051617171434,nan,1.0495681106318684,nan,1.0009900909903116,nan,1.0010164934218075,nan
n c G,3,-11.626797278914626,nan,-14.29456519741626,nan,-14.284818976640882,nan,1.0524499147568267,nan,1.0525087107247224,nan,1.0003079627502025,nan,1.0003931580106895,nan
s R n,3,-10.40025120113959,nan,-12.77702498286748,nan,-12.78042684333386,nan,1.1423800820058068,nan,1.1422234638297053,nan,1.0016659326081525,nan,1.00163456386562,nan
s R d,3,-10.928004940767963,nan,-13.009971052679022,nan,-13.013702838665733,nan,1.1281794122798985,nan,1.1280570549215705,nan,1.0006737460770847,nan,1.0007278941767213,nan
J e D,3,-12.772377533556798,nan,-17.719040936620026,nan,-17.69866217121796,nan,1.1036926811474133,nan,1.1036299682853177,nan,1.0015377182102565,nan,1.0015177201763041,nan
b c T,3,-13.620913924208716,nan,-14.391887217643983,nan,-14.355430781632975,nan,1.0382994311756217,nan,1.038391243193212,nan,1.0005392450569204,nan,1.0006057855200996,nan
y ^ z,3,-10.104037740350186,nan,-10.809999419270033,nan,-10.820088655043184,nan,1.2453738133291263,nan,1.244982267578827,nan,1.0056895492038542,nan,1.0053166616919675,nan
y c T,3,-13.283322097594004,nan,-17.20766566102247,nan,-16.888296105125363,nan,1.1502076090809303,nan,1.150039122957034,nan,1.0000599161174355,nan,1.0001664905884649,nan
k R n,3,-10.672009880774096,nan,-13.294836694964896,nan,-13.291805545177198,nan,1.1268372795189583,nan,1.1267168138625079,nan,1.0016060164907168,nan,1.0015796519991658,nan
D i C,3,-12.17707185745268,nan,-13.920124009933051,nan,-13.944332669868142,nan,1.1500545884081095,nan,1.1498861185529419,nan,1.0014526556037473,nan,1.0014417484406277,nan
D ^ S,3,-11.713953117535343,nan,-11.236137607545913,nan,-11.265576926127217,nan,1.1688913002312022,nan,1.1686788612239636,nan,1.0116878339814523,nan,1.0108229026588107,nan
C ^ J,3,-14.093034440777528,nan,-17.68450825476709,nan,-17.68203048382421,nan,1.0958200437053724,nan,1.095777616602142,nan,1.0003016761279342,nan,1.000387893043384,nan
z u S,3,-12.689297179359333,nan,-19.60344040949442,nan,-19.48105893421194,nan,1.1450895437806206,nan,1.1449322111794744,nan,1.0011761259648868,nan,1.0011864939884763,nan
n c d,3,-10.588910186497788,nan,-18.213823086870285,nan,-17.920066673661722,nan,1.109872710242378,nan,1.1097929668335995,nan,1.0000599161174355,nan,1.0001664905884649,nan
y ^ J,3,-11.983704242695817,nan,-14.796273144750954,nan,-14.78447961927134,nan,1.230863085312259,nan,1.2305065484325233,nan,1.0022789080033085,nan,1.0021999846363774,nan
p u S,3,-12.736499526889862,nan,-14.746169765002943,nan,-14.76696922754087,nan,1.1614094863918114,nan,1.1612141936450315,nan,1.001895119374114,nan,1.0018454363859284,nan
y R p,3,-11.819248634746586,nan,-11.229910964340817,nan,-11.242336244379594,nan,1.1652466362982148,nan,1.1650423686899383,nan,1.0096632592331793,nan,1.0089664291339742,nan
D Y v,3,-12.14830008197637,nan,-17.754652375446117,nan,-17.532468626837574,nan,1.1054250766698486,nan,1.105360343066469,nan,1.0003699744083943,nan,1.000449824866246,nan
s R t,3,-10.053808440309435,nan,-12.597920736370407,nan,-12.601314680082403,nan,1.205321915070423,nan,1.2050134421779888,nan,1.0011078276844267,nan,1.0011245621656144,nan
y c G,3,-12.267348475780253,nan,-14.817002177878251,nan,-14.552435935470834,nan,1.1513858305865734,nan,1.1512145018620756,nan,1.0003079627502025,nan,1.0003931580106895,nan
z i C,3,-12.61757683260317,nan,-16.850357208960006,nan,-16.85714501847826,nan,1.0777207768346997,nan,1.0777205552440614,nan,1.0005539138422135,nan,1.0006180704438126,nan
S Y v,3,-14.22042084166042,nan,-17.176835500711363,nan,-17.132055850626877,nan,1.0353031254503364,nan,1.0354014953298434,nan,1.0003100582909588,nan,1.0003949129997916,nan
D i S,3,-12.118162011706616,nan,-14.318930753181693,nan,-14.33506916517916,nan,1.1507367166482185,nan,1.1505666010769136,nan,1.0017627138947058,nan,1.0017250827184085,nan
S c S,3,-15.443099545271966,nan,-16.222993576072927,nan,-16.156184476935564,nan,1.0183619194131281,nan,1.0185000362023837,nan,1.0004340816073423,nan,1.0005082467109039,nan
f R t,3,-11.287261052546512,nan,-13.503965232814265,nan,-13.5051817068895,nan,1.163475908375062,nan,1.1632647691893803,nan,1.001347492154169,nan,1.0013442096314318,nan
g i S,3,-12.488451347886567,nan,-14.021322968436545,nan,-14.044900531129585,nan,1.102374688910294,nan,1.1023170632943644,nan,1.000863972133172,nan,1.0009014047215934,nan
C u v,3,-13.590221938572604,nan,-16.194130959682365,nan,-16.208208738300378,nan,1.1480107866615132,nan,1.147846390676926,nan,1.0016638370673963,nan,1.0016328088765183,nan
t R t,3,-9.379253804022404,nan,-12.082445930993357,nan,-12.094214003724206,nan,1.1778231106706143,nan,1.1775785999283317,nan,1.0022462339157028,nan,1.002167887628247,nan
S R z,3,-13.822466639551706,nan,-12.715929068699532,nan,-12.747806618076742,nan,1.0384859026021354,nan,1.0385759698412578,nan,1.0002438555512547,nan,1.0003347361660315,nan
S ^ J,3,-14.034124595031464,nan,-17.200416937851056,nan,-17.203611446886136,nan,1.0982112440879643,nan,1.098163255058634,nan,1.0003615922453697,nan,1.0004428049098384,nan
S u T,3,-14.211555868550578,nan,-14.165648343381214,nan,-14.215052296303687,nan,1.1464952525780256,nan,1.1463347201324903,nan,1.0016701236896648,nan,1.0016380738438238,nan
s R l,3,-10.896926432783733,nan,-13.252792991817508,nan,-13.25568371778213,nan,1.1066613668873646,nan,1.10659092439265,nan,1.0011078276844267,nan,1.0011245621656144,nan
g u v,3,-11.829480669322443,nan,-18.722074587516886,nan,-18.444217837688708,nan,1.1721619105256929,nan,1.1719413390874942,nan,1.0014241725976538,nan,1.001413161410701,nan
w u v,3,-11.618300740604024,nan,-17.63497990165706,nan,-17.357156007914227,nan,1.2439577020130195,nan,1.2435701337436644,nan,1.0014840887150895,nan,1.0014680732771553,nan
C Y b,3,-13.356103032751896,nan,-17.23766956578431,nan,-17.198255264828827,nan,1.0436399419349156,nan,1.0437179911139949,nan,1.001178221505643,nan,1.001188248977578,nan
z u b,3,-10.976468653638397,nan,-19.607164215578905,nan,-19.46509588502724,nan,1.1589181435573785,nan,1.1587274478018066,nan,1.0027884290778721,nan,1.002659832232937,nan
J Y z,3,-13.626456646005284,nan,-17.765612711909302,nan,-17.114346680641642,nan,1.0474703258443168,nan,1.0475394548168249,nan,1,1,1.0001115787220105,1.0
D ^ d,3,-9.55073530796244,nan,-9.674377226739741,nan,-9.685103801629282,nan,1.226686165665904,nan,1.2263342896186433,nan,1.0123699622215614,nan,1.0114462380699287,nan
f u S,3,-13.191505902385568,nan,-16.208640171833707,nan,-16.214794487099596,nan,1.15130666477536,nan,1.1511348711663534,nan,1.0011761259648868,nan,1.0011864939884763,nan
S c T,3,-15.333742449929654,nan,-17.58730903047404,nan,-17.44997320424671,nan,1.0175557678566356,nan,1.0176958295831446,nan,1,1,1.0001115787220105,1.0
l W T,3,-13.373953442337047,nan,-12.793836235381814,nan,-12.827701075373126,nan,1.072161049300491,nan,1.0721740384981562,nan,1.0000620116581918,nan,1.0001682455775667,nan
D Y b,3,-11.225072427321784,nan,-17.33274374147432,nan,-17.117782911606252,nan,1.1161530935370196,nan,1.1160624773071124,nan,1.0012381376230786,nan,1.0012431608440324,nan
S Y b,3,-13.297193187005833,nan,-16.754926866739567,nan,-16.71737013539556,nan,1.0460311423175075,nan,1.0461036295704869,nan,1.001178221505643,nan,1.001188248977578,nan
z i D,3,-10.48654622717306,nan,-17.6781167890819,nan,-17.653047924483253,nan,1.1018433118712865,nan,1.1017848917736006,nan,1.0042746133337177,nan,1.0040180817771835,nan
s R m,3,-11.076319729798598,nan,-13.796145982007527,nan,-13.79522444148306,nan,1.1111262062771698,nan,1.111044991822282,nan,1.0005497227607012,nan,1.000614560465609,nan
h ^ s,3,-9.929873106145976,nan,-10.544679749873493,nan,-10.55818297516216,nan,1.205096655618503,nan,1.204795018203918,nan,1.008000744882998,nan,1.0074273752603613,nan
T R z,3,-13.713109544209392,nan,-13.488109614273993,nan,-13.500552870347258,nan,1.0381272225447467,nan,1.038218124072784,nan,1.0002438555512547,nan,1.0003347361660315,nan
y ^ S,3,-11.735653524883745,nan,-13.21787883534708,nan,-13.242434863021607,nan,1.2314211902359848,nan,1.2310633068612273,nan,1.0023409196615003,nan,1.0022566514919335,nan
g c T,3,-13.631911026425557,nan,-16.1882940005232,nan,-16.12447427647831,nan,1.0393156913382233,nan,1.039405139537221,nan,1.0000599161174355,nan,1.0001664905884649,nan
n W d,3,-10.823417496462312,nan,-12.641118035492733,nan,-12.647340337178894,nan,1.1213766047900113,nan,1.1212700425703441,nan,1.0118474814906904,nan,1.0109660711846544,nan
S u v,3,-13.53131209282654,nan,-15.50173479648768,nan,-15.524799344755632,nan,1.1504019870441051,nan,1.150232029133418,nan,1.0014840887150895,nan,1.0014680732771553,nan
k R m,3,-11.348078409433107,nan,-14.313957694104943,nan,-14.306603143326397,nan,1.0955834037903214,nan,1.0955383418550846,nan,1.0004898066432655,nan,1.0005596485991546,nan
D ^ g,3,-10.012121694031247,nan,-10.294771654120982,nan,-10.30460209617815,nan,1.2003932225926062,nan,1.2001047814219221,nan,1.0126180088543284,nan,1.0116729054921536,nan
y c S,3,-13.392679192936317,nan,-15.843350206621357,nan,-15.594507377814221,nan,1.151013760637423,nan,1.150843329576273,nan,1.0004939977247778,nan,1.0005631585773582,nan
C R z,3,-13.881376485297768,nan,-13.864144226147998,nan,-13.874999984031787,nan,1.0360947022195435,nan,1.0361903313847658,nan,1.000183939433819,nan,1.0002798242995772,nan
D i T,3,-12.008804916364305,nan,-13.280994307386411,nan,-13.306107129901665,nan,1.149930565091726,nan,1.1497623944576745,nan,1.001514667261939,nan,1.0014984152961839,nan
s R z,3,-11.459606965807307,nan,-12.543451239029038,nan,-12.54904296314689,nan,1.0843371699383382,nan,1.0843205872444903,nan,1.000363687786126,nan,1.0004445598989402,nan
S e D,3,-12.524326815744724,nan,-16.67618392863857,nan,-16.683209526463337,nan,1.1023775209369875,nan,1.102317867134247,nan,1.0020170471497414,nan,1.0019570151079389,nan
D Y z,3,-11.306285168509163,nan,-16.25197071056915,nan,-16.027798291672557,nan,1.1162771168534031,nan,1.1161862014023798,nan,1.0000599161174355,nan,1.0001664905884649,nan
