word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.187225540358934,nan,-11.430460247109673,nan,-11.446231652801124,nan,1.100847366948418,nan,1.1007945684110736,nan,1.0023386744214124,nan,1.0022560258689495,nan
b i l,3,-10.268682354573535,nan,-11.29958292505494,nan,-11.311865241739369,nan,1.1366760822803466,nan,1.1365400136253412,nan,1.0070538479925029,nan,1.006574207999433,nan
b i s,3,-10.095425676616731,nan,-11.410268575557112,nan,-11.421551287869008,nan,1.1547559954967632,nan,1.1545775316628593,nan,1.0027146688205628,nan,1.0025993818980752,nan
b R s,3,-11.356445777498209,nan,-12.3882402261866,nan,-12.401628013239154,nan,1.1011132664880252,nan,1.1010555917090485,nan,1.001607997343048,nan,1.0015827908431392,nan
b Y s,3,-10.91025279694619,nan,-11.756337945485754,nan,-11.769911441840742,nan,1.1086938463155815,nan,1.1086191021016583,nan,1.0033680015486168,nan,1.0031985666497742,nan
b ^ l,3,-9.87510373946644,nan,-10.342217029722834,nan,-10.355287711385614,nan,1.153862587690913,nan,1.15368781962996,nan,1.0102613751845713,nan,1.0095337408341647,nan
C @ l,3,-12.33269331612332,nan,-15.910468700360987,nan,-15.90317858304748,nan,1.1055366715371635,nan,1.1054706063570736,nan,1.0008919988818026,nan,1.000926380086586,nan
C i D,3,-12.152053976431965,nan,-15.833014335615523,nan,-15.848909973295804,nan,1.1000226519808864,nan,1.09997026032555,nan,1.0046743845224282,nan,1.0043922324045949,nan
C i n,3,-11.526530712239849,nan,-13.495847182995206,nan,-13.518413190884294,nan,1.145342967776704,nan,1.145184305539595,nan,1.0025650613138462,nan,1.0024600252719904,nan
C R J,3,-15.70245765844895,nan,-17.14263445210538,nan,-17.09690548155694,nan,1.022032306507374,nan,1.0221577960812147,nan,1.0001181333989726,nan,1.0002167834987379,nan
