word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.019270669296827,nan,-12.785790658280153,nan,-12.807612664818715,nan,1.1075503202717165,nan,1.1074714747483396,nan,1.0010476689366161,nan,1.001072217563023,nan
b O r,3,-13.319932520050804,nan,-inf,nan,-15.27233451959087,nan,1.123694231710831,nan,1.1235740051459737,nan,1.0010476689366161,nan,1.001072217563023,nan
b O s,3,-13.357090145442623,nan,-13.613355464177747,nan,-13.56872737257672,nan,1.0929219597023965,nan,1.0928806104696673,nan,1.0011135624526941,nan,1.001132108561406,nan
b U n,3,-10.86074046676411,nan,-inf,nan,-16.98242832987444,nan,1.1374088849652735,nan,1.1372539840553737,nan,1.000523834468308,nan,1.0005958285914276,nan
b u r,3,-10.2110191517738,nan,-11.858089188165009,nan,-11.867199332834574,nan,1.2719393862419992,nan,1.2714415513545818,nan,1.017257888099348,nan,1.0158057455421605,nan
b U s,3,-11.198559942909906,nan,-inf,nan,-17.20454653689976,nan,1.1227805243959534,nan,1.1226631197767014,nan,1.000523834468308,nan,1.0005958285914276,nan
b W r,3,-11.564166653470656,nan,-16.300395663630276,nan,-15.918424821356936,nan,1.1441237759748437,nan,1.1439515115139443,nan,1.000720686601463,nan,1.0007748168327095,nan
C e D,3,-12.599115557693981,nan,-18.196269264987635,nan,-18.169000257099462,nan,1.103494204260369,nan,1.1034263521970402,nan,1.0016456810717924,nan,1.0016153450716718,nan
C i D,3,-12.187987462200365,nan,-17.582319933262664,nan,-17.561270849699373,nan,1.1051966662823702,nan,1.1051244777277045,nan,1.0049382858379956,nan,1.0046081831061513,nan
C O b,3,-15.78661165607954,nan,-20.70747609551498,nan,-20.03927612694649,nan,1.0220450204839395,nan,1.0221847841496683,nan,1,1,1.0001194396198323,1.0
C O g,3,-15.80347827143596,nan,-20.94765458314845,nan,-20.15970612940585,nan,1.0402975244375505,nan,1.0403905021910747,nan,1,1,1.0001194396198323,1.0
C O v,3,-16.72229213332824,nan,-inf,nan,-21.281168030060197,nan,1.0116338449436126,nan,1.011800295158541,nan,1,1,1.0001194396198323,1.0
C u D,3,-12.322118306114367,nan,-17.68287090279263,nan,-17.65994814390362,nan,1.1795811607821083,nan,1.1793195009136492,nan,1.0013162134914022,nan,1.0013158900797572,nan
C u S,3,-14.394494718557134,nan,-15.976606924162507,nan,-16.004148197066016,nan,1.156518430154802,nan,1.1563158860598866,nan,1.0013162134914022,nan,1.0013158900797572,nan
C u T,3,-14.287755842929185,nan,-15.042772296129439,nan,-15.078403289149167,nan,1.1556618144457877,nan,1.1554614660796039,nan,1.0019092551361044,nan,1.0018549090652036,nan
D e C,3,-12.599115557693981,nan,-13.11314233396775,nan,-13.090958048930348,nan,1.1587531232499473,nan,1.1585453636615037,nan,1.0184659934229365,nan,1.016912835622434,nan
D e D,3,-10.457746273764265,nan,-14.858615960805452,nan,-14.821854279506166,nan,1.1822112149737216,nan,1.1819433261984738,nan,1.019717970228419,nan,1.0180507645917098,nan
D e J,3,-12.775053591706147,nan,-11.818389303969957,nan,-11.852041240631872,nan,1.1585554427017133,nan,1.1583481898199,nan,1.0184659934229365,nan,1.016912835622434,nan
D e S,3,-12.53012268620703,nan,-12.522186094304352,nan,-12.526643740213371,nan,1.1591484843464153,nan,1.158939711344711,nan,1.0184659934229365,nan,1.016912835622434,nan
D i C,3,-12.187987462200367,nan,-13.891507206323642,nan,-13.91566679858587,nan,1.1604555852719483,nan,1.160243489192168,nan,1.0017057756823173,nan,1.0016704427929852,nan
D i D,3,-10.04661817827065,nan,-15.905468458356978,nan,-15.871523111402293,nan,1.1839136769957226,nan,1.183641451729138,nan,1.0055275996148423,nan,1.005144120699196,nan
D i S,3,-12.118994590713417,nan,-14.286561578413968,nan,-14.302734541554317,nan,1.1608509463684162,nan,1.1606378368753754,nan,1.0018375627144733,nan,1.0017902247897512,nan
D i T,3,-12.012255715085468,nan,-13.21296500800574,nan,-13.238519959372365,nan,1.159994330659402,nan,1.1597834168950927,nan,1.0015739886501613,nan,1.0015506607962195,nan
d u r,3,-9.759221758000505,nan,-10.593694044358312,nan,-10.604655514653693,nan,1.2833059919383671,nan,1.2827792720817597,nan,1.0264904706032767,nan,1.0242021011665279,nan
D W C,3,-13.675265807811224,nan,-16.56334687887913,nan,-16.438859296100475,nan,1.1070244695045308,nan,1.1069484725374752,nan,1,1,1.0001194396198323,1.0
D W D,3,-11.533896523881507,nan,-19.38145730798168,nan,-19.204652000958294,nan,1.1304825612283051,nan,1.1303464350744452,nan,1.0012519768054824,nan,1.0012573685891082,nan
D W T,3,-13.499534060696325,nan,-14.504707974996151,nan,-14.42015398960847,nan,1.1065632148919846,nan,1.1064884002403998,nan,1.000065893516078,nan,1.0001793306182154,nan
f U n,3,-11.445023057174922,nan,-inf,nan,-18.313808409168068,nan,1.1184645421379937,nan,1.1183577828434104,nan,1.0003273965426924,nan,1.0004171827270794,nan
