word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.199746991074646,nan,-11.496685500442084,nan,-11.511564537577748,nan,1.1073807487888716,nan,1.107304597032634,nan,1.0019343428152587,nan,1.0018791741071456,nan
b i l,3,-10.284689027602171,nan,-11.336900726008116,nan,-11.348599051148637,nan,1.1451436948150266,nan,1.1449725501385162,nan,1.0075022285151543,nan,1.0069479212196035,nan
b i s,3,-10.11886385713689,nan,-11.43975312357029,nan,-11.450578933265037,nan,1.1668265427114668,nan,1.1666008024466057,nan,1.0025831346640217,nan,1.0024696936549344,nan
b R s,3,-11.386300642096622,nan,-12.433569696332604,nan,-12.446428655949017,nan,1.1060818892716318,nan,1.1060083716813291,nan,1.0016159632563923,nan,1.00158890274039,nan
b Y s,3,-10.941164743500464,nan,-11.806852252177396,nan,-11.819824267437975,nan,1.1143916032628711,nan,1.114297261998106,nan,1.0031000084220778,nan,1.0029403185829109,nan
b ^ l,3,-9.882173152725024,nan,-10.369019277810354,nan,-10.381441490102148,nan,1.1615054572473895,nan,1.1612933109172863,nan,1.010954796790271,nan,1.0100945171787967,nan
C @ l,3,-12.36155407933741,nan,-16.404658516635845,nan,-16.386302826749244,nan,1.1122806211238883,nan,1.1121916955072881,nan,1.0008404983535255,nan,1.00088283744055,nan
C i D,3,-12.189146451113494,nan,-17.64774983722352,nan,-17.625328398487028,nan,1.1053833729752862,nan,1.1053119050532243,nan,1.0049810419861427,nan,1.0046524415478728,nan
C i n,3,-11.563046351340036,nan,-13.859633251604695,nan,-13.872923718775159,nan,1.1559982597066778,nan,1.155799347754496,nan,1.002262595384201,nan,1.002177631577924,nan
C R J,3,-15.777418051413845,nan,-17.534347665491367,nan,-17.481462477624703,nan,1.0210788489852893,nan,1.0212189255113966,nan,1.000064724919094,nan,1.0001765163249599,nan
C R g,3,-13.826791396127206,nan,-17.830300639460862,nan,-17.793191709859315,nan,1.053441308532215,nan,1.0534998991055602,nan,1.0002588996763755,nan,1.0003532884656705,nan
C R T,3,-15.418587159820044,nan,-17.004722624204454,nan,-16.94667866539046,nan,1.0205610496325386,nan,1.02070242993389,nan,1,1,1.0001175922780563,1.0
C ^ J,3,-14.107465391576966,nan,-18.025149174176125,nan,-18.015533490763747,nan,1.0981852648574872,nan,1.0981321170554432,nan,1.000128832775058,nan,1.000234928740362,nan
C ^ n,3,-11.16053047646289,nan,-12.735096846876573,nan,-12.744904781767623,nan,1.1723600221390407,nan,1.1721201085332662,nan,1.0124912923219835,nan,1.0114894216989383,nan
C ^ S,3,-13.862405494149588,nan,-16.40496429524807,nan,-16.431124147764272,nan,1.0985736143720504,nan,1.0985194887385732,nan,1.0002582826132456,nan,1.0003527768341691,nan
