word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.023522757020832,nan,-12.807642801485455,nan,-12.82281305924307,nan,1.1077322612149019,nan,1.1076530433730298,nan,1.001036001036001,nan,1.0010616720362169,nan
b O r,3,-13.324957372372058,nan,-inf,nan,-15.213690862430184,nan,1.122088210084125,nan,1.121972384291037,nan,1.001036001036001,nan,1.0010616720362169,nan
b O s,3,-13.355506458531577,nan,-13.703622173171787,nan,-13.632497127153819,nan,1.0928518941221452,nan,1.0928106215082463,nan,1.0011015533139427,nan,1.0011212810014054,nan
b U n,3,-10.86845305050295,nan,-inf,nan,-16.91048560994604,nan,1.1365460400286806,nan,1.1363942433988647,nan,1.0005180005180005,nan,1.000590112943968,nan
b u r,3,-10.221925124344835,nan,-11.857378776167113,nan,-11.866602185439028,nan,1.26725785525377,nan,1.266776362848164,nan,1.0169012567242655,nan,1.0154883697691155,nan
b U s,3,-11.200436752013696,nan,-inf,nan,-17.114033874286473,nan,1.121665672935924,nan,1.1215518215340812,nan,1.0005180005180005,nan,1.000590112943968,nan
b W r,3,-11.579895286640305,nan,-16.2365107248919,nan,-15.85522394445076,nan,1.142225480221395,nan,1.1420589308259463,nan,1.0007778029901924,nan,1.00082655656875,nan
C e D,3,-12.600483669867575,nan,-17.673023019525672,nan,-17.661342893514906,nan,1.102372461258501,nan,1.1023081916212176,nan,1.0016995459473337,nan,1.0016644024746733,nan
C i D,3,-12.189484755894496,nan,-17.051053153346345,nan,-17.045945581619172,nan,1.1039264628125027,nan,1.1038582788136222,nan,1.0049731487784586,nan,1.0046415303408052,nan
C O b,3,-15.784461165698085,nan,-20.637322450365264,nan,-19.954030498127583,nan,1.0219700711215978,nan,1.022108612067419,nan,1,1,1.0001185538517194,1.0
C O g,3,-15.796325711654276,nan,-21.04880584201401,nan,-20.202018953474767,nan,1.0399313952776121,nan,1.0400241344945145,nan,1,1,1.0001185538517194,1.0
C O v,3,-16.713575983023134,nan,-inf,nan,-21.04764836831254,nan,1.0118750203185825,nan,1.012039303841971,nan,1,1,1.0001185538517194,1.0
C u D,3,-12.32753796338195,nan,-17.166921897314417,nan,-17.159691892881543,nan,1.1763170352030752,nan,1.176066507193135,nan,1.0013070344928752,nan,1.0013074127622004,nan
C u S,3,-14.38071595874007,nan,-15.878350046498383,nan,-15.909131810576275,nan,1.1538326038690863,nan,1.153639411600092,nan,1.0014381390487586,nan,1.0014266306925772,nan
C u T,3,-14.283104281947466,nan,-14.856929077178702,nan,-14.897201554509184,nan,1.153111528811728,nan,1.1529201752982743,nan,1.0020281095502335,nan,1.0019631113792724,nan
D e C,3,-12.600483669867575,nan,-13.134592431599419,nan,-13.113196663512312,nan,1.1549636060759192,nan,1.1547679764019811,nan,1.0174193718441507,nan,1.0159760564858982,nan
D e D,3,-10.470713229028071,nan,-14.521180734136642,nan,-14.496113105685577,nan,1.178038007911383,nan,1.1777835380601478,nan,1.0185993128471005,nan,1.0170490178592886,nan
D e J,3,-12.787292893130918,nan,-11.880162672976304,nan,-11.914423587280947,nan,1.1549636060759192,nan,1.1547679764019811,nan,1.0174849241220922,nan,1.0160356654510865,nan
D e S,3,-12.523891224386192,nan,-12.604134913103099,nan,-12.608323620914028,nan,1.155553576577394,nan,1.1553564424671048,nan,1.0174193718441507,nan,1.0159760564858982,nan
D i C,3,-12.189484755894494,nan,-13.89591505327876,nan,-13.920545250314895,nan,1.1565176076299208,nan,1.1563180635943857,nan,1.0017546694537847,nan,1.0017153784173172,nan
D i D,3,-10.05971431505499,nan,-15.556096200904975,nan,-15.533846933216179,nan,1.1795920094653847,nan,1.1793336252525524,nan,1.005491149296459,nan,1.005113089433054,nan
D i S,3,-12.112892310413113,nan,-14.376813378453322,nan,-14.391861081171834,nan,1.1571075781313958,nan,1.1569065296595094,nan,1.0019513262876096,nan,1.0018942053128823,nan
D i T,3,-12.015280633620506,nan,-13.25293039305603,nan,-13.278584766865578,nan,1.1563865030740375,nan,1.1561872933576915,nan,1.0016891171758429,nan,1.0016557694521289,nan
d u r,3,-9.76288065394048,nan,-10.617656441348434,nan,-10.628725749606247,nan,1.2777902925760758,nan,1.277282324820449,nan,1.0256425154655242,nan,1.0234459294508131,nan
D W C,3,-13.68550812567742,nan,-16.638130425378005,nan,-16.50898604726372,nan,1.103875804988118,nan,1.1038088599516809,nan,1,1,1.0001185538517194,1.0
D W D,3,-11.555737684837915,nan,-19.007332102720454,nan,-18.841479198944604,nan,1.126950206823582,nan,1.1268244216098475,nan,1.0012454932808914,nan,1.0012511241902984,nan
D W T,3,-13.511304003403431,nan,-14.539858532548433,nan,-14.45572686566602,nan,1.1037447004322347,nan,1.1036780897149867,nan,1.0000655522779416,nan,1.000178162816908,nan
f U n,3,-11.43440733420031,nan,-inf,nan,-18.143483783478167,nan,1.1181950449395104,nan,1.1180893771404052,nan,1.0003885003885005,nan,1.000472223170906,nan
f u r,3,-10.787879408042196,nan,-13.759858869313955,nan,-13.75303764625967,nan,1.2489068601645998,nan,1.2484714965897046,nan,1.0161242559472647,nan,1.0147810311307424,nan
f U s,3,-11.766391035711056,nan,-inf,nan,-18.3470320478186,nan,1.1033146778467537,nan,1.1032469552756217,nan,1.0003885003885005,nan,1.000472223170906,nan
f W r,3,-12.145849570337665,nan,-18.273617882868102,nan,-17.867836233056252,nan,1.1238744851322247,nan,1.1237540645674868,nan,1.0003245525369417,nan,1.0004139423630323,nan
f ^ r,3,-10.247900660812078,nan,-13.160757103047555,nan,-13.170021775289452,nan,1.1945168057745454,nan,1.1942184448555446,nan,1.0017578783065508,nan,1.001718034731946,nan
g U n,3,-10.880317596459143,nan,-inf,nan,-16.758975625737,nan,1.1351891002509604,nan,1.1350407145558097,nan,1.0023957523957523,nan,1.0022995146533697,nan
g U S,3,-13.564663559655013,nan,-13.304253341077354,nan,-13.328084013398112,nan,1.0619016535121861,nan,1.061940152243792,nan,1.0030512751751688,nan,1.0028956043052535,nan
g U T,3,-13.467051882862409,nan,-inf,nan,-16.616773117369572,nan,1.0611805784548278,nan,1.061220915941974,nan,1.0023957523957523,nan,1.0022995146533697,nan
g W C,3,-14.051263625922525,nan,-18.584181031565333,nan,-18.184146613596607,nan,1.0526351743342024,nan,1.0526970326877427,nan,1,1,1.0001185538517194,1.0
g W D,3,-11.92149318508302,nan,-20.95338270890778,nan,-20.516639765277496,nan,1.0757095761696662,nan,1.0757125943459094,nan,1.0012454932808914,nan,1.0012511241902984,nan
g W T,3,-13.877059503648537,nan,-16.485909138735757,nan,-16.130887431998907,nan,1.052504069778319,nan,1.0525662624510486,nan,1.0000655522779416,nan,1.000178162816908,nan
g ^ r,3,-9.69381092307091,nan,-11.679519433452498,nan,-11.689332824439656,nan,1.2115108610859955,nan,1.211169782270949,nan,1.0031823797310522,nan,1.00301482223563,nan
h U n,3,-11.094074395213909,nan,-inf,nan,-19.789328671591143,nan,1.165041775360808,nan,1.164818349103022,nan,1,1,1.0001185538517194,1.0
h u r,3,-10.447546469055792,nan,-11.477913190586413,nan,-11.48628826357621,nan,1.2957535905858975,nan,1.2952004685523213,nan,1.0200740098970187,nan,1.0183766692091392,nan
h U s,3,-11.426058096724654,nan,-inf,nan,-19.992876935931577,nan,1.1501614082680514,nan,1.1499759272382384,nan,1,1,1.0001185538517194,1.0
h W r,3,-11.805516631351264,nan,-14.947310505222198,nan,-14.571467433191632,nan,1.1707212155535223,nan,1.1704830365301035,nan,1.0050513072636966,nan,1.0047169190798022,nan
J O b,3,-15.971270388961429,nan,-17.765993523409904,nan,-17.644896240739026,nan,1.0259762742748675,nan,1.0261047448421532,nan,1,1,1.0001185538517194,1.0
J ^ r,3,-11.644635086928652,nan,-11.784891828791661,nan,-11.835904343753626,nan,1.191092148240299,nan,1.1908023958706913,nan,1.0059666325153052,nan,1.0055494523564672,nan
k E G,3,-11.668256563257014,nan,-16.799861664770965,nan,-16.692518271709087,nan,1.1075330408414807,nan,1.1074566426126553,nan,1.0001303023426917,nan,1.000237107703439,nan
k E S,3,-12.776423673326544,nan,-17.823123594198297,nan,-17.71621789843775,nan,1.1073363840076558,nan,1.1072604872576142,nan,1.0000647500647502,nan,1.0001774987382506,nan
k i b,3,-10.38059609285039,nan,-14.575161622641332,nan,-14.57118709725314,nan,1.1287372545235705,nan,1.128607037075842,nan,1.0007162617782088,nan,1.000770267996848,nan
k i C,3,-12.156475579400981,nan,-13.60194853000915,nan,-13.632233512478983,nan,1.114840171599939,nan,1.1147453919862644,nan,1.0009129186120338,nan,1.000949094892413,nan
k i D,3,-10.026705138561477,nan,-15.262129677635363,nan,-15.245535195380267,nan,1.1379145734354028,nan,1.137760953644431,nan,1.0046493984547082,nan,1.0043468059081497,nan
k i r,3,-9.696971786074954,nan,-11.017797390775161,nan,-11.027385850242876,nan,1.2030735377094113,nan,1.202753761281413,nan,1.0236595590577893,nan,1.0216334058127754,nan
k u f,3,-11.084603584035204,nan,-14.97769786109906,nan,-14.966153291627972,nan,1.1918849557243691,nan,1.1915959637684188,nan,1.0022287774500165,nan,1.0021452586681239,nan
k U m,3,-11.166164083847299,nan,-16.971772096493062,nan,-16.69860038732959,nan,1.1136149628526064,nan,1.113521938996771,nan,1.0011655011655012,nan,1.0011795618092791,nan
k U n,3,-10.481552919720523,nan,-inf,nan,-17.735782355243824,nan,1.1447522948748943,nan,1.1445798702116265,nan,1.0011655011655012,nan,1.0011795618092791,nan
k U p,3,-11.591157371575864,nan,-16.088763765902353,nan,-15.924119045515313,nan,1.0796588828788274,nan,1.0796524476929918,nan,1.0014277102772677,nan,1.0014179976700326,nan
k u r,3,-9.835024993562408,nan,-13.534082036754462,nan,-13.520220889665008,nan,1.2754641100999837,nan,1.2749619896609259,nan,1.0159947558177647,nan,1.0146631413576803,nan
l U n,3,-10.382103129408327,nan,-inf,nan,-16.35645678288034,nan,1.156770904334703,nan,1.156568268535829,nan,1.0097772597772599,nan,1.0090192317179145,nan
l R l,3,-11.054302611696198,nan,-13.618027281847963,nan,-13.61389099602026,nan,1.1061572112431335,nan,1.1060831656881163,nan,1.0009169296779916,nan,1.0009524152856994,nan
m W l,3,-11.476721914321232,nan,-13.468730425171913,nan,-13.469955507342904,nan,1.094733803657927,nan,1.0946884387695324,nan,1.0010456275943,nan,1.001069640980104,nan
m W r,3,-11.27944752864042,nan,-16.374055011954933,nan,-15.991361884139327,nan,1.1444224303377042,nan,1.144250358476607,nan,1.0003245525369417,nan,1.0004139423630323,nan
m W t,3,-10.635212782110273,nan,-10.72301650036203,nan,-10.742389788999409,nan,1.1959465207998479,nan,1.1956430614973994,nan,1.0004556570928251,nan,1.0005331602934089,nan
n c n,3,-10.063839815413527,nan,-15.563228829603151,nan,-15.53250038074498,nan,1.1237074527522544,nan,1.1235880404524627,nan,1.0001958546206335,nan,1.0002967166686274,nan
n W C,3,-13.05434015783967,nan,-13.995462903763968,nan,-13.993619013982295,nan,1.0627152983972679,nan,1.0627518183790092,nan,1.0117197617197617,nan,1.0107875783138474,nan
n W D,3,-10.924569717000166,nan,-16.364664581106418,nan,-16.326112165663183,nan,1.0857897002327317,nan,1.0857673800371759,nan,1.0129652550006532,nan,1.0119201486524263,nan
n ^ r,3,-8.696887454988056,nan,-11.636528447741977,nan,-11.642420836054228,nan,1.221590985149061,nan,1.2212245679622156,nan,1.0022111287598012,nan,1.0021306489376638,nan
p c k,3,-11.7716030586131,nan,-14.840975916634825,nan,-14.793973501538662,nan,1.0814720260410648,nan,1.0814597070177752,nan,1.00085137740005,nan,1.000892806320511,nan
p c p,3,-12.283048719124208,nan,-inf,nan,-19.612228625175046,nan,1.0418784501643032,nan,1.0419670955361484,nan,1.0000647500647502,nan,1.0001774987382506,nan
p c s,3,-11.505427968779612,nan,-15.76634640171308,nan,-15.708546344970845,nan,1.0920914950676135,nan,1.0920520961899995,nan,1.0001303023426917,nan,1.000237107703439,nan
p O l,3,-13.64677728778155,nan,-15.751650191543545,nan,-15.68787878939174,nan,1.0643871770978088,nan,1.064418199034494,nan,1.0001311045558834,nan,1.0002377717820963,nan
p O m,3,-13.832679450876288,nan,-inf,nan,-18.60797464342388,nan,1.068582522886075,nan,1.068602846608706,nan,1,1,1.0001185538517194,1.0
p O n,3,-13.148068286749512,nan,-15.956794750220737,nan,-15.860966977419848,nan,1.0997198549083629,nan,1.0996607778235616,nan,1,1,1.0001185538517194,1.0
p O r,3,-13.449502902100738,nan,-inf,nan,-18.251844780606962,nan,1.114075803777586,nan,1.1139801187415688,nan,1,1,1.0001185538517194,1.0
p O s,3,-13.480051988260257,nan,-16.852774121907068,nan,-16.670651045330597,nan,1.0848394878156062,nan,1.084818355958778,nan,1.0000655522779416,nan,1.000178162816908,nan
p O t,3,-12.805268155570591,nan,-18.178312409923855,nan,-17.483990222785152,nan,1.1655998942397297,nan,1.1653728217623611,nan,1,1,1.0001185538517194,1.0
p u k,3,-10.643194830066523,nan,-12.628874345193069,nan,-12.637057491830088,nan,1.2193896639587027,nan,1.2190299453436808,nan,1.0142807700329823,nan,1.0131053393188956,nan
p U m,3,-11.677609744358406,nan,-15.395246643464517,nan,-15.131782606644853,nan,1.0973963016998538,nan,1.097344046634541,nan,1.0091945091945091,nan,1.0084887277391346,nan
