word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080823697318053,nan,-15.235446493413752,nan,-15.249321085675517,nan,1.159510364154971,nan,1.1593028958396487,nan,1.0017021446465,nan,1.001666536419662,nan
g i T,3,-12.383542110090298,nan,-12.942067077901768,nan,-12.975675444615783,nan,1.1049495823014295,nan,1.1048796500768459,nan,1.0003931590328288,nan,1.000476061935303,nan
z i T,3,-12.450078633890541,nan,-16.870313487661942,nan,-16.855133775724415,nan,1.0789755563274035,nan,1.07897091071103,nan,1.0003931590328288,nan,1.000476061935303,nan
y c g,3,-11.708084460358194,nan,-16.194087504165484,nan,-15.92314617795811,nan,1.1892505332517789,nan,1.1889679270183042,nan,1.0010476518396645,nan,1.0010712991774824,nan
l R z,3,-11.612520751502533,nan,-12.761952768909742,nan,-12.761312496751692,nan,1.083836835662431,nan,1.0838197638531224,nan,1.000129508515185,nan,1.000236432737145,nan
J Y p,3,-13.6690620693648,nan,-16.883970751383195,nan,-16.253475994396705,nan,1.0433946458525412,nan,1.0434793791241572,nan,1.0013105301094292,nan,1.001310289083438,nan
C ^ z,3,-12.222513475292327,nan,-13.718180286479926,nan,-13.736421581594207,nan,1.1129493072475103,nan,1.1128586423897784,nan,1.0034058337887581,nan,1.0032158154090554,nan
C e J,3,-14.906080391186798,nan,-14.941797099372852,nan,-14.991028057206279,nan,1.0798811608656504,nan,1.079874236294739,nan,1.0005851050619692,nan,1.0006509891424018,nan
z i S,3,-12.547070899877852,nan,-17.908417103264398,nan,-17.884109179664097,nan,1.0800239804149467,nan,1.080016662345017,nan,1.0006552650547147,nan,1.000714412549056,nan
z u v,3,-11.913577028291733,nan,-20.824045457373273,nan,-20.65809354149453,nan,1.154917742337876,nan,1.1547216665962112,nan,1.0016373903889075,nan,1.0016075880584263,nan
D Y p,3,-11.362901287221305,nan,-15.69032363903155,nan,-15.421464399357559,nan,1.1147262992737468,nan,1.1146317379795323,nan,1.0013752843670216,nan,1.0013692374446734,nan
