word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.108284435075266,nan,-11.118525631241958,nan,-11.14385591107781,nan,1.1132203521120185,nan,1.113092118588399,nan,1.0037039378325685,nan,1.0034094517876957,nan
b i l,3,-10.192068537279741,nan,-11.067986376944926,nan,-11.087460165656747,nan,1.1429740354964073,nan,1.1427369376515553,nan,1.0074924729489045,nan,1.00672098987634,nan
b i s,3,-10.053291460306037,nan,-11.13135259527725,nan,-11.14978792235203,nan,1.1567424247834688,nan,1.1564548743235463,nan,1.003531703427969,nan,1.0032570723505667,nan
b R s,3,-11.291359151091601,nan,-12.155420566241622,nan,-12.176701689537376,nan,1.107108725149769,nan,1.1069978070728848,nan,1.001869707056429,nan,1.0017997691371314,nan
b Y s,3,-10.87966974821724,nan,-11.583420652867629,nan,-11.604929392198049,nan,1.1152589082999522,nan,1.115118986012569,nan,1.0034373993917562,nan,1.0031745981237628,nan
b ^ l,3,-9.79740672823037,nan,-9.994988636033819,nan,-10.015940209588486,nan,1.1684319109542827,nan,1.1681042156878725,nan,1.0117843774482778,nan,1.010499596860066,nan
C @ l,3,-12.21079930887386,nan,-15.421183880907346,nan,-15.411056822110757,nan,1.1143088252046909,nan,1.1141734229165519,nan,1.0010291575644272,nan,1.0010637856041338,nan
C i D,3,-12.114638847696149,nan,-15.785739299483772,nan,-15.809900783726732,nan,1.0954016259033006,nan,1.095335671275959,nan,1.0045908793834104,nan,1.0041810475340514,nan
C i n,3,-11.447319874519094,nan,-12.968076765677612,nan,-13.010250453369522,nan,1.1470802377478875,nan,1.1468249130311032,nan,1.0030820148040065,nan,1.0028614599051855,nan
C R J,3,-15.581005992092289,nan,-16.520459634051978,nan,-16.490902446815504,nan,1.0245495181217323,nan,1.0247379481951744,nan,1.0001858791277878,nan,1.0003257072350566,nan
C R g,3,-13.710092467164223,nan,-16.87832709222101,nan,-16.83963239731477,nan,1.0538780733838975,nan,1.0539590324759223,nan,1.0002801831640007,nan,1.0004081814618608,nan
C R T,3,-15.28013187286292,nan,-16.325484583704913,nan,-16.25174004880301,nan,1.0243609100493067,nan,1.0245500312544622,nan,1.0001858791277878,nan,1.0003257072350566,nan
C ^ J,3,-13.948276492257351,nan,-17.26356664909492,nan,-17.26193706693383,nan,1.0996410932133074,nan,1.099562293482153,nan,1.0002774542193629,nan,1.000406086625781,nan
C ^ n,3,-11.05265806546972,nan,-11.908642620035927,nan,-11.94400422510438,nan,1.1725381132057628,nan,1.1721921910674202,nan,1.0125369789270204,nan,1.011127736110317,nan
C ^ S,3,-13.66290655956395,nan,-15.443484904270873,nan,-15.506412342680491,nan,1.1010556537564986,nan,1.1009716705374946,nan,1.0006546703642138,nan,1.0007359835329974,nan
C ^ C,3,-13.696448980332557,nan,-14.72191040360909,nan,-14.797290700062822,nan,1.100867045684073,nan,1.1007837535967824,nan,1.0009375824728521,nan,1.0009834062134098,nan
d i k,3,-9.86921199515617,nan,-11.97609263295866,nan,-11.989720730850635,nan,1.1582948434358222,nan,1.1580024502313297,nan,1.0027157144377061,nan,1.0025399423422887,nan
d i s,3,-9.635945879810807,nan,-12.00709509606425,nan,-12.01941175728752,nan,1.1639530856085873,nan,1.163639958452696,nan,1.0024328023290678,nan,1.0022925196618762,nan
d i t,3,-8.996444546690935,nan,-10.924440341922296,nan,-10.937406137027722,nan,1.2385475782528725,nan,1.2379611085043731,nan,1.0029986265463444,nan,1.002787365022701,nan
d E p,3,-11.085330443568719,nan,-15.867601744629674,nan,-15.797862191893394,nan,1.1187826612887855,nan,1.118634717089298,nan,1.001023699675152,nan,1.0010595959319741,nan
d R s,3,-10.87401357059637,nan,-12.315226188406497,nan,-12.333200098177931,nan,1.1143193859748877,nan,1.1141828912020344,nan,1.001869707056429,nan,1.0017997691371314,nan
D i D,3,-10.138166906010365,nan,-14.963567954115579,nan,-14.948649696904994,nan,1.1572855251365974,nan,1.1570000641818252,nan,1.0048656046581357,nan,1.004422185706224,nan
