word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.08397835736475,nan,-15.389228037586431,nan,-15.402001458090728,nan,1.163520365436605,nan,1.1633038776132858,nan,1.0016803562561503,nan,1.0016474070933992,nan
g i T,3,-12.384357695695364,nan,-13.043339861846597,nan,-13.074843844017302,nan,1.1065030483016758,nan,1.106429303694442,nan,1.000387847446671,nan,1.0004705754200443,nan
z i T,3,-12.449237315857289,nan,-17.4383844276857,nan,-17.396647311776096,nan,1.0798440902493855,nan,1.0798369674135244,nan,1.000387847446671,nan,1.0004705754200443,nan
y c g,3,-11.69487024615689,nan,-16.28151143851859,nan,-16.00922233675651,nan,1.196743589930891,nan,1.196444043657049,nan,1.001033943845032,nan,1.0010588602156403,nan
l R z,3,-11.627258306274662,nan,-12.780281626378377,nan,-12.780031342068886,nan,1.0817785734188858,nan,1.0817665968449464,nan,1.0000643252283545,nan,1.000176039899002,nan
J Y p,3,-13.687538938694669,nan,-16.947377432829803,nan,-16.31426894701621,nan,1.0416676001573286,nan,1.0417559282668716,nan,1.0012281835811248,nan,1.0012356863611307,nan
C ^ z,3,-12.222602756166946,nan,-13.927381409335226,nan,-13.939618095997911,nan,1.1122036006607254,nan,1.1121153299708375,nan,1.0034899949945242,nan,1.0032950762689612,nan
C e J,3,-14.92305715657546,nan,-15.226508418382792,nan,-15.266903075821345,nan,1.0798450253094376,nan,1.0798378977584302,nan,1.0003865833956418,nan,1.0004695270913935,nan
z i S,3,-12.558863187628258,nan,-18.536101203362218,nan,-18.48459778504487,nan,1.0807490676249512,nan,1.0807396690706268,nan,1.0005817711700065,nan,1.000647139483372,nan
z u v,3,-11.903307359142985,nan,-21.404473703943548,nan,-21.212615304835253,nan,1.159627598225506,nan,1.1594207739163895,nan,1.0016803562561503,nan,1.0016474070933992,nan
D Y p,3,-11.366845416183676,nan,-15.413360306332322,nan,-15.208443935645906,nan,1.1159272519849126,nan,1.1158300023409455,nan,1.0012925088094793,nan,1.0012942789667438,nan
s R k,3,-11.003358903094226,nan,-13.651315515312056,nan,-13.651806323163246,nan,1.1176423785967378,nan,1.1175402465487596,nan,1.0005161818906227,nan,1.0005874985491081,nan
b R s,3,-11.385807799701489,nan,-12.444173242733026,nan,-12.45696730344475,nan,1.1058970189944863,nan,1.1058240521420146,nan,1.0015494937101403,nan,1.001528387307034,nan
T ^ z,3,-12.047913291048916,nan,-14.180998133042927,nan,-14.180205914454028,nan,1.1143234696142812,nan,1.1142299012895611,nan,1.0033613445378151,nan,1.003177891057735,nan
S c G,3,-14.333272704136462,nan,-15.049029354141762,nan,-14.981221026068347,nan,1.0174465969590427,nan,1.0175956229755014,nan,1.0002585649644473,nan,1.0003528660444925,nan
J e J,3,-15.104178953177513,nan,-15.847919653559984,nan,-15.872079517619184,nan,1.0844059554822392,nan,1.0843874299896235,nan,1.000515233852351,nan,1.0005867123026198,nan
D ^ z,3,-10.083031030258004,nan,-8.75260540765055,nan,-8.767466377642092,nan,1.191024182661111,nan,1.1907389362761047,nan,1.0150685360983451,nan,1.0138417452793322,nan
S Y p,3,-13.441353548745553,nan,-14.906993145106846,nan,-14.878009017421867,nan,1.0399974003757393,nan,1.0400899023793924,nan,1.0012281835811248,nan,1.0012356863611307,nan
n W C,3,-13.051886801234204,nan,-13.989394858770732,nan,-13.990307998841189,nan,1.0630714755171413,nan,1.0631064443427578,nan,1.0121577841717693,nan,1.0111917118364413,nan
l W C,3,-13.553890091530308,nan,-14.861188928479748,nan,-14.854330948398937,nan,1.0747628739882662,nan,1.074768625555112,nan,1.0000646412411118,nan,1.000176301981165,nan
S c d,3,-13.287126550089939,nan,-19.068224734506565,nan,-18.715621202169565,nan,1.0793082647030634,nan,1.0793017291074247,nan,1,1,1.000117447293389,1.0
g i J,3,-12.740168957415445,nan,-14.814919616560992,nan,-14.830742203377685,nan,1.1070848194716822,nan,1.1070096119025792,nan,1.0004524886877828,nan,1.0005294301078203,nan
C u T,3,-14.284102227422611,nan,-15.11884569712685,nan,-15.151959109030928,nan,1.156903804763386,nan,1.1567038519821182,nan,1.0018733319412139,nan,1.0018231849102388,nan
D i g,3,-10.419475434904452,nan,-13.947138016324462,nan,-13.945214689692282,nan,1.1929803099447294,nan,1.1926899410359229,nan,1.0049070460948681,nan,1.0045856860854274,nan
w u T,3,-12.299010942267246,nan,-16.316427040273986,nan,-16.063842030767788,nan,1.263025729347442,nan,1.262560573755795,nan,1.0017446814845048,nan,1.0017059996990123,nan
T c T,3,-15.239271894343698,nan,-16.773311046926402,nan,-16.717593584098307,nan,1.0159000406280443,nan,1.0160529436729946,nan,1.0000643252283545,nan,1.000176039899002,nan
g u T,3,-12.5148019723193,nan,-17.470478766449816,nan,-17.217734728467654,nan,1.1821495168466392,nan,1.1818864740505535,nan,1.0016160310277957,nan,1.001588814487786,nan
f R s,3,-11.96516342573565,nan,-14.18043904282202,nan,-14.179775690463122,nan,1.0872678675844523,nan,1.087241455704747,nan,1.0016138189384949,nan,1.0015869799126471,nan
J Y m,3,-13.254731203420933,nan,-16.41265392031426,nan,-15.779876025278321,nan,1.0767031528399402,nan,1.0767033781346902,nan,1.001163542340013,nan,1.001176831673355,nan
n R z,3,-11.125255015978558,nan,-14.332913417794716,nan,-14.306464999717086,nan,1.070087174947761,nan,1.070104415632592,nan,1.0000643252283545,nan,1.000176039899002,nan
m R n,3,-10.751585562257578,nan,-14.133557952726822,nan,-14.10892020644635,nan,1.1230742692473603,nan,1.1229581504720743,nan,1.0014221073044602,nan,1.0014122504244585,nan
C u S,3,-14.39372809919358,nan,-16.061333625755765,nan,-16.086408464041238,nan,1.1578087821389516,nan,1.1576065536392206,nan,1.0013562020123192,nan,1.0013523474080317,nan
S e J,3,-14.8579935632284,nan,-14.886106903621688,nan,-14.934810754143827,nan,1.0827357557006498,nan,1.0827214041021442,nan,1.000965510450833,nan,1.000996860541912,nan
T ^ S,3,-13.68727033264324,nan,-16.674868393969113,nan,-16.687379118323346,nan,1.1008780914630207,nan,1.1008183338126123,nan,1.0001292824822237,nan,1.0002351566689407,nan
v e D,3,-11.751299935608198,nan,-20.252149683802234,nan,-20.1732669024582,nan,1.1024750987302108,nan,1.102411049980602,nan,1.0013574660633484,nan,1.0013533957366825,nan
C ^ Z,3,-18.454832455938956,nan,-inf,nan,-22.230334915691582,nan,1.0942979768727488,nan,1.09425473289817,nan,1.000128650456709,nan,1.0002346325046152,nan
n c T,3,-12.647921646288813,nan,-16.80559416444127,nan,-16.740434673570146,nan,1.0491113209004153,nan,1.0491812276663304,nan,1.0000643252283545,nan,1.000176039899002,nan
s R p,3,-11.520004942404874,nan,-13.586437184807199,nan,-13.587806216484461,nan,1.0776940915896271,nan,1.0776924162566712,nan,1.0006454643728464,nan,1.00070520792466,nan
D i D,3,-10.049203964098822,nan,-15.896145441070555,nan,-15.863455867114546,nan,1.1841891011535204,nan,1.1839208392240717,nan,1.0055534585059864,nan,1.005174232963186,nan
S c g,3,-13.754286976129384,nan,-16.618305060979544,nan,-16.542356245318558,nan,1.049573293791622,nan,1.049641531802634,nan,1.0009696186166774,nan,1.0010002676100271,nan
C i S,3,-14.263283822569644,nan,-16.096569188761855,nan,-16.12231005857935,nan,1.0821623135939882,nan,1.082149383283109,nan,1.0011606982251975,nan,1.0011744729338905,nan
g i D,3,-10.419475434904452,nan,-15.683448423510125,nan,-15.657660496504278,nan,1.130614231236388,nan,1.1304798549872397,nan,1.0043956043956044,nan,1.004119566062149,nan
T c S,3,-15.348897766114668,nan,-15.478965260124053,nan,-15.492558689755242,nan,1.01680501800361,nan,1.016955645330097,nan,1.0005168139161373,nan,1.0005880227134334,nan
z u T,3,-12.579681592481224,nan,-19.980700875213447,nan,-19.815986977024924,nan,1.155490558794349,nan,1.155294137769636,nan,1.0016803562561503,nan,1.0016474070933992,nan
S Y m,3,-13.00854581347182,nan,-14.372269632591303,nan,-14.343616095683979,nan,1.075032953058351,nan,1.075037352247211,nan,1.001163542340013,nan,1.001176831673355,nan
D ^ v,3,-10.936387966743123,nan,-10.1632649697371,nan,-10.178193051427527,nan,1.180810866565442,nan,1.180551303288807,nan,1.0121596802483128,nan,1.0111932843294176,nan
t W C,3,-12.706681353731284,nan,-16.233699935720736,nan,-16.22682147230642,nan,1.0421297397941376,nan,1.042217042830519,nan,1.0001289664694664,nan,1.000234894586778,nan
g Y b,3,-11.60291974428592,nan,-17.74374304512034,nan,-17.649449913903293,nan,1.068493299973404,nan,1.0685144936344508,nan,1.0013574660633484,nan,1.0013533957366825,nan
r c S,3,-13.059095641137276,nan,-15.359593797265362,nan,-15.37933584860216,nan,1.0192460792228557,nan,1.0193906062425666,nan,1.0005811391444919,nan,1.0006466153190465,nan
d R s,3,-10.928826614650752,nan,-12.441902442962805,nan,-12.453075593963169,nan,1.1177811328250251,nan,1.1176784671106164,nan,1.0015494937101403,nan,1.001528387307034,nan
S c z,3,-13.819166596291309,nan,-14.690098005881453,nan,-14.620124162330187,nan,1.0310212575925268,nan,1.0311361478320362,nan,1.0000646412411118,nan,1.000176301981165,nan
y c d,3,-11.227709820117445,nan,-18.73143111204561,nan,-18.18248729360751,nan,1.2264785608423323,nan,1.2261042409618397,nan,1.0000643252283545,nan,1.000176039899002,nan
J u S,3,-14.57484989579563,nan,-14.838911152334276,nan,-14.890382977785023,nan,1.1623697123117531,nan,1.1621560858704139,nan,1.0012275515556102,nan,1.0012351621968052,nan
h u S,3,-12.834005148169988,nan,-13.916384516188025,nan,-13.936741951081803,nan,1.213888951728468,nan,1.2135465767072713,nan,1.005215715713593,nan,1.0048679037448218,nan
g u S,3,-12.624427844090267,nan,-18.41296669507873,nan,-18.152184083477962,nan,1.1830544942222048,nan,1.1827891757076558,nan,1.001098901098901,nan,1.001117976985579,nan
y R z,3,-11.766814405831918,nan,-10.075959813357864,nan,-10.093013701803498,nan,1.1848170522523154,nan,1.1845475785186617,nan,1.010420686993439,nan,1.0096094494027228,nan
C e g,3,-12.972635104870097,nan,-15.617371839286818,nan,-15.629479795153923,nan,1.1121656458653524,nan,1.112077242654942,nan,1.0012915607712074,nan,1.001293492720256,nan
z i J,3,-12.80504857757737,nan,-19.209964182400096,nan,-19.15254567113648,nan,1.080425861419392,nan,1.0804172756216617,nan,1.0004524886877828,nan,1.0005294301078203,nan
