word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.20065680902425,nan,-11.471274764901874,nan,-11.486321623200716,nan,1.107066030843655,nan,1.106991214838696,nan,1.0022459571198015,nan,1.002163402637876,nan
b i l,3,-10.284694856393102,nan,-11.310057513835517,nan,-11.321910955125981,nan,1.145680329828375,nan,1.1455086752190782,nan,1.0076096889941342,nan,1.0070471080174521,nan
b i s,3,-10.118027832300069,nan,-11.411261266740725,nan,-11.422215757849003,nan,1.1671204331541742,nan,1.166894915878702,nan,1.0026371349095362,nan,1.0025192943046448,nan
b R s,3,-11.384387747054896,nan,-12.391552956002613,nan,-12.404603965261506,nan,1.1065298996244235,nan,1.1064553554391416,nan,1.001546710379222,nan,1.0015257971489433,nan
b Y s,3,-10.940704557786205,nan,-11.761236468837968,nan,-11.774406433886327,nan,1.1147281959159754,nan,1.1146332240821266,nan,1.0030230183522952,nan,1.0028707930945238,nan
b ^ l,3,-9.882093712056367,nan,-10.346016039009982,nan,-10.35858122865089,nan,1.162076922411479,nan,1.161864412505048,nan,1.0108957743479832,nan,1.0100451092172837,nan
C @ l,3,-12.358820236234475,nan,-16.332795130563944,nan,-16.316688690863614,nan,1.11185234456691,nan,1.1117648449339663,nan,1.0008379338140863,nan,1.0008802844816092,nan
C i D,3,-12.185340770116687,nan,-17.532407163695783,nan,-17.513513896939408,nan,1.105326185043396,nan,1.1052552504315865,nan,1.0050964169865733,nan,1.0047581926501925,nan
C i n,3,-11.556408446046138,nan,-13.831165322152774,nan,-13.845270422309754,nan,1.1558266693830797,nan,1.1556288654792546,nan,1.0023841147586106,nan,1.0022884760795705,nan
C R J,3,-15.76896018879482,nan,-17.537770480353263,nan,-17.485371911404275,nan,1.0210998749556859,nan,1.0212392921564166,nan,1.0000645786244753,nan,1.000175969038784,nan
