word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081975426760147,nan,-15.389939335914217,nan,-15.402653366327486,nan,1.1636402723807824,nan,1.1634232842224985,nan,1.0016815558497338,nan,1.0016484808554325,nan
g i T,3,-12.381390911974412,nan,-13.028513956242769,nan,-13.060020096620335,nan,1.106758178267545,nan,1.1066837392205127,nan,1.0003881234232486,nan,1.0004708835372569,nan
z i T,3,-12.447729908268963,nan,-17.505487927177445,nan,-17.458628465377263,nan,1.0797762946751,nan,1.079769288723877,nan,1.0003881234232486,nan,1.0004708835372569,nan
y c g,3,-11.694154737416994,nan,-16.265284392979233,nan,-15.99313647051137,nan,1.19665681142322,nan,1.19635747647081,nan,1.0010346834776527,nan,1.0010595527046668,nan
l R z,3,-11.62759309904851,nan,-12.780549975379543,nan,-12.780307473076533,nan,1.081870085184122,nan,1.0818579107265796,nan,1.0000643749195313,nan,1.0001761604785184,nan
J Y p,3,-13.686733201130153,nan,-16.945596946863123,nan,-16.31248922599875,nan,1.0417588786124112,nan,1.0418470100815358,nan,1.0012290575069538,nan,1.0012364901332522,nan
C ^ z,3,-12.222478125378226,nan,-13.900710207710844,nan,-13.913679941852838,nan,1.1123517874134858,nan,1.1122630354121645,nan,1.0034924861738839,nan,1.0032972206942206,nan
C e J,3,-14.923183485128613,nan,-15.198568445623838,nan,-15.239697006318877,nan,1.0799690541436004,nan,1.0799615663204722,nan,1.0003868741525417,nan,1.0004698476038343,nan
z i S,3,-12.561622132615959,nan,-18.607035560510553,nan,-18.55051982806845,nan,1.0806819159960133,nan,1.080672631090634,nan,1.0005821851348728,nan,1.0006475619824866,nan
z u v,3,-11.903393706237534,nan,-21.478080658985036,nan,-21.281111106295015,nan,1.159749933064349,nan,1.1595425962036747,nan,1.0016815558497338,nan,1.0016484808554325,nan
D Y p,3,-11.366322324183507,nan,-15.412881961186866,nan,-15.207966689458772,nan,1.1158948159116533,nan,1.115797666922292,nan,1.001293432426485,nan,1.001295123964973,nan
s R k,3,-11.003552437691193,nan,-13.6507073106974,nan,-13.651204847517509,nan,1.1176934748806262,nan,1.1175911857749585,nan,1.0005165609446345,nan,1.000587892217343,nan
b R s,3,-11.385522406851651,nan,-12.44166790210974,nan,-12.454466928803967,nan,1.1060844762251785,nan,1.106010991594597,nan,1.0016149947064652,nan,1.001588034140222,nan
T ^ z,3,-12.045774560888495,nan,-14.169351267526263,nan,-14.168687481426026,nan,1.1144717925528924,nan,1.1143777422369001,nan,1.0033637363348211,nan,1.0031799530307788,nan
S c G,3,-14.335545104089917,nan,-15.058764804169178,nan,-14.990906706131646,nan,1.017327503792005,nan,1.017476903194288,nan,1.0002587489488324,nan,1.0003530979071038,nan
J e J,3,-15.104305281730664,nan,-15.847378654989146,nan,-15.871541695198879,nan,1.0844660347423414,nan,1.0844473080699115,nan,1.0005156239916042,nan,1.000587115267276,nan
D ^ z,3,-10.08318904503363,nan,-8.75463532103551,nan,-8.769498945409508,nan,1.1909847053114688,nan,1.19069943400236,nan,1.0150155967699956,nan,1.013792676572262,nan
S Y p,3,-13.442800064385366,nan,-14.915382925934399,nan,-14.886344215748235,nan,1.040024328952897,nan,1.040116795406752,nan,1.0012290575069538,nan,1.0012364901332522,nan
n W C,3,-13.052619830135084,nan,-14.040609350871357,nan,-14.038769155010751,nan,1.0629641019663354,nan,1.0629993856031796,nan,1.0121024848718938,nan,1.0111406870103272,nan
l W C,3,-13.554347304748095,nan,-14.91438426651455,nan,-14.904768973836276,nan,1.0745920089430796,nan,1.0745982321267298,nan,1,1,1.0001175266467976,1.0
S c d,3,-13.290553906860906,nan,-19.080639098227195,nan,-18.727986800933063,nan,1.0791038153257395,nan,1.0790977574980691,nan,1,1,1.0001175266467976,1.0
g i J,3,-12.739216273066194,nan,-14.806176821818081,nan,-14.822014518651116,nan,1.107340363402418,nan,1.107264459313428,nan,1.0004528106604567,nan,1.0005297763523335,nan
C u T,3,-14.281737698549739,nan,-15.085299371561302,nan,-15.119130723412523,nan,1.157151771802599,nan,1.1569509996983076,nan,1.001874680608328,nan,1.0018243823505952,nan
D i g,3,-10.418805396119549,nan,-13.932028613163478,nan,-13.930241686892456,nan,1.1928768382315735,nan,1.1925866033909742,nan,1.004910608309634,nan,1.0045887188922142,nan
w u T,3,-12.296976283098834,nan,-16.310542411802025,nan,-16.057946426195766,nan,1.263152028772919,nan,1.2626863409350906,nan,1.0017459307692653,nan,1.0017071146871535,nan
T c T,3,-15.235263842349427,nan,-16.754418481218266,nan,-16.69881975618229,nan,1.0159088311456879,nan,1.0160617894871478,nan,1.0000643749195313,nan,1.0001761604785184,nan
g u T,3,-12.511414843909519,nan,-17.456073205534818,nan,-17.203329566258883,nan,1.182591833475476,nan,1.1823274815951355,nan,1.0016171809302026,nan,1.0015898470237117,nan
f R s,3,-11.965442162800342,nan,-14.191190504289045,nan,-14.19044385907252,nan,1.087389885450413,nan,1.087363122321928,nan,1.0016149947064652,nan,1.001588034140222,nan
J Y m,3,-13.254469899867265,nan,-16.410449271079685,nan,-15.77767711254263,nan,1.0768193611792007,nan,1.0768192645659853,nan,1.0011643702697457,nan,1.0011775973181756,nan
n R z,3,-11.125865624435498,nan,-14.331200920861704,nan,-14.304764261456956,nan,1.0702421782073779,nan,1.0702590642030294,nan,1.0000643749195313,nan,1.0001761604785184,nan
m R n,3,-10.751609142446966,nan,-14.133838351490667,nan,-14.109205300442488,nan,1.1229487248757704,nan,1.1228328498087545,nan,1.001423119218578,nan,1.001413168578482,nan
C u S,3,-14.395629922896735,nan,-16.031618157846808,nan,-16.057520967845246,nan,1.1580573931235123,nan,1.1578543420650647,nan,1.001357182710663,nan,1.0013532398299827,nan
