word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.04111256082625,nan,-12.810966761801781,nan,-12.835094472985741,nan,1.107203051983043,nan,1.1071192745320961,nan,1.001194603676385,nan,1.0012066044706,nan
b O r,3,-13.33902921623115,nan,-inf,nan,-15.215792908226415,nan,1.123692790128832,nan,1.1235636248743928,nan,1.001123832268034,nan,1.001142710789685,nan
b O s,3,-13.38553846569121,nan,-13.544514514358706,nan,-13.510574211609635,nan,1.0922702848209764,nan,1.0922276096298449,nan,1.001194603676385,nan,1.0012066044706,nan
b U n,3,-10.868233434125866,nan,-inf,nan,-16.872324808740032,nan,1.1369143675691915,nan,1.1367494230330768,nan,1.000561916134017,nan,1.000635032150264,nan
b u r,3,-10.211386527761565,nan,-11.83898056452176,nan,-11.848876473274926,nan,1.2688076317387216,nan,1.268282033392185,nan,1.0171900057469148,nan,1.015647444059355,nan
b U s,3,-11.212659338990827,nan,-inf,nan,-17.09581942362087,nan,1.121981600407125,nan,1.1218577581308256,nan,1.000561916134017,nan,1.000635032150264,nan
b W r,3,-11.56573180984283,nan,-16.183090308199624,nan,-15.803336195039472,nan,1.143430094336179,nan,1.14324700957599,nan,1.000632687542368,nan,1.000698925831179,nan
C e D,3,-12.602656297747686,nan,-18.073572001283292,nan,-18.048669078388315,nan,1.1030957187328898,nan,1.1030240268249305,nan,1.0016250829340791,nan,1.0015947389169502,nan
C i D,3,-12.18814666918329,nan,-17.42583698535045,nan,-17.40844298965071,nan,1.102533802598873,nan,1.1024636457658104,nan,1.0046666578183765,nan,1.0043408656433315,nan
C O b,3,-15.797386621221975,nan,-20.363609994493004,nan,-19.711039935858665,nan,1.0219707023846798,nan,1.0221208208176171,nan,1,1,1.0001273535108426,1.0
C O g,3,-15.804370991170961,nan,-20.632879001172178,nan,-19.860582550700315,nan,1.0409374398227549,nan,1.0410353525418037,nan,1,1,1.0001273535108426,1.0
C O v,3,-16.71851616296508,nan,-inf,nan,-20.98825296942394,nan,1.0125581050739934,nan,1.012734131566435,nan,1,1,1.0001273535108426,1.0
C u D,3,-12.321410825034445,nan,-17.482484849504708,nan,-17.463981465669377,nan,1.1762150556718518,nan,1.175943612142947,nan,1.0014127687090262,nan,1.0014030578742052,nan
C u S,3,-14.361997440311402,nan,-15.758215047641556,nan,-15.791649393005343,nan,1.1542759190830338,nan,1.1540648627604924,nan,1.0014127687090262,nan,1.0014030578742052,nan
C u T,3,-14.274478062294847,nan,-14.921198908524982,nan,-14.962732204096227,nan,1.1527897195076622,nan,1.1525827539313582,nan,1.0018373971591323,nan,1.001786419959695,nan
D e C,3,-12.602656297747686,nan,-13.095192118075012,nan,-13.071804950331206,nan,1.1572286078547918,nan,1.1570100507231746,nan,1.018122859105246,nan,1.0165008573341525,nan
D e D,3,-10.482128595649876,nan,-14.85606424809595,nan,-14.818068234104139,nan,1.1796631443020669,nan,1.1793828363820074,nan,1.0192552016388625,nan,1.0175231562287919,nan
D e J,3,-12.783130157038276,nan,-11.770107956894483,nan,-11.80751033819846,nan,1.1567332079963344,nan,1.1565160144467967,nan,1.0181936305135972,nan,1.0165647510150675,nan
D e S,3,-12.522715210926833,nan,-12.37227219672798,nan,-12.380852623447456,nan,1.157724007713249,nan,1.1575040869995528,nan,1.018122859105246,nan,1.0165008573341525,nan
D i C,3,-12.18814666918329,nan,-13.812991788513447,nan,-13.839865339356564,nan,1.1566666917207749,nan,1.1564496696640545,nan,1.0017597111599954,nan,1.0017168862159451,nan
D i D,3,-10.06761896708548,nan,-15.793773375904447,nan,-15.760563974128258,nan,1.17910122816805,nan,1.1788224553228872,nan,1.0053690529858978,nan,1.004975463942608,nan
D i S,3,-12.10820558236244,nan,-14.158651868735653,nan,-14.17728020197023,nan,1.157162091579232,nan,1.1569437059404326,nan,1.0019012539766976,nan,1.001844673577775,nan
D i T,3,-12.020686204345884,nan,-13.147558958084097,nan,-13.17587299613293,nan,1.1556758920038603,nan,1.1554615971112985,nan,1.0015473969349424,nan,1.0015252051732004,nan
