word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.20314678875187,nan,-11.505920258827532,nan,-11.520801519547724,nan,1.1072792737878363,nan,1.1072036932731182,nan,1.0019261708909233,nan,1.0018719430245582,nan
b i l,3,-10.286233684974986,nan,-11.331416551296964,nan,-11.343169480092133,nan,1.145271330555098,nan,1.1451005777578704,nan,1.0075996516437877,nan,1.007038761275716,nan
b i s,3,-10.117630398418136,nan,-11.44109917243152,nan,-11.451943120391721,nan,1.1664766157629614,nan,1.1662526929693915,nan,1.0025078050437233,nan,1.002401522487268,nan
b R s,3,-11.388014032985048,nan,-12.433108621019665,nan,-12.445974343514518,nan,1.1060532674627688,nan,1.1059801227473682,nan,1.0015450296708455,nan,1.0015243788437769,nan
b Y s,3,-10.94382808676525,nan,-11.790082858068814,nan,-11.803157102574039,nan,1.1143919461029228,nan,1.1142979933724881,nan,1.0030869586158526,nan,1.0029290436520935,nan
b ^ l,3,-9.885197562278154,nan,-10.36489209320408,nan,-10.37736847314665,nan,1.1620128315172533,nan,1.1618003026283035,nan,1.0109084568576376,nan,1.0100556153460598,nan
C @ l,3,-12.360336052249393,nan,-16.414359115537255,nan,-16.396473863110668,nan,1.1125183252458264,nan,1.1124292423101056,nan,1.0008369685898542,nan,1.000879459228611,nan
C i D,3,-12.184294522532612,nan,-17.680044877924683,nan,-17.656832952121093,nan,1.105263846402389,nan,1.1051930420578127,nan,1.0048956946835161,nan,1.0045759666909222,nan
C i n,3,-11.558381091353622,nan,-13.885859726480385,nan,-13.898368623600268,nan,1.1559244973853087,nan,1.1557266668488633,nan,1.0022530907518372,nan,1.002169298458943,nan
C R J,3,-15.772824988930202,nan,-17.582462068300483,nan,-17.528448444036872,nan,1.0210570627170852,nan,1.0211966708842657,nan,1.0000644537544312,nan,1.000175840388275,nan
C R g,3,-13.824041274679157,nan,-17.89263749281765,nan,-17.852980546747258,nan,1.0532194861782518,nan,1.0532784504907977,nan,1.0002578150177248,nan,1.0003519380637858,nan
C R T,3,-15.417013727210122,nan,-17.038111980076295,nan,-16.979375957984832,nan,1.0204769789272043,nan,1.020618041592765,nan,1,1,1.000117141163105,1.0
C ^ J,3,-14.10140523166646,nan,-18.020663453141832,nan,-18.01264893528489,nan,1.098221911979433,nan,1.098168965976722,nan,1.000192741118126,nan,1.0002927242641444,nan
C ^ n,3,-11.15734496865679,nan,-12.762650870392969,nan,-12.771679682799382,nan,1.1726659983474639,nan,1.1724263917192963,nan,1.012696769477778,nan,1.0116803739471687,nan
C ^ S,3,-13.859729432223322,nan,-16.431359070203634,nan,-16.456876805542088,nan,1.0984797269971576,nan,1.0984261345507222,nan,1.0002571948725572,nan,1.0003514234893147,nan
C ^ C,3,-13.919083674872507,nan,-15.771035087134033,nan,-15.804136398174819,nan,1.097899643207277,nan,1.0978475052592216,nan,1.0006439173991444,nan,1.000703618840336,nan
d i k,3,-9.928516326242654,nan,-12.18567381424946,nan,-12.193938619947005,nan,1.166151145987301,nan,1.1659282075128468,nan,1.0032859011856554,nan,1.0031097724978444,nan
d i s,3,-9.6591045469875,nan,-12.203196882893875,nan,-12.210429084614594,nan,1.1781395443115035,nan,1.1778865462038586,nan,1.0015456498160131,nan,1.0015248934182481,nan
d i t,3,-8.979587648793249,nan,-10.934121245496133,nan,-10.942071794948,nan,1.2598669049302595,nan,1.2594089841619402,nan,1.0017390110793067,nan,1.0017009910937589,nan
d E p,3,-11.142729950580666,nan,-16.326924273412562,nan,-16.27295840799273,nan,1.1183649091997523,nan,1.1182616939258463,nan,1.0003219586995722,nan,1.0004103800017206,nan
d R s,3,-10.92948818155441,nan,-12.44535718100565,nan,-12.456530747669389,nan,1.117716196011311,nan,1.1176139759818353,nan,1.0015450296708455,nan,1.0015243788437769,nan
D i D,3,-10.048469247495886,nan,-15.933482893374162,nan,-15.899435402362265,nan,1.1838924910675603,nan,1.1836256679846855,nan,1.005472987820142,nan,1.0051019441323341,nan
D i g,3,-10.41783236507552,nan,-13.943919094780235,nan,-13.942023334883853,nan,1.1922714791436158,nan,1.1919836466396938,nan,1.0048929040302614,nan,1.004573651105802,nan
D i C,3,-12.18429452253261,nan,-13.949896617215462,nan,-13.972611941255183,nan,1.1597867869102931,nan,1.1595804063156614,nan,1.0016057625542705,nan,1.0015799906221206,nan
d I J,3,-12.057095917984835,nan,-14.651474838436616,nan,-14.646872292241447,nan,1.0874742794485361,nan,1.0874482412927755,nan,1.007568954457986,nan,1.007013289839395,nan
d I D,3,-9.738949086154156,nan,-14.560157215646154,nan,-14.5337652865834,nan,1.1112577148336473,nan,1.1111720422442992,nan,1.0086646682833162,nan,1.0080111766672888,nan
d Y p,3,-11.271140078811335,nan,-12.540931697789867,nan,-12.55162747903054,nan,1.0742340560887838,nan,1.0742409632329035,nan,1.001866058152666,nan,1.0018168458206858,nan
d Y t,3,-9.805785337140364,nan,-11.471270715898953,nan,-11.480231640945751,nan,1.207782235270221,nan,1.207454284565037,nan,1.0030262257324276,nan,1.00287343187375,nan
d I T,3,-11.701284656264754,nan,-14.058334586042992,nan,-14.051279790554513,nan,1.0868941956586553,nan,1.0868696120012749,nan,1.007568954457986,nan,1.007013289839395,nan
d I Z,3,-16.40378318621341,nan,-inf,nan,-18.915170161586985,nan,1.0833492391649395,nan,1.0833335441087713,nan,1.007568954457986,nan,1.007013289839395,nan
