word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.019395503347091,nan,-12.807993040713363,nan,-12.82694915799236,nan,1.1069657342292007,nan,1.1068899901189682,nan,1.0010935288820275,nan,1.0011134904304488,nan
b O r,3,-13.3206414887986,nan,-inf,nan,-15.28979013204614,nan,1.1229874410578073,nan,1.1228714310263015,nan,1.0010935288820275,nan,1.0011134904304488,nan
b O s,3,-13.35417694383476,nan,-13.635903709456507,nan,-13.588381422533896,nan,1.0925591188147683,nan,1.0925195815611644,nan,1.0011581325385945,nan,1.0011723139598607,nan
b U n,3,-10.864963071531749,nan,-inf,nan,-16.99882372650588,nan,1.1364266888155896,nan,1.1362772214311274,nan,1.0005146018268365,nan,1.0005861569799301,nan
b u r,3,-10.213205225664606,nan,-11.879331949618503,nan,-11.888171271257956,nan,1.2730581988089975,nan,1.2725666507888937,nan,1.017503692934673,nan,1.0160553596724329,nan
b U s,3,-11.199744512019418,nan,-inf,nan,-17.22125949031473,nan,1.1220200734011572,nan,1.1219068128733236,nan,1.0005146018268365,nan,1.0005861569799301,nan
b W r,3,-11.575402035205435,nan,-16.35443433588927,nan,-15.971868770670287,nan,1.1429925870760758,nan,1.1428265160439468,nan,1.000643530711758,nan,1.0007035731149552,nan
C e D,3,-12.602277918589772,nan,-18.21250510072839,nan,-18.185847864157417,nan,1.1034884312550992,nan,1.1034218821918167,nan,1.0016139777013244,nan,1.0015870806751248,nan
C i D,3,-12.188851362792823,nan,-17.60611883255272,nan,-17.58559659940648,nan,1.1054825133340904,nan,1.1054109742675304,nan,1.0049719757017443,nan,1.0046447495855433,nan
C O b,3,-15.785133078894019,nan,-20.860459944745514,nan,-20.18665176144881,nan,1.0216249765562377,nan,1.0217633878059,nan,1,1,1.0001174161350248,1.0
C O g,3,-15.796326845922083,nan,-21.07240972903166,nan,-20.27936925652824,nan,1.0400370186778218,nan,1.0401291565905373,nan,1,1,1.0001174161350248,1.0
C O v,3,-16.71384633076673,nan,-inf,nan,-21.41485962293783,nan,1.01115918419239,nan,1.0113238981809485,nan,1,1,1.0001174161350248,1.0
C u D,3,-12.31841446652999,nan,-17.689730730487152,nan,-17.667572515031313,nan,1.1813862827924722,nan,1.1811248016656697,nan,1.0012909594184896,nan,1.0012929630280658,nan
C u S,3,-14.395174852296197,nan,-16.059763648321955,nan,-16.084931186940924,nan,1.158128966428366,nan,1.1579259358324439,nan,1.0013555630750566,nan,1.0013517865574777,nan
C u T,3,-14.282289170560603,nan,-15.120535529657666,nan,-15.153605528256728,nan,1.1572245152364284,nan,1.1570237577167073,nan,1.0018723923275923,nan,1.0018223747927717,nan
D e C,3,-12.602277918589774,nan,-13.129714895071725,nan,-13.110100318409174,nan,1.1586390020993447,nan,1.1584348670423206,nan,1.0183332469374744,nan,1.016816770582376,nan
D e D,3,-10.46270619268083,nan,-14.83928832634863,nan,-14.804754458884858,nan,1.1825423550291205,nan,1.1822781458153582,nan,1.0195607164122469,nan,1.0179344176411997,nan
D e J,3,-12.78483960024981,nan,-11.888546259357277,nan,-11.92047214841967,nan,1.1589620203821795,nan,1.1587570735122263,nan,1.0183332469374744,nan,1.016816770582376,nan
D e S,3,-12.539466578447037,nan,-12.531760464157555,nan,-12.536690382277104,nan,1.1592850386650144,nan,1.1590792799821323,nan,1.0183332469374744,nan,1.016816770582376,nan
D i C,3,-12.188851362792825,nan,-13.947706063643587,nan,-13.970463946908378,nan,1.1606330841783359,nan,1.1604239591180343,nan,1.0016100797063507,nan,1.0015838477419445,nan
D i D,3,-10.049279636883881,nan,-15.860930818520782,nan,-15.829505623109132,nan,1.1845364371081117,nan,1.184267237891072,nan,1.0055509027569354,nan,1.005172083036062,nan
D i S,3,-12.126040022650088,nan,-14.330580885741146,nan,-14.345846505554999,nan,1.1612791207440056,nan,1.161068372057846,nan,1.0018038906760516,nan,1.0017603183301798,nan
D i T,3,-12.013154340914493,nan,-13.245889315006057,nan,-13.270527544447113,nan,1.160374669552068,nan,1.1601661939421095,nan,1.0015454760497837,nan,1.0015250242125326,nan
d u r,3,-9.756521034922041,nan,-10.584883524663283,nan,-10.595595627296634,nan,1.2851412375647016,nan,1.284619478074443,nan,1.0269595015027935,nan,1.0246684726975692,nan
D W C,3,-13.68061127607082,nan,-16.658054353463303,nan,-16.531448877998532,nan,1.1064712419037959,nan,1.1063976517712266,nan,1,1,1.0001174161350248,1.0
D W D,3,-11.541039550161878,nan,-19.371271715518105,nan,-19.19646097161865,nan,1.1303745948335717,nan,1.1302409305442642,nan,1.0012274694747723,nan,1.0012350631938485,nan
D W T,3,-13.504914254192492,nan,-14.5703931874705,nan,-14.48432019054051,nan,1.106212827277528,nan,1.1061398865953018,nan,1.000064603656567,nan,1.0001762396644367,nan
f U n,3,-11.446213765454083,nan,-inf,nan,-18.34978227403331,nan,1.1177236873373455,nan,1.1176209834518993,nan,1.0002573009134181,nan,1.0003517865574776,nan
f u r,3,-10.794455919586941,nan,-13.90854745198217,nan,-13.900659176250992,nan,1.2543551973307534,nan,1.2539104128096656,nan,1.0166674649660636,nan,1.0152936557994616,nan
f U s,3,-11.780995205941752,nan,-inf,nan,-18.57221803784216,nan,1.103317071922913,nan,1.1032505748940955,nan,1.0002573009134181,nan,1.0003517865574776,nan
f W r,3,-12.15665272912777,nan,-18.505843997074294,nan,-18.09771788711322,nan,1.1242895855978317,nan,1.1241702780647187,nan,1.0002575793416306,nan,1.0003520174812763,nan
f ^ r,3,-10.263532328565237,nan,-13.351597112556895,nan,-13.359377116609876,nan,1.1950473367878485,nan,1.194750964622306,nan,1.001482264534279,nan,1.0014673553021138,nan
g U n,3,-10.876156838559814,nan,-inf,nan,-16.83184403652295,nan,1.1364909602983329,nan,1.1363413322145612,nan,1.002315708220764,nan,1.002226749937099,nan
g U S,3,-13.579083073964004,nan,-13.286134694324387,nan,-13.310029547881461,nan,1.0627135844988627,nan,1.06274937448805,nan,1.0030263484430006,nan,1.0028738087606284,nan
g U T,3,-13.466197392228413,nan,-inf,nan,-16.6936155872084,nan,1.061809133306925,nan,1.0618471963723135,nan,1.002315708220764,nan,1.002226749937099,nan
g W C,3,-14.05108739232892,nan,-18.624835612822896,nan,-18.227269403784593,nan,1.0526117393650725,nan,1.0526728152537244,nan,1,1,1.0001174161350248,1.0
g W D,3,-11.911515666419977,nan,-21.338052974877698,nan,-20.89228149740471,nan,1.0765150922948483,nan,1.076516094026762,nan,1.0012274694747723,nan,1.0012350631938485,nan
g W T,3,-13.875390370450589,nan,-16.537174446830093,nan,-16.18014071632657,nan,1.0523533247388046,nan,1.0524150500777996,nan,1.000064603656567,nan,1.0001762396644367,nan
g ^ r,3,-9.693475401670966,nan,-11.70841404679297,nan,-11.717761359020324,nan,1.2138146097488358,nan,1.213471313384968,nan,1.0031547204714975,nan,1.0029907630480563,nan
h U n,3,-11.084268621972736,nan,-inf,nan,-19.69169877610023,nan,1.1675983579459965,nan,1.1673709513965076,nan,1,1,1.0001174161350248,1.0
h u r,3,-10.432510776105591,nan,-11.460786210267234,nan,-11.4687460786201,nan,1.3042298679394044,nan,1.303660380754274,nan,1.02084860480911,nan,1.019102175164318,nan
h U s,3,-11.419050062460405,nan,-inf,nan,-19.914134539909078,nan,1.153191742531564,nan,1.1530005428387038,nan,1,1,1.0001174161350248,1.0
h W r,3,-11.794707585646421,nan,-14.989765614239026,nan,-14.612654874890973,nan,1.1741642562064827,nan,1.173920246009327,nan,1.0051462966965774,nan,1.0048050555078774,nan
J O b,3,-15.967694760554057,nan,-17.796828897851622,nan,-17.68924895124836,nan,1.0261882518309982,nan,1.026315253429698,nan,1,1,1.0001174161350248,1.0
J ^ r,3,-11.645132692981846,nan,-11.790213183920102,nan,-11.839140025128028,nan,1.1931834637882983,nan,1.1928917519027267,nan,1.0061136809758071,nan,1.0056860229062623,nan
k E G,3,-11.670918574521703,nan,-16.911516511081672,nan,-16.803024458342215,nan,1.10709060951443,nan,1.107015368582574,nan,1.000064603656567,nan,1.0001762396644367,nan
k E S,3,-12.799881083149728,nan,-17.91088616538271,nan,-17.802937431358195,nan,1.107219816827564,nan,1.1071442511705365,nan,1,1,1.0001174161350248,1.0
k i b,3,-10.386205319323574,nan,-14.79525340351566,nan,-14.788536136498166,nan,1.1291488643927186,nan,1.1290182767724815,nan,1.0007095265093868,nan,1.0007635512633601,nan
k i C,3,-12.16649469600248,nan,-13.716100597430177,nan,-13.744214560805617,nan,1.114936059947987,nan,1.1148411920966212,nan,1.0007095265093868,nan,1.0007635512633601,nan
k i D,3,-10.026922970093539,nan,-15.629325352307372,nan,-15.60325623700637,nan,1.1388394128777628,nan,1.1386844708696588,nan,1.0046503495599715,nan,1.0043517865574776,nan
k i r,3,-9.70200310590706,nan,-11.046692768575047,nan,-11.055893469113771,nan,1.2053811791417335,nan,1.2050590036702775,nan,1.0246128794391627,nan,1.022528257145713,nan
k u f,3,-11.097019116983075,nan,-15.005990578384857,nan,-14.995321869620675,nan,1.1951682743963552,nan,1.1948725861914997,nan,1.0022611279798437,nan,1.0021762396644367,nan
k U m,3,-11.170671061624438,nan,-17.075327663727755,nan,-16.801465867748142,nan,1.1136436834545658,nan,1.1135515805996825,nan,1.001157854110382,nan,1.001172083036062,nan
k U n,3,-10.483324055511371,nan,-inf,nan,-17.830920028891807,nan,1.1446534386067073,nan,1.1444834017106504,nan,1.001157854110382,nan,1.001172083036062,nan
