word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077291220511636,nan,-15.104363900456454,nan,-15.12003584931372,nan,1.1597126074064639,nan,1.1594987515471278,nan,1.0018119513375583,nan,1.00176548651368,nan
g i T,3,-12.380301019722836,nan,-12.921753114127217,nan,-12.956611706844999,nan,1.1061090286419373,nan,1.1060340174119199,nan,1.0004029279430529,nan,1.000486943794429,nan
z i T,3,-12.43344799359594,nan,-16.897747508665454,nan,-16.881574773658752,nan,1.0788181919885507,nan,1.0788136716936605,nan,1.0004029279430529,nan,1.000486943794429,nan
y c g,3,-11.71520558953111,nan,-16.097536315407424,nan,-15.827805590964303,nan,1.1881200730049661,nan,1.1878326939616883,nan,1.0008723983401915,nan,1.00091295656278,nan
l R z,3,-11.610896087587971,nan,-12.661918680326892,nan,-12.662911091957561,nan,1.0829793436605866,nan,1.0829639569566023,nan,1.0000665424540858,nan,1.0001817842498382,nan
J Y p,3,-13.675241059286183,nan,-16.802944519245692,nan,-16.17618459206615,nan,1.0438261282187176,nan,1.043911984863629,nan,1.0010744745148077,nan,1.001096254055214,nan
C ^ z,3,-12.203692483444641,nan,-13.514636963725499,nan,-13.536885196108493,nan,1.1134875123875065,nan,1.1133929040083153,nan,1.0036922817384715,nan,1.0034715552438773,nan
C e J,3,-14.907892653285503,nan,-14.854659730679929,nan,-14.907992988751431,nan,1.0793490214668715,nan,1.0793431309717723,nan,1.0006672611501264,nan,1.000727136999353,nan
z i S,3,-12.52264995196539,nan,-17.973206934407052,nan,-17.946154320513106,nan,1.0796912025318317,nan,1.0796844017673377,nan,1.0007387012289302,nan,1.0007915989248215,nan
z u v,3,-11.919268824440513,nan,-20.468839069706306,nan,-20.30532817330843,nan,1.15485620198925,nan,1.1546547407724272,nan,1.0017447966803827,nan,1.0017045554876016,nan
D Y p,3,-11.355996772281046,nan,-15.30786344373494,nan,-15.10458056586791,nan,1.115207270316991,nan,1.1151087528615096,nan,1.0011410169688935,nan,1.001156680667094,nan
s R k,3,-10.973110471867038,nan,-13.503463883693271,nan,-13.504666914866,nan,1.120608644245278,nan,1.120495077193758,nan,1.0006019431022202,nan,1.0006677192158702,nan
b R s,3,-11.363593470766837,nan,-12.282485031707823,nan,-12.296785274937928,nan,1.1075093792275839,nan,1.107429348511434,nan,1.0015408838964972,nan,1.0015197447525717,nan
T ^ z,3,-12.042588436168884,nan,-13.981907898127142,nan,-13.986197914771719,nan,1.1146827315110124,nan,1.1145850359375824,nan,1.0035591968303001,nan,1.0033507020201176,nan
S c G,3,-14.291459692816554,nan,-14.73809573229801,nan,-14.676389582985994,nan,1.02059739849806,nan,1.020743568814141,nan,1.0005366250543142,nan,1.0006083014323877,nan
J e J,3,-15.117313314922681,nan,-15.789788452897886,nan,-15.819314010821287,nan,1.0830010798998064,nan,1.0829857563111986,nan,1.0006007186960406,nan,1.000666710387473,nan
D ^ z,3,-10.093868858076682,nan,-8.708481370303522,nan,-8.724753115192955,nan,1.188520712918715,nan,1.1882322973456223,nan,1.0153372112034702,nan,1.014046212322855,nan
S Y p,3,-13.393918308742695,nan,-14.675072441736877,nan,-14.651022076802803,nan,1.0428301122824626,nan,1.04291854158924,nan,1.0011410169688935,nan,1.001156680667094,nan
n W C,3,-13.026928815367135,nan,-13.770086039739475,nan,-13.777446570729815,nan,1.0622451992405921,nan,1.0622837585066027,nan,1.0110460473782272,nan,1.010152175210017,nan
l W C,3,-13.517715116707853,nan,-14.532262180285036,nan,-14.532034335220757,nan,1.0748614010998219,nan,1.0748673733155305,nan,1.0000665424540858,nan,1.0001817842498382,nan
S c d,3,-13.255239963969258,nan,-19.105237097507622,nan,-18.64066727821904,nan,1.080499352698584,nan,1.0804890477156817,nan,1.0000665424540858,nan,1.0001817842498382,nan
g i J,3,-12.750825728635773,nan,-14.78471581041186,nan,-14.800938159856994,nan,1.106377647270639,nan,1.1063019343576668,nan,1.0004029279430529,nan,1.000486943794429,nan
C u T,3,-14.254561038042704,nan,-14.82553945447953,nan,-14.868884360594077,nan,1.1516116777915901,nan,1.1514187462487637,nan,1.0020115786998156,nan,1.0019467663493198,nan
D i g,3,-10.431581441630636,nan,-13.88932064155333,nan,-13.888116089935261,nan,1.1861316819679253,nan,1.185849086582321,nan,1.0044889545782307,nan,1.00419516134384,nan
w u T,3,-12.295154422949956,nan,-16.197537405052664,nan,-15.948206598969605,nan,1.253736511788934,nan,1.2532797966494524,nan,1.0018119513375583,nan,1.00176548651368,nan
T c T,3,-15.218027386654061,nan,-16.537394835577846,nan,-16.489164565625746,nan,1.0176591726670257,nan,1.017812975476763,nan,1.0001330849081713,nan,1.000242210861718,nan
g u T,3,-12.520792023850817,nan,-17.2730749364341,nan,-17.023881273477574,nan,1.1770432846973005,nan,1.176784664521497,nan,1.001678866429387,nan,1.0016446332899203,nan
f R s,3,-11.947632748940395,nan,-13.983636473154762,nan,-13.982793097470932,nan,1.088850680688407,nan,1.088818844504546,nan,1.0014743414424117,nan,1.001459318140692,nan
J Y m,3,-13.256285864013755,nan,-16.291679761339232,nan,-15.665312469623114,nan,1.0772019928349286,nan,1.0772006653726711,nan,1.0012087838291586,nan,1.0012181161073708,nan
n R z,3,-11.120109786247252,nan,-14.253206493740054,nan,-14.22617589259145,nan,1.0703631418013568,nan,1.0703803421476745,nan,1.0000665424540858,nan,1.0001817842498382,nan
m R n,3,-10.750471587695536,nan,-14.131233212007608,nan,-14.102013952773092,nan,1.125494016239717,nan,1.1253670392346877,nan,1.0015445571150359,nan,1.0015227712377632,nan
