word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.07916901159415,nan,-15.366056126902501,nan,-15.37912697606149,nan,1.1634374596608246,nan,1.1632209463696515,nan,1.0016831472656058,nan,1.0016498691025943,nan
g i T,3,-12.38503104591379,nan,-13.039245487364122,nan,-13.070873798213297,nan,1.1066666240449756,nan,1.1065924250109143,nan,1.0003885003885005,nan,1.0004712652321106,nan
z i T,3,-12.451241052184795,nan,-17.321901130321677,nan,-17.288420322805536,nan,1.0801259132937384,nan,1.0801180660365555,nan,1.0003885003885005,nan,1.0004712652321106,nan
y c g,3,-11.69508189461281,nan,-16.29734714207374,nan,-16.024982645706658,nan,1.1962299186618035,nan,1.195931535890672,nan,1.0010356466181052,nan,1.0010604202372833,nan
l R z,3,-11.62485838240858,nan,-12.784250159523125,nan,-12.784013723284032,nan,1.0822961023528046,nan,1.0822828649915344,nan,1.0000643956468542,nan,1.000176246939317,nan
J Y p,3,-13.68736568444339,nan,-16.9428085274447,nan,-16.309972446376037,nan,1.0414574443776177,nan,1.0415463830668241,nan,1.0011655011655012,nan,1.0011786038704837,nan
C ^ z,3,-12.22484289374898,nan,-13.86813314987996,nan,-13.882109066885334,nan,1.1124656718867552,nan,1.1123766141680171,nan,1.003495794660712,nan,1.003300032065327,nan
C e J,3,-14.924256171450933,nan,-15.195258634762471,nan,-15.236941589297153,nan,1.0801268985472734,nan,1.0801190462914634,nan,1.0004518327816674,nan,1.000529034678089,nan
z i S,3,-12.564731693925872,nan,-18.40084849065807,nan,-18.3580414228104,nan,1.0809676641354893,nan,1.0809576965991081,nan,1.0006475006475006,nan,1.000707044778235,nan
z u v,3,-11.901115421677996,nan,-21.195880170903138,nan,-21.01332027925462,nan,1.1595480741924915,nan,1.1593412073009957,nan,1.0016183972008559,nan,1.0015909242160632,nan
D Y p,3,-11.367730246452929,nan,-15.41249523018693,nan,-15.207641924178596,nan,1.1153601498592705,nan,1.1152643317847728,nan,1.0012298968123554,nan,1.0012372548968766,nan
s R k,3,-11.00102241540095,nan,-13.632979465361448,nan,-13.633553022426891,nan,1.1180215854467086,nan,1.1179184007404204,nan,1.0005169372643132,nan,1.0005882734247584,nan
b R s,3,-11.382766660839039,nan,-12.432571046520216,nan,-12.445474421124121,nan,1.1055136255703277,nan,1.1054414905808905,nan,1.0015518750466268,nan,1.0015305100288416,nan
