word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.009665374532693,nan,-12.637966927891185,nan,-12.666496298192673,nan,1.109102461510243,nan,1.1090154476756449,nan,1.0011005151270433,nan,1.0011211659826798,nan
b O r,3,-13.305810749171577,nan,-inf,nan,-15.147717207207892,nan,1.1240567677965903,nan,1.1239294848226447,nan,1.0010312822275695,nan,1.0010585289642018,nan
b O s,3,-13.344226597319864,nan,-13.445319182053808,nan,-13.407474783792685,nan,1.0935250591286314,nan,1.0934799923141865,nan,1.0011005151270433,nan,1.0011211659826798,nan
b U n,3,-10.874772528316644,nan,-inf,nan,-16.82534251043533,nan,1.137978363882192,nan,1.1378141311643997,nan,1.0006187693365418,nan,1.0006850694845555,nan
b u r,3,-10.211848585709928,nan,-11.823912372839803,nan,-11.833737345105256,nan,1.2668549802407292,nan,1.2663458315039393,nan,1.0170937956564674,nan,1.0155907110229494,nan
b U s,3,-11.209333751103815,nan,-inf,nan,-17.027324495302654,nan,1.1224009615005803,nan,1.1222786758029413,nan,1.0006187693365418,nan,1.0006850694845555,nan
b W r,3,-11.560432068289643,nan,-16.206427175563253,nan,-15.82610159499657,nan,1.1431011129323756,nan,1.1429229022664187,nan,1.0006880022360156,nan,1.0007477065030335,nan
C e D,3,-12.574365659362828,nan,-18.006688922710524,nan,-17.983255906617128,nan,1.1033823434921606,nan,1.1033114030988382,nan,1.0018664037799785,nan,1.0018137171327686,nan
C i D,3,-12.169131979165902,nan,-17.433198930460073,nan,-17.4155982626044,nan,1.1039323606801976,nan,1.103859949451005,nan,1.0047727433049716,nan,1.0044432905932306,nan
C O b,3,-15.742470565420195,nan,-20.508755556668522,nan,-19.841635944466894,nan,1.023085607810281,nan,1.0232295631494608,nan,1,1,1.0001248802650857,1.0
C O g,3,-15.755783386843193,nan,-20.88381340999439,nan,-20.0431449221362,nan,1.0392168733876834,nan,1.0393173902571042,nan,1,1,1.0001248802650857,1.0
