word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.199263580115078,nan,-11.522980328752809,nan,-11.538115658562873,nan,1.1020352692611273,nan,1.101977653229753,nan,1.0019949766206435,nan,1.001938675460854,nan
b i l,3,-10.27511518138806,nan,-11.378792442396984,nan,-11.390567219456267,nan,1.1390695869736316,nan,1.1389231654893608,nan,1.0070335231762964,nan,1.00654174211518,nan
b i s,3,-10.113637795513611,nan,-11.455620463327477,nan,-11.466596544833521,nan,1.1587480275968856,nan,1.1585540795344438,nan,1.0025639719937276,nan,1.0024577942989576,nan
b R s,3,-11.379333494788085,nan,-12.431758790455202,nan,-12.444846464425686,nan,1.1022722143691817,nan,1.102210148033336,nan,1.0017837535325584,nan,1.0017428407709368,nan
b Y s,3,-10.935351754290316,nan,-11.822622693860858,nan,-11.835760917444983,nan,1.1101944325902837,nan,1.1101138663735552,nan,1.0031785621061489,nan,1.0030198340567875,nan
b ^ l,3,-9.879447010880488,nan,-10.366352704592156,nan,-10.3790161126267,nan,1.1561143595099417,nan,1.1559281352516504,nan,1.0103640963103662,nan,1.0096056045069493,nan
C @ l,3,-12.348038224870361,nan,-16.059302357213426,nan,-16.049397837723113,nan,1.1078538190136924,nan,1.107780169097116,nan,1.000800821411695,nan,1.0008439221728525,nan
C i D,3,-12.173379573817197,nan,-16.05651317647203,nan,-16.068761418019307,nan,1.102613631791067,nan,1.1025532761052994,nan,1.0046372398263692,nan,1.0043503045813083,nan
C i n,3,-11.544984550185458,nan,-13.611084303043366,nan,-13.631049476504003,nan,1.1503509215048917,nan,1.1501752726373777,nan,1.0020920787362955,nan,1.0020247231859596,nan
C R J,3,-15.748382589265846,nan,-17.196996981848486,nan,-17.15317108242402,nan,1.0213690557599615,nan,1.0215004023203174,nan,1.000062077099758,nan,1.0001684394201273,nan
C R g,3,-13.80667059918917,nan,-17.279946914604373,nan,-17.251376996288542,nan,1.0527179911377007,nan,1.0527736250104338,nan,1.0002483083990317,nan,1.00033860391247,nan
C R T,3,-15.39611617561188,nan,-16.830140728539245,nan,-16.769407420516092,nan,1.0212449015604457,nan,1.02137654797303,nan,1,1,1.00011171792268,1.0
C ^ J,3,-14.087018719483801,nan,-17.628720300556015,nan,-17.629292262763297,nan,1.0948896415239755,nan,1.0948493035837148,nan,1.0003021443185791,nan,1.0003884251210569,nan
C ^ n,3,-11.149316379677884,nan,-12.460197389199053,nan,-12.4772135783309,nan,1.1673956940412018,nan,1.1671802423996673,nan,1.0124071787713695,nan,1.0114491171233257,nan
C ^ S,3,-13.83554138495508,nan,-15.955678676010741,nan,-15.991420280835648,nan,1.0956345667210703,nan,1.0955924296674404,nan,1.000364221418337,nan,1.0004451466185045,nan
C ^ C,3,-13.896664990992583,nan,-15.334167379259235,nan,-15.377721451858523,nan,1.0949517186237334,nan,1.0949112307573587,nan,1.0008608382164002,nan,1.0008989185980848,nan
d i k,3,-9.922357564180158,nan,-12.094365684817348,nan,-12.10288930008967,nan,1.160311065776532,nan,1.1601144711701916,nan,1.0033418619116636,nan,1.0031660534237707,nan
d i s,3,-9.657632074914144,nan,-12.152329456391953,nan,-12.159716345731836,nan,1.171981560531017,nan,1.171756779815225,nan,1.0016037031184424,nan,1.0015778514952398,nan
d i t,3,-8.979983137260398,nan,-10.91182919540997,nan,-10.91988858726598,nan,1.248460547432749,nan,1.2480510577443802,nan,1.0020382428167478,nan,1.0019749019773727,nan
d E p,3,-11.13372431671356,nan,-16.229014079642173,nan,-16.175538308214183,nan,1.1137083652729207,nan,1.1136235605041274,nan,1.000308325203737,nan,1.0003936003377023,nan
d R s,3,-10.923327774188618,nan,-12.377140280564653,nan,-12.388620714424686,nan,1.1155057473033132,nan,1.1154128483141172,nan,1.001723736727853,nan,1.0016878443457045,nan
D i D,3,-10.054425986134241,nan,-14.659969351796196,nan,-14.653504884718028,nan,1.1736914761024442,nan,1.1734655169799035,nan,1.0052374078734223,nan,1.0049002688336317,nan
D i g,3,-10.42202131223174,nan,-13.715392128975568,nan,-13.71546151557552,nan,1.1802716486767817,nan,1.1800297973861458,nan,1.0046787139756013,nan,1.004389775356604,nan
D i C,3,-12.173379573817197,nan,-13.877873757487095,nan,-13.902710543333466,nan,1.1489847903988004,nan,1.1488185018696733,nan,1.0015748589877063,nan,1.0015537004842274,nan
d I J,3,-12.048642433871192,nan,-14.47506841290831,nan,-14.47401423600504,nan,1.0871843391291252,nan,1.0871621878502982,nan,1.0071419997599327,nan,1.0066562925253308,nan
d I D,3,-9.739335117697017,nan,-13.184471301143951,nan,-13.186214275404005,nan,1.1119531019325268,nan,1.1118711301341724,nan,1.0082593875555748,nan,1.0076772794793862,nan
d Y p,3,-11.259060074348872,nan,-12.500741297693647,nan,-12.511590386953833,nan,1.0746974422144644,nan,1.0747037353439575,nan,1.0019617436516217,nan,1.001906104974419,nan
d Y t,3,-9.801697096037103,nan,-11.45354036767692,nan,-11.462560837986015,nan,1.1999069524261472,nan,1.1996108445834919,nan,1.0029549772477482,nan,1.0028136489335793,nan
d I T,3,-11.696376020217226,nan,-13.90754146413692,nan,-13.903968616087063,nan,1.0870601849296093,nan,1.0870383335030107,nan,1.0071419997599327,nan,1.0066562925253308,nan
d I Z,3,-16.376447514378434,nan,-inf,nan,-18.888774843492683,nan,1.0833355589441354,nan,1.083322703084383,nan,1.0071419997599327,nan,1.0066562925253308,nan
f i k,3,-10.955316321592882,nan,-13.142862568456161,nan,-13.153387036278668,nan,1.1301913052974903,nan,1.130064886368232,nan,1.0036419459351902,nan,1.0034410355499326,nan
f i s,3,-10.690590832326869,nan,-13.200826340030767,nan,-13.210214081920833,nan,1.1418618000519754,nan,1.1417071950132656,nan,1.001903787141969,nan,1.0018528336214017,nan
f R s,3,-11.956286531601343,nan,-14.073307729425448,nan,-14.073780945527995,nan,1.0853859868242715,nan,1.0853632635121577,nan,1.001723736727853,nan,1.0016878443457045,nan
f R t,3,-11.278637593947595,nan,-13.54055037509964,nan,-13.541208997970813,nan,1.1618649737260034,nan,1.161657541441313,nan,1.001165042830032,nan,1.0011773508686768,nan
