word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.016786408838387,nan,-12.811645184930237,nan,-12.830555456754475,nan,1.1058421490024333,nan,1.1057691862783547,nan,1.0010008757662956,nan,1.0010292372105953,nan
b O r,3,-13.319201243371662,nan,-inf,nan,-15.29085824081425,nan,1.1212297112550191,nan,1.1211185270846726,nan,1.0010008757662956,nan,1.0010292372105953,nan
b O s,3,-13.34965197983362,nan,-13.614826051026824,nan,-13.567290733950667,nan,1.091923109288476,nan,1.0918847203207724,nan,1.001064724572323,nan,1.0010874342658245,nan
b U n,3,-10.861114435494644,nan,-inf,nan,-16.991154227517445,nan,1.1346798820188226,nan,1.134536736980383,nan,1.0005004378831477,nan,1.0005722771374816,nan
b u r,3,-10.216919321885763,nan,-11.885028804473286,nan,-11.893855747547233,nan,1.265981368955507,nan,1.2655179030597117,nan,1.0170933630264496,nan,1.0156970492204844,nan
b U s,3,-11.193980006489877,nan,-inf,nan,-17.18889300398095,nan,1.1207608423048652,nan,1.1206522710228006,nan,1.0005004378831477,nan,1.0005722771374816,nan
b W r,3,-11.576766840706108,nan,-16.340152330240244,nan,-15.957683158256986,nan,1.1410595623747488,nan,1.1409001183483232,nan,1.0006268414245687,nan,1.00068759420185,nan
C e D,3,-12.606659655921531,nan,-17.484239780347288,nan,-17.476850250970266,nan,1.1018305153873236,nan,1.1017696642492478,nan,1.0015910438681477,nan,1.0015659352607342,nan
C i D,3,-12.195417401760107,nan,-16.8971071097461,nan,-16.89553118788276,nan,1.1035820479783407,nan,1.1035169341400435,nan,1.0049047114283995,nan,1.0045867969021933,nan
C O b,3,-15.782566722903729,nan,-20.532259420534327,nan,-19.865006652234975,nan,1.0219442600422328,nan,1.022078302440263,nan,1,1,1.0001153170643682,1.0
C O g,3,-15.790931557967584,nan,-21.156735159799428,nan,-20.302996631477626,nan,1.0401411697600211,nan,1.0402300125224233,nan,1,1,1.0001153170643682,1.0
C O v,3,-16.70742718688169,nan,-inf,nan,-21.248879704665853,nan,1.0116646022718332,nan,1.0118241784991127,nan,1,1,1.0001153170643682,1.0
C u D,3,-12.323813047564121,nan,-17.002026626554468,nan,-16.998549623249062,nan,1.1761455410347652,nan,1.1759038296158626,nan,1.0012717998380112,nan,1.0012749499845892,nan
C u S,3,-14.39503808176375,nan,-16.00124300405625,nan,-16.028932428187534,nan,1.1529684244468454,nan,1.1527842830901636,nan,1.0013356486440383,nan,1.0013331470398181,nan
