word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.05128553211868,nan,-15.32068333799551,nan,-15.331737077550049,nan,1.1405491174371054,nan,1.1404070379061713,nan,1.001452724681686,nan,1.0014392203847986,nan
g i T,3,-12.350025176190059,nan,-12.96444197679468,nan,-12.998091481044776,nan,1.0971599087206985,nan,1.0971161590489376,nan,1.0004195462529615,nan,1.0004934591993806,nan
z i T,3,-12.417305599615464,nan,-15.587977255281015,nan,-15.605112630682862,nan,1.0768370658453064,nan,1.0768392341894277,nan,1.0004195462529615,nan,1.0004934591993806,nan
y c g,3,-11.698699528303791,nan,-15.926338594050595,nan,-15.65799131537698,nan,1.1691573383801623,nan,1.1689481781489748,nan,1.0009070386330592,nan,1.0009396089714535,nan
l R z,3,-11.608118266081163,nan,-12.806124912243586,nan,-12.804669113068353,nan,1.0806720806081933,nan,1.0806643363790396,nan,1.000354038240477,nan,1.0004338453441437,nan
J Y p,3,-13.660623019476343,nan,-16.838628678688746,nan,-16.20900187950256,nan,1.0421478006753482,nan,1.0422275744951786,nan,1.0012126356636148,nan,1.0012192216057445,nan
C ^ z,3,-12.191540453647114,nan,-13.521587279751454,nan,-13.545248917311657,nan,1.1070735904024087,nan,1.1070058413697708,nan,1.003261925718501,nan,1.0030963888106632,nan
C e J,3,-14.873112551654756,nan,-14.657797350670469,nan,-14.714420775314593,nan,1.0730124547939495,nan,1.0730232459738893,nan,1.0005892510292442,nan,1.0006497426472216,nan
z i S,3,-12.510217821746721,nan,-16.51153597748741,nan,-16.520519582785035,nan,1.0779890697257404,nan,1.0779885204221884,nan,1.0006620733856844,nan,1.000715508716423,nan
z u v,3,-11.881352482787934,nan,-19.27452845041173,nan,-19.14430411384113,nan,1.1404461469113552,nan,1.1403038590498167,nan,1.0015739882480474,nan,1.0015502451433198,nan
D Y p,3,-11.370597673941225,nan,-15.643784166837591,nan,-15.375498363914591,nan,1.1052066788544215,nan,1.1051439756306862,nan,1.0012708293321437,nan,1.001272683247017,nan
s R k,3,-10.994287127942325,nan,-13.487192325743354,nan,-13.487782782251454,nan,1.1143352254467642,nan,1.1142484496204261,nan,1.000654759041729,nan,1.0007093565024585,nan
b R s,3,-11.374148754589038,nan,-12.461730902215184,nan,-12.474858230385337,nan,1.0997582949270208,nan,1.0997033672761782,nan,1.0016199913433168,nan,1.0015934530946513,nan
T ^ z,3,-12.018776418182883,nan,-13.99273325435458,nan,-13.997240834325302,nan,1.1087574830977982,nan,1.1086859294295588,nan,1.0029709573758565,nan,1.0028290806043012,nan
S c G,3,-14.277729268377072,nan,-14.955562154911643,nan,-14.890844057592062,nan,1.0199452801232076,nan,1.0200760870879972,nan,1.0002425271327229,nan,1.0003310235375753,nan
