word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.020260676842762,nan,-12.801636261390652,nan,-12.820820571163283,nan,1.1067601991484115,nan,1.1066852006556533,nan,1.0010839762800485,nan,1.001104799184732,nan
b O r,3,-13.321122386228115,nan,-inf,nan,-15.292893969387602,nan,1.1225016537873218,nan,1.1223873092245182,nan,1.0010839762800485,nan,1.001104799184732,nan
b O s,3,-13.354600926053159,nan,-13.634475155677178,nan,-13.587181513158459,nan,1.0921752595441965,nan,1.092136716389807,nan,1.0011482271153094,nan,1.0011633300597687,nan
b U n,3,-10.860673318761144,nan,-inf,nan,-16.9913302035811,nan,1.1362826119520841,nan,1.1361343801493564,nan,1.0005101064847286,nan,1.0005816650298842,nan
b u r,3,-10.211846015870496,nan,-11.877783637705598,nan,-11.886629655931738,nan,1.2715165106386894,nan,1.2710325197575294,nan,1.017405151010316,nan,1.0159728560175176,nan
b U s,3,-11.19501356797154,nan,-inf,nan,-17.218694644843588,nan,1.121697672347869,nan,1.12158589588351,nan,1.0005101064847286,nan,1.0005816650298842,nan
b W r,3,-11.575074714286941,nan,-16.366038770092704,nan,-15.983410316107022,nan,1.142778386555287,nan,1.1426137435204093,nan,1.0007018839411717,nan,1.0007564479393316,nan
C e D,3,-12.605878032873525,nan,-18.187502636154576,nan,-18.1617892840216,nan,1.1028646250445442,nan,1.1028001012236976,nan,1.0016043207828424,nan,1.0015783093368313,nan
C i D,3,-12.192490208628612,nan,-17.61931743643492,nan,-17.59917036218721,nan,1.1057339740211432,nan,1.1056623324919843,nan,1.005007177428319,nan,1.0046784214246136,nan
C O b,3,-15.788996994121685,nan,-20.842114122072356,nan,-20.161035407600018,nan,1.0221980844296343,nan,1.0223338358886243,nan,1,1,1.0001166568922417,1.0
C O g,3,-15.800812165179616,nan,-21.03793831579267,nan,-20.246165560148754,nan,1.0399955657968922,nan,1.0400868321073,nan,1,1,1.0001166568922417,1.0
C O v,3,-16.71864096451925,nan,-inf,nan,-21.266264270162626,nan,1.01140394410581,nan,1.0115666757271167,nan,1,1,1.0001166568922417,1.0
C u D,3,-12.321103460229601,nan,-17.67376951258073,nan,-17.652515206804708,nan,1.1804008107233046,nan,1.180143950606728,nan,1.0012830666065382,nan,1.0012856549616485,nan
C u S,3,-14.397719343064107,nan,-15.98084583536735,nan,-16.007756999752168,nan,1.157142008358874,nan,1.1569432840682417,nan,1.001347317441799,nan,1.0013441858366852,nan
