word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.089211094827323,nan,-15.428238493127763,nan,-15.440000602810471,nan,1.1600766894071692,nan,1.1598740838356203,nan,1.0017778383634486,nan,1.0017365049919753,nan
g i T,3,-12.383914184194541,nan,-13.002675105798515,nan,-13.034873154674727,nan,1.105971807353608,nan,1.1059014745054763,nan,1.0004446420631392,nan,1.0005207084737449,nan
z i T,3,-12.45239012623085,nan,-17.114349496506293,nan,-17.090716441855573,nan,1.0799725591390985,nan,1.0799655954979142,nan,1.0004446420631392,nan,1.0005207084737449,nan
y c g,3,-11.703093951223638,nan,-16.27456942439639,nan,-16.002676390527718,nan,1.191275506316421,nan,1.1909965412934218,nan,1.0010155948266386,nan,1.0010414169474897,nan
l R z,3,-11.642582880561552,nan,-12.77051519257069,nan,-12.76975413991054,nan,1.0816536025776402,nan,1.081642409160893,nan,1.000062790405626,nan,1.0001725568918827,nan
J Y p,3,-13.689319740142418,nan,-16.885730100609216,nan,-16.253343043094063,nan,1.0418826537246424,nan,1.0419685237130778,nan,1.0013974464841517,nan,1.001389568529352,nan
C ^ z,3,-12.225987121971615,nan,-13.940769885446672,nan,-13.953224468563775,nan,1.1108956947668582,nan,1.110812806493365,nan,1.0033651158426946,nan,1.0031839975250345,nan
C e J,3,-14.9185800769366,nan,-15.04358854467755,nan,-15.088556725743285,nan,1.0784024396003142,nan,1.078399312315746,nan,1.0003782022119725,nan,1.0004603542315604,nan
z i S,3,-12.559558960645461,nan,-18.038539093823868,nan,-18.00734592374542,nan,1.080925363560111,nan,1.0809160453775237,nan,1.0006352029473418,nan,1.0006944804848663,nan
z u v,3,-11.911079040825534,nan,-20.91056374324028,nan,-20.738872070933887,nan,1.1570017691177374,nan,1.1568065164025845,nan,1.001587277479246,nan,1.001562732980854,nan
D Y p,3,-11.365654064406701,nan,-15.642213257208518,nan,-15.373031145526346,nan,1.1149937926796605,nan,1.1149014654042222,nan,1.0014602368897778,nan,1.0014468849734397,nan
s R k,3,-11.014524251054912,nan,-13.638828941370951,nan,-13.638846259703927,nan,1.1180228433369315,nan,1.117921843159961,nan,1.000443182284923,nan,1.0005194933545063,nan
b R s,3,-11.392695876565872,nan,-12.45054716110249,nan,-12.463450279998627,nan,1.1048355215738956,nan,1.1047662767755857,nan,1.0015828981445973,nan,1.001559087623138,nan
T ^ z,3,-12.05095599844034,nan,-14.167067464572705,nan,-14.166681819666891,nan,1.112900456074965,nan,1.112812681501177,nan,1.0032395350314425,nan,1.003069364636859,nan
S c G,3,-14.341748597000121,nan,-15.08747445591204,nan,-15.019554369176369,nan,1.017749860230221,nan,1.0178948902441918,nan,1.0002540811789367,nan,1.0003469364626234,nan
J e J,3,-15.098483252866274,nan,-15.714284651744135,nan,-15.739797215259124,nan,1.082850503752676,nan,1.082836534989329,nan,1.0005037830232246,nan,1.000574987119736,nan
D ^ z,3,-10.08222462216557,nan,-8.734319867738616,nan,-8.749303191352507,nan,1.1884548978742382,nan,1.1881829708580922,nan,1.0149813408835082,nan,1.0137875396812792,nan
S Y p,3,-13.44155427509608,nan,-15.061022693291811,nan,-15.019151141127379,nan,1.0400031899982922,nan,1.040093640893254,nan,1.0013974464841517,nan,1.001389568529352,nan
n W C,3,-13.053311414125417,nan,-13.726237369538108,nan,-13.730987188448626,nan,1.0635100356978622,nan,1.0635434676096258,nan,1.0116162250408138,nan,1.0107187826040396,nan
l W C,3,-13.555012633322232,nan,-14.591553352551312,nan,-14.588287118833593,nan,1.0754133059647462,nan,1.0754177254685096,nan,1,1,1.0001152404477949,1.0
S c d,3,-13.28996760801611,nan,-19.09372610551149,nan,-18.74112430441976,nan,1.0787928634697561,nan,1.0787870458645188,nan,1,1,1.0001152404477949,1.0
g i J,3,-12.73884848365549,nan,-14.64043831496734,nan,-14.659932342808325,nan,1.1061623682378106,nan,1.1060915644813982,nan,1.0004446420631392,nan,1.0005207084737449,nan
C u T,3,-14.281738504517755,nan,-15.06649521031609,nan,-15.100988631135738,nan,1.1539371079010923,nan,1.153749466624196,nan,1.0019662095803266,nan,1.0019084543242387,nan
D i g,3,-10.415182807919773,nan,-13.919961849273207,nan,-13.918229686057494,nan,1.1907371893230432,nan,1.1904591688347284,nan,1.0048779246905841,nan,1.0045644526600965,nan
w u T,3,-12.295324640574286,nan,-16.252202402618078,nan,-16.000426622133354,nan,1.2583099935044,nan,1.257867959218409,nan,1.0018406287690746,nan,1.001793821436063,nan
T c T,3,-15.245071411809707,nan,-16.71810950653005,nan,-16.663575915311185,nan,1.0162332166913035,nan,1.0163819755186352,nan,1.000062790405626,nan,1.0001725568918827,nan
g u T,3,-12.51469687015134,nan,-17.39993231960331,nan,-17.148059599914596,nan,1.1788086778797917,nan,1.178560415939864,nan,1.0017150479578225,nan,1.0016791885478875,nan
f R s,3,-11.983620725935728,nan,-14.21603050772044,nan,-14.21543223169263,nan,1.0861035331012732,nan,1.0860799446713423,nan,1.0015828981445973,nan,1.001559087623138,nan
J Y m,3,-13.25909746693514,nan,-16.365116441016514,nan,-15.733005648895368,nan,1.0763741737652954,nan,1.0763748093549483,nan,1.0012704058946833,nan,1.0012737205219377,nan
n R z,3,-11.140881661364737,nan,-14.282929011521773,nan,-14.256850773901327,nan,1.0697503323107562,nan,1.0697681513020092,nan,1.000062790405626,nan,1.0001725568918827,nan
m R n,3,-10.763644384858917,nan,-14.137139806162002,nan,-14.112603513790994,nan,1.12315105456699,nan,1.1230366506863658,nan,1.0013974464841517,nan,1.001389568529352,nan
C u S,3,-14.388907338932366,nan,-15.845767433066591,nan,-15.874313208574083,nan,1.1548899123221048,nan,1.1546999165038057,nan,1.0013310066329848,nan,1.0013292142871675,nan
S e J,3,-14.850717787819935,nan,-14.795817640447385,nan,-14.847354607014495,nan,1.080971040026326,nan,1.0809616521695051,nan,1.0008805254569806,nan,1.000918885784263,nan
T ^ S,3,-13.681659401653782,nan,-16.486687451731143,nan,-16.50186353530936,nan,1.100069356538663,nan,1.1000132897890997,nan,1.0001270405894684,nan,1.0002310884552092,nan
v e D,3,-11.747789506307496,nan,-19.912052907050516,nan,-19.844706946983035,nan,1.1019171497059377,nan,1.101855883917836,nan,1.0013339261894174,nan,1.0013316445256448,nan
C ^ Z,3,-18.443923010486483,nan,-inf,nan,-22.26721522963209,nan,1.093427613714962,nan,1.093387892033854,nan,1.0001255808112521,nan,1.0002298733359705,nan
n c T,3,-12.654194676092033,nan,-16.77685094327681,nan,-16.710957594340414,nan,1.0498129686020916,nan,1.0498798818994863,nan,1.000062790405626,nan,1.0001725568918827,nan
s R p,3,-11.53056743999751,nan,-13.597260682468841,nan,-13.597687653598733,nan,1.0785132200122793,nan,1.0785098548188126,nan,1.0005067025796572,nan,1.0005774173582134,nan
D i D,3,-10.038461942480145,nan,-15.589486086878722,nan,-15.566362492663938,nan,1.1832417945444114,nan,1.1829822964484655,nan,1.00557664793266,nan,1.005201616700875,nan
S c g,3,-13.760229735389174,nan,-16.6424916090696,nan,-16.566671827030394,nan,1.0488748046499632,nan,1.0489429196447748,nan,1.0009528044210125,nan,1.000984100503402,nan
C i S,3,-14.258124652975567,nan,-15.848943145522167,nan,-15.878667857715438,nan,1.082053041795921,nan,1.082040975069418,nan,1.001200316597976,nan,1.0012103284816567,nan
g i D,3,-10.415182807919773,nan,-15.368089098601098,nan,-15.352069178227524,nan,1.1305541614157308,nan,1.130423081399406,nan,1.0044464206313917,nan,1.0041699207072945,nan
T c S,3,-15.352240246224316,nan,-15.286604185539627,nan,-15.302938112191278,nan,1.017186021112316,nan,1.0173324253982448,nan,1.0005074324687653,nan,1.0005780249178327,nan
z u T,3,-12.583172812187648,nan,-19.61276407211376,nan,-19.466631603151452,nan,1.1528094296652822,nan,1.1526245369323018,nan,1.0017778383634486,nan,1.0017365049919753,nan
S Y m,3,-13.011332001888801,nan,-14.540409033699111,nan,-14.498813746928683,nan,1.0744947100389453,nan,1.0744999265351245,nan,1.0012704058946833,nan,1.0012737205219377,nan
D ^ v,3,-10.93366541960229,nan,-9.965288350624922,nan,-9.98286313437523,nan,1.178863333369379,nan,1.178615108736688,nan,1.0123770087994075,nan,1.0114126555292866,nan
t W C,3,-12.706296014559392,nan,-15.681775140160482,nan,-15.679805726967317,nan,1.0469707549059815,nan,1.0470444987951768,nan,1.000188371216878,nan,1.0002871897800583,nan
g Y b,3,-11.60450336641469,nan,-17.502270184579636,nan,-17.4115742980053,nan,1.0684676281401941,nan,1.068488492909972,nan,1.0013339261894174,nan,1.0013316445256448,nan
r c S,3,-13.065945662556498,nan,-14.931279237394843,nan,-14.955416477717606,nan,1.0213208413102863,nan,1.021457167601857,nan,1.0006958036856433,nan,1.000749974250096,nan
d R s,3,-10.938844373886681,nan,-12.421869661146895,nan,-12.433209762817944,nan,1.117239982167806,nan,1.1171405033864223,nan,1.0015828981445973,nan,1.001559087623138,nan
S c z,3,-13.828705677425482,nan,-14.753081328484516,nan,-14.682781037116275,nan,1.030580959766523,nan,1.030694281956269,nan,1.000063520294734,nan,1.0001731644515022,nan
y c d,3,-11.232831823850574,nan,-18.725803920838278,nan,-18.177128867917084,nan,1.221193565136214,nan,1.2208406675131658,nan,1.000062790405626,nan,1.0001725568918827,nan
J u S,3,-14.56881051486204,nan,-14.661342317155594,nan,-14.71530839413714,nan,1.1593379764744667,nan,1.1591371391773886,nan,1.0012054258217329,nan,1.0012145813989919,nan
h u S,3,-12.832676108802943,nan,-13.713686065442776,nan,-13.73681997141042,nan,1.2094570091771355,nan,1.209134014372689,nan,1.005161221376172,nan,1.004825517376524,nan
g u S,3,-12.621865704565948,nan,-18.17920454235381,nan,-17.92138417735294,nan,1.1797614823008042,nan,1.1795108658194735,nan,1.0010798450104808,nan,1.0010999485108163,nan
y R z,3,-11.781791447331484,nan,-10.092490359666128,nan,-10.10975158874406,nan,1.179135121184331,nan,1.178886331415752,nan,1.0099836744945372,nan,1.0092285550577564,nan
C e g,3,-12.971635266640511,nan,-15.612469492990266,nan,-15.625584233921199,nan,1.1102896275568663,nan,1.1102077016200167,nan,1.0011404457487825,nan,1.001155442276046,nan
z i J,3,-12.8073244256918,nan,-18.752112705675117,nan,-18.71577562998917,nan,1.080163120023301,nan,1.0801556854738361,nan,1.0004446420631392,nan,1.0005207084737449,nan
m u S,3,-12.313104370096438,nan,-14.661397019936196,nan,-14.681273491239788,nan,1.1827686242629643,nan,1.1825106783311914,nan,1.0025240243398792,nan,1.0024182267248358,nan
D Y m,3,-10.935431791199424,nan,-15.121599597615818,nan,-14.85269375132765,nan,1.1494853127203135,nan,1.1493077510460927,nan,1.0013331963003094,nan,1.0013310369660255,nan
