word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.20347510482682,nan,-11.526132173490677,nan,-11.540917573820975,nan,1.1069845904053868,nan,1.1069096482895633,nan,1.0019294928388327,nan,1.0018749025030182,nan
b i l,3,-10.285762167118035,nan,-11.345370823673086,nan,-11.357045106046815,nan,1.1447959585284582,nan,1.1446261041546997,nan,1.0075510278570543,nan,1.0069933933587256,nan
b i s,3,-10.118256938028209,nan,-11.451706155561286,nan,-11.462488003014373,nan,1.166241601574773,nan,1.1660178567320192,nan,1.002512593647378,nan,1.0024056977934979,nan
b R s,3,-11.386360064518207,nan,-12.444474370987962,nan,-12.457286718578606,nan,1.1055284631231186,nan,1.105456462217792,nan,1.0015481958309858,nan,1.0015272077320179,nan
b Y s,3,-10.941865612504309,nan,-11.808265864973514,nan,-11.82124219651305,nan,1.1138805350794307,nan,1.1137876593467335,nan,1.0030929056317295,nan,1.002934179800483,nan
b ^ l,3,-9.883978367400799,nan,-10.383882861858746,nan,-10.396272370751621,nan,1.1615643491484389,nan,1.1613525845443433,nan,1.0109264720898772,nan,1.0100707695384021,nan
C @ l,3,-12.365587147978303,nan,-16.408221125108238,nan,-16.39048726073115,nan,1.1120768540403803,nan,1.1119886602065958,nan,1.0008386932258733,nan,1.0008810925054117,nan
C i D,3,-12.189637975613607,nan,-17.605767709321597,nan,-17.58524781549871,nan,1.105188267380169,nan,1.1051174872057528,nan,1.004970701472078,nan,1.0046436205706697,nan
C i n,3,-11.563347731660416,nan,-13.889073609010762,nan,-13.901619578819695,nan,1.1557663954080741,nan,1.1555685181335877,nan,1.0022576984360982,nan,1.002173322958624,nan
C R J,3,-15.779140889210662,nan,-17.565242196446455,nan,-17.51160371629901,nan,1.0210270312604053,nan,1.0211669174337936,nan,1.0000645953103804,nan,1.0001761606689952,nan
C R g,3,-13.827696237968393,nan,-17.88093162693725,nan,-17.841386114039008,nan,1.0533246864506385,nan,1.0533834122791546,nan,1.0002583812415218,nan,1.0003526104984268,nan
C R T,3,-15.420309997616862,nan,-17.02758498346228,nan,-16.96885173441559,nan,1.0204456734669811,nan,1.0205870205265772,nan,1,1,1.0001173440591844,1.0
C ^ J,3,-14.109253963003429,nan,-18.001910750231293,nan,-17.99432922574273,nan,1.0985085603320404,nan,1.0984547923376644,nan,1.000193088725093,nan,1.0002932155677426,nan
C ^ n,3,-11.16156393194318,nan,-12.76260440854621,nan,-12.771672847760357,nan,1.1725347860280548,nan,1.1722949985232314,nan,1.012659983628523,nan,1.0116448212611904,nan
C ^ S,3,-13.863068573054315,nan,-16.424179559317817,nan,-16.44971140095159,nan,1.0988315368839425,nan,1.0987769572861181,nan,1.0002576840354735,nan,1.0003520321775532,nan
C ^ C,3,-13.928132166401378,nan,-15.77088525132777,nan,-15.80408995467383,nan,1.098185583780138,nan,1.098132627389211,nan,1.0006452558977563,nan,1.0007049318364167,nan
d i k,3,-9.930225063209624,nan,-12.18251765932193,nan,-12.190772644546389,nan,1.1666067055030105,nan,1.166382259848345,nan,1.003292966417307,nan,1.0031158345177782,nan
d i s,3,-9.66126249162723,nan,-12.205322703428601,nan,-12.212542242369585,nan,1.178169266061114,nan,1.1779157650029843,nan,1.0015488930370344,nan,1.0015277860528915,nan
d i t,3,-8.980489669024976,nan,-10.936480340546154,nan,-10.944415699321059,nan,1.260592882106589,nan,1.260132259848345,nan,1.0017426789681758,nan,1.0017042358823234,nan
d E p,3,-11.143133273393069,nan,-16.337049598533696,nan,-16.283015247352044,nan,1.118205541110809,nan,1.1181026091111566,nan,1.000322627948878,nan,1.0004111379478005,nan
