word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.210924294336978,nan,-11.466787525659257,nan,-11.482220116916732,nan,1.1068132679337717,nan,1.1067404270760863,nan,1.002338334831342,nan,1.00224901514994,nan
b i l,3,-10.298497043608439,nan,-11.29464649401545,nan,-11.306771038058995,nan,1.1443373586020866,nan,1.1441715132383563,nan,1.0071988768892732,nan,1.0066786702021742,nan
b i s,3,-10.124107490752367,nan,-11.383776833577866,nan,-11.394956468469442,nan,1.166183414175386,nan,1.1659632807928357,nan,1.0027274620058493,nan,1.0026032160801435,nan
b R s,3,-11.406037934862683,nan,-12.400524249118309,nan,-12.413646476640839,nan,1.105854346533704,nan,1.1057821714984073,nan,1.0014641537117173,nan,1.0014506430381245,nan
b Y s,3,-10.946033408630976,nan,-11.693984071290412,nan,-11.707582356307142,nan,1.1154363928049011,nan,1.1153407175932382,nan,1.0033015206277691,nan,1.0031265064256656,nan
b ^ l,3,-9.892959756785746,nan,-10.310846888103386,nan,-10.32377218417984,nan,1.1609168202423816,nan,1.1607103133892807,nan,1.011300034250069,nan,1.0104258052471464,nan
C @ l,3,-12.373644409607056,nan,-16.09498837702317,nan,-16.083559688040634,nan,1.1121201983054656,nan,1.1120332217235305,nan,1.0007640155335973,nan,1.0008123043723076,nan
C i D,3,-12.185997896370651,nan,-17.207493337109206,nan,-17.196866889136306,nan,1.1057605457607496,nan,1.1056896169211006,nan,1.0048463032425137,nan,1.004533557564135,nan
C i n,3,-11.567904682859828,nan,-13.455559366322765,nan,-13.478063317957526,nan,1.1567346754317813,nan,1.1565370745482193,nan,1.0026744731562793,nan,1.0025540512762916,nan
C R J,3,-15.811094435103392,nan,-17.278472519361,nan,-17.225707654116523,nan,1.0214774698150115,nan,1.0216140256590411,nan,1.0000638773554775,nan,1.000173965706491,nan
C R g,3,-13.837389986001666,nan,-17.522489927877047,nan,-17.490440017547414,nan,1.0543743078859154,nan,1.054429114227921,nan,1.0002555094219099,nan,1.0003486280260065,nan
C R T,3,-15.457134015527947,nan,-16.653341305823258,nan,-16.605505579761054,nan,1.0209025736157142,nan,1.021040558091818,nan,1,1,1.0001157449333191,1.0
C ^ J,3,-14.123626704170384,nan,-17.688097597401615,nan,-17.68632962033517,nan,1.0983859990969884,nan,1.098333935104394,nan,1.0003160364678774,nan,1.00040406234708,nan
C ^ n,3,-11.162367396037135,nan,-12.302135375192352,nan,-12.32164216487537,nan,1.1733141370720763,nan,1.1730758746991437,nan,1.0130276302078964,nan,1.0119899962082817,nan
C ^ S,3,-13.866139931662563,nan,-16.097438389620013,nan,-16.132858364077915,nan,1.0987053858743758,nan,1.0986525281972959,nan,1.000379913823355,nan,1.0004622831202519,nan
C ^ C,3,-13.924874605980332,nan,-15.408500446349825,nan,-15.452154478380209,nan,1.0981304896750785,nan,1.0980790606300725,nan,1.0007631779562196,nan,1.000811607759283,nan
d i k,3,-9.929070555091151,nan,-12.093379554824185,nan,-12.102004065508483,nan,1.1652469105203749,nan,1.165029519214955,nan,1.003636821375329,nan,1.0034308459389925,nan
d i s,3,-9.661615781893484,nan,-12.167261104317243,nan,-12.174648448555576,nan,1.1770003439282317,nan,1.176753745033739,nan,1.0015927460000495,nan,1.0015677811974928,nan
d i t,3,-8.978664703950614,nan,-10.882254233516525,nan,-10.89040807870495,nan,1.2587633589394103,nan,1.258313576816586,nan,1.0022315195548244,nan,1.0021499889292114,nan
d E p,3,-11.143785206987936,nan,-16.518957085612804,nan,-16.45522039595962,nan,1.115486845231218,nan,1.115392795479988,nan,1.0002546718445324,nan,1.000347931412982,nan
d R s,3,-10.9435462260038,nan,-12.40058157301938,nan,-12.412170584487338,nan,1.1166712762865498,nan,1.1165726357393106,nan,1.0014011139336172,nan,1.0013931188779772,nan
D i D,3,-10.041583899938276,nan,-15.908429901342796,nan,-15.876688344319962,nan,1.1806614953865593,nan,1.180407308263635,nan,1.0052245419111134,nan,1.0048787025250185,nan
D i g,3,-10.411045545458977,nan,-13.963983619215604,nan,-13.96186467729763,nan,1.189604325153407,nan,1.1893279148648839,nan,1.0052245419111134,nan,1.0048787025250185,nan
D i C,3,-12.185997896370651,nan,-14.075324785628895,nan,-14.097481981709834,nan,1.1564519776605933,nan,1.1562579518216827,nan,1.001455777937942,nan,1.0014436769078783,nan
d I J,3,-12.067004742486557,nan,-14.73338586998457,nan,-14.725360066304754,nan,1.0910513064445702,nan,1.0910174386905844,nan,1.0074386938157978,nan,1.006903595830696,nan
d I D,3,-9.723838647864131,nan,-14.48489687388632,nan,-14.461313668833814,nan,1.1150053147486263,nan,1.1149119206582154,nan,1.00839685414796,nan,1.007776907428274,nan
d Y p,3,-11.269744903081564,nan,-12.592086173689491,nan,-12.602663815778058,nan,1.0743849099100304,nan,1.074391663546898,nan,1.001717987978872,nan,1.0016821329047627,nan
d Y t,3,-9.800590621829222,nan,-11.493677881059476,nan,-11.502398801284148,nan,1.2080163375689255,nan,1.2076910136169885,nan,1.0033787992212866,nan,1.0031958730072312,nan
d I T,3,-11.713044322911111,nan,-14.0594644922774,nan,-14.053864697561735,nan,1.0904764102452729,nan,1.0904439711233613,nan,1.0074386938157978,nan,1.006903595830696,nan
d I Z,3,-16.36806231462677,nan,-inf,nan,-18.896661285534407,nan,1.0871547877604437,nan,1.0871306029571832,nan,1.0074386938157978,nan,1.006903595830696,nan
f i k,3,-10.980815358359727,nan,-12.90526840737807,nan,-12.917224197882424,nan,1.13738702749415,nan,1.1372378002689072,nan,1.004078099822029,nan,1.0038335150600233,nan
f i s,3,-10.71336058516206,nan,-12.979149956871126,nan,-12.989868580929517,nan,1.1491404609020068,nan,1.1489620260876914,nan,1.0020340244467494,nan,1.0019704503185236,nan
