word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.079642895283214,nan,-15.418979944382052,nan,-15.431455193563867,nan,1.1631789909782717,nan,1.1629639840876511,nan,1.0016753795780111,nan,1.0016429673194576,nan
g i T,3,-12.380645775050802,nan,-13.03308977402792,nan,-13.064602625565993,nan,1.1067798420324206,nan,1.106705613276185,nan,1.0004508371701741,nan,1.0005277475037624,nan
z i T,3,-12.446520156039977,nan,-17.42873513383344,nan,-17.387004775099538,nan,1.080254982985778,nan,1.0802468671906733,nan,1.000386697602475,nan,1.000469308981088,nan
y c g,3,-11.69321189040413,nan,-16.29606803821718,nan,-16.02366347186948,nan,1.1963416077274418,nan,1.1960438449735107,nan,1.0010308835738864,nan,1.0010560095217234,nan
l R z,3,-11.628505906356795,nan,-12.781486546716831,nan,-12.781228738738127,nan,1.0818747255614098,nan,1.0818625267551565,nan,1.0000641395676992,nan,1.0001755728251218,nan
J Y p,3,-13.685928900671325,nan,-16.943999578445275,nan,-16.310939373231403,nan,1.041933568960438,nan,1.042020987567997,nan,1.001224542407837,nan,1.0012323541181427,nan
C ^ z,3,-12.227317640757475,nan,-13.901618711392825,nan,-13.914738744203865,nan,1.1118791808121606,nan,1.1117919873542235,nan,1.003415208756435,nan,1.003227496116241,nan
C e J,3,-14.927872753074613,nan,-15.215137649901177,nan,-15.256150109376968,nan,1.0798716391299987,nan,1.0798644760961096,nan,1.0003854574716222,nan,1.0004682799526912,nan
z i S,3,-12.560291150206401,nan,-18.533377628147747,nan,-18.482078620752063,nan,1.0811572773915528,nan,1.0811468993346784,nan,1.0006444960041248,nan,1.0007040921001817,nan
z u v,3,-11.904025669102191,nan,-21.408069894238782,nan,-21.216214195357377,nan,1.1594868811553598,nan,1.1592810169570587,nan,1.0016109299775986,nan,1.001584271539684,nan
D Y p,3,-11.365235378160332,nan,-15.419284844610106,nan,-15.214331016966025,nan,1.1159340815181007,nan,1.1158370545456924,nan,1.0012886819755362,nan,1.001290792640817,nan
s R k,3,-11.00444206202317,nan,-13.647275574473786,nan,-13.647770240867278,nan,1.117505477382681,nan,1.1174039685581032,nan,1.0005146667051603,nan,1.000585928769337,nan
b R s,3,-11.384931460456992,nan,-12.444926892294578,nan,-12.457732022017838,nan,1.1057228615574006,nan,1.1056505450222862,nan,1.0015449302136206,nan,1.0015242894744143,nan
T ^ z,3,-12.046000604389524,nan,-14.124320963923628,nan,-14.125077716813111,nan,1.1140575508787933,nan,1.1139649278539998,nan,1.0033510691887355,nan,1.003169057593567,nan
S c G,3,-14.332049032322258,nan,-15.079568828415827,nan,-15.011435260634899,nan,1.0173983162404314,nan,1.0175470401558255,nan,1.0002577984016499,nan,1.0003519174215412,nan
J e J,3,-15.105386608300464,nan,-15.858253407980367,nan,-15.882220487343018,nan,1.0844205883867901,nan,1.0844020871397602,nan,1.000513736607021,nan,1.0005851569980395,nan
D ^ z,3,-10.084137973472334,nan,-8.756598843370812,nan,-8.771447356487386,nan,1.1904286426266146,nan,1.1901456653755693,nan,1.0149603309423114,nan,1.0137464301975876,nan
S Y p,3,-13.440869003243947,nan,-14.936793493068313,nan,-14.907511705304717,nan,1.0400755474330163,nan,1.0401675971417172,nan,1.001224542407837,nan,1.0012323541181427,nan
n W C,3,-13.058173821194025,nan,-13.979873941335226,nan,-13.980970695611537,nan,1.0628339208195243,nan,1.0628693716314044,nan,1.012058238727471,nan,1.0111035765651872,nan
l W C,3,-13.559648310722377,nan,-14.855846569126463,nan,-14.849161044214085,nan,1.0744946076467923,nan,1.0745009943066777,nan,1,1,1.0001171343024475,1.0
S c d,3,-13.287942409061861,nan,-19.101839778661276,nan,-18.74893854925965,nan,1.0788832350339348,nan,1.0788778019687473,nan,1,1,1.0001171343024475,1.0
g i J,3,-12.739476666644602,nan,-14.818330852792606,nan,-14.834141086633586,nan,1.1074243380365456,nan,1.1073484933790458,nan,1.0005152867705867,nan,1.0005864432835359,nan
C u T,3,-14.284819793673957,nan,-15.086946446709213,nan,-15.120890214692299,nan,1.1569001596097428,nan,1.1567008026471195,nan,1.001867798281109,nan,1.00181828288748,nan
D i g,3,-10.418783144133611,nan,-13.977412465121812,nan,-13.97520671133932,nan,1.1932762434917896,nan,1.192985936816577,nan,1.0049570386429238,nan,1.004632078717215,nan
w u T,3,-12.29678041540124,nan,-16.313690724400598,nan,-16.061044772808625,nan,1.2628073866727874,nan,1.262344056945068,nan,1.0017395191457106,nan,1.0017014058421316,nan
T c T,3,-15.233435887325157,nan,-16.746790971522707,nan,-16.69127895815684,nan,1.015919014571507,nan,1.0160714398839399,nan,1.0000641395676992,nan,1.0001755728251218,nan
g u T,3,-12.510480250461981,nan,-17.473351501675175,nan,-17.220524449707085,nan,1.1819514153760164,nan,1.1816896183945471,nan,1.0016112400103119,nan,1.0015845287967833,nan
f R s,3,-11.96466330935697,nan,-14.190437197321014,nan,-14.189987740592416,nan,1.0870145068674977,nan,1.0869888207300895,nan,1.0016090697813198,nan,1.0015827279970884,nan
J Y m,3,-13.254140477319801,nan,-16.397475106428935,nan,-15.764780053200877,nan,1.0766719035827634,nan,1.0766722251121952,nan,1.0011600928074247,nan,1.0011736583383692,nan
n R z,3,-11.127031416828444,nan,-14.332381783706499,nan,-14.30593105213941,nan,1.070214038734142,nan,1.0702309040798832,nan,1.0000641395676992,nan,1.0001755728251218,nan
m R n,3,-10.753197677731261,nan,-14.13482829650578,nan,-14.1101608795654,nan,1.1227197011154881,nan,1.1226048139452331,nan,1.0014178912090745,nan,1.001408441457463,nan
C u S,3,-14.39859078784038,nan,-16.046125488952722,nan,-16.07197075792113,nan,1.1578024540155176,nan,1.1576008347911246,nan,1.0013522014778093,nan,1.0013487166492925,nan
S e J,3,-14.860326710873085,nan,-14.929618860388072,nan,-14.977783985535318,nan,1.0825625668593684,nan,1.0825486967134803,nan,1.000962713580916,nan,1.0009942266567584,nan
T ^ S,3,-13.686919724410796,nan,-16.6273315116185,nan,-16.641285301405322,nan,1.1005875843925856,nan,1.1005287337042087,nan,1.0001930387685243,nan,1.0002929643846687,nan
v e D,3,-11.753533231846703,nan,-20.175606871639893,nan,-20.099832317555965,nan,1.1023054185695256,nan,1.102241995613881,nan,1.001353441608662,nan,1.0013497456776896,nan
C ^ Z,3,-18.459983926434695,nan,-inf,nan,-22.202988168441205,nan,1.093962191897492,nan,1.0939199204946928,nan,1.0001282791353987,nan,1.0002340113477959,nan
n c T,3,-12.645634069911747,nan,-16.827980173638835,nan,-16.76193411713806,nan,1.0491071232337315,nan,1.049176827498179,nan,1.0000641395676992,nan,1.0001755728251218,nan
s R p,3,-11.519329729779257,nan,-13.592680816346855,nan,-13.594023573400992,nan,1.0776111747273576,nan,1.0776096901910186,nan,1.0006435659059854,nan,1.000703320328884,nan
D i D,3,-10.049943020060443,nan,-15.88335390789917,nan,-15.851731932871566,nan,1.1842532994340427,nan,1.1839856153765256,nan,1.005537085046636,nan,1.0051603407351757,nan
S c g,3,-13.754184374647558,nan,-16.656307208612624,nan,-16.57998517950111,nan,1.0494297676454327,nan,1.049498181268008,nan,1.0009667440061871,nan,1.000997570999049,nan
C i S,3,-14.268756312429199,nan,-16.062402112077862,nan,-16.08924749625487,nan,1.0826308806719218,nan,1.0826168296727625,nan,1.0012858916811178,nan,1.0012884773269233,nan
g i D,3,-10.41878314413361,nan,-15.650492015570862,nan,-15.62596805994891,nan,1.1307550933858623,nan,1.1306207531026073,nan,1.0044467123957477,nan,1.0041668858497153,nan
T c S,3,-15.34720688149158,nan,-15.469136298334952,nan,-15.482875252032299,nan,1.0168213089772817,nan,1.016971472027945,nan,1.0004508371701741,nan,1.0005277475037624,nan
z u T,3,-12.57635463145116,nan,-19.98024512626533,nan,-19.81546148071797,nan,1.1554265563293737,nan,1.1552308723090354,nan,1.0016753795780111,nan,1.0016429673194576,nan
S Y m,3,-13.009080579892423,nan,-14.390269021051973,nan,-14.36135238527419,nan,1.0748138820553417,nan,1.0748188346859153,nan,1.0011600928074247,nan,1.0011736583383692,nan
D ^ v,3,-10.938957136978214,nan,-10.165688158761203,nan,-10.180626538015852,nan,1.1801167065606182,nan,1.1798595837297963,nan,1.0121245485241626,nan,1.0111638158875564,nan
t W C,3,-12.711958405280612,nan,-16.173018149724225,nan,-16.166528190626586,nan,1.0427801022649368,nan,1.0428655370305224,nan,1.0000641395676992,nan,1.0001755728251218,nan
g Y b,3,-11.599677232911237,nan,-17.7368266617793,nan,-17.64275708196656,nan,1.068751936310343,nan,1.06877241727981,nan,1.001353441608662,nan,1.0013497456776896,nan
r c S,3,-13.059505878388448,nan,-15.370194771590102,nan,-15.389829277785067,nan,1.0191278184595984,nan,1.01927223255712,nan,1.0005149767378736,nan,1.0005861860264365,nan
