word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.203343268187275,nan,-11.516396769816758,nan,-11.531240788604903,nan,1.1059203723915372,nan,1.1058499969113962,nan,1.0020705604404478,nan,1.0020049146196612,nan
b i l,3,-10.283579074486166,nan,-11.302492797116392,nan,-11.31423419684675,nan,1.1444641088739036,nan,1.1442992924365605,nan,1.0074994305599259,nan,1.0069581955306306,nan
b i s,3,-10.116409640699526,nan,-11.417526168839862,nan,-11.428379312538883,nan,1.166865825287105,nan,1.1666460128192873,nan,1.0029559838507696,nan,1.0028126404868718,nan
b R s,3,-11.38725992966562,nan,-12.415141611629432,nan,-12.428081349504756,nan,1.1061971551143024,nan,1.1061251209324594,nan,1.00151151907774,nan,1.0014941259783507,nan
b Y s,3,-10.938652553551341,nan,-11.788746564714733,nan,-11.801752901764157,nan,1.114712056191187,nan,1.1146192811972775,nan,1.0031443064107692,nan,1.0029845490871219,nan
b ^ l,3,-9.881765143022296,nan,-10.342526933223956,nan,-10.354977349710756,nan,1.159553014458677,nan,1.159351444082304,nan,1.010838862942945,nan,1.0100105844798932,nan
C @ l,3,-12.368253244920844,nan,-16.351434633252204,nan,-16.33496147957687,nan,1.110012954148785,nan,1.109931941404272,nan,1.00075575953887,nan,1.0008044344275844,nan
C i D,3,-12.186879906299497,nan,-17.16550288113314,nan,-17.157978149967175,nan,1.105583257173715,nan,1.1055133028994728,nan,1.0049176225302843,nan,1.00460205797131,nan
C i n,3,-11.565529160343374,nan,-13.822333554744034,nan,-13.836340096029495,nan,1.1548670332827577,nan,1.1546760877414721,nan,1.002456588896158,nan,1.002356548989274,nan
C R J,3,-15.778847536388565,nan,-17.493222058442896,nan,-17.441783458841762,nan,1.0216294226164864,nan,1.0217644115162332,nan,1.0000631034265162,nan,1.0001723200302033,nan
C R g,3,-13.828220881101926,nan,-17.8359213756008,nan,-17.79625124438802,nan,1.0540645838457412,nan,1.0541199446900968,nan,1.0002524137060642,nan,1.00034505149036,nan
C R T,3,-15.421022175296784,nan,-16.961526928725124,nan,-16.904552610805993,nan,1.0209983883513258,nan,1.0211349264350296,nan,1,1,1.0001147428768178,1.0
C ^ J,3,-14.1061833159586,nan,-18.004753633223416,nan,-17.996222272163767,nan,1.0973869983740623,nan,1.0973374550488046,nan,1.0001883225599997,nan,1.0002866514770676,nan
C ^ n,3,-11.163715228879504,nan,-12.719519084015282,nan,-12.72972016157792,nan,1.1699559388675311,nan,1.1697282393872157,nan,1.0121148701715348,nan,1.0111687334669341,nan
C ^ S,3,-13.861123418531221,nan,-16.348927062969434,nan,-16.376349853123845,nan,1.0977025155066427,nan,1.0976521975894062,nan,1.0002514259865156,nan,1.0003442286304531,nan
C ^ C,3,-13.926262720702184,nan,-15.73605758009703,nan,-15.770664615556802,nan,1.097134584667998,nan,1.097085661016323,nan,1.000756253398644,nan,1.0008048458575376,nan
d i k,3,-9.932080633561661,nan,-12.15821728196563,nan,-12.166510428637926,nan,1.1654919001955335,nan,1.165275731988416,nan,1.0032789088799638,nan,1.0031066977030993,nan
d i s,3,-9.66027246528228,nan,-12.188334459253818,nan,-12.195577699425563,nan,1.1783018957782936,nan,1.1780542791368485,nan,1.0020168403496426,nan,1.0019551546353884,nan
d i t,3,-8.982413903196392,nan,-10.94239523532586,nan,-10.950290970346023,nan,1.25875876458627,nan,1.2583136269903044,nan,1.0018906334966104,nan,1.0018400003286174,nan
d E p,3,-11.139932175100764,nan,-16.430088323368974,nan,-16.373285278599756,nan,1.1177321002831766,nan,1.1176330055935817,nan,1.0003781266993221,nan,1.0004597943671778,nan
d R s,3,-10.931122754248374,nan,-12.408897841507132,nan,-12.420259132733793,nan,1.117633225605491,nan,1.1175333872500206,nan,1.0015741286444817,nan,1.001551291701783,nan
D i D,3,-10.045683160432942,nan,-15.525200901409468,nan,-15.504783023580263,nan,1.1824486489997368,nan,1.1821918142142287,nan,1.0053558894974768,nan,1.0050022180353355,nan
D i g,3,-10.416173846269276,nan,-13.944092868528529,nan,-13.942207568992899,nan,1.1915986458445655,nan,1.1913193478916806,nan,1.0049141655118645,nan,1.0045991779616368,nan
D i C,3,-12.186879906299499,nan,-14.008652413749187,nan,-14.031096767874985,nan,1.1589110709092465,nan,1.1587120206853354,nan,1.0015065804799972,nan,1.0014900116788177,nan
d I J,3,-12.055177265862858,nan,-14.609015437123324,nan,-14.605460300251469,nan,1.0873638804899437,nan,1.087338917130401,nan,1.0073253193087903,nan,1.0068031325183886,nan
d I D,3,-9.734059924739885,nan,-14.090061758824932,nan,-14.077821446036301,nan,1.1106490448743698,nan,1.1105669166268128,nan,1.0083349741330472,nan,1.0077243669725573,nan
d Y p,3,-11.265658064271086,nan,-12.54241241220823,nan,-12.553075907146455,nan,1.074781937498303,nan,1.0747874619048678,nan,1.0020133833312228,nan,1.0019522746257152,nan
d Y t,3,-9.804656816048208,nan,-11.473058398937,nan,-11.481969890146122,nan,1.206604995490352,nan,1.2062868953682946,nan,1.003527865567608,nan,1.0033341263069682,nan
d I T,3,-11.697351904771075,nan,-13.937558365030396,nan,-13.934698059591177,nan,1.0867328462247832,nan,1.0867094320491975,nan,1.0073253193087903,nan,1.0068031325183886,nan
d I Z,3,-16.40186453409143,nan,-inf,nan,-18.930916583436957,nan,1.0831359509133678,nan,1.083121367086337,nan,1.0073253193087903,nan,1.0068031325183886,nan
f i k,3,-10.965609118574237,nan,-13.20237356636076,nan,-13.212166385512825,nan,1.1356206341037949,nan,1.1354770910059337,nan,1.003529347146931,nan,1.0033353605968283,nan
f i s,3,-10.693800950294857,nan,-13.232490743648947,nan,-13.241233656300462,nan,1.148430629686555,nan,1.1482556381543663,nan,1.0022672786166098,nan,1.0021838175291173,nan
f R s,3,-11.96465123926095,nan,-14.140365574141187,nan,-14.140292167486647,nan,1.0877619595137524,nan,1.0877347462675384,nan,1.0015741286444817,nan,1.001551291701783,nan
f R t,3,-11.286792677175063,nan,-13.563637629563322,nan,-13.563928932170874,nan,1.1682188283217287,nan,1.1679940941209943,nan,1.0013217149384173,nan,1.0013209830882408,nan
f Y k,3,-11.787852031426052,nan,-12.383937375119482,nan,-12.397319965133523,nan,1.083466865007877,nan,1.083450359383924,nan,1.0024560950363837,nan,1.0023561375593206,nan
f ^ l,3,-10.459156452617627,nan,-11.968115699504015,nan,-11.97924337078983,nan,1.141117818858127,nan,1.140961069417383,nan,1.0018230853321262,nan,1.001778720305652,nan
g e s,3,-10.539226458026597,nan,-13.610335695846198,nan,-13.602360572094726,nan,1.1632342356595498,nan,1.163023269679247,nan,1.002208619928062,nan,1.0021299432453117,nan
g W d,3,-11.818662067103393,nan,-17.323074879810274,nan,-16.93047761816313,nan,1.114734045124498,nan,1.1146411627126727,nan,1.0013251719568372,nan,1.001323863097914,nan
g W r,3,-11.591215671326461,nan,-20.56010953458982,nan,-19.779351567907035,nan,1.1414267945407912,nan,1.141268381647584,nan,1.0000631034265162,nan,1.0001723200302033,nan
g W z,3,-12.349842318539022,nan,-20.585558279802278,nan,-19.521644244619647,nan,1.066270613560164,nan,1.066296708476238,nan,1,1,1.0001147428768178,1.0
g i C,3,-12.557370592135833,nan,-13.716411059106195,nan,-13.746358716903302,nan,1.107042554473801,nan,1.1069696106111506,nan,1.0005674369788702,nan,1.0006325258273343,nan
g i J,3,-12.737291187392248,nan,-14.751281344756961,nan,-14.768239295934968,nan,1.1072949681798652,nan,1.1072214046436322,nan,1.0005043335523542,nan,1.0005749486739488,nan
g i D,3,-10.416173846269276,nan,-15.232959546766475,nan,-15.220044972608578,nan,1.1305801325642912,nan,1.130449404140044,nan,1.0044167459963498,nan,1.0041447321838521,nan
g R g,3,-12.057514821071702,nan,-15.477988077049353,nan,-15.448984482143338,nan,1.0790614592363175,nan,1.079056045930668,nan,1.0004402424062897,nan,1.0005165486606566,nan
g u v,3,-11.836253759876712,nan,-19.24084684542829,nan,-18.84401228343529,nan,1.1847065672407635,nan,1.1844443784657728,nan,1.0015144822363855,nan,1.0014965945580707,nan
h e s,3,-10.746739933712966,nan,-11.368887968625064,nan,-11.380613839309174,nan,1.193167993939765,nan,1.1928842509148307,nan,1.0061530226327953,nan,1.005731383821542,nan
h e n,3,-10.414976224272898,nan,-11.649493264423196,nan,-11.658762615420294,nan,1.2060410929490413,nan,1.2057257465713838,nan,1.0055219883676347,nan,1.0051556122876866,nan
h i n,3,-10.00233657599952,nan,-9.542607812705429,nan,-9.557210401473082,nan,1.209797666953549,nan,1.209473170217627,nan,1.031570037431094,nan,1.028938610385261,nan
h Y s,3,-11.156343198291404,nan,-11.566120877475006,nan,-11.578570249354058,nan,1.1447707988483549,nan,1.1446049429390641,nan,1.0048973742795397,nan,1.0045851893432245,nan
h ^ s,3,-9.932286353975718,nan,-10.517896821554645,nan,-10.531248704861294,nan,1.2120134735290462,nan,1.2116838262068175,nan,1.0081265139468922,nan,1.0075306756248594,nan
J R T,3,-15.6009427705532,nan,-inf,nan,-19.15340103372689,nan,1.0254978259216296,nan,1.0256234246583324,nan,1,1,1.0001147428768178,1.0
J ^ n,3,-11.343635824135921,nan,-9.609106737073276,nan,-9.6604485906546,nan,1.174455376437835,nan,1.1742167376105186,nan,1.0173740737778458,nan,1.0159706542352416,nan
k e d,3,-10.344720281835038,nan,-11.987048420729137,nan,-11.995579400093558,nan,1.1744478431086158,nan,1.1742095464602544,nan,1.002643429876835,nan,1.002527223299664,nan
k R m,3,-11.35870852397944,nan,-14.401171380389084,nan,-14.393450408360216,nan,1.0978474778673104,nan,1.097796143686118,nan,1.0004402424062897,nan,1.0005165486606566,nan
l e l,3,-10.21348760324749,nan,-11.609665606945114,nan,-11.619516600068312,nan,1.163017246155485,nan,1.162807339147527,nan,1.001824566911449,nan,1.001779954595512,nan
m @ b,3,-10.769741561383423,nan,-15.891605904998087,nan,-15.875543656171144,nan,1.1154809200819575,nan,1.1153871491397251,nan,1.0025078396880918,nan,1.0024042518237801,nan
m e p,3,-11.011832401144336,nan,-12.835681157611747,nan,-12.844633192385036,nan,1.1149301637108229,nan,1.1148378564712462,nan,1.0043279618615721,nan,1.0040657606728947,nan
m @ v,3,-11.700412225916349,nan,-12.632239003467433,nan,-12.646240584755475,nan,1.1041223033090668,nan,1.1040564176780607,nan,1.0030126671002202,nan,1.0028648690508646,nan
m @ z,3,-10.844784637401805,nan,-12.22103515612467,nan,-12.22965481986761,nan,1.114849885816797,nan,1.1147576640585215,nan,1.0021923225555114,nan,1.0021163660568524,nan
m R n,3,-10.755136646259992,nan,-14.13840158248626,nan,-14.111950801300516,nan,1.122257355735877,nan,1.1221459694971854,nan,1.0015144822363855,nan,1.0014965945580707,nan
m R s,3,-11.08690035570006,nan,-14.537717373349397,nan,-14.510915484226047,nan,1.1093842567266008,nan,1.1093044738406324,nan,1.0011358616772892,nan,1.0011511316377575,nan
