word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.197793430294794,nan,-11.47861410381806,nan,-11.493537479132073,nan,1.1068629904320753,nan,1.1067893429812832,nan,1.001909839326903,nan,1.0018576485371615,nan
b i l,3,-10.282426133923728,nan,-11.356145401851958,nan,-11.367800459457069,nan,1.1438252966117346,nan,1.1436595340805962,nan,1.0074337689467396,nan,1.0068899436148042,nan
b i s,3,-10.115843019708665,nan,-11.451855225968595,nan,-11.46263549242425,nan,1.1653941758003339,nan,1.1651745497686286,nan,1.0025550938921755,nan,1.0024452392461278,nan
b R s,3,-11.381212755093944,nan,-12.438409188998964,nan,-12.451227111021543,nan,1.10548692721384,nan,1.1054153609219872,nan,1.001600174228724,nan,1.0015746218110892,nan
b Y s,3,-10.938873734401902,nan,-11.80889486693964,nan,-11.821858239770012,nan,1.1136185579869802,nan,1.113526894508806,nan,1.0030666444525371,nan,1.00291144615182,nan
b ^ l,3,-9.880229864071872,nan,-10.38799043028329,nan,-10.400374928552448,nan,1.160914426908412,nan,1.160706428884145,nan,1.010936849762528,nan,1.0100887801841842,nan
C @ l,3,-12.362488223506187,nan,-16.487849125815526,nan,-16.468338252177542,nan,1.111478194634886,nan,1.1113922485844012,nan,1.0008325160244775,nan,1.0008750353338738,nan
C i D,3,-12.190801387531303,nan,-17.652967957210834,nan,-17.63125321827622,nan,1.1041472667665286,nan,1.1040798181815052,nan,1.0048726925078915,nan,1.0045561478995713,nan
C i n,3,-11.564338256169297,nan,-13.8890334299224,nan,-13.901682914580542,nan,1.1546030377255734,nan,1.154409587023152,nan,1.002304968794963,nan,1.002216829810794,nan
C R J,3,-15.776041125926126,nan,-17.534408973337666,nan,-17.48165593258134,nan,1.0210021185780318,nan,1.0211407612424006,nan,1.0000641930928231,nan,1.0001748966193038,nan
C R g,3,-13.826227530722878,nan,-17.793291621855634,nan,-17.756144353441982,nan,1.0532270511752844,nan,1.0532852192048774,nan,1.000256772371293,nan,1.0003503454759621,nan
C R T,3,-15.418789979148059,nan,-17.04167046806282,nan,-16.983071159270306,nan,1.0206169600210926,nan,1.0207565645336856,nan,1,1,1.0001164136670844,1.0
C ^ J,3,-14.10847512068899,nan,-18.02282382742268,nan,-18.013360326430472,nan,1.0979984974612031,nan,1.0979468448925909,nan,1.0001270567308302,nan,1.0002322750968144,nan
C ^ n,3,-11.16214198631744,nan,-12.76658319518658,nan,-12.775748769238481,nan,1.1716921680222507,nan,1.171456481826701,nan,1.0125163236457102,nan,1.011519484875164,nan
C ^ S,3,-13.861975338203624,nan,-16.356602684579684,nan,-16.383153338225682,nan,1.0984478491109657,nan,1.0983950743860915,nan,1.0002554429164767,nan,1.0003492410012533,nan
C ^ C,3,-13.928317286340345,nan,-15.766943795595385,nan,-15.800516856129583,nan,1.0977417250899104,nan,1.0976907137534475,nan,1.000640601473416,nan,1.0007001387145698,nan
d i k,3,-9.928532709727358,nan,-12.16379432946939,nan,-12.17209024343757,nan,1.1653124022484644,nan,1.1650933395302878,nan,1.0032711888243517,nan,1.0030968352808576,nan
d i s,3,-9.662056789084783,nan,-12.203558603940943,nan,-12.210784773558998,nan,1.176995545142289,nan,1.1767473063613054,nan,1.0016021684109482,nan,1.0015762785231526,nan
d i t,3,-8.981948990698065,nan,-10.94036432277881,nan,-10.948300470850256,nan,1.2585207730277685,nan,1.2580689430392844,nan,1.0017305545965947,nan,1.0016932444275914,nan
