word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.07501867522788,nan,-15.310891260962604,nan,-15.324393805810594,nan,1.1584361648176351,nan,1.1582377937704478,nan,1.0016590223864428,nan,1.0016277760385683,nan
g i T,3,-12.37930605571118,nan,-12.92762792295598,nan,-12.960558151534244,nan,1.104702715957996,nan,1.1046357233013486,nan,1.0005097438779509,nan,1.000580229044446,nan
z i T,3,-12.446119259512816,nan,-16.63982567759415,nan,-16.63322862050518,nan,1.0796337763741406,nan,1.0796279083591793,nan,1.0004469416421913,nan,1.000522902743139,nan
y c g,3,-11.693219932884926,nan,-16.126105533372872,nan,-15.85535949106816,nan,1.1907687736996904,nan,1.1904907949950567,nan,1.0010205343261696,nan,1.0010458054862783,nan
l R z,3,-11.62448933070188,nan,-12.755264557842754,nan,-12.754930710176328,nan,1.0829837905560324,nan,1.0829693684480595,nan,1.0001894532775466,nan,1.0002883730143792,nan
J Y p,3,-13.681010427325466,nan,-16.908706254968703,nan,-16.27632010522863,nan,1.0418298989901589,nan,1.0419160779848313,nan,1.0012131273145193,nan,1.0012212674058871,nan
C ^ z,3,-12.217362974867836,nan,-13.959908056034198,nan,-13.97197146472701,nan,1.1127870528306854,nan,1.1126995744362655,nan,1.003381893578913,nan,1.0031982257758294,nan
C e J,3,-14.906365356687967,nan,-15.045509780911182,nan,-15.089994802418706,nan,1.0778135655832484,nan,1.077812142235397,nan,1.0004427553611204,nan,1.0005194197274514,nan
z i S,3,-12.545933951438247,nan,-17.662954135100737,nan,-17.647724859547903,nan,1.080463810852496,nan,1.080455881099769,nan,1.0006384880602732,nan,1.000697493908826,nan
z u v,3,-11.903411909542593,nan,-20.587266158611424,nan,-20.43101521486991,nan,1.1554381600568095,nan,1.1552469181945009,nan,1.0015313247743882,nan,1.0015113819281103,nan
D Y p,3,-11.376256920037596,nan,-15.391622474467015,nan,-15.187055466263622,nan,1.1130256874083089,nan,1.1129382724205925,nan,1.0012759295502789,nan,1.0012785937071942,nan
s R k,3,-11.002632938806883,nan,-13.58833978486816,nan,-13.588848519571519,nan,1.1167813052960793,nan,1.1166830359352662,nan,1.0005066041671478,nan,1.0005776167826803,nan
b R s,3,-11.384450398614375,nan,-12.42115118908414,nan,-12.434200305156857,nan,1.1047849005488781,nan,1.1047153247816608,nan,1.0015888941588091,nan,1.0015643544598074,nan
T ^ z,3,-12.047426105858303,nan,-14.172404539462523,nan,-14.172214935039433,nan,1.1148552403463534,nan,1.1147627191689944,nan,1.0032562891073937,nan,1.0030835731732153,nan
S c G,3,-14.317637395121448,nan,-15.069999382968772,nan,-15.002243582270822,nan,1.0185374517643426,nan,1.0186808348773928,nan,1.0003192440301367,nan,1.000406508632681,nan
J e J,3,-15.084820306441273,nan,-15.798821520517476,nan,-15.81802912200668,nan,1.082388647057302,nan,1.082376068462343,nan,1.00050555759688,nan,1.0005767460287582,nan
D ^ z,3,-10.091064417333275,nan,-8.76964818255213,nan,-8.78470079236771,nan,1.188557922722889,nan,1.1882856950989726,nan,1.0150003071944376,nan,1.0138035915176318,nan
S Y p,3,-13.432433300488055,nan,-15.007015787557663,nan,-14.972011216548836,nan,1.03988705617241,nan,1.0399779723268132,nan,1.0012131273145193,nan,1.0012212674058871,nan
