word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.021330809027265,nan,-12.805605784783003,nan,-12.824561929646359,nan,1.1067373252883457,nan,1.1066620564009566,nan,1.0010910724600475,nan,1.001111321629161,nan
b O r,3,-13.321960424105296,nan,-inf,nan,-15.29114586178481,nan,1.1228205186742133,nan,1.1227048371496196,nan,1.0010910724600475,nan,1.001111321629161,nan
b O s,3,-13.355675561839488,nan,-13.636474748071347,nan,-13.588949827465507,nan,1.092591866045354,nan,1.0925521408027348,nan,1.0011556635981433,nan,1.0011701347797815,nan
b U n,3,-10.866278414389836,nan,-inf,nan,-16.99704886805042,nan,1.13606792024374,nan,1.1359194187569104,nan,1.0005134458635518,nan,1.0005850673898908,nan
b u r,3,-10.214285069517684,nan,-11.882802284310605,nan,-11.891632368771592,nan,1.2724899878995517,nan,1.272000611797507,nan,1.0174338616137542,nan,1.0159920701082468,nan
b U s,3,-11.200623167202059,nan,-inf,nan,-17.222440265136882,nan,1.1219224610007483,nan,1.1218095031586885,nan,1.0005134458635518,nan,1.0005850673898908,nan
b W r,3,-11.573458324877318,nan,-16.359057316826757,nan,-15.976427431538804,nan,1.1429732688186198,nan,1.1428072699281087,nan,1.0006422177345915,nan,1.0007023532337636,nan
C e D,3,-12.602143201187417,nan,-18.199522461786803,nan,-18.17310738542845,nan,1.102989634094975,nan,1.1029244298474559,nan,1.0016131368317887,nan,1.0015862527799118,nan
C i D,3,-12.188086657969379,nan,-17.607741359040634,nan,-17.587164636585566,nan,1.105300140480958,nan,1.1052291673634609,nan,1.0049698239870137,nan,1.0046428343253355,nan
C O b,3,-15.786170762008275,nan,-20.813573628759816,nan,-20.14054173746374,nan,1.0216760862254302,nan,1.021814057802675,nan,1,1,1.0001172858438727,1.0
C O g,3,-15.795938849444482,nan,-21.06879620257332,nan,-20.275759642516633,nan,1.0400845605827482,nan,1.0401762767318679,nan,1,1,1.0001172858438727,1.0
C O v,3,-16.71478909129029,nan,-inf,nan,-21.418446876157528,nan,1.0112769129919978,nan,1.01144101482864,nan,1,1,1.0001172858438727,1.0
C u D,3,-12.318040657674015,nan,-17.698743560794195,nan,-17.676502142151392,nan,1.1809050438889548,nan,1.180645300526073,nan,1.0012901811413095,nan,1.0012921870268094,nan
C u S,3,-14.396494126720707,nan,-16.0630265946529,nan,-16.088179196921466,nan,1.1578460075887351,nan,1.1576442052358211,nan,1.0014193634175013,nan,1.0014098133280505,nan
C u T,3,-14.27846030736395,nan,-15.085617700102826,nan,-15.11884389244259,nan,1.157006322793489,nan,1.1568066303372966,nan,1.0020006836603639,nan,1.0019391316836346,nan
D e C,3,-12.602143201187417,nan,-13.120623235350884,nan,-13.101152422556995,nan,1.1579769039908563,nan,1.1577750878032864,nan,1.0181639682334473,nan,1.0166657389489964,nan
D e D,3,-10.463206183894389,nan,-14.826461180333627,nan,-14.792220614639831,nan,1.1817464428101303,nan,1.181484900315367,nan,1.0193911998572684,nan,1.0177831888107853,nan
D e J,3,-12.784464757981372,nan,-11.857561514654941,nan,-11.890066492634018,nan,1.1582998596813356,nan,1.1580972319950267,nan,1.0181639682334473,nan,1.0166657389489964,nan
D e S,3,-12.541659652941082,nan,-12.534939811961465,nan,-12.539907073141416,nan,1.1586874065099106,nan,1.158483805025115,nan,1.0181639682334473,nan,1.0166657389489964,nan
D i C,3,-12.188086657969379,nan,-13.939244391343834,nan,-13.96214340364892,nan,1.1602874103768392,nan,1.1600798253192914,nan,1.0016073911596624,nan,1.0015814863767567,nan
D i D,3,-10.049149640676353,nan,-15.862708837935283,nan,-15.831280294772156,nan,1.1840569491961133,nan,1.183789637831372,nan,1.0055474505835096,nan,1.0051690885646059,nan
D i S,3,-12.127603109723045,nan,-14.334390220966142,nan,-14.349690549012031,nan,1.1609979128958936,nan,1.16078854254112,nan,1.00180116457395,nan,1.0017579258286182,nan
D i T,3,-12.009569290366288,nan,-13.230749236273155,nan,-13.255410137080155,nan,1.1601582281006475,nan,1.1599509676425954,nan,1.0015428000215667,nan,1.0015226732261362,nan
d u r,3,-9.755968545760135,nan,-10.58949046964339,nan,-10.600184713402877,nan,1.2846655726480296,nan,1.2841458431961261,nan,1.0267400678906298,nan,1.0244706106298231,nan
D W C,3,-13.677213913033649,nan,-16.652225339377274,nan,-16.5257039132762,nan,1.1063755947039042,nan,1.1063026166125054,nan,1,1,1.0001172858438727,1.0
D W D,3,-11.538276895740623,nan,-19.37940679223732,nan,-19.204521801215336,nan,1.1301451335231782,nan,1.1300124291245859,nan,1.001227231623821,nan,1.0012347357056617,nan
D W T,3,-13.498696545430558,nan,-14.538277295562953,nan,-14.452360275853577,nan,1.1062464124277125,nan,1.1061737589358094,nan,1.0000645911380959,nan,1.0001760989944932,nan
f U n,3,-11.445475104508034,nan,-inf,nan,-18.340733518258375,nan,1.117420050971071,nan,1.1173180380358672,nan,1.0002567229317758,nan,1.0003511766168818,nan
f u r,3,-10.793481759635883,nan,-13.914071790478404,nan,-13.906148769107467,nan,1.2538421186268827,nan,1.2533992310764637,nan,1.0165995120854825,nan,1.0152319250959674,nan
f U s,3,-11.779819857320257,nan,-inf,nan,-18.566124915344837,nan,1.1032745917280793,nan,1.1032081224376453,nan,1.0002567229317758,nan,1.0003511766168818,nan
f W r,3,-12.152655014995517,nan,-18.512520981815918,nan,-18.104305043324572,nan,1.1243253995459508,nan,1.1242058892070654,nan,1.0002571333369277,nan,1.00035151707425,nan
f ^ r,3,-10.262024163778811,nan,-13.35578454795269,nan,-13.363532270698975,nan,1.194731663585486,nan,1.1944363629586658,nan,1.0014802609092301,nan,1.001465562362357,nan
g U n,3,-10.876046501826043,nan,-inf,nan,-16.832513250990377,nan,1.136003838218748,nan,1.1358554964863914,nan,1.002374687118927,nan,1.002280775494206,nan
g U S,3,-13.580402906560717,nan,-13.341717914979995,nan,-13.364359177688245,nan,1.062499123065667,nan,1.0625354784463166,nan,1.0030851896379813,nan,1.0029277201510312,nan
g U T,3,-13.46236908720396,nan,-inf,nan,-16.67897334561653,nan,1.061659438270421,nan,1.061697903547792,nan,1.002374687118927,nan,1.002280775494206,nan
g W C,3,-14.047436750216505,nan,-18.62315352558204,nan,-18.225657578818033,nan,1.052610775735625,nan,1.0526718316470234,nan,1,1,1.0001172858438727,1.0
g W D,3,-11.908499732923477,nan,-21.35033497844208,nan,-20.90447546675717,nan,1.076380314554899,nan,1.0763816441591039,nan,1.001227231623821,nan,1.0012347357056617,nan
g W T,3,-13.868919382613413,nan,-16.509205481767715,nan,-16.15231394139541,nan,1.0524815934594332,nan,1.0525429739703274,nan,1.0000645911380959,nan,1.0001760989944932,nan
g ^ r,3,-9.69259556109682,nan,-11.718128677900367,nan,-11.727444589947337,nan,1.2133154508331632,nan,1.21297382140919,nan,1.0031489599657732,nan,1.0029858523869155,nan
h U n,3,-11.08422085316371,nan,-inf,nan,-19.689086426115313,nan,1.167275866414839,nan,1.1670495644996872,nan,1,1,1.0001172858438727,1.0
h u r,3,-10.432227508291557,nan,-11.463429075246628,nan,-11.471369684604282,nan,1.3036979340706507,nan,1.3031307575402837,nan,1.0207070789938966,nan,1.0189741774641115,nan
h U s,3,-11.418565605975934,nan,-inf,nan,-19.91447782320178,nan,1.1531304071718473,nan,1.1529396489014654,nan,1,1,1.0001172858438727,1.0
h W r,3,-11.791400763651191,nan,-14.993561125463806,nan,-14.616376044230034,nan,1.1741812149897188,nan,1.1739374156708855,nan,1.0051990497736134,nan,1.0048539144546733,nan
J O b,3,-15.96849231880223,nan,-17.750182706732012,nan,-17.64335557804568,nan,1.0262259099998614,nan,1.0263525390095276,nan,1,1,1.0001172858438727,1.0
J ^ r,3,-11.643631298000944,nan,-11.794393849510373,nan,-11.843230624618357,nan,1.1928732848607184,nan,1.1925826171136136,nan,1.006101273681196,nan,1.005675596276519,nan
k E G,3,-11.673715517136849,nan,-16.922411897778773,nan,-16.81391245437342,nan,1.1067063900518093,nan,1.10663240175899,nan,1.0000645911380959,nan,1.0001760989944932,nan
k E S,3,-12.802711765913884,nan,-17.918057770843347,nan,-17.810141405894637,nan,1.1068355723280008,nan,1.106761259435686,nan,1,1,1.0001172858438727,1.0
k i b,3,-10.387674605951087,nan,-14.753355551486049,nan,-14.747456347843151,nan,1.1288069769386384,nan,1.1286775908757793,nan,1.0007088608984467,nan,1.000762868671225,nan
k i C,3,-12.166156873497465,nan,-13.711841908738833,nan,-13.740090265799552,nan,1.1145969265575506,nan,1.1145032464392095,nan,1.0007088608984467,nan,1.000762868671225,nan
k i D,3,-10.02721985620444,nan,-15.635306355330282,nan,-15.609227156922792,nan,1.1383664653768246,nan,1.13821305895129,nan,1.004648920322294,nan,1.0043504708590743,nan
k i r,3,-9.701946535594486,nan,-11.052782560528856,nan,-11.061962739923322,nan,1.2048953376155536,nan,1.2045747624497758,nan,1.0246721731320083,nan,1.0225825475514227,nan
k u f,3,-11.096825295773922,nan,-15.008122127982073,nan,-14.997445946758056,nan,1.1947232096322573,nan,1.1944293982861849,nan,1.0022606898333548,nan,1.0021757461155893,nan
k U m,3,-11.171543023910326,nan,-17.086505073288386,nan,-16.81261340930586,nan,1.1130098359436333,nan,1.112919431326382,nan,1.0011552531929915,nan,1.0011697943224134,nan
k U n,3,-10.483893880171273,nan,-inf,nan,-17.835295343135357,nan,1.1440781733677388,nan,1.1439097025717915,nan,1.0011552531929915,nan,1.0011697943224134,nan
k U p,3,-11.603725099579096,nan,-16.42572984153784,nan,-16.219476028402593,nan,1.078001439095681,nan,1.0779990009417417,nan,1.001349026607279,nan,1.0013462337742747,nan
