word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.201276794338575,nan,-11.504466480296552,nan,-11.519348116941842,nan,1.1067609113307892,nan,1.106687315039542,nan,1.0019146386185165,nan,1.0018618882005816,nan
b i l,3,-10.284242645064534,nan,-11.351138902749168,nan,-11.362812879488734,nan,1.1447014496897348,nan,1.1445330977530124,nan,1.0073858102529538,nan,1.0068451885166354,nan
b i s,3,-10.117544437425567,nan,-11.44502810963186,nan,-11.455835985036003,nan,1.1661874580525524,nan,1.165965335946031,nan,1.0025611077762733,nan,1.0024504855985525,nan
b R s,3,-11.380523729593865,nan,-12.431107184405924,nan,-12.443927220540004,nan,1.1058689867149727,nan,1.105796329020559,nan,1.0016037884670148,nan,1.0015778738362804,nan
b Y s,3,-10.939090099251874,nan,-11.798663821789967,nan,-11.811663361395798,nan,1.1140855472245268,nan,1.1139925295415578,nan,1.0030738374105996,nan,1.0029176717044788,nan
b ^ l,3,-9.881660700586446,nan,-10.37326923010894,nan,-10.385694626956425,nan,1.1614530420464226,nan,1.1612431809857464,nan,1.0111572934955635,nan,1.0102876420038647,nan
C @ l,3,-12.36415946828031,nan,-16.223184455481203,nan,-16.20993760834193,nan,1.1122596916518113,nan,1.112171623408785,nan,1.0008343764661052,nan,1.000876830976502,nan
C i D,3,-12.189976281117707,nan,-17.442996443627997,nan,-17.426900282222718,nan,1.1052983322944494,nan,1.1052278784015162,nan,1.0050113395873497,nan,1.004681881693056,nan
C i n,3,-11.562303831815205,nan,-13.705109651746838,nan,-13.722121726229338,nan,1.1570834722108212,nan,1.15688342254936,nan,1.0025024942994758,nan,1.002396636175653,nan
C R J,3,-15.771691949987378,nan,-17.395276621864625,nan,-17.346132058760535,nan,1.021756959702447,nan,1.021894087081794,nan,1.0001280236338717,nan,1.0002333293520738,nan
C R g,3,-13.823314694417547,nan,-17.66344689411215,nan,-17.630245669184394,nan,1.0536643254148947,nan,1.0537216024822047,nan,1.0003210117329389,nan,1.000409117468797,nan
C R T,3,-15.41444080320931,nan,-16.86407183576198,nan,-16.809806957466655,nan,1.0210493366725337,nan,1.0211882349257364,nan,1.0000636942675158,nan,1.0001747333131659,nan
C ^ J,3,-14.106130713340992,nan,-17.82761948608861,nan,-17.824566170838715,nan,1.0988270233967146,nan,1.0987731772399998,nan,1.0002554121689036,nan,1.000349466626332,nan
C ^ n,3,-11.159721887337117,nan,-12.581441564501274,nan,-12.594973371602663,nan,1.173835064567509,nan,1.173593505782094,nan,1.012606650509206,nan,1.0115999060966236,nan
C ^ S,3,-13.860757691538218,nan,-16.28779043920949,nan,-16.317375856218103,nan,1.0990843408621376,nan,1.0990298507512934,nan,1.0003197415352592,nan,1.0004080626652396,nan
C ^ C,3,-13.924770233026589,nan,-15.611647756682585,nan,-15.649141037858662,nan,1.0984410471985802,nan,1.0983881669730593,nan,1.0007057177333938,nan,1.0007596388986864,nan
d i k,3,-9.929483683596015,nan,-12.177939817633144,nan,-12.186200848073993,nan,1.1663691485290675,nan,1.1661469170704892,nan,1.0032782572887835,nan,1.0031029530532183,nan
d i s,3,-9.661292954391207,nan,-12.19648379632378,nan,-12.203714150085371,nan,1.1781414225721683,nan,1.177889730212173,nan,1.0016056937635343,nan,1.0015794560416162,nan
d i t,3,-8.981193489223736,nan,-10.928234557276237,nan,-10.936174021397491,nan,1.26029002340845,nan,1.259832748692666,nan,1.0019916699616687,nan,1.001931032275063,nan
d E p,3,-11.140445771048391,nan,-16.353037498971357,nan,-16.298186277025817,nan,1.117886850372698,nan,1.1177857356097698,nan,1.0003210117329389,nan,1.000409117468797,nan
d R s,3,-10.924272246559505,nan,-12.436548151159936,nan,-12.447674603628453,nan,1.1178229512345885,nan,1.1177207232867015,nan,1.001540094199499,nan,1.0015198051991512,nan
D i D,3,-10.052600384730736,nan,-15.870926912301274,nan,-15.839484253901345,nan,1.1832534413425833,nan,1.1829901516477421,nan,1.0055208937274769,nan,1.0051464307900888,nan
D i g,3,-10.42295950586228,nan,-13.929596159563426,nan,-13.927839944725076,nan,1.1919379058006083,nan,1.1916528826539023,nan,1.004748941331208,nan,1.0044432783231956,nan
D i C,3,-12.189976281117707,nan,-13.974884614030179,nan,-13.9973576357221,nan,1.1596445638900261,nan,1.1594403569865512,nan,1.0015968023797768,nan,1.0015720724167148,nan
d I J,3,-12.058632129660039,nan,-14.631380237318446,nan,-14.627227699345013,nan,1.088063510285464,nan,1.088036490414827,nan,1.007515923566879,nan,1.006968763857269,nan
d I D,3,-9.739895752958663,nan,-14.48868599689431,nan,-14.464929462669163,nan,1.1112864115398868,nan,1.1112012748090774,nan,1.0085451934285707,nan,1.0079063004797935,nan
d Y p,3,-11.266524310327277,nan,-12.545320666835096,nan,-12.555939510881569,nan,1.074447359926838,nan,1.0744538847933265,nan,1.0019235300022742,nan,1.0018692718254831,nan
d Y t,3,-9.802739151050044,nan,-11.460086646315828,nan,-11.469021614951497,nan,1.2081881125804244,nan,1.207859942288193,nan,1.0030814585966774,nan,1.0029240005258229,nan
d I T,3,-11.70138098288197,nan,-14.004865271411479,nan,-13.999930819845405,nan,1.0873558872555509,nan,1.0873306382587693,nan,1.007515923566879,nan,1.006968763857269,nan
d I Z,3,-16.403879512830624,nan,-inf,nan,-18.916305125145975,nan,1.083882101472341,nan,1.0838655458563053,nan,1.007515923566879,nan,1.006968763857269,nan
