word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.07661782399337,nan,-15.400986812714919,nan,-15.41360311292527,nan,1.1619746170001728,nan,1.161764299490911,nan,1.0016725656381735,nan,1.0016401970815807,nan
g i T,3,-12.377370687640067,nan,-13.027665091800037,nan,-13.059114221204208,nan,1.1063900755990477,nan,1.1063175987662022,nan,1.0005141899383216,nan,1.0005850974332806,nan
z i T,3,-12.443342607200599,nan,-17.317735542381712,nan,-17.284155246745588,nan,1.079608905115587,nan,1.0796027056892303,nan,1.0004504794388314,nan,1.0005270153051513,nan
y c g,3,-11.695557428929938,nan,-16.253293650817383,nan,-15.981323534679541,nan,1.195345552413281,nan,1.195052232288215,nan,1.0010290235827002,nan,1.0010540306103028,nan
l R z,3,-11.623966976454048,nan,-12.758490706432475,nan,-12.758325720653346,nan,1.082804264743101,nan,1.0827899596516635,nan,1.0001280647050377,nan,1.000233397550514,nan
J Y p,3,-13.685008315346515,nan,-16.924976334063608,nan,-16.292062993497233,nan,1.042160631609183,nan,1.042247056558912,nan,1.0012870841109467,nan,1.0012890317178125,nan
C ^ z,3,-12.219931776957669,nan,-13.853988810578869,nan,-13.868291929391894,nan,1.1130116010800686,nan,1.1129222471559332,nan,1.0035381938929893,nan,1.0033395453292877,nan
C e J,3,-14.918946760652057,nan,-15.151701023044794,nan,-15.194275699002638,nan,1.0792926213979572,nan,1.0792872001668747,nan,1.000382906702999,nan,1.0004657260630307,nan
z i S,3,-12.560372914180117,nan,-18.398282487872873,nan,-18.35549492323401,nan,1.0806385724043444,nan,1.0806297951744017,nan,1.0006435420554733,nan,1.0007028652465346,nan
z u v,3,-11.899616097214471,nan,-21.189648253869958,nan,-21.007273036994757,nan,1.1584619212909282,nan,1.1582601729369841,nan,1.0016082114326263,nan,1.001581580434453,nan
D Y p,3,-11.367853617393546,nan,-15.410701344535582,nan,-15.20582635813637,nan,1.1151886214310658,nan,1.1150943184410111,nan,1.001350794610437,nan,1.0013471138459418,nan
s R k,3,-11.00309603831151,nan,-13.673281088587366,nan,-13.673573494033676,nan,1.1165835538894942,nan,1.1164846977757397,nan,1.0005129025262076,nan,1.0005840283952834,nan
b R s,3,-11.383213931173346,nan,-12.420675473491672,nan,-12.433541096642696,nan,1.1062288967164646,nan,1.1061553126251584,nan,1.001604349196284,nan,1.0015783733204613,nan
T ^ z,3,-12.041218161539915,nan,-14.098951811537827,nan,-14.100048595129563,nan,1.1151744509528418,nan,1.1150797444590617,nan,1.003474483393499,nan,1.0032814632011586,nan
S c G,3,-14.334245843158122,nan,-15.06118693578831,nan,-14.99339741780363,nan,1.0176857300538134,nan,1.0178330016294994,nan,1.0002574168221894,nan,1.000351165363768,nan
J e J,3,-15.100068557254108,nan,-15.783342623740733,nan,-15.81027437943256,nan,1.0837455476066087,nan,1.0837291063791978,nan,1.0005103277019796,nan,1.000581890319289,nan
D ^ z,3,-10.083898875606751,nan,-8.76340319527878,nan,-8.778264357976166,nan,1.1904925171106027,nan,1.1902114152503556,nan,1.0151335048002268,nan,1.0139104926487976,nan
S Y p,3,-13.442203210306227,nan,-14.912153329197622,nan,-14.88318779099524,nan,1.04031584789417,nan,1.0404068382709495,nan,1.0012870841109467,nan,1.0012890317178125,nan
n W C,3,-13.04940247434528,nan,-13.982237877113926,nan,-13.98335265638735,nan,1.0628004304834193,nan,1.062836021509712,nan,1.0119775739041794,nan,1.0110361388635416,nan
l W C,3,-13.550438863311037,nan,-14.836374591637336,nan,-14.829747039994366,nan,1.0750141709414345,nan,1.075019535692084,nan,1,1,1.0001166987752568,1.0
