word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200881234338524,nan,-11.508069523515244,nan,-11.522911383224947,nan,1.1071433353364493,nan,1.1070681014014632,nan,1.001927486571315,nan,1.001873144840688,nan
b i l,3,-10.28388263205038,nan,-11.330018176982268,nan,-11.341720002006609,nan,1.1453156918884466,nan,1.1451447049163446,nan,1.0075459397805133,nan,1.0069890808011257,nan
b i s,3,-10.116732566122684,nan,-11.441817160646814,nan,-11.452625010850504,nan,1.166619759028537,nan,1.1663952683782544,nan,1.002574990781159,nan,1.0024625979370965,nan
b R s,3,-11.384835692612683,nan,-12.437816396654936,nan,-12.450644341114781,nan,1.1059767506219402,nan,1.1059036539882914,nan,1.0015470749998334,nan,1.001526185334653,nan
b Y s,3,-10.939623794675388,nan,-11.810147513094615,nan,-11.823101667427288,nan,1.1141908300674899,nan,1.1140972271543392,nan,1.0030902971642262,nan,1.0029319229636202,nan
b ^ l,3,-9.88280157305075,nan,-10.367115477268234,nan,-10.379535005232041,nan,1.1616796782838776,nan,1.1614678389580804,nan,1.0109143329496932,nan,1.0100606021229097,nan
C @ l,3,-12.36413257219178,nan,-16.41074426984921,nan,-16.39289778683537,nan,1.112424373544384,nan,1.1123354265067564,nan,1.000838095279129,nan,1.0008805038329074,nan
C i D,3,-12.188714299552398,nan,-17.649340599975698,nan,-17.627519459153014,nan,1.1052126113100673,nan,1.105141890283084,nan,1.0049029236682456,nan,1.0045820719977647,nan
C i n,3,-11.562246312288426,nan,-13.88899387760318,nan,-13.901540290820781,nan,1.1558904679917976,nan,1.1556924730636882,nan,1.0022560547205375,nan,1.0021718668363986,nan
C R J,3,-15.77751094855339,nan,-17.58549361362034,nan,-17.531469444050074,nan,1.0211351290493713,nan,1.02127465608502,nan,1.0000645577792124,nan,1.0001760368394215,nan
C R g,3,-13.826066297311119,nan,-17.853878212557895,nan,-17.81608125983056,nan,1.0534785764347812,nan,1.0535368751590108,nan,1.0002582311168495,nan,1.0003523933146434,nan
C R T,3,-15.419685587461608,nan,-17.03506041453523,nan,-16.976300895327636,nan,1.0205541090364596,nan,1.0206950952633318,nan,1,1,1.0001172513476808,1.0
C ^ J,3,-14.108326763063761,nan,-18.02145942668757,nan,-18.01349418261719,nan,1.098142123851399,nan,1.098089404516719,nan,1.0001929027705492,nan,1.0002929685513018,nan
