word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.02473946955062,nan,-12.856576854958384,nan,-12.867887558600994,nan,1.1078069422393964,nan,1.1077268828857716,nan,1.0010941623221987,nan,1.0011149640808628,nan
b O r,3,-13.32012062251667,nan,-inf,nan,-15.151406133537602,nan,1.1204235804310116,nan,1.1203112703800364,nan,1.0010941623221987,nan,1.0011149640808628,nan
b O s,3,-13.35776222597734,nan,-13.44727980889334,nan,-13.410605599344724,nan,1.0913133162701494,nan,1.0912754179844149,nan,1.0011598739794467,nan,1.001174704806115,nan
b U n,3,-10.873046277022352,nan,-inf,nan,-16.84459554246944,nan,1.1362551626165607,nan,1.1361038731271687,nan,1.0005792624058698,nan,1.0006459759228137,nan
b u r,3,-10.206143830620187,nan,-11.787148279484617,nan,-11.796883274993641,nan,1.257451320664004,nan,1.2569959134206117,nan,1.0161461793351103,nan,1.0147989417801522,nan
b U s,3,-11.206069033449072,nan,-inf,nan,-17.030638639274436,nan,1.1197615366473137,nan,1.119652408225812,nan,1.0005792624058698,nan,1.0006459759228137,nan
b W r,3,-11.565645068666552,nan,-16.138963255137085,nan,-15.75891815657774,nan,1.139539239824717,nan,1.1393790669902057,nan,1.0006449740631178,nan,1.000705716648066,nan
C e D,3,-12.586034697278217,nan,-17.247339113238418,nan,-17.244966074407305,nan,1.0999061967449715,nan,1.0998485079834257,nan,1.0015046222781694,nan,1.0014868148983325,nan
C i D,3,-12.177347492021095,nan,-16.502287009027476,nan,-16.508992521095458,nan,1.1014508964939578,nan,1.1013893400327324,nan,1.0046493376521248,nan,1.0043465492719739,nan
C O b,3,-15.762635082614898,nan,-19.779881297146748,nan,-19.135896896414227,nan,1.0238676672897262,nan,1.0240007633712465,nan,1,1,1.0001183642450087,1.0
C O g,3,-15.77724034334091,nan,-20.19321400038096,nan,-19.426247264015075,nan,1.0406241398879652,nan,1.040714403012067,nan,1,1,1.0001183642450087,1.0
C O v,3,-16.684874934161193,nan,-inf,nan,-20.456670418046436,nan,1.0141423420170228,nan,1.0143002980110838,nan,1,1,1.0001183642450087,1.0
C u D,3,-12.314825738867974,nan,-16.708852953298127,nan,-16.71209493072644,nan,1.168452248106238,nan,1.1682229301714073,nan,1.0012431248168845,nan,1.001248969202819,nan
C u S,3,-14.348147825703371,nan,-15.44418952817872,nan,-15.483997361298336,nan,1.1470302478433914,nan,1.1468556889051034,nan,1.0012431248168845,nan,1.001248969202819,nan
C u T,3,-14.254149695070431,nan,-14.641447209238715,nan,-14.688494055077609,nan,1.1460445729846713,nan,1.145872533632114,nan,1.0018345297321163,nan,1.0017866357300906,nan
