word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.499971849427464,nan,-13.12507754394799,nan,-13.336506260787953,nan,1.0859680542692085,nan,1.0858555926855162,nan,1.0011719586583914,nan,1.001200445805787,nan
g i T,3,-12.53987176060853,nan,-12.331026004841165,nan,-12.711227418837641,nan,1.097840290622075,nan,1.0975918930872064,nan,1.0015095624578934,nan,1.0014203992408062,nan
z i T,3,-11.974185442707078,nan,-13.491163970020429,nan,-13.812630062191763,nan,1.083735512268592,nan,1.0836476699796367,nan,1.0032431654628051,nan,1.0026059356960522,nan
y c g,3,-13.036213085739302,nan,-14.099268308094562,nan,-13.79817772021263,nan,1.0672344503360476,nan,1.0673251672121389,nan,1.0018147196138285,nan,1.0016254433252842,nan
l R z,3,-10.432144362870655,nan,-10.387739941559996,nan,-10.50680994929447,nan,1.0906682327345654,nan,1.0904873715209182,nan,1.0008992481460226,nan,1.0010103110718498,nan
J Y p,3,-12.391076693803772,nan,-14.40299722822215,nan,-14.102372903907064,nan,1.0856954431450405,nan,1.085565298408093,nan,1.0024250339256993,nan,1.0020355314942406,nan
C ^ z,3,-11.708386715790954,nan,-13.023393601877693,nan,-12.658302903983813,nan,1.1144494667398654,nan,1.1139958999403943,nan,1.0045611340172464,nan,1.0034708400855878,nan
C e J,3,-13.427864072096718,nan,-13.08730746512947,nan,-13.43719188510079,nan,1.067483831879403,nan,1.0675825275433266,nan,1.0017498263266953,nan,1.0015956246242024,nan
z i S,3,-11.200995554473597,nan,-14.621028802192642,nan,-14.602639359718205,nan,1.0883128696076219,nan,1.088169828556664,nan,1.0026328511509344,nan,1.0021958475270958,nan
z u v,3,-12.051100613335642,nan,-14.05290779466774,nan,-14.02917479484285,nan,1.076550784974255,nan,1.076537681076858,nan,1.002713967759851,nan,1.0022331209034483,nan
D Y p,3,-11.732845778350054,nan,-13.295444160851071,nan,-13.263725799018939,nan,1.0963459900650174,nan,1.096094609734217,nan,1.0024250339256993,nan,1.0020355314942406,nan
s R k,3,-9.834577926892859,nan,-11.248166314841477,nan,-11.322572909044453,nan,1.1884266540267696,nan,1.1871103116909847,nan,1.0065187775691768,nan,1.0048241472489594,nan
b R s,3,-10.290396921146638,nan,-9.71143460901899,nan,-9.859592116522327,nan,1.1564167751567682,nan,1.1554689285607724,nan,1.0053468189107855,nan,1.0040263349368583,nan
T ^ z,3,-12.442355890871154,nan,-13.005044463209497,nan,-12.82656447520947,nan,1.1078288564923122,nan,1.10745065235929,nan,1.0045611340172464,nan,1.0034708400855878,nan
S c G,3,-13.632560882943455,nan,-12.322561601691397,nan,-12.422877594412927,nan,1.0534285046378586,nan,1.053679675961242,nan,1.0021198767697639,nan,1.0018304874097625,nan
J e J,3,-13.813526552908701,nan,-13.201420771896892,nan,-13.60597876080776,nan,1.06575671616265,nan,1.0658750716526038,nan,1.0014608924925432,nan,1.0013980352149947,nan
D ^ z,3,-11.43581828114922,nan,-8.441157845717084,nan,-8.71247788295033,nan,1.1233728979430893,nan,1.1228177553757954,nan,1.0129402152076536,nan,1.0092009329526102,nan
S Y p,3,-11.966193499838505,nan,-12.871041202599914,nan,-13.008700886293655,nan,1.0877104114812526,nan,1.087557330280603,nan,1.0024250339256993,nan,1.0020355314942406,nan
n W C,3,-12.47349548433653,nan,-13.671755882200902,nan,-13.804977512923061,nan,1.0501509030923908,nan,1.0504441188315574,nan,1.0005940909900874,nan,1.0008052669873717,nan
l W C,3,-12.64455988660585,nan,-12.550178260232942,nan,-12.761404144986189,nan,1.0608014500123677,nan,1.0609734301576814,nan,1.0005940909900874,nan,1.0008052669873717,nan
S c d,3,-12.400417201650823,nan,-15.021042351777458,nan,-14.379564903728472,nan,1.0815029629839068,nan,1.0814155819003435,nan,1.000288933834152,nan,1.0006002229028934,nan
g i J,3,-12.191565066340317,nan,-14.645445555482212,nan,-14.366501283543741,nan,1.0963145048423986,nan,1.096084506894864,nan,1.0005940909900874,nan,1.0008052669873717,nan
C u T,3,-14.17969600965527,nan,-12.789730799848513,nan,-13.204298961010624,nan,1.0623641394735839,nan,1.0625203621789712,nan,1.0020387601608471,nan,1.00179321403341,nan
D i g,3,-11.5333341508866,nan,-14.32423514319905,nan,-14.338183613838554,nan,1.1062415991612577,nan,1.1058866352177839,nan,1.0024088106039157,nan,1.0020280768189702,nan
w u T,3,-13.394273552986153,nan,-14.325458850917522,nan,-14.056583775364972,nan,1.0983457169059387,nan,1.0980923599023633,nan,1.0005940909900874,nan,1.0008052669873717,nan
T c T,3,-15.407199311391398,nan,-13.258676787536114,nan,-13.755700353296609,nan,1.0352292270012402,nan,1.0356951945750161,nan,1.000288933834152,nan,1.0006002229028934,nan
g u T,3,-13.470019527144114,nan,-13.652170036912079,nan,-13.79364502158577,nan,1.0790595914021965,nan,1.079025769122625,nan,1.0008830248242393,nan,1.0010028563965794,nan
f R s,3,-10.808627492919207,nan,-11.295992942923249,nan,-11.392160918422618,nan,1.118132376768743,nan,1.117620322983083,nan,1.0036132159058737,nan,1.0028407984816123,nan
J Y m,3,-12.46466505046126,nan,-13.877754380987122,nan,-13.621994015609868,nan,1.0951553149790352,nan,1.0949110928006163,nan,1.0018147196138285,nan,1.0016254433252842,nan
