word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.017927571569512,nan,-12.772875406924591,nan,-12.796693521664631,nan,1.1085615600546344,nan,1.108474637648699,nan,1.001028079419135,nan,1.0010491091670524,nan
b O r,3,-13.318941107935888,nan,-inf,nan,-15.2725115536947,nan,1.1236297874361256,nan,1.1235039868069265,nan,1.001028079419135,nan,1.0010491091670524,nan
b O s,3,-13.353122521404728,nan,-13.586748551040543,nan,-13.544158457521569,nan,1.0936226736807095,nan,1.0935742957793835,nan,1.0010927499229183,nan,1.0011077155082586,nan
b U n,3,-10.868901348128924,nan,-inf,nan,-16.956215331321655,nan,1.1379260784636813,nan,1.1377638768975613,nan,1.0005782946732635,nan,1.000641255062292,nan
b u r,3,-10.215923942017035,nan,-11.854031931871717,nan,-11.863590849075427,nan,1.2698740848080976,nan,1.2693733708997292,nan,1.016937854429983,nan,1.0154669520419526,nan
b U s,3,-11.204096297964139,nan,-inf,nan,-17.164683766445904,nan,1.1229871920897565,nan,1.1228635350282459,nan,1.0005782946732635,nan,1.000641255062292,nan
b W r,3,-11.570454265634556,nan,-16.29839943854292,nan,-15.917192632788955,nan,1.1436773361092607,nan,1.1435001413925832,nan,1.0007072201407428,nan,1.000758126275607,nan
C e D,3,-12.599087188653352,nan,-18.172402756240267,nan,-18.146811059555002,nan,1.1029817351211495,nan,1.1029099177311867,nan,1.0016793553979275,nan,1.0016389287391863,nan
C i D,3,-12.187610898854906,nan,-17.578740529166677,nan,-17.559180021170853,nan,1.1049736389957237,nan,1.104896715141941,nan,1.004781877419173,nan,1.0044506672406899,nan
C O b,3,-15.78162462093918,nan,-20.7167702160315,nan,-20.0523002440231,nan,1.0218955570478194,nan,1.0220317690925238,nan,1,1,1.0001168712133146,1.0
C O g,3,-15.798040573997223,nan,-20.897522327884406,nan,-20.11423871752202,nan,1.0401973096184718,nan,1.0402863004735468,nan,1,1,1.0001168712133146,1.0
C O v,3,-16.710775932472316,nan,-inf,nan,-21.16342880463153,nan,1.0120656404727693,nan,1.0122272151352252,nan,1,1,1.0001168712133146,1.0
C u D,3,-12.324450104602695,nan,-17.67693161859485,nan,-17.65552035752897,nan,1.1775817479721422,nan,1.1773186852758897,nan,1.0013560028790114,nan,1.0013458970331557,nan
C u S,3,-14.389246732712081,nan,-15.922289918789305,nan,-15.953594269896467,nan,1.1550117421517967,nan,1.1548069133607763,nan,1.0013560028790114,nan,1.0013458970331557,nan
C u T,3,-14.281267073041484,nan,-14.994177646773128,nan,-15.033358667650472,nan,1.153912343587482,nan,1.153710351405026,nan,1.0019380374130604,nan,1.0018733541040108,nan
D e C,3,-12.599087188653353,nan,-13.098966399513692,nan,-13.078416701395227,nan,1.1573261469719829,nan,1.157115546055239,nan,1.0181849858061272,nan,1.0166065129582451,nan
D e D,3,-10.465867652024853,nan,-14.917475191302492,nan,-14.879667904955566,nan,1.1804135168225942,nan,1.1801433471259994,nan,1.0194137253780085,nan,1.0177200334411614,nan
D e J,3,-12.780676412935632,nan,-11.804194449097425,nan,-11.84001289521325,nan,1.1570674649568502,nan,1.1568575314774152,nan,1.0182496563099104,nan,1.0166651192994514,nan
D e S,3,-12.53066428013424,nan,-12.536825613774626,nan,-12.542472017533905,nan,1.1578435110022487,nan,1.157631575210886,nan,1.0181849858061272,nan,1.0166065129582451,nan
D i C,3,-12.187610898854906,nan,-13.879325170084105,nan,-13.905038899299605,nan,1.159318050846557,nan,1.1591023434659933,nan,1.0017382083404889,nan,1.0016927545130272,nan
D i D,3,-10.054391362226408,nan,-15.958435075722015,nan,-15.923484433668026,nan,1.1824054206971684,nan,1.1821301445367538,nan,1.0054244270561326,nan,1.005033315961776,nan
D i S,3,-12.119187990335794,nan,-14.291498956335571,nan,-14.308915444722633,nan,1.1598354148768228,nan,1.1596183726216405,nan,1.0018675493480553,nan,1.0018099671954395,nan
D i T,3,-12.011208330665195,nan,-13.223624741944239,nan,-13.250210168211533,nan,1.1587360163125082,nan,1.15852181066589,nan,1.0016088673329224,nan,1.001575541830615,nan
d u r,3,-9.759564080043736,nan,-10.594332981742067,nan,-10.605651981646046,nan,1.2810458344068136,nan,1.280516502503956,nan,1.026126314238503,nan,1.0237988287534832,nan
D W C,3,-13.678980428220216,nan,-16.545427954975448,nan,-16.42289347033063,nan,1.1057294111241387,nan,1.1056510840927958,nan,1,1,1.0001168712133146,1.0
D W D,3,-11.545760891591716,nan,-19.4365735490291,nan,-19.25904114817297,nan,1.12881678097475,nan,1.1286788851635563,nan,1.0012287395718813,nan,1.0012303916962308,nan
D W T,3,-13.502577860030502,nan,-14.5213268610337,nan,-14.438067094365135,nan,1.1051473765900899,nan,1.1050705512926926,nan,1.0000646705037832,nan,1.0001754775545209,nan
f U n,3,-11.445090235347276,nan,-inf,nan,-18.183113512434094,nan,1.1198843449163298,nan,1.1197683597665975,nan,1.0003212748184798,nan,1.0004081955738577,nan
f u r,3,-10.792112829235387,nan,-13.80993600902882,nan,-13.802322143343918,nan,1.251832351260746,nan,1.2513778537687654,nan,1.0161025399019357,nan,1.0147095087045406,nan
f U s,3,-11.780285185182493,nan,-inf,nan,-18.391581947558343,nan,1.104945458542405,nan,1.104868017897282,nan,1.0003212748184798,nan,1.0004081955738577,nan
f W r,3,-12.146643152852906,nan,-18.310428204160416,nan,-17.904980084046638,nan,1.1256356025619092,nan,1.1255046242616193,nan,1.000321690358567,nan,1.0004085370429554,nan
f ^ r,3,-10.655915953024724,nan,-14.41145405035152,nan,-14.411893043649016,nan,1.1888624868387194,nan,1.1885694194933056,nan,1.0014165179819217,nan,1.0014010886833866,nan
g U n,3,-10.88531730118697,nan,-inf,nan,-16.821221751536168,nan,1.1362567365696203,nan,1.1360988112555503,nan,1.00237743365675,nan,1.002272671481333,nan
g U S,3,-13.580591442037523,nan,-13.26588594245692,nan,-13.292475331241738,nan,1.0622090097378283,nan,1.0622421383535314,nan,1.0030888091983654,nan,1.0029173412346004,nan
g U T,3,-13.472611782366922,nan,-inf,nan,-16.67558062180616,nan,1.0611096111735137,nan,1.061145576397781,nan,1.00237743365675,nan,1.002272671481333,nan
g W C,3,-14.04955373169589,nan,-18.527032799111844,nan,-18.133600922746602,nan,1.0523746759716504,nan,1.0524330245346785,nan,1,1,1.0001168712133146,1.0
g W D,3,-11.916334195067389,nan,-21.418178393165494,nan,-20.969748600588943,nan,1.0754620458222617,nan,1.075460825605439,nan,1.0012287395718813,nan,1.0012303916962308,nan
g W T,3,-13.873151163506176,nan,-16.502931705170095,nan,-16.148774546781105,nan,1.0517926414376015,nan,1.0518524917345753,nan,1.0000646705037832,nan,1.0001754775545209,nan
g ^ r,3,-10.096143018864417,nan,-12.653018605374704,nan,-12.655696575261041,nan,1.20523487849201,nan,1.2048998709822585,nan,1.0026373622921447,nan,1.0025081212534501,nan
h U n,3,-11.088085312854155,nan,-inf,nan,-19.619404929290106,nan,1.1690015198762016,nan,1.1687597142334563,nan,1.000064254963696,nan,1.0001751360854232,nan
h u r,3,-10.435107906742266,nan,-11.441153667143354,nan,-11.449888771116276,nan,1.3009495262206179,nan,1.3003692082356242,nan,1.020343367505868,nan,1.0185549902637085,nan
h U s,3,-11.42328026268937,nan,-inf,nan,-19.827873364414355,nan,1.1540626335022768,nan,1.1538593723641408,nan,1.000064254963696,nan,1.0001751360854232,nan
h W r,3,-11.789638230359786,nan,-14.937774782396602,nan,-14.56214800779112,nan,1.174752777521781,nan,1.174495978728478,nan,1.0052693225631548,nan,1.004894932195318,nan
J O b,3,-15.963213845221459,nan,-17.75016974951088,nan,-17.649620463141062,nan,1.0262615281553635,nan,1.0263865561562446,nan,1,1,1.0001168712133146,1.0
J ^ r,3,-12.040378476299523,nan,-12.679634049775839,nan,-12.723819227935321,nan,1.1855238030505975,nan,1.185239288209284,nan,1.005785855513246,nan,1.0053630999867718,nan
k E G,3,-11.669102612428613,nan,-16.874568890044156,nan,-16.76736844621429,nan,1.107309478919981,nan,1.1072270041811019,nan,1.0000646705037832,nan,1.0001754775545209,nan
k E S,3,-12.790635310821049,nan,-17.848323741781634,nan,-17.742804477194074,nan,1.1072448084161979,nan,1.1071625005366459,nan,1,1,1.0001168712133146,1.0
k i b,3,-10.382988671923519,nan,-14.813208212895068,nan,-14.806809308062135,nan,1.1285975560372734,nan,1.1284602909604398,nan,1.0007097133812664,nan,1.000760175090192,nan
k i C,3,-12.16205085813439,nan,-13.652354294281244,nan,-13.683417406151094,nan,1.114952079739013,nan,1.1148500219802424,nan,1.0007743838850496,nan,1.0008187814313982,nan
k i D,3,-10.02883132150589,nan,-15.731464199919154,nan,-15.701862940519513,nan,1.1380394495896242,nan,1.137877823051003,nan,1.0044606026006933,nan,1.004159342880147,nan
k i r,3,-9.699367345131101,nan,-11.05992076122724,nan,-11.069665095508,nan,1.204585397982562,nan,1.2042520731961361,nan,1.0241204357507936,nan,1.021975670606807,nan
k u f,3,-11.09601676488966,nan,-14.992175490604318,nan,-14.982300465725897,nan,1.1915697599499915,nan,1.1912712180704574,nan,1.002263467632413,nan,1.0021680931555288,nan
k U m,3,-11.177875418417418,nan,-17.04053033749431,nan,-16.7675990293808,nan,1.1136862947683508,nan,1.113586770833432,nan,1.0012212598503103,nan,1.0012242452524758,nan
k U n,3,-10.489183956990779,nan,-inf,nan,-17.80593924432119,nan,1.1452455006145643,nan,1.1450645493279168,nan,1.001156589346527,nan,1.0011656389112695,nan
k U p,3,-11.60558519495988,nan,-16.407900436462356,nan,-16.202660595304607,nan,1.078634881717843,nan,1.0786257955383278,nan,1.0013506008578767,nan,1.001341457934888,nan
k u r,3,-9.836206550878888,nan,-13.52204798887271,nan,-13.509705263259075,nan,1.2771935069589806,nan,1.2766740433300847,nan,1.0160382849382397,nan,1.014651243832432,nan
l U n,3,-10.383583797132957,nan,-inf,nan,-16.36388078479687,nan,1.158792852139444,nan,1.1585771974226975,nan,1.0098952644091757,nan,1.0090896615180398,nan
l R l,3,-11.054512465166162,nan,-13.617209751993085,nan,-13.614388477916734,nan,1.108190491254256,nan,1.1081051440597003,nan,1.0010338969803572,nan,1.0010538897344174,nan
m W l,3,-11.47281463969885,nan,-13.534994872678446,nan,-13.536451620991151,nan,1.095610875177148,nan,1.0955577405239754,nan,1.0009688109364865,nan,1.000994941924114,nan
m W r,3,-11.2745108639024,nan,-16.403366478751497,nan,-16.02094544225037,nan,1.1459245271204965,nan,1.1457415759106748,nan,1.000257435394871,nan,1.0003502721708466,nan
m W t,3,-10.630731417519279,nan,-10.729437074401492,nan,-10.74911650450902,nan,1.1958501560411459,nan,1.1955383894306386,nan,1.0003867764024374,nan,1.0004674848532589,nan
n c n,3,-10.060426749366874,nan,-15.573276090130008,nan,-15.543391166696201,nan,1.1244256052150445,nan,1.1242980313001205,nan,1.0002582664750457,nan,1.0003509551090417,nan
n W C,3,-13.04850291547905,nan,-13.903344348012938,nan,-13.908141046117262,nan,1.0630327819106553,nan,1.0630638282490557,nan,1.01188716828375,nan,1.0108958725534067,nan
n W D,3,-10.91528337885055,nan,-16.794489942066583,nan,-16.7442887239596,nan,1.0861201517612666,nan,1.0860916293198162,nan,1.0131159078556313,nan,1.012009393036323,nan
n ^ r,3,-9.095092202647576,nan,-14.27080486067213,nan,-14.26615005847279,nan,1.215892984431015,nan,1.2155306746966357,nan,1.0017377928004014,nan,1.0016924130439295,nan
p c k,3,-11.781745459356626,nan,-14.77664212479899,nan,-14.738416895512694,nan,1.0805756901949932,nan,1.080560933449001,nan,1.0008403010090947,nan,1.0008784121798968,nan
p c p,3,-12.29322922530508,nan,-inf,nan,-19.58805759995076,nan,1.0404153073456106,nan,1.0405041702418798,nan,1.000064254963696,nan,1.0001751360854232,nan
p c s,3,-11.512022937171192,nan,-15.696237596031189,nan,-15.647232045265959,nan,1.092087039868407,nan,1.0920425821621533,nan,1.0001289254674792,nan,1.0002337424266294,nan
p O l,3,-13.649011258542647,nan,-15.863060362923461,nan,-15.79960151912097,nan,1.0649052205650085,nan,1.0649307822239416,nan,1.0001940115113497,nan,1.0002926902369331,nan
p O m,3,-13.83838540780646,nan,-inf,nan,-18.683697718736415,nan,1.0685914392806521,nan,1.0686074899579285,nan,1,1,1.0001168712133146,1.0
p O n,3,-13.14969394637982,nan,-15.938020589248378,nan,-15.850836922768915,nan,1.1001506451268657,nan,1.1000852684524134,nan,1,1,1.0001168712133146,1.0
p O r,3,-13.450707482746196,nan,-inf,nan,-18.32665495479898,nan,1.115218872508357,nan,1.115114617610641,nan,1,1,1.0001168712133146,1.0
p O s,3,-13.484888896215036,nan,-16.75189373336433,nan,-16.598301858625852,nan,1.0852117587529408,nan,1.085184926583098,nan,1.0000646705037832,nan,1.0001754775545209,nan
p O t,3,-12.806928036363075,nan,-18.255999595912332,nan,-17.562015794685518,nan,1.1651445014290063,nan,1.1649114311306048,nan,1,1,1.0001168712133146,1.0
p u k,3,-10.651594252481615,nan,-12.726696599696258,nan,-12.734952595945114,nan,1.219944706451499,nan,1.2195726619627483,nan,1.0143518653588284,nan,1.0131233813319027,nan
p U m,3,-11.689359184365872,nan,-15.435195805706888,nan,-15.172025041632784,nan,1.0979559576896991,nan,1.097896729206791,nan,1.0095101501670871,nan,1.008740413754486,nan
p U n,3,-11.000667722939232,nan,-inf,nan,-16.210365256573176,nan,1.1295151635359126,nan,1.1293745077012758,nan,1.009445479663304,nan,1.0086818074132797,nan
p U p,3,-12.117068960908334,nan,-14.802565904674935,nan,-14.607086607556594,nan,1.0629045446391914,nan,1.0629357539116868,nan,1.0096394911746536,nan,1.0088576264368982,nan
p U s,3,-11.335862672774446,nan,-inf,nan,-16.418833691697426,nan,1.1145762771619878,nan,1.1144741658319604,nan,1.009445479663304,nan,1.0086818074132797,nan
p u v,3,-11.960462955152895,nan,-15.208295700875313,nan,-15.210992463483551,nan,1.1756454113599901,nan,1.1753876655104487,nan,1.002387822158932,nan,1.0022812082087709,nan
r U n,3,-10.185280021336505,nan,-inf,nan,-21.0387764900763,nan,1.1173803320752385,nan,1.117270761303581,nan,1,1,1.0001168712133146,1.0
r W r,3,-10.886832938842137,nan,-18.304262632058695,nan,-17.912723570242928,nan,1.1231315897208178,nan,1.123007025798603,nan,1.000257435394871,nan,1.0003502721708466,nan
S c g,3,-13.756751706434267,nan,-16.58426725672765,nan,-16.511015954429254,nan,1.0497050144899576,nan,1.0497696364880809,nan,1.0009700575567484,nan,1.0009959663314065,nan
s c p,3,-11.512022937171192,nan,-inf,nan,-17.16117524680724,nan,1.0726464469924806,nan,1.0726527453299362,nan,1.0003212748184798,nan,1.0004081955738577,nan
s U g,3,-11.220512251022184,nan,-21.017510781875377,nan,-20.286027024141916,nan,1.1191284411896376,nan,1.1190151810928863,nan,1.0003233525189161,nan,1.0004099029193454,nan
S U g,3,-13.580591442037521,nan,-16.580456141675395,nan,-16.55994400909208,nan,1.072194251783538,nan,1.0722012201578879,nan,1.0010944120832674,nan,1.0011090813846486,nan
s U k,3,-10.824378906825993,nan,-16.102178286680022,nan,-15.43041576691125,nan,1.1352960671354437,nan,1.1351410922068643,nan,1.0108646446355818,nan,1.0099627365359427,nan
