word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.198551681586682,nan,-11.47259061380668,nan,-11.488252771397415,nan,1.1075194208252588,nan,1.1074364639849588,nan,1.0023100084926102,nan,1.0022114782895588,nan
b i l,3,-10.281632029740866,nan,-11.300200633147202,nan,-11.312556197556347,nan,1.1458211360206079,nan,1.1456398086663988,nan,1.007662233076057,nan,1.0070631329235922,nan
b i s,3,-10.114316927979598,nan,-11.401113737833885,nan,-11.412552809811253,nan,1.1675406513596127,nan,1.1673034754187774,nan,1.0026351642438838,nan,1.0025059934050131,nan
b R s,3,-11.381185253425578,nan,-12.38990446336162,nan,-12.403671848052822,nan,1.1069792568453856,nan,1.1068969297782765,nan,1.0015446095979912,nan,1.0015169545672704,nan
b Y s,3,-10.938280976800778,nan,-11.75880906355308,nan,-11.772579743645453,nan,1.115374540106088,nan,1.1152707472162717,nan,1.0030207714404042,nan,1.0028556460534974,nan
b ^ l,3,-10.278360431656298,nan,-13.165518233187996,nan,-13.169770074149058,nan,1.1560749171023819,nan,1.1558673719494468,nan,1.0066689558583184,nan,1.0061649440047722,nan
C @ l,3,-12.360522445660239,nan,-16.33360765942106,nan,-16.319032005402686,nan,1.1119394186646123,nan,1.1118446725861086,nan,1.0008367543994081,nan,1.0008751775906721,nan
C i D,3,-12.186232912886098,nan,-17.608840980119776,nan,-17.588798191949923,nan,1.1051908631716396,nan,1.1051135868227044,nan,1.0050234341456592,nan,1.0046707019172323,nan
C i n,3,-11.557014915338389,nan,-13.836538950038832,nan,-13.852084936710456,nan,1.1559126986962593,nan,1.1557049984966565,nan,1.0023810005287477,nan,1.0022752824266972,nan
C R J,3,-15.767180710751857,nan,-17.539043546344928,nan,-17.48947204062552,nan,1.0210409149064457,nan,1.0211791419793237,nan,1.0000644496004125,nan,1.0001749757484508,nan
C R g,3,-13.820238889264175,nan,-17.77421191854247,nan,-17.74001487597483,nan,1.0533946143135093,nan,1.0534496485362792,nan,1.0002577984016499,nan,1.0003502503453192,nan
