word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.884082568081116,nan,-10.29756432130097,nan,-10.371037877717276,nan,1.1412174583524965,nan,1.1407343532998182,nan,1.0063164246107619,nan,1.0051568503646087,nan
b i l,3,-10.079265215799902,nan,-10.290524802061626,nan,-10.348054707209277,nan,1.1763280577096025,nan,1.1755817796922812,nan,1.0097215378925475,nan,1.0077707139717273,nan
b i s,3,-9.90785833265938,nan,-10.35295240313849,nan,-10.404406293545497,nan,1.182224957081868,nan,1.1814341489579032,nan,1.0064877543658213,nan,1.0052914956546792,nan
b R s,3,-10.999123049697095,nan,-10.922793822627499,nan,-10.987212107843012,nan,1.1349562427173288,nan,1.1345106506924294,nan,1.0037477727919042,nan,1.0031710965699356,nan
b Y s,3,-10.724334874796266,nan,-10.486181376659033,nan,-10.550785228488646,nan,1.143968565689556,nan,1.1434571542527727,nan,1.0033484348657766,nan,1.002868232745233,nan
b ^ l,3,-10.190433012337564,nan,-12.073071197275011,nan,-12.092524893414218,nan,1.1901224296058688,nan,1.1892754075907657,nan,1.0088661836242832,nan,1.0071314130777609,nan
C @ l,3,-11.948407465777574,nan,-14.263536450315486,nan,-14.284458464713342,nan,1.1218137799019205,nan,1.1214648282945998,nan,1.0022637779194115,nan,1.0020267877602478,nan
C i D,3,-12.103716345260496,nan,-16.029832570217977,nan,-15.993865767282525,nan,1.0954824922512272,nan,1.0953343426613882,nan,1.003931697750521,nan,1.0033132025810199,nan
C i n,3,-11.233737100191368,nan,-11.880701894199877,nan,-12.013356981656418,nan,1.1573048243798176,nan,1.1566898268977484,nan,1.0048828105524994,nan,1.0040423844389752,nan
C R J,3,-14.886135832404968,nan,-14.287727789371411,nan,-14.398025892448313,nan,1.0343275309778046,nan,1.034629458705901,nan,1,1,1.0002879423826754,1.0
C R g,3,-13.29166079264758,nan,-15.173055307222413,nan,-15.197499305786044,nan,1.0609586894331975,nan,1.0610595134538716,nan,1.0001902225603956,nan,1.0004337787542663,nan
C R T,3,-14.931713340901286,nan,-14.315762098218338,nan,-14.397425111414924,nan,1.0343275309778046,nan,1.034629458705901,nan,1.0001902225603956,nan,1.0004337787542663,nan
C ^ J,3,-13.906038911904915,nan,-18.48670053473966,nan,-17.827010406492846,nan,1.09539061723861,nan,1.0952465848698594,nan,1.0001839249586169,nan,1.0004300483937596,nan
