word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081127170953284,nan,-15.163445883076498,nan,-15.179608342375499,nan,1.1594392135942975,nan,1.1592153489688901,nan,1.0014096843401532,nan,1.001393780535306,nan
g i T,3,-12.369890081943911,nan,-12.927343302720427,nan,-12.963755428479267,nan,1.1072180506940064,nan,1.1071329515078703,nan,1.0003357732858773,nan,1.0004240141534089,nan
z i T,3,-12.420460708827747,nan,-16.724735678097808,nan,-16.718577240612774,nan,1.0800705358892955,nan,1.0800574985912867,nan,1.000402364482521,nan,1.0004841934878255,nan
y c g,3,-11.718164542063137,nan,-16.527483352963987,nan,-16.140699188554656,nan,1.186566071674262,nan,1.186269719431001,nan,1.0011405022509197,nan,1.0011507641872288,nan
l R z,3,-11.595649896951876,nan,-12.6145787354574,nan,-12.6168512739554,nan,1.0826983961454995,nan,1.0826781166098123,nan,1.0001331823932875,nan,1.0002411771397484,nan
J Y p,3,-13.656575186872756,nan,-16.79494536475636,nan,-16.16935675785148,nan,1.0447281226250076,nan,1.0448087501615215,nan,1.0014774024578605,nan,1.0014548794738867,nan
C ^ z,3,-12.588809208478905,nan,-15.144080161448695,nan,-15.07038547706169,nan,1.107572908693088,nan,1.1074864529349622,nan,1.0032894512805348,nan,1.003091216555187,nan
C e J,3,-14.869091954453264,nan,-14.745998299596826,nan,-14.803333418880857,nan,1.0796764741519325,nan,1.079664469019551,nan,1.000734193544677,nan,1.0007841705557436,nan
z i S,3,-12.508973362184017,nan,-17.850875774367655,nan,-17.833103238524096,nan,1.0811450104041032,nan,1.0811290945995915,nan,1.0006038284540475,nan,1.0006661108973214,nan
z u v,3,-11.891982166525997,nan,-20.336347124662225,nan,-20.18134791066313,nan,1.154562880198007,nan,1.1543518327235531,nan,1.0018792034798498,nan,1.0018177946887143,nan
D Y p,3,-11.372008599381388,nan,-15.333937154457244,nan,-15.131435505846541,nan,1.1135949800340168,nan,1.1134928035160905,nan,1.0015439936545043,nan,1.0015150588083033,nan
s R k,3,-10.977880011736694,nan,-13.568974529868841,nan,-13.569711760745522,nan,1.122932610534917,nan,1.1228046990216294,nan,1.0009367844372665,nan,1.0009670075694042,nan
b R s,3,-11.359521216725819,nan,-12.246868887802538,nan,-12.261887056328133,nan,1.1087804177955014,nan,1.10868984035122,nan,1.001675485666197,nan,1.00163403807089,nan
T ^ z,3,-12.435758033985064,nan,-15.206376972674075,nan,-15.09539932000491,nan,1.1091032833021772,nan,1.1090127652317303,nan,1.003222860083891,nan,1.0030310372207707,nan
S c G,3,-14.300775601865784,nan,-14.949445728501727,nan,-14.873577275393307,nan,1.0207543105885748,nan,1.0208988068491573,nan,1.0006038284540475,nan,1.0006661108973214,nan
J e J,3,-15.060687148032546,nan,-15.652040260527448,nan,-15.687256190236882,nan,1.0835356796878963,nan,1.083513430463575,nan,1.0006010111513892,nan,1.0006638118869107,nan
D ^ z,3,-10.495837814566821,nan,-8.518076150084267,nan,-8.535857762564408,nan,1.1802989716380612,nan,1.1800194677335551,nan,1.0146765459066254,nan,1.013381882740419,nan
S Y p,3,-13.4004414721559,nan,-14.713913652882388,nan,-14.691403089948105,nan,1.0432642860424006,nan,1.0433487992689607,nan,1.0014774024578605,nan,1.0014548794738867,nan
n W C,3,-13.02783279696538,nan,-13.95469798065443,nan,-13.956635860190078,nan,1.0614691527856297,nan,1.0615055906633193,nan,1.011054702103403,nan,1.0101110477861466,nan
l W C,3,-13.52374813997343,nan,-14.848596767233364,nan,-14.84182229614371,nan,1.072980231367039,nan,1.0729861135911845,nan,1.0001337458538193,nan,1.0002416369418305,nan
S c d,3,-13.253526505883231,nan,-18.843421392363574,nan,-18.482492143091367,nan,1.0798504089029928,nan,1.0798365873059252,nan,1.0000665911966438,nan,1.000180997805332,nan
g i J,3,-12.714536450017036,nan,-14.647500613643027,nan,-14.668699665200053,nan,1.108023906580112,nan,1.107936648514099,nan,1.0004700826002284,nan,1.0005452924264062,nan
C u T,3,-14.264504726249104,nan,-14.760768405348486,nan,-14.808161009327968,nan,1.1509888842310663,nan,1.1507874506345614,nan,1.0016760491267285,nan,1.001634497872972,nan
D i g,3,-10.429969862525668,nan,-13.894528578693336,nan,-13.89400585432287,nan,1.1856204270564357,nan,1.1853264460822155,nan,1.0045558109378305,nan,1.0042355435132662,nan
w u T,3,-12.313115111429164,nan,-16.26235709824021,nan,-16.013973192914932,nan,1.2519936084309466,nan,1.2515240622212627,nan,1.001476275536797,nan,1.0014539598697223,nan
T c T,3,-15.227955886457863,nan,-16.49019576413948,nan,-16.444272849386124,nan,1.0175389032431652,nan,1.0176919923262955,nan,1.0001331823932875,nan,1.0002411771397484,nan
g u T,3,-12.52516379064064,nan,-17.334820085838683,nan,-17.086521658925474,nan,1.1765394864002061,nan,1.1762702298501695,nan,1.0013430931435094,nan,1.0013336012008893,nan
f R s,3,-11.938632748357941,nan,-13.751255317323288,nan,-13.755061282824744,nan,1.0894843901156823,nan,1.0894450331310992,nan,1.0018086680594847,nan,1.0017543967397229,nan
J Y m,3,-13.23830112047201,nan,-16.252366170207793,nan,-15.627188933000372,nan,1.0780368325840433,nan,1.0780282264189727,nan,1.0012759384863341,nan,1.0012729620643905,nan
n R z,3,-11.099734553943826,nan,-14.141361017603428,nan,-14.117631539934864,nan,1.0711873175640902,nan,1.0711975936819471,nan,1.0000665911966438,nan,1.000180997805332,nan
m R n,3,-10.739985231327205,nan,-13.976899493205913,nan,-13.95450909353327,nan,1.1254902114490213,nan,1.1253548996505414,nan,1.0016777395083234,nan,1.0016358772792182,nan
C u S,3,-14.353017379605372,nan,-15.609334818487312,nan,-15.648723371814095,nan,1.152063358745874,nan,1.1518590466428662,nan,1.0013402758408512,nan,1.0013313021904786,nan
S e J,3,-14.804553433315693,nan,-14.710949032814431,nan,-14.768918310268928,nan,1.0820718431052894,nan,1.0820534795710142,nan,1.0012669231178273,nan,1.0012656052310762,nan
T ^ S,3,-14.05998982157212,nan,-17.865731746947645,nan,-17.76511882747254,nan,1.0941277947520462,nan,1.094077395865981,nan,1.0002680551681702,nan,1.000362915214828,nan
v e D,3,-11.747721941469578,nan,-20.050854936602793,nan,-19.974618600212683,nan,1.1000397510434352,nan,1.0999731520846179,nan,1.0012759384863341,nan,1.0012729620643905,nan
C ^ S,3,-14.213040996065963,nan,-17.80343493572227,nan,-17.74010498452932,nan,1.0925974201429571,nan,1.092551083569213,nan,1.000334646364814,nan,1.0004230945492443,nan
n c T,3,-12.643564032712067,nan,-16.642417264178217,nan,-16.5821754791711,nan,1.049543693981072,nan,1.049611827750013,nan,1.0000665911966438,nan,1.000180997805332,nan
s R p,3,-11.491764738713256,nan,-13.684870795391477,nan,-13.684246944848226,nan,1.0835128267729133,nan,1.0834905204669445,nan,1.0009367844372665,nan,1.0009670075694042,nan
D i D,3,-10.07633940422205,nan,-15.929822295755404,nan,-15.893880355855146,nan,1.1772260949095013,nan,1.1769546022673336,nan,1.005294512166761,nan,1.0049025740147517,nan
S c g,3,-13.730178778699512,nan,-16.478787373769432,nan,-16.394377621564654,nan,1.049630813174029,nan,1.0496979495723509,nan,1.001073911054276,nan,1.0010905848528124,nan
C i S,3,-14.197743670908647,nan,-15.704889292482417,nan,-15.744065178932276,nan,1.0827419230396742,nan,1.082721768300567,nan,1.0013363316171293,nan,1.0013280835759035,nan
g i D,3,-10.429969862525668,nan,-15.63460405372112,nan,-15.606206593557744,nan,1.130050634133668,nan,1.1299043666843487,nan,1.0040292794305286,nan,1.003759166660837,nan
T c S,3,-15.316468539814135,nan,-15.251701136451395,nan,-15.27371291416989,nan,1.018613377757973,nan,1.0187635883346002,nan,1.0005361103363404,nan,1.0006050119587404,nan
z u T,3,-12.575734417524476,nan,-19.251899594646567,nan,-19.122787405854222,nan,1.1493919715954952,nan,1.149194776933586,nan,1.001476275536797,nan,1.0014539598697223,nan
S Y m,3,-12.982167405755156,nan,-14.171334458333824,nan,-14.149235265096994,nan,1.0765729960014363,nan,1.0765682755264119,nan,1.0012759384863341,nan,1.0012729620643905,nan
D ^ v,3,-11.34780469779913,nan,-9.505455380737851,nan,-9.527966903036122,nan,1.1694199171756343,nan,1.1691695581494683,nan,1.0119903596196065,nan,1.0109563172804712,nan
t W C,3,-12.684012971354552,nan,-16.011154224239178,nan,-16.00537766862037,nan,1.0440361898473105,nan,1.0441189027610032,nan,1.000266928247107,nan,1.0003619956106635,nan
g Y b,3,-11.59339553569757,nan,-17.423729677013956,nan,-17.33348291947252,nan,1.0710531906032912,nan,1.0710638257189204,nan,1.0012759384863341,nan,1.0012729620643905,nan
r c S,3,-13.029516560808755,nan,-15.019170587645473,nan,-15.04555872940845,nan,1.022605659346901,nan,1.022745272587039,nan,1.0006027015329844,nan,1.000665191293157,nan
d R s,3,-10.906017095229014,nan,-12.287738592991875,nan,-12.301102451053861,nan,1.1171642091322502,nan,1.1170513772813415,nan,1.0017420768628407,nan,1.0016942174053065,nan
S c z,3,-13.780749405583348,nan,-14.659351097523395,nan,-14.57981011628978,nan,1.0344538606523717,nan,1.0345616559550446,nan,1.0002009005109946,nan,1.0003022760783293,nan
y c d,3,-11.241512269246856,nan,-18.89211737155813,nan,-18.22881371008137,nan,1.2167856674032258,nan,1.2164083571645754,nan,1.0001331823932875,nan,1.0002411771397484,nan
J u S,3,-14.544612573184658,nan,-14.752991918869782,nan,-14.811637530059913,nan,1.1559225642818378,nan,1.1557080080868902,nan,1.0011405022509197,nan,1.0011507641872288,nan
h u S,3,-12.828913929290579,nan,-13.828017842533722,nan,-13.852162529249616,nan,1.2066245404612244,nan,1.2062753980928629,nan,1.0050693828529043,nan,1.004701344917806,nan
