word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-12.923336746199535,nan,-13.115964225345884,nan,-13.315020275614613,nan,1.1070166094919256,nan,1.1066724469299394,nan,1.0018049644102203,nan,1.0016207863079705,nan
g i T,3,-12.268370163757584,nan,-12.804424716307661,nan,-13.012821944364157,nan,1.099810950928737,nan,1.0995489047628442,nan,1.001188441598876,nan,1.0012079043921984,nan
z i T,3,-12.264673301876257,nan,-14.539449308232125,nan,-14.703032632372635,nan,1.07546214005671,nan,1.0754727569464948,nan,1.0014744009926422,nan,1.0014040982317118,nan
y c g,3,-11.991480908868631,nan,-14.489652814955825,nan,-13.986581071539074,nan,1.1059712017978405,nan,1.1056270179973522,nan,1.00090248220511,nan,1.001011710552685,nan
l R z,3,-11.176168912514392,nan,-11.939323117039104,nan,-12.00609625061025,nan,1.0899581167579488,nan,1.0897883612917643,nan,1.001188441598876,nan,1.0012079043921984,nan
J Y p,3,-12.905838277232071,nan,-14.13491123452781,nan,-13.80494117568429,nan,1.066742543668596,nan,1.0668327961152908,nan,1.0012107436107822,nan,1.001218151510571,nan
C ^ z,3,-12.021944403288007,nan,-13.17966900446079,nan,-13.061207986896482,nan,1.115102950495069,nan,1.1146458825333754,nan,1.0046016190731741,nan,1.0034890020473175,nan
C e J,3,-13.823398110815088,nan,-12.964162671199194,nan,-13.299907701149381,nan,1.077050517319125,nan,1.07704124225419,nan,1.0014744009926422,nan,1.0014040982317118,nan
z i S,3,-11.949156430431033,nan,-16.416464629822332,nan,-15.949117507802978,nan,1.078853015519102,nan,1.078822330637116,nan,1.0008578781812982,nan,1.0009912163159398,nan
z u v,3,-11.955647480331532,nan,-15.983455062615835,nan,-15.738532566218652,nan,1.098194677757688,nan,1.0979396176296434,nan,1.0018272664221262,nan,1.0016310334263432,nan
D Y p,3,-11.28470432503478,nan,-13.445797220985487,nan,-13.308842435655704,nan,1.0927901087875087,nan,1.0925886751746412,nan,1.0014967030045483,nan,1.0014143453500843,nan
s R k,3,-10.429489561020477,nan,-12.495027168086285,nan,-12.500002041635234,nan,1.1531042263803128,nan,1.1521931390121036,nan,1.0032347613790507,nan,1.0026017555055378,nan
b R s,3,-10.925026492271378,nan,-10.80351935800261,nan,-10.918634379673872,nan,1.127026288959822,nan,1.1264178233549351,nan,1.0038512841903946,nan,1.0030146374213098,nan
T ^ z,3,-12.331561552606043,nan,-14.10552332652806,nan,-13.751604134084538,nan,1.1100066877544121,nan,1.109606688804372,nan,1.0046016190731741,nan,1.0034890020473175,nan
S c G,3,-13.88866553290647,nan,-14.019665351374144,nan,-13.700879980589953,nan,1.0475097578637127,nan,1.0478287139598592,nan,1.0018272664221262,nan,1.0016310334263432,nan
J e J,3,-14.174173332626633,nan,-12.911696614413717,nan,-13.30560572226402,nan,1.075918014487868,nan,1.0759214214255226,nan,1.0017603603864083,nan,1.0016002920712255,nan
D ^ z,3,-10.751585672902259,nan,-8.735872883174402,nan,-8.881927813868597,nan,1.1400180127827246,nan,1.1392819407640584,nan,1.0128944414923906,nan,1.0091786233932072,nan
S Y p,3,-12.549163333293338,nan,-12.402575185770555,nan,-12.55556919043148,nan,1.0684412979154816,nan,1.0685125273582918,nan,1.0014967030045483,nan,1.0014143453500843,nan
n W C,3,-12.563156520804654,nan,-12.800839496927571,nan,-12.929241160490022,nan,1.0577541185839845,nan,1.0579645200213916,nan,1.003739774130865,nan,1.0029634018294467,nan
l W C,3,-12.893861553703708,nan,-13.39369795523175,nan,-13.472754505984245,nan,1.0639828841558983,nan,1.0641235345790625,nan,1.000594220799438,nan,1.0008052695947989,nan
S c d,3,-12.696854293619811,nan,-16.614749288315114,nan,-15.602218040085697,nan,1.090358093252122,nan,1.0901551451413454,nan,1.000285959393766,nan,1.000598828636913,nan
g i J,3,-12.309528236251094,nan,-13.307378245213611,nan,-13.458974357787714,nan,1.102277042174113,nan,1.1019849583560233,nan,1.0014967030045483,nan,1.0014143453500843,nan
C u T,3,-13.72568321872447,nan,-12.92607602213075,nan,-13.25404217680449,nan,1.0903121927308836,nan,1.090155089707095,nan,1.0020909238039863,nan,1.0018169801474839,nan
D i g,3,-10.6883942840538,nan,-13.713015132642875,nan,-13.724059841246586,nan,1.1202382438280418,nan,1.1197298901778938,nan,1.0021132258158922,nan,1.0018272272658566,nan
w u T,3,-12.366377002322228,nan,-14.792768477997075,nan,-14.394891819315491,nan,1.1441060772155949,nan,1.143346579068797,nan,1.0015190050164542,nan,1.001424592468457,nan
T c T,3,-14.993372633931617,nan,-14.47797818275872,nan,-14.60380964154614,nan,1.032599401537267,nan,1.0330944088421008,nan,1.0005719187875322,nan,1.0007950224764264,nan
g u T,3,-12.564012794089226,nan,-14.143537806394413,nan,-14.159981413358931,nan,1.112679123648211,nan,1.1122715510732766,nan,1.0018049644102203,nan,1.0016207863079705,nan
f R s,3,-11.355809408363829,nan,-12.3009845281684,nan,-12.335135180937133,nan,1.1040931066268662,nan,1.10374145157442,nan,1.0027074466153303,nan,1.002229862063256,nan
J Y m,3,-12.667427253787073,nan,-13.717844706537466,nan,-13.403347872800111,nan,1.0880125806599645,nan,1.0878437583564602,nan,1.0021355278277981,nan,1.001837474384229,nan
n R z,3,-10.845463879615338,nan,-13.218266835636515,nan,-13.191822017362748,nan,1.083729351186035,nan,1.0836293467340934,nan,1.00090248220511,nan,1.001011710552685,nan
m R n,3,-10.466168489240557,nan,-13.224438811657452,nan,-13.077339462692294,nan,1.1441936214897441,nan,1.1433668776451038,nan,1.0021355278277981,nan,1.001837474384229,nan
C u S,3,-13.410166347279246,nan,-13.342689010447344,nan,-13.55566544339398,nan,1.0937030681932758,nan,1.0935046633977163,nan,1.0020909238039863,nan,1.0018169801474839,nan
S e J,3,-13.817498388687898,nan,-12.924600019249626,nan,-13.260206541337146,nan,1.0776167687347535,nan,1.0776011526685236,nan,1.0023322791739404,nan,1.0019926797502523,nan
T ^ S,3,-13.491029116995428,nan,-15.867843716268219,nan,-15.550766964173972,nan,1.0908944806027476,nan,1.0907272734572344,nan,1.0012107436107822,nan,1.001218151510571,nan
v e D,3,-11.907212856059466,nan,-17.943169811670877,nan,-17.7381184408531,nan,1.0772449698706077,nan,1.0772277653946531,nan,1.000308261405672,nan,1.0006090757552855,nan
C ^ S,3,-13.181411967677391,nan,-14.941989394200949,nan,-14.860370816985917,nan,1.0959907433434044,nan,1.0957664671862377,nan,1.0012107436107822,nan,1.001218151510571,nan
n c T,3,-12.632823000492099,nan,-14.8016458889372,nan,-14.808462139766315,nan,1.0580807152405514,nan,1.0582903774871175,nan,1.0005719187875322,nan,1.0007950224764264,nan
