word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-10.752196170137879,nan,-10.024409061670031,nan,-10.204494061094342,nan,1.1459619102440344,nan,1.1450021119469367,nan,1.0075102150692703,nan,1.0052298573013763,nan
b i l,3,-10.015341241309695,nan,-10.381490089824382,nan,-10.52262423343286,nan,1.1744802685261724,nan,1.1730937935593448,nan,1.0068925999634661,nan,1.0048145927825909,nan
b i s,3,-9.94275634403029,nan,-10.222632632974882,nan,-10.358392893230002,nan,1.157982330768392,nan,1.1568396376672134,nan,1.0035180217857382,nan,1.002705382564639,nan
b R s,3,-10.796676745177987,nan,-10.581734871673042,nan,-10.728480162256515,nan,1.1285806213666827,nan,1.1278345786452908,nan,1.0046428811783141,nan,1.0034084526372897,nan
b Y s,3,-10.587584947319426,nan,-10.627275215419637,nan,-10.766772644466815,nan,1.135076347862409,nan,1.1342426730803667,nan,1.002459307971119,nan,1.0020290369234792,nan
b ^ l,3,-10.215069429633274,nan,-11.864788170592394,nan,-11.873282724247888,nan,1.1898648839107877,nan,1.1882708593266298,nan,1.0065949448626614,nan,1.0046943328408822,nan
C @ l,3,-11.401261265313849,nan,-14.280464412036125,nan,-13.906243682820945,nan,1.137042812365312,nan,1.1361546732099164,nan,1.002966552257891,nan,1.0023168424773445,nan
C i D,3,-11.909119926561974,nan,-13.902670935436038,nan,-14.08317034090066,nan,1.0811967162042553,nan,1.081128512192107,nan,1.004609808389336,nan,1.0033950904215443,nan
C i n,3,-10.881569713475816,nan,-10.863999445211993,nan,-11.126531804434766,nan,1.1509379985439627,nan,1.1498392620997537,nan,1.0072344803053466,nan,1.005035587257729,nan
C R J,3,-13.830004405427001,nan,-13.040189889712947,nan,-13.224470127168397,nan,1.046545662970525,nan,1.0469516762954152,nan,1.001025641025641,nan,1.001118334591436,nan
C R g,3,-12.676833132508456,nan,-13.191912622417028,nan,-13.29992853841999,nan,1.0615437882048706,nan,1.0617281816518984,nan,1.001025641025641,nan,1.001118334591436,nan
C R T,3,-13.97023374673565,nan,-12.494495440296133,nan,-12.837415580903413,nan,1.0461707098396662,nan,1.0465822636615032,nan,1.0014005941564996,nan,1.0013526912823196,nan
C ^ J,3,-13.17581219260288,nan,-inf,nan,-16.863901305868353,nan,1.0913319877568497,nan,1.0911338010846228,nan,1.0003418803418804,nan,1.0006763456411598,nan
C ^ n,3,-11.081297901799395,nan,-12.607169355473737,nan,-12.260604144481746,nan,1.166322613928578,nan,1.1650163278670387,nan,1.0100906617442051,nan,1.0067696196041314,nan
C ^ S,3,-12.943366248626358,nan,-14.904812347393083,nan,-14.61680489849196,nan,1.09395665967286,nan,1.0937196895220074,nan,1.0014667397344563,nan,1.0013794157138103,nan
C ^ C,3,-12.914167093934095,nan,-15.008702394686935,nan,-14.728889913033704,nan,1.0947065659345774,nan,1.0944585147898316,nan,1.001841692865315,nan,1.0016137724046938,nan
d i k,3,-9.658918390195383,nan,-10.950116332326454,nan,-11.055010989853454,nan,1.159920918232193,nan,1.1587290460370623,nan,1.0046759539672927,nan,1.0034218148530352,nan
d i s,3,-9.560432764483819,nan,-10.900801595612297,nan,-11.005035578393446,nan,1.1437979336052715,nan,1.1428443027788429,nan,1.003176141443858,nan,1.002484388089501,nan
d i t,3,-9.084830569651427,nan,-10.149958130266695,nan,-10.258871208971767,nan,1.1865425905231568,nan,1.18495734304482,nan,1.0058008133598686,nan,1.0041248849256856,nan
d E p,3,-10.595910499931982,nan,-12.858435046418796,nan,-12.862700865534533,nan,1.1345125558159566,nan,1.133704922083861,nan,1.0021835732071953,nan,1.001834766879832,nan
