word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.017273438954135,nan,-12.780192263819822,nan,-12.80271137841994,nan,1.108731221473052,nan,1.108644249576564,nan,1.0011521088976085,nan,1.0011614975475571,nan
b O r,3,-13.319366308087044,nan,-inf,nan,-15.268070138677665,nan,1.12366908767613,nan,1.1235437422231507,nan,1.001087721543285,nan,1.0011031238390753,nan
b O s,3,-13.354248084866784,nan,-13.595700232232414,nan,-13.551801326503233,nan,1.093857742624298,nan,1.0938089788810403,nan,1.0011521088976085,nan,1.0011614975475571,nan
b U n,3,-10.864133134749935,nan,-inf,nan,-16.968865279541966,nan,1.1379077522811651,nan,1.137746298207619,nan,1.0005118689615458,nan,1.0005807487737786,nan
b u r,3,-10.213004406195216,nan,-11.847026576440182,nan,-11.856490325872004,nan,1.271343283082106,nan,1.2708409532768234,nan,1.0172501586809024,nan,1.0157559207716615,nan
b U s,3,-11.201107780662584,nan,-inf,nan,-17.178958726892574,nan,1.123034273432411,nan,1.1229110275120953,nan,1.0005118689615458,nan,1.0005807487737786,nan
b W r,3,-11.567474661612074,nan,-16.31684113536988,nan,-15.935265059210222,nan,1.1437599444168043,nan,1.1435833107980438,nan,1.0006402399360625,nan,1.0006971641561822,nan
C e D,3,-12.601029368805397,nan,-18.180054516895545,nan,-18.15480127878338,nan,1.1030550150052303,nan,1.1029833065644932,nan,1.001672052541762,nan,1.0016324716301286,nan
C i D,3,-12.18699923959124,nan,-17.605287223448798,nan,-17.58563243251946,nan,1.104910539990834,nan,1.1048340947449768,nan,1.0048254179670972,nan,1.0044914552074926,nan
C O b,3,-15.778059936137288,nan,-20.824387051212454,nan,-20.148211756545948,nan,1.0220580014801492,nan,1.0221932110624066,nan,1,1,1.0001164153824036,1.0
C O g,3,-15.792413268466262,nan,-20.944346056491074,nan,-20.158469108027667,nan,1.0397645239191424,nan,1.0398542476046966,nan,1,1,1.0001164153824036,1.0
C O v,3,-16.706022757112997,nan,-inf,nan,-21.25582938325239,nan,1.0115628627254007,nan,1.011725033039158,nan,1,1,1.0001164153824036,1.0
C u D,3,-12.31704059641692,nan,-17.675267000516474,nan,-17.654180810926373,nan,1.1789395885544018,nan,1.1786741611180702,nan,1.0012861321499507,nan,1.0012825614137983,nan
C u S,3,-14.382162761080266,nan,-16.01106768538804,nan,-16.040166662154455,nan,1.1561464651238436,nan,1.155939590441813,nan,1.0013505195042742,nan,1.0013409351222802,nan
C u T,3,-14.2734295609438,nan,-15.023222230721128,nan,-15.060997590820254,nan,1.1552450421633131,nan,1.1550404831269327,nan,1.0018656183388632,nan,1.0018079247901337,nan
